Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
3071.896;100.000;128.000;5702.000;930488;0;0;
3071.491;100.000;128.000;5703.000;930488;0;0;
3072.249;100.000;128.000;5704.000;930488;0;0;
3071.455;100.000;128.000;5705.000;930488;0;0;
3071.035;100.000;128.000;5706.000;930488;0;0;
3071.180;100.000;128.000;5707.000;930488;0;0;
3071.094;100.000;128.000;5708.000;930488;0;0;
3071.412;100.000;128.000;5709.000;930488;0;0;
3071.934;100.000;128.000;5710.000;930488;0;0;
3071.658;100.000;128.000;5711.000;930488;0;0;
3071.908;100.000;128.000;5712.000;930488;0;0;
3071.118;100.000;128.000;5713.000;930488;0;0;
3071.614;100.000;128.000;5714.000;930488;0;0;
3071.334;100.000;128.000;5715.000;930488;0;0;
3071.912;100.000;128.000;5716.000;930488;0;0;
3071.440;100.000;128.000;5717.000;930488;0;0;
3071.382;100.000;128.000;5718.000;930488;0;0;
3071.599;100.000;128.000;5719.000;930488;0;0;
3071.419;100.000;128.000;5720.000;930488;0;0;
3070.733;100.000;128.000;5721.000;930488;0;0;
3072.324;100.000;128.000;5722.000;930488;0;0;
3071.374;100.000;128.000;5723.000;930488;0;0;
3071.869;100.000;128.000;5724.000;930488;0;0;
3071.462;100.000;128.000;5725.000;930488;0;0;
3071.879;100.000;128.000;5726.000;930488;0;0;
3071.635;100.000;128.000;5727.000;930488;0;0;
3071.754;100.000;128.000;5728.000;930488;0;0;
3071.429;100.000;128.000;5729.000;930488;0;0;
3070.886;100.000;128.000;5730.000;930488;0;0;
3071.692;100.000;128.000;5731.000;930488;0;0;
3071.276;100.000;128.000;5732.000;930488;0;0;
3071.317;100.000;128.000;5733.000;930488;0;0;
3072.142;100.000;128.000;5734.000;930488;0;0;
3070.920;100.000;128.000;5735.000;930488;0;0;
3071.278;100.000;128.000;5736.000;930488;0;0;
3071.589;100.000;128.000;5737.000;930488;0;0;
3071.778;100.000;128.000;5738.000;930488;0;0;
3071.390;100.000;128.000;5739.000;930488;0;0;
3071.154;100.000;128.000;5740.000;930488;0;0;
3071.591;100.000;128.000;5741.000;930488;0;0;
3071.513;100.000;128.000;5742.000;930488;0;0;
3071.933;100.000;128.000;5743.000;930488;0;0;
3071.421;100.000;128.000;5744.000;930488;0;0;
3070.997;100.000;128.000;5745.000;930488;0;0;
3071.292;100.000;128.000;5746.000;930488;0;0;
3071.789;100.000;128.000;5747.000;930488;0;0;
3071.754;100.000;128.000;5748.000;930488;0;0;
3071.756;100.000;128.000;5749.000;930488;0;0;
3071.538;100.000;128.000;5750.000;930488;0;0;
