Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
1875.254;30.916;0.000;12814.000;-910975;0;0;
1876.355;33.578;0.000;12815.000;-910987;0;0;
1872.300;37.851;0.000;12816.000;-910998;0;0;
1870.504;35.067;0.000;12817.000;-911010;0;0;
1872.474;28.791;0.000;12818.000;-911022;0;0;
1876.999;30.501;0.000;12819.000;-911034;0;0;
1882.283;33.089;0.000;12820.000;-911047;0;0;
1874.952;28.889;0.000;12821.000;-911059;0;0;
1865.938;32.161;0.000;12822.000;-911071;0;0;
1867.638;32.308;0.000;12823.000;-911083;0;0;
1870.731;31.917;0.000;12824.000;-911096;0;0;
1879.676;27.302;0.000;12825.000;-911108;0;0;
1874.843;23.321;0.000;12826.000;-911121;0;0;
1882.873;35.922;0.000;12827.000;-911133;0;0;
1882.518;35.043;0.000;12828.000;-911146;0;0;
1870.787;28.694;0.000;12829.000;-911158;0;0;
1867.199;29.158;0.000;12830.000;-911171;0;0;
1870.825;33.211;0.000;12831.000;-911184;0;0;
1873.971;27.912;0.000;12832.000;-911196;0;0;
1878.202;29.426;0.000;12833.000;-911209;0;0;
1876.578;30.623;0.000;12834.000;-911222;0;0;
1875.020;29.841;0.000;12835.000;-911235;0;0;
1871.979;34.310;0.000;12836.000;-911248;0;0;
1867.359;46.129;0.000;12837.000;-911260;0;0;
1874.850;40.806;0.000;12838.000;-911273;0;0;
1878.787;25.958;0.000;12839.000;-911286;0;0;
1875.853;33.480;0.000;12840.000;-911299;0;0;
1876.843;42.711;0.000;12841.000;-911312;0;0;
1872.711;42.076;0.000;12842.000;-911325;0;0;
1877.529;44.933;0.000;12843.000;-911338;0;0;
1874.968;48.498;0.000;12844.000;-911351;0;0;
1873.575;37.363;0.000;12845.000;-911364;0;0;
1871.277;45.495;0.000;12846.000;-911377;0;0;
1870.628;45.055;0.000;12847.000;-911390;0;0;
1878.464;39.780;0.000;12848.000;-911403;0;0;
1876.385;50.672;0.000;12849.000;-911415;0;0;
1870.524;48.669;0.000;12850.000;-911428;0;0;
1870.170;39.560;0.000;12851.000;-911441;0;0;
1875.061;38.095;0.000;12852.000;-911454;0;0;
1872.562;28.742;0.000;12853.000;-911467;0;0;
1867.600;30.647;0.000;12854.000;-911480;0;0;
1878.473;39.585;0.000;12855.000;-911492;0;0;
1878.491;47.106;0.000;12856.000;-911505;0;0;
1874.553;42.125;0.000;12857.000;-911518;0;0;
1871.160;33.919;0.000;12858.000;-911531;0;0;
1873.664;35.653;0.000;12859.000;-911543;0;0;
1873.845;37.070;0.000;12860.000;-911556;0;0;
1874.410;35.800;0.000;12861.000;-911569;0;0;
1871.683;37.851;0.000;12862.000;-911581;0;0;
1873.533;35.604;0.000;12863.000;-911594;0;0;
