Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
1869.646;40.317;0.000;31655.000;24043;0;0;
1861.775;39.267;0.000;31656.000;24091;0;0;
1864.451;84.591;0.000;31657.000;24138;0;0;
1869.227;98.999;0.000;31658.000;24186;0;0;
1866.980;98.999;0.000;31659.000;24233;0;0;
1868.464;55.971;0.000;31660.000;24281;0;0;
1868.509;41.807;0.000;31661.000;24329;0;0;
1863.651;56.020;0.000;31662.000;24377;0;0;
1866.494;51.111;0.000;31663.000;24424;0;0;
1866.986;49.011;0.000;31664.000;24472;0;0;
1868.375;64.542;0.000;31665.000;24520;0;0;
1864.365;59.976;0.000;31666.000;24568;0;0;
1864.229;58.852;0.000;31667.000;24616;0;0;
1856.472;56.337;0.000;31668.000;24664;0;0;
1863.014;55.702;0.000;31669.000;24712;0;0;
1861.056;57.900;0.000;31670.000;24760;0;0;
1864.079;64.860;0.000;31671.000;24808;0;0;
1863.529;46.300;0.000;31672.000;24856;0;0;
1864.076;62.418;0.000;31673.000;24904;0;0;
1867.858;53.480;0.000;31674.000;24952;0;0;
1863.152;63.858;0.000;31675.000;25001;0;0;
1861.355;62.002;0.000;31676.000;25049;0;0;
1865.646;46.520;0.000;31677.000;25097;0;0;
1857.193;36.337;0.000;31678.000;25146;0;0;
1862.535;82.222;0.000;31679.000;25194;0;0;
1862.962;38.266;0.000;31680.000;25243;0;0;
1869.089;52.869;0.000;31681.000;25291;0;0;
1862.938;68.913;0.000;31682.000;25340;0;0;
1865.087;70.720;0.000;31683.000;25388;0;0;
1860.046;75.946;0.000;31684.000;25437;0;0;
1861.136;72.430;0.000;31685.000;25486;0;0;
1862.687;75.751;0.000;31686.000;25534;0;0;
1863.572;81.148;0.000;31687.000;25583;0;0;
1863.259;70.549;0.000;31688.000;25632;0;0;
1853.556;87.375;0.000;31689.000;25680;0;0;
1867.771;75.800;0.000;31690.000;25729;0;0;
1864.291;77.411;0.000;31691.000;25777;0;0;
1862.479;85.714;0.000;31692.000;25826;0;0;
1866.581;65.079;0.000;31693.000;25875;0;0;
1867.451;66.764;0.000;31694.000;25924;0;0;
1860.577;85.519;0.000;31695.000;25972;0;0;
1865.435;93.162;0.000;31696.000;26021;0;0;
1866.862;74.823;0.000;31697.000;26070;0;0;
1865.464;76.899;0.000;31698.000;26118;0;0;
1865.921;75.458;0.000;31699.000;26167;0;0;
1864.210;70.354;0.000;31700.000;26216;0;0;
1862.374;73.700;0.000;31701.000;26265;0;0;
1861.256;78.657;0.000;31702.000;26314;0;0;
1862.919;86.667;0.000;31703.000;26362;0;0;
1866.095;75.653;0.000;31704.000;26412;0;0;
1863.197;62.857;0.000;31705.000;26460;0;0;
1865.953;65.275;0.000;31706.000;26509;0;0;
1871.896;64.835;0.000;31707.000;26558;0;0;
1874.579;67.033;0.000;31708.000;26607;0;0;
1870.709;94.676;0.000;31709.000;26656;0;0;
1866.258;58.413;0.000;31710.000;26705;0;0;
1859.040;61.074;0.000;31711.000;26754;0;0;
1861.417;78.120;0.000;31712.000;26804;0;0;
1861.920;61.514;0.000;31713.000;26853;0;0;
1867.100;62.833;0.000;31714.000;26902;0;0;
1860.155;65.836;0.000;31715.000;26951;0;0;
1861.048;60.904;0.000;31716.000;27000;0;0;
1863.670;63.834;0.000;31717.000;27049;0;0;
1866.159;62.100;0.000;31718.000;27098;0;0;
1861.240;62.906;0.000;31719.000;27148;0;0;
1861.294;68.278;0.000;31720.000;27197;0;0;
1868.343;58.315;0.000;31721.000;27246;0;0;
1866.475;57.436;0.000;31722.000;27296;0;0;
1881.513;98.999;0.000;31723.000;27345;0;0;
1876.010;94.774;0.000;31724.000;27395;0;0;
1868.438;59.365;0.000;31725.000;27444;0;0;
1858.778;50.354;0.000;31726.000;27493;0;0;
1866.125;53.651;0.000;31727.000;27543;0;0;
1868.517;59.731;0.000;31728.000;27592;0;0;
1867.394;58.120;0.000;31729.000;27642;0;0;
1862.101;57.705;0.000;31730.000;27691;0;0;
1855.178;52.772;0.000;31731.000;27740;0;0;
1859.535;48.767;0.000;31732.000;27789;0;0;
1857.460;52.625;0.000;31733.000;27839;0;0;
1865.566;62.833;0.000;31734.000;27888;0;0;
1862.879;58.266;0.000;31735.000;27938;0;0;
1866.298;53.455;0.000;31736.000;27987;0;0;
1856.784;55.043;0.000;31737.000;28037;0;0;
1862.313;58.681;0.000;31738.000;28086;0;0;
1862.203;60.586;0.000;31739.000;28136;0;0;
1860.797;63.858;0.000;31740.000;28185;0;0;
1859.455;64.347;0.000;31741.000;28235;0;0;
1855.434;58.657;0.000;31742.000;28284;0;0;
1857.135;54.774;0.000;31743.000;28334;0;0;
1862.387;54.286;0.000;31744.000;28384;0;0;
1860.875;51.648;0.000;31745.000;28433;0;0;
1858.147;65.397;0.000;31746.000;28483;0;0;
1865.664;60.098;0.000;31747.000;28532;0;0;
1859.134;63.272;0.000;31748.000;28582;0;0;
1864.410;59.512;0.000;31749.000;28632;0;0;
1860.634;82.662;0.000;31750.000;28681;0;0;
1867.779;76.117;0.000;31751.000;28731;0;0;
1857.583;57.534;0.000;31752.000;28781;0;0;
1863.368;75.849;0.000;31753.000;28830;0;0;
1863.962;94.164;0.000;31754.000;28880;0;0;
1860.938;34.090;0.000;31755.000;28930;0;0;
1863.068;56.996;0.000;31756.000;28979;0;0;
1873.800;27.302;0.000;31757.000;29029;0;0;
1861.677;33.138;0.000;31758.000;29078;0;0;
1856.960;44.249;0.000;31759.000;29128;0;0;
1866.827;34.725;0.000;31760.000;29177;0;0;
1859.303;57.753;0.000;31761.000;29227;0;0;
1856.506;51.673;0.000;31762.000;29277;0;0;
1862.553;49.328;0.000;31763.000;29327;0;0;
1860.575;56.020;0.000;31764.000;29376;0;0;
1858.551;62.344;0.000;31765.000;29426;0;0;
1864.237;53.602;0.000;31766.000;29476;0;0;
