Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
2833.226;100.000;128.000;20479.000;957047;0;0;
2834.540;100.000;128.000;20480.000;957040;0;0;
2836.140;100.000;128.000;20481.000;957032;0;0;
2836.989;100.000;128.000;20482.000;957025;0;0;
2836.365;100.000;128.000;20483.000;957017;0;0;
2837.580;100.000;128.000;20484.000;957010;0;0;
2838.518;100.000;128.000;20485.000;957003;0;0;
2838.927;100.000;128.000;20486.000;956995;0;0;
2838.580;100.000;128.000;20487.000;956988;0;0;
2836.916;100.000;128.000;20488.000;956981;0;0;
2836.838;100.000;128.000;20489.000;956973;0;0;
2838.092;100.000;128.000;20490.000;956966;0;0;
2838.662;100.000;128.000;20491.000;956959;0;0;
2837.791;100.000;128.000;20492.000;956952;0;0;
2838.263;100.000;128.000;20493.000;956944;0;0;
2839.545;100.000;128.000;20494.000;956937;0;0;
2838.994;100.000;128.000;20495.000;956930;0;0;
2840.010;100.000;128.000;20496.000;956923;0;0;
2841.530;100.000;128.000;20497.000;956916;0;0;
2841.486;100.000;128.000;20498.000;956909;0;0;
2838.441;100.000;128.000;20499.000;956902;0;0;
2838.107;100.000;128.000;20500.000;956895;0;0;
2839.988;100.000;128.000;20501.000;956888;0;0;
2839.143;100.000;128.000;20502.000;956881;0;0;
2840.418;100.000;128.000;20503.000;956874;0;0;
2840.334;100.000;128.000;20504.000;956867;0;0;
2840.584;100.000;128.000;20505.000;956860;0;0;
2840.652;100.000;128.000;20506.000;956853;0;0;
2840.168;100.000;128.000;20507.000;956846;0;0;
2838.527;100.000;128.000;20508.000;956839;0;0;
2839.021;100.000;128.000;20509.000;956832;0;0;
2839.634;100.000;128.000;20510.000;956826;0;0;
2841.553;100.000;128.000;20511.000;956819;0;0;
2843.322;100.000;128.000;20512.000;956812;0;0;
2842.941;100.000;128.000;20513.000;956806;0;0;
2839.768;100.000;128.000;20514.000;956799;0;0;
2838.686;100.000;128.000;20515.000;956792;0;0;
2838.133;100.000;128.000;20516.000;956786;0;0;
2838.437;100.000;128.000;20517.000;956779;0;0;
2837.688;100.000;128.000;20518.000;956772;0;0;
2838.285;100.000;128.000;20519.000;956766;0;0;
2837.850;100.000;128.000;20520.000;956759;0;0;
2837.969;100.000;128.000;20521.000;956753;0;0;
2840.346;100.000;128.000;20522.000;956746;0;0;
2841.377;100.000;128.000;20523.000;956740;0;0;
2842.297;100.000;128.000;20524.000;956733;0;0;
2843.201;100.000;128.000;20525.000;956727;0;0;
2844.714;100.000;128.000;20526.000;956721;0;0;
2844.246;100.000;128.000;20527.000;956714;0;0;
2845.252;100.000;128.000;20528.000;956708;0;0;
