Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
2576.869;100.000;128.000;19115.000;947533;0;0;
2564.208;100.000;128.000;19116.000;947554;0;0;
2566.972;100.000;128.000;19117.000;947575;0;0;
2579.018;100.000;128.000;19118.000;947596;0;0;
2534.344;100.000;128.000;19119.000;947618;0;0;
2547.384;100.000;128.000;19120.000;947639;0;0;
2532.703;100.000;128.000;19121.000;947660;0;0;
2523.620;100.000;128.000;19122.000;947681;0;0;
2524.176;100.000;128.000;19123.000;947702;0;0;
2515.539;100.000;128.000;19124.000;947723;0;0;
2508.587;100.000;128.000;19125.000;947744;0;0;
2512.753;100.000;128.000;19126.000;947764;0;0;
2537.469;100.000;128.000;19127.000;947785;0;0;
2552.153;100.000;128.000;19128.000;947806;0;0;
2565.641;100.000;128.000;19129.000;947827;0;0;
2543.837;100.000;128.000;19130.000;947848;0;0;
2542.302;100.000;128.000;19131.000;947868;0;0;
2529.486;100.000;128.000;19132.000;947889;0;0;
2518.402;100.000;128.000;19133.000;947910;0;0;
2527.458;100.000;128.000;19134.000;947931;0;0;
2526.373;100.000;128.000;19135.000;947951;0;0;
2543.550;100.000;128.000;19136.000;947972;0;0;
2543.313;100.000;128.000;19137.000;947993;0;0;
2540.834;100.000;128.000;19138.000;948013;0;0;
2533.903;100.000;128.000;19139.000;948034;0;0;
2525.046;100.000;128.000;19140.000;948054;0;0;
2528.353;100.000;128.000;19141.000;948075;0;0;
2538.161;100.000;128.000;19142.000;948096;0;0;
2534.593;100.000;128.000;19143.000;948116;0;0;
2541.687;100.000;128.000;19144.000;948137;0;0;
2554.715;100.000;128.000;19145.000;948157;0;0;
2550.965;100.000;128.000;19146.000;948178;0;0;
2545.004;100.000;128.000;19147.000;948198;0;0;
2557.468;100.000;128.000;19148.000;948218;0;0;
2562.978;100.000;128.000;19149.000;948239;0;0;
2566.865;100.000;128.000;19150.000;948259;0;0;
2585.693;100.000;128.000;19151.000;948279;0;0;
2575.601;100.000;128.000;19152.000;948300;0;0;
2551.410;100.000;128.000;19153.000;948320;0;0;
2561.695;100.000;128.000;19154.000;948340;0;0;
2567.798;100.000;128.000;19155.000;948361;0;0;
2569.100;100.000;128.000;19156.000;948381;0;0;
2564.871;100.000;128.000;19157.000;948401;0;0;
2639.059;100.000;128.000;19158.000;948421;0;0;
2596.567;100.000;128.000;19159.000;948441;0;0;
2583.333;100.000;128.000;19160.000;948461;0;0;
