Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
1837.395;36.581;0.000;30420.000;995423;0;0;
1845.264;33.309;0.000;30421.000;995439;0;0;
1844.672;29.719;0.000;30422.000;995455;0;0;
1843.198;46.911;0.000;30423.000;995471;0;0;
1841.692;40.147;0.000;30424.000;995487;0;0;
1840.389;39.756;0.000;30425.000;995503;0;0;
1843.880;39.194;0.000;30426.000;995519;0;0;
1846.819;48.449;0.000;30427.000;995535;0;0;
1835.770;39.829;0.000;30428.000;995551;0;0;
1838.827;41.880;0.000;30429.000;995567;0;0;
1840.145;48.376;0.000;30430.000;995582;0;0;
1846.493;38.755;0.000;30431.000;995598;0;0;
1839.637;32.625;0.000;30432.000;995614;0;0;
1843.446;41.856;0.000;30433.000;995630;0;0;
1837.584;39.683;0.000;30434.000;995645;0;0;
1842.396;42.882;0.000;30435.000;995661;0;0;
1842.333;36.435;0.000;30436.000;995676;0;0;
1835.929;29.304;0.000;30437.000;995692;0;0;
1847.122;37.924;0.000;30438.000;995707;0;0;
1847.813;48.571;0.000;30439.000;995723;0;0;
1840.978;36.752;0.000;30440.000;995738;0;0;
1845.013;31.111;0.000;30441.000;995753;0;0;
1842.714;32.991;0.000;30442.000;995768;0;0;
1840.066;49.426;0.000;30443.000;995784;0;0;
1835.130;48.425;0.000;30444.000;995799;0;0;
1837.874;38.339;0.000;30445.000;995814;0;0;
1848.161;41.758;0.000;30446.000;995829;0;0;
1852.191;47.253;0.000;30447.000;995844;0;0;
1841.543;53.284;0.000;30448.000;995858;0;0;
1839.119;56.142;0.000;30449.000;995873;0;0;
1836.987;49.719;0.000;30450.000;995888;0;0;
1837.253;41.514;0.000;30451.000;995903;0;0;
1838.730;36.361;0.000;30452.000;995917;0;0;
1835.065;30.305;0.000;30453.000;995932;0;0;
1841.935;40.611;0.000;30454.000;995946;0;0;
1849.373;43.272;0.000;30455.000;995961;0;0;
1848.772;49.719;0.000;30456.000;995975;0;0;
1838.679;43.223;0.000;30457.000;995990;0;0;
1850.181;37.827;0.000;30458.000;996004;0;0;
1838.683;37.705;0.000;30459.000;996018;0;0;
1840.757;41.734;0.000;30460.000;996032;0;0;
1845.413;45.006;0.000;30461.000;996046;0;0;
1838.731;52.088;0.000;30462.000;996060;0;0;
1838.092;53.187;0.000;30463.000;996074;0;0;
1842.967;47.009;0.000;30464.000;996088;0;0;
1842.204;48.767;0.000;30465.000;996102;0;0;
1844.294;49.158;0.000;30466.000;996115;0;0;
1845.355;42.393;0.000;30467.000;996129;0;0;
1840.061;49.402;0.000;30468.000;996143;0;0;
1844.638;48.156;0.000;30469.000;996156;0;0;
1841.929;59.658;0.000;30470.000;996170;0;0;
1845.659;58.950;0.000;30471.000;996183;0;0;
1848.884;38.999;0.000;30472.000;996196;0;0;
1850.313;46.691;0.000;30473.000;996210;0;0;
1851.422;70.061;0.000;30474.000;996223;0;0;
1842.212;80.464;0.000;30475.000;996236;0;0;
1844.167;98.999;0.000;30476.000;996249;0;0;
1842.616;81.026;0.000;30477.000;996262;0;0;
1841.348;84.347;0.000;30478.000;996275;0;0;
1845.296;60.049;0.000;30479.000;996288;0;0;
1852.325;50.281;0.000;30480.000;996300;0;0;
1849.441;66.447;0.000;30481.000;996313;0;0;
1842.427;79.243;0.000;30482.000;996326;0;0;
1848.071;74.945;0.000;30483.000;996338;0;0;
1847.785;82.735;0.000;30484.000;996351;0;0;
1844.401;55.995;0.000;30485.000;996363;0;0;
1847.366;34.237;0.000;30486.000;996375;0;0;
1833.080;26.642;0.000;30487.000;996388;0;0;
1834.830;32.283;0.000;30488.000;996400;0;0;
1837.703;36.679;0.000;30489.000;996412;0;0;
1838.619;38.926;0.000;30490.000;996424;0;0;
1835.980;38.535;0.000;30491.000;996436;0;0;
1831.396;41.856;0.000;30492.000;996448;0;0;
1840.806;47.155;0.000;30493.000;996460;0;0;
1837.965;44.640;0.000;30494.000;996472;0;0;
1837.425;43.541;0.000;30495.000;996483;0;0;
1833.446;39.560;0.000;30496.000;996495;0;0;
1839.532;34.847;0.000;30497.000;996506;0;0;
1838.666;36.825;0.000;30498.000;996518;0;0;
1834.290;41.685;0.000;30499.000;996529;0;0;
1842.380;41.636;0.000;30500.000;996541;0;0;
1843.750;37.485;0.000;30501.000;996552;0;0;
1842.364;38.266;0.000;30502.000;996563;0;0;
1847.991;41.978;0.000;30503.000;996574;0;0;
1836.591;48.230;0.000;30504.000;996585;0;0;
1836.360;48.596;0.000;30505.000;996596;0;0;
1839.271;51.819;0.000;30506.000;996607;0;0;
1828.022;55.385;0.000;30507.000;996618;0;0;
1843.676;57.265;0.000;30508.000;996628;0;0;
1841.662;47.839;0.000;30509.000;996639;0;0;
1834.782;45.788;0.000;30510.000;996650;0;0;
1838.108;49.866;0.000;30511.000;996660;0;0;
1842.384;54.579;0.000;30512.000;996671;0;0;
1846.468;48.327;0.000;30513.000;996681;0;0;
1844.823;40.220;0.000;30514.000;996691;0;0;
1834.417;43.199;0.000;30515.000;996701;0;0;
1842.300;49.377;0.000;30516.000;996711;0;0;
1847.021;45.934;0.000;30517.000;996721;0;0;
1845.267;40.391;0.000;30518.000;996731;0;0;
1840.591;41.758;0.000;30519.000;996741;0;0;
1838.704;40.440;0.000;30520.000;996751;0;0;
1840.562;38.168;0.000;30521.000;996760;0;0;
1839.388;35.897;0.000;30522.000;996770;0;0;
1841.700;36.801;0.000;30523.000;996780;0;0;
1840.827;39.902;0.000;30524.000;996789;0;0;
1835.996;50.037;0.000;30525.000;996798;0;0;
1840.028;78.999;0.000;30526.000;996808;0;0;
