Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
2843.279;100.000;128.000;19041.000;967679;0;0;
2841.544;100.000;128.000;19042.000;967628;0;0;
2838.360;100.000;128.000;19043.000;967576;0;0;
2842.689;100.000;128.000;19044.000;967525;0;0;
2843.882;100.000;128.000;19045.000;967474;0;0;
2841.892;100.000;128.000;19046.000;967423;0;0;
2843.600;100.000;128.000;19047.000;967371;0;0;
2843.588;100.000;128.000;19048.000;967319;0;0;
2841.700;100.000;128.000;19049.000;967268;0;0;
2843.068;100.000;128.000;19050.000;967216;0;0;
2841.606;100.000;128.000;19051.000;967164;0;0;
2839.307;100.000;128.000;19052.000;967111;0;0;
2842.994;100.000;128.000;19053.000;967059;0;0;
2838.393;100.000;128.000;19054.000;967007;0;0;
2837.199;100.000;128.000;19055.000;966954;0;0;
2842.763;100.000;128.000;19056.000;966901;0;0;
2844.947;100.000;128.000;19057.000;966848;0;0;
2843.936;100.000;128.000;19058.000;966796;0;0;
2840.963;100.000;128.000;19059.000;966743;0;0;
2839.154;100.000;128.000;19060.000;966689;0;0;
2843.129;100.000;128.000;19061.000;966636;0;0;
2839.795;100.000;128.000;19062.000;966583;0;0;
2838.982;100.000;128.000;19063.000;966529;0;0;
2838.878;100.000;128.000;19064.000;966476;0;0;
2835.522;100.000;128.000;19065.000;966422;0;0;
2839.073;100.000;128.000;19066.000;966369;0;0;
2844.323;100.000;128.000;19067.000;966315;0;0;
2840.751;100.000;128.000;19068.000;966262;0;0;
2837.368;100.000;128.000;19069.000;966209;0;0;
2835.510;100.000;128.000;19070.000;966155;0;0;
2838.508;100.000;128.000;19071.000;966101;0;0;
2842.058;100.000;128.000;19072.000;966048;0;0;
2840.266;100.000;128.000;19073.000;965994;0;0;
2837.772;100.000;128.000;19074.000;965940;0;0;
2839.715;100.000;128.000;19075.000;965886;0;0;
2838.428;100.000;128.000;19076.000;965832;0;0;
2838.062;100.000;128.000;19077.000;965778;0;0;
2836.582;100.000;128.000;19078.000;965724;0;0;
2837.359;100.000;128.000;19079.000;965669;0;0;
2839.303;100.000;128.000;19080.000;965615;0;0;
2838.992;100.000;128.000;19081.000;965560;0;0;
2842.115;100.000;128.000;19082.000;965506;0;0;
2842.557;100.000;128.000;19083.000;965451;0;0;
2843.425;100.000;128.000;19084.000;965397;0;0;
2844.542;100.000;128.000;19085.000;965342;0;0;
2843.156;100.000;128.000;19086.000;965287;0;0;
2847.058;100.000;128.000;19087.000;965233;0;0;
2846.536;100.000;128.000;19088.000;965178;0;0;
2841.741;100.000;128.000;19089.000;965123;0;0;
2844.404;100.000;128.000;19090.000;965068;0;0;
2840.271;100.000;128.000;19091.000;965014;0;0;
2840.197;100.000;128.000;19092.000;964959;0;0;
2841.830;100.000;128.000;19093.000;964904;0;0;
2841.305;100.000;128.000;19094.000;964850;0;0;
2840.591;100.000;128.000;19095.000;964795;0;0;
2840.289;100.000;128.000;19096.000;964741;0;0;
2839.531;100.000;128.000;19097.000;964686;0;0;
2841.945;100.000;128.000;19098.000;964631;0;0;
2840.172;100.000;128.000;19099.000;964577;0;0;
2837.236;100.000;128.000;19100.000;964522;0;0;
2836.334;100.000;128.000;19101.000;964468;0;0;
2839.358;100.000;128.000;19102.000;964413;0;0;
2836.825;100.000;128.000;19103.000;964359;0;0;
2836.637;100.000;128.000;19104.000;964304;0;0;
2834.705;100.000;128.000;19105.000;964250;0;0;
2837.930;100.000;128.000;19106.000;964195;0;0;
2836.240;100.000;128.000;19107.000;964141;0;0;
2837.380;100.000;128.000;19108.000;964087;0;0;
2837.184;100.000;128.000;19109.000;964033;0;0;
2835.101;100.000;128.000;19110.000;963978;0;0;
2840.138;100.000;128.000;19111.000;963924;0;0;
2842.741;100.000;128.000;19112.000;963870;0;0;
2838.451;100.000;128.000;19113.000;963816;0;0;
2838.089;100.000;128.000;19114.000;963762;0;0;
2834.700;100.000;128.000;19115.000;963708;0;0;
2838.656;100.000;128.000;19116.000;963654;0;0;
2838.701;100.000;128.000;19117.000;963600;0;0;
2839.910;100.000;128.000;19118.000;963546;0;0;
2840.088;100.000;128.000;19119.000;963492;0;0;
2841.931;100.000;128.000;19120.000;963439;0;0;
2839.954;100.000;128.000;19121.000;963385;0;0;
2841.105;100.000;128.000;19122.000;963331;0;0;
2838.682;100.000;128.000;19123.000;963278;0;0;
2838.739;100.000;128.000;19124.000;963224;0;0;
2836.954;100.000;128.000;19125.000;963171;0;0;
2838.305;100.000;128.000;19126.000;963118;0;0;
2838.291;100.000;128.000;19127.000;963065;0;0;
2838.004;100.000;128.000;19128.000;963012;0;0;
2837.632;100.000;128.000;19129.000;962959;0;0;
2836.295;100.000;128.000;19130.000;962906;0;0;
2836.214;100.000;128.000;19131.000;962853;0;0;
2842.715;100.000;128.000;19132.000;962801;0;0;
2840.889;100.000;128.000;19133.000;962748;0;0;
2836.119;100.000;128.000;19134.000;962696;0;0;
2844.672;100.000;128.000;19135.000;962644;0;0;
2837.910;100.000;128.000;19136.000;962592;0;0;
2836.127;100.000;128.000;19137.000;962540;0;0;
2829.940;100.000;128.000;19138.000;962488;0;0;
2833.061;100.000;128.000;19139.000;962436;0;0;
2829.797;100.000;128.000;19140.000;962385;0;0;
2828.189;100.000;128.000;19141.000;962333;0;0;
2830.727;100.000;128.000;19142.000;962282;0;0;
2829.737;100.000;128.000;19143.000;962231;0;0;
2829.853;100.000;128.000;19144.000;962180;0;0;
2831.984;100.000;128.000;19145.000;962129;0;0;
2839.153;100.000;128.000;19146.000;962078;0;0;
2839.608;100.000;128.000;19147.000;962028;0;0;
2838.793;100.000;128.000;19148.000;961977;0;0;
2834.241;100.000;128.000;19149.000;961927;0;0;
2835.319;100.000;128.000;19150.000;961877;0;0;
2834.066;100.000;128.000;19151.000;961827;0;0;
2833.931;100.000;128.000;19152.000;961777;0;0;
2842.960;100.000;128.000;19153.000;961728;0;0;
2836.583;100.000;128.000;19154.000;961678;0;0;
2836.871;100.000;128.000;19155.000;961629;0;0;
2837.824;100.000;128.000;19156.000;961580;0;0;
2840.119;100.000;128.000;19157.000;961531;0;0;
2836.686;100.000;128.000;19158.000;961483;0;0;
2838.793;100.000;128.000;19159.000;961434;0;0;
2838.017;100.000;128.000;19160.000;961386;0;0;
2837.848;100.000;128.000;19161.000;961338;0;0;
2839.096;100.000;128.000;19162.000;961290;0;0;
2838.604;100.000;128.000;19163.000;961243;0;0;
2838.823;100.000;128.000;19164.000;961196;0;0;
2836.583;100.000;128.000;19165.000;961149;0;0;
2833.694;100.000;128.000;19166.000;961102;0;0;
2837.303;100.000;128.000;19167.000;961055;0;0;
2844.251;100.000;128.000;19168.000;961009;0;0;
2839.501;100.000;128.000;19169.000;960963;0;0;
2837.041;100.000;128.000;19170.000;960917;0;0;
2836.744;100.000;128.000;19171.000;960871;0;0;
2842.029;100.000;128.000;19172.000;960826;0;0;
2842.877;100.000;128.000;19173.000;960781;0;0;
2842.666;100.000;128.000;19174.000;960736;0;0;
2843.530;100.000;128.000;19175.000;960691;0;0;
2845.936;100.000;128.000;19176.000;960647;0;0;
2847.448;100.000;128.000;19177.000;960603;0;0;
2845.896;100.000;128.000;19178.000;960559;0;0;
2842.188;100.000;128.000;19179.000;960516;0;0;
2840.287;100.000;128.000;19180.000;960472;0;0;
2837.260;100.000;128.000;19181.000;960429;0;0;
2836.909;100.000;128.000;19182.000;960386;0;0;
2838.217;100.000;128.000;19183.000;960344;0;0;
2839.384;100.000;128.000;19184.000;960302;0;0;
2839.814;100.000;128.000;19185.000;960260;0;0;
2838.451;100.000;128.000;19186.000;960218;0;0;
2839.850;100.000;128.000;19187.000;960177;0;0;
2837.261;100.000;128.000;19188.000;960136;0;0;
2838.379;100.000;128.000;19189.000;960095;0;0;
2839.732;100.000;128.000;19190.000;960055;0;0;
2837.620;100.000;128.000;19191.000;960014;0;0;
2837.344;100.000;128.000;19192.000;959975;0;0;
2838.739;100.000;128.000;19193.000;959935;0;0;
2840.471;100.000;128.000;19194.000;959896;0;0;
2839.081;100.000;128.000;19195.000;959857;0;0;
2838.145;100.000;128.000;19196.000;959819;0;0;
2842.654;100.000;128.000;19197.000;959781;0;0;
2837.613;100.000;128.000;19198.000;959743;0;0;
2839.674;100.000;128.000;19199.000;959705;0;0;
2839.519;100.000;128.000;19200.000;959668;0;0;
2840.533;100.000;128.000;19201.000;959631;0;0;
2838.400;100.000;128.000;19202.000;959594;0;0;
2836.047;100.000;128.000;19203.000;959558;0;0;
2834.595;100.000;128.000;19204.000;959522;0;0;
2833.832;100.000;128.000;19205.000;959486;0;0;
2837.390;100.000;128.000;19206.000;959451;0;0;
2839.978;100.000;128.000;19207.000;959416;0;0;
2837.907;100.000;128.000;19208.000;959381;0;0;
2834.160;100.000;128.000;19209.000;959347;0;0;
2833.359;100.000;128.000;19210.000;959313;0;0;
2835.811;100.000;128.000;19211.000;959280;0;0;
2839.666;100.000;128.000;19212.000;959246;0;0;
2833.597;100.000;128.000;19213.000;959214;0;0;
2834.361;100.000;128.000;19214.000;959181;0;0;
2835.016;100.000;128.000;19215.000;959149;0;0;
2835.658;100.000;128.000;19216.000;959118;0;0;
2835.398;100.000;128.000;19217.000;959086;0;0;
2833.694;100.000;128.000;19218.000;959055;0;0;
2834.491;100.000;128.000;19219.000;959025;0;0;
2832.731;100.000;128.000;19220.000;958995;0;0;
2836.672;100.000;128.000;19221.000;958965;0;0;
2834.152;100.000;128.000;19222.000;958936;0;0;
2834.314;100.000;128.000;19223.000;958907;0;0;
2833.158;100.000;128.000;19224.000;958878;0;0;
2832.916;100.000;128.000;19225.000;958850;0;0;
2833.139;100.000;128.000;19226.000;958822;0;0;
