Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
2666.585;100.000;128.000;3805.000;956347;0;0;
2666.509;100.000;128.000;3806.000;956349;0;0;
2666.640;100.000;128.000;3807.000;956351;0;0;
2667.482;100.000;128.000;3808.000;956352;0;0;
2668.521;100.000;128.000;3809.000;956354;0;0;
2669.862;100.000;128.000;3810.000;956356;0;0;
2670.398;100.000;128.000;3811.000;956358;0;0;
2671.932;100.000;128.000;3812.000;956359;0;0;
2673.267;100.000;128.000;3813.000;956361;0;0;
2675.005;100.000;128.000;3814.000;956362;0;0;
2675.982;100.000;128.000;3815.000;956363;0;0;
2678.232;100.000;128.000;3816.000;956365;0;0;
2678.850;100.000;128.000;3817.000;956366;0;0;
2680.173;100.000;128.000;3818.000;956367;0;0;
2682.154;100.000;128.000;3819.000;956368;0;0;
2682.574;100.000;128.000;3820.000;956369;0;0;
2684.204;100.000;128.000;3821.000;956370;0;0;
2684.692;100.000;128.000;3822.000;956371;0;0;
2688.008;100.000;128.000;3823.000;956371;0;0;
2687.113;100.000;128.000;3824.000;956372;0;0;
2687.256;100.000;128.000;3825.000;956372;0;0;
2689.329;100.000;128.000;3826.000;956373;0;0;
2689.443;100.000;128.000;3827.000;956373;0;0;
2690.043;100.000;128.000;3828.000;956373;0;0;
2690.435;100.000;128.000;3829.000;956374;0;0;
2690.745;100.000;128.000;3830.000;956374;0;0;
2692.229;100.000;128.000;3831.000;956374;0;0;
2692.940;100.000;128.000;3832.000;956374;0;0;
2693.744;100.000;128.000;3833.000;956374;0;0;
2693.859;100.000;128.000;3834.000;956374;0;0;
2694.042;100.000;128.000;3835.000;956373;0;0;
2696.049;100.000;128.000;3836.000;956373;0;0;
2695.763;100.000;128.000;3837.000;956373;0;0;
2696.892;100.000;128.000;3838.000;956372;0;0;
2698.921;100.000;128.000;3839.000;956371;0;0;
2697.878;100.000;128.000;3840.000;956371;0;0;
2699.236;100.000;128.000;3841.000;956370;0;0;
2700.080;100.000;128.000;3842.000;956369;0;0;
2700.195;100.000;128.000;3843.000;956368;0;0;
2700.232;100.000;128.000;3844.000;956367;0;0;
2700.899;100.000;128.000;3845.000;956366;0;0;
2701.021;100.000;128.000;3846.000;956365;0;0;
2700.220;100.000;128.000;3847.000;956363;0;0;
2701.588;100.000;128.000;3848.000;956362;0;0;
2700.995;100.000;128.000;3849.000;956360;0;0;
2701.295;100.000;128.000;3850.000;956359;0;0;
2702.117;100.000;128.000;3851.000;956357;0;0;
2703.633;100.000;128.000;3852.000;956355;0;0;
2704.594;100.000;128.000;3853.000;956353;0;0;
2704.705;100.000;128.000;3854.000;956351;0;0;
2706.860;100.000;128.000;3855.000;956349;0;0;
2708.885;100.000;128.000;3856.000;956347;0;0;
2709.322;100.000;128.000;3857.000;956345;0;0;
2710.565;100.000;128.000;3858.000;956343;0;0;
2711.909;100.000;128.000;3859.000;956340;0;0;
2714.664;100.000;128.000;3860.000;956338;0;0;
2715.515;100.000;128.000;3861.000;956335;0;0;
2719.488;100.000;128.000;3862.000;956332;0;0;
2718.851;100.000;128.000;3863.000;956330;0;0;
2720.683;100.000;128.000;3864.000;956327;0;0;
2721.291;100.000;128.000;3865.000;956324;0;0;
2722.435;100.000;128.000;3866.000;956321;0;0;
2724.575;100.000;128.000;3867.000;956317;0;0;
2724.439;100.000;128.000;3868.000;956314;0;0;
2724.209;100.000;128.000;3869.000;956311;0;0;
2724.033;100.000;128.000;3870.000;956307;0;0;
2724.284;100.000;128.000;3871.000;956304;0;0;
2725.744;100.000;128.000;3872.000;956300;0;0;
2729.260;100.000;128.000;3873.000;956296;0;0;
2731.606;100.000;128.000;3874.000;956292;0;0;
2731.699;100.000;128.000;3875.000;956288;0;0;
2731.425;100.000;128.000;3876.000;956284;0;0;
2731.952;100.000;128.000;3877.000;956280;0;0;
2735.195;100.000;128.000;3878.000;956276;0;0;
2737.046;100.000;128.000;3879.000;956271;0;0;
2737.884;100.000;128.000;3880.000;956267;0;0;
2738.801;100.000;128.000;3881.000;956263;0;0;
2739.168;100.000;128.000;3882.000;956258;0;0;
2737.935;100.000;128.000;3883.000;956253;0;0;
2735.677;100.000;128.000;3884.000;956248;0;0;
2734.661;100.000;128.000;3885.000;956243;0;0;
2733.898;100.000;128.000;3886.000;956238;0;0;
2736.147;100.000;128.000;3887.000;956233;0;0;
2738.354;100.000;128.000;3888.000;956228;0;0;
2740.837;100.000;128.000;3889.000;956223;0;0;
