Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
2621.665;100.000;128.000;3083.000;946914;0;0;
2629.746;100.000;128.000;3084.000;946821;0;0;
2634.638;100.000;128.000;3085.000;946729;0;0;
2655.355;100.000;128.000;3086.000;946637;0;0;
2640.010;100.000;128.000;3087.000;946546;0;0;
2674.624;100.000;128.000;3088.000;946455;0;0;
2640.033;100.000;128.000;3089.000;946365;0;0;
2697.423;100.000;128.000;3090.000;946275;0;0;
2672.269;100.000;128.000;3091.000;946185;0;0;
2674.010;100.000;128.000;3092.000;946096;0;0;
2662.611;100.000;128.000;3093.000;946007;0;0;
2670.315;100.000;128.000;3094.000;945919;0;0;
2845.807;100.000;128.000;3095.000;945832;0;0;
0.000;0.000;0.000;3096.000;945744;0;0;
1833.989;7.277;0.000;3097.000;945658;0;0;
1839.771;18.046;0.000;3098.000;945571;0;0;
1844.360;21.538;0.000;3099.000;945486;0;0;
1841.118;18.803;0.000;3100.000;945400;0;0;
1842.653;19.023;0.000;3101.000;945315;0;0;
1843.039;23.712;0.000;3102.000;945231;0;0;
1839.367;26.886;0.000;3103.000;945147;0;0;
1841.344;28.327;0.000;3104.000;945063;0;0;
1842.321;27.326;0.000;3105.000;944979;0;0;
1832.350;21.636;0.000;3106.000;944897;0;0;
1841.097;21.783;0.000;3107.000;944814;0;0;
1840.601;12.576;0.000;3108.000;944733;0;0;
1832.832;22.076;0.000;3109.000;944651;0;0;
1830.746;21.148;0.000;3110.000;944571;0;0;
1842.965;22.613;0.000;3111.000;944490;0;0;
1837.570;31.087;0.000;3112.000;944410;0;0;
1839.016;31.502;0.000;3113.000;944331;0;0;
1839.033;24.493;0.000;3114.000;944251;0;0;
1839.497;21.050;0.000;3115.000;944173;0;0;
1837.567;18.730;0.000;3116.000;944095;0;0;
1842.694;25.763;0.000;3117.000;944018;0;0;
1843.042;20.586;0.000;3118.000;943940;0;0;
1843.012;17.094;0.000;3119.000;943864;0;0;
1844.897;19.609;0.000;3120.000;943788;0;0;
1841.195;17.070;0.000;3121.000;943713;0;0;
1839.803;18.486;0.000;3122.000;943637;0;0;
1836.648;19.683;0.000;3123.000;943563;0;0;
1841.701;25.372;0.000;3124.000;943489;0;0;
1842.183;19.170;0.000;3125.000;943415;0;0;
1844.896;24.469;0.000;3126.000;943343;0;0;
1843.494;21.001;0.000;3127.000;943271;0;0;
1841.264;20.513;0.000;3128.000;943199;0;0;
1841.843;20.147;0.000;3129.000;943128;0;0;
1843.763;15.018;0.000;3130.000;943057;0;0;
1841.332;14.017;0.000;3131.000;942987;0;0;
1843.138;32.698;0.000;3132.000;942917;0;0;
1842.300;17.607;0.000;3133.000;942849;0;0;
1845.151;22.613;0.000;3134.000;942780;0;0;
1839.725;20.586;0.000;3135.000;942713;0;0;
1841.819;23.834;0.000;3136.000;942645;0;0;
1844.204;17.485;0.000;3137.000;942579;0;0;
1843.283;16.484;0.000;3138.000;942513;0;0;
1840.410;25.055;0.000;3139.000;942447;0;0;
1843.791;20.904;0.000;3140.000;942382;0;0;
1840.918;22.613;0.000;3141.000;942318;0;0;
1839.126;25.470;0.000;3142.000;942254;0;0;
1836.634;29.109;0.000;3143.000;942191;0;0;
1836.639;26.129;0.000;3144.000;942129;0;0;
1838.418;29.621;0.000;3145.000;942067;0;0;
1840.980;24.225;0.000;3146.000;942006;0;0;
1838.001;31.917;0.000;3147.000;941946;0;0;
1840.284;24.200;0.000;3148.000;941886;0;0;
1840.797;28.547;0.000;3149.000;941827;0;0;
1842.030;22.247;0.000;3150.000;941768;0;0;
1837.484;23.248;0.000;3151.000;941710;0;0;
