Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
2848.660;100.000;128.000;20727.000;965747;0;0;
2848.443;100.000;128.000;20728.000;965747;0;0;
2847.037;100.000;128.000;20729.000;965747;0;0;
2846.229;100.000;128.000;20730.000;965747;0;0;
2845.649;100.000;128.000;20731.000;965747;0;0;
2845.420;100.000;128.000;20732.000;965747;0;0;
2845.018;100.000;128.000;20733.000;965747;0;0;
2845.204;100.000;128.000;20734.000;965747;0;0;
2846.645;100.000;128.000;20735.000;965747;0;0;
2846.195;100.000;128.000;20736.000;965747;0;0;
2846.087;100.000;128.000;20737.000;965747;0;0;
2847.256;100.000;128.000;20738.000;965747;0;0;
2849.825;100.000;128.000;20739.000;965747;0;0;
2851.159;100.000;128.000;20740.000;965747;0;0;
2852.255;100.000;128.000;20741.000;965747;0;0;
2852.608;100.000;128.000;20742.000;965747;0;0;
2853.829;100.000;128.000;20743.000;965747;0;0;
2853.984;100.000;128.000;20744.000;965747;0;0;
2853.073;100.000;128.000;20745.000;965747;0;0;
2850.453;100.000;128.000;20746.000;965747;0;0;
2849.721;100.000;128.000;20747.000;965747;0;0;
2849.191;100.000;128.000;20748.000;965747;0;0;
2847.025;100.000;128.000;20749.000;965747;0;0;
2845.909;100.000;128.000;20750.000;965747;0;0;
2847.064;100.000;128.000;20751.000;965747;0;0;
2847.689;100.000;128.000;20752.000;965747;0;0;
2847.636;100.000;128.000;20753.000;965747;0;0;
2847.128;100.000;128.000;20754.000;965747;0;0;
2847.588;100.000;128.000;20755.000;965747;0;0;
2851.129;100.000;128.000;20756.000;965747;0;0;
2854.190;100.000;128.000;20757.000;965747;0;0;
2853.741;100.000;128.000;20758.000;965747;0;0;
2850.967;100.000;128.000;20759.000;965747;0;0;
2848.074;100.000;128.000;20760.000;965747;0;0;
2845.626;100.000;128.000;20761.000;965747;0;0;
2845.549;100.000;128.000;20762.000;965747;0;0;
2845.562;100.000;128.000;20763.000;965747;0;0;
2846.645;100.000;128.000;20764.000;965747;0;0;
2846.999;100.000;128.000;20765.000;965747;0;0;
2846.666;100.000;128.000;20766.000;965747;0;0;
2845.476;100.000;128.000;20767.000;965747;0;0;
2842.609;100.000;128.000;20768.000;965747;0;0;
2842.287;100.000;128.000;20769.000;965747;0;0;
2842.635;100.000;128.000;20770.000;965747;0;0;
2841.145;100.000;128.000;20771.000;965747;0;0;
2840.936;100.000;128.000;20772.000;965747;0;0;
2841.779;100.000;128.000;20773.000;965747;0;0;
2841.988;100.000;128.000;20774.000;965747;0;0;
2842.604;100.000;128.000;20775.000;965747;0;0;
2842.024;100.000;128.000;20776.000;965747;0;0;
2841.805;100.000;128.000;20777.000;965747;0;0;
2841.455;100.000;128.000;20778.000;965747;0;0;
2840.107;100.000;128.000;20779.000;965747;0;0;
2839.979;100.000;128.000;20780.000;965747;0;0;
2840.360;100.000;128.000;20781.000;965747;0;0;
2841.771;100.000;128.000;20782.000;965747;0;0;
2841.510;100.000;128.000;20783.000;965747;0;0;
2841.490;100.000;128.000;20784.000;965747;0;0;
2841.230;100.000;128.000;20785.000;965747;0;0;
2843.067;100.000;128.000;20786.000;965747;0;0;
2844.246;100.000;128.000;20787.000;965747;0;0;
2842.941;100.000;128.000;20788.000;965747;0;0;
2843.438;100.000;128.000;20789.000;965747;0;0;
2843.240;100.000;128.000;20790.000;965747;0;0;
2843.332;100.000;128.000;20791.000;965747;0;0;
2843.209;100.000;128.000;20792.000;965747;0;0;
2843.148;100.000;128.000;20793.000;965747;0;0;
2844.160;100.000;128.000;20794.000;965747;0;0;
2847.727;100.000;128.000;20795.000;965747;0;0;
2850.849;100.000;128.000;20796.000;965747;0;0;
2852.597;100.000;128.000;20797.000;965747;0;0;
2852.191;100.000;128.000;20798.000;965747;0;0;
2849.687;100.000;128.000;20799.000;965747;0;0;
2847.871;100.000;128.000;20800.000;965747;0;0;
2849.151;100.000;128.000;20801.000;965747;0;0;
2849.951;100.000;128.000;20802.000;965747;0;0;
2850.387;100.000;128.000;20803.000;965747;0;0;
2850.719;100.000;128.000;20804.000;965747;0;0;
2851.683;100.000;128.000;20805.000;965747;0;0;
2850.684;100.000;128.000;20806.000;965747;0;0;
2848.707;100.000;128.000;20807.000;965747;0;0;
2848.144;100.000;128.000;20808.000;965747;0;0;
2847.534;100.000;128.000;20809.000;965747;0;0;
2848.205;100.000;128.000;20810.000;965747;0;0;
2849.360;100.000;128.000;20811.000;965747;0;0;
2849.593;100.000;128.000;20812.000;965747;0;0;
2851.031;100.000;128.000;20813.000;965747;0;0;
2854.800;100.000;128.000;20814.000;965747;0;0;
2855.094;100.000;128.000;20815.000;965747;0;0;
2852.677;100.000;128.000;20816.000;965747;0;0;
2852.474;100.000;128.000;20817.000;965747;0;0;
2855.760;100.000;128.000;20818.000;965747;0;0;
2856.842;100.000;128.000;20819.000;965747;0;0;
2855.997;100.000;128.000;20820.000;965747;0;0;
2857.760;100.000;128.000;20821.000;965747;0;0;
2857.708;100.000;128.000;20822.000;965747;0;0;
2857.447;100.000;128.000;20823.000;965747;0;0;
2857.270;100.000;128.000;20824.000;965747;0;0;
2856.109;100.000;128.000;20825.000;965747;0;0;
2853.851;100.000;128.000;20826.000;965747;0;0;
2851.979;100.000;128.000;20827.000;965747;0;0;
2851.266;100.000;128.000;20828.000;965747;0;0;
2851.827;100.000;128.000;20829.000;965747;0;0;
2850.870;100.000;128.000;20830.000;965747;0;0;
2847.145;100.000;128.000;20831.000;965747;0;0;
2848.732;100.000;128.000;20832.000;965747;0;0;
2852.818;100.000;128.000;20833.000;965747;0;0;
2855.966;100.000;128.000;20834.000;965747;0;0;
2858.898;100.000;128.000;20835.000;965747;0;0;
2862.255;100.000;128.000;20836.000;965747;0;0;
2863.813;100.000;128.000;20837.000;965747;0;0;
2858.654;100.000;128.000;20838.000;965747;0;0;
2857.676;100.000;128.000;20839.000;965747;0;0;
2860.162;100.000;128.000;20840.000;965747;0;0;
2860.906;100.000;128.000;20841.000;965747;0;0;
2859.080;100.000;128.000;20842.000;965747;0;0;
2858.457;100.000;128.000;20843.000;965747;0;0;
2858.360;100.000;128.000;20844.000;965747;0;0;
2857.994;100.000;128.000;20845.000;965747;0;0;
2853.281;100.000;128.000;20846.000;965747;0;0;
2848.080;100.000;128.000;20847.000;965747;0;0;
2846.467;100.000;128.000;20848.000;965747;0;0;
2843.754;100.000;128.000;20849.000;965747;0;0;
2841.741;100.000;128.000;20850.000;965747;0;0;
2840.344;100.000;128.000;20851.000;965747;0;0;
2840.240;100.000;128.000;20852.000;965747;0;0;
2839.536;100.000;128.000;20853.000;965747;0;0;
2840.983;100.000;128.000;20854.000;965747;0;0;
2842.647;100.000;128.000;20855.000;965747;0;0;
2845.477;100.000;128.000;20856.000;965747;0;0;
2846.665;100.000;128.000;20857.000;965747;0;0;
2846.574;100.000;128.000;20858.000;965747;0;0;
2846.547;100.000;128.000;20859.000;965747;0;0;
2847.003;100.000;128.000;20860.000;965747;0;0;
2848.563;100.000;128.000;20861.000;965747;0;0;
2848.791;100.000;128.000;20862.000;965747;0;0;
2848.699;100.000;128.000;20863.000;965747;0;0;
