Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
2861.285;100.000;128.000;1028.000;956331;0;0;
2861.301;100.000;128.000;1029.000;956331;0;0;
2862.620;100.000;128.000;1030.000;956331;0;0;
2862.950;100.000;128.000;1031.000;956331;0;0;
2864.196;100.000;128.000;1032.000;956331;0;0;
2865.142;100.000;128.000;1033.000;956331;0;0;
2865.409;100.000;128.000;1034.000;956331;0;0;
2864.135;100.000;128.000;1035.000;956331;0;0;
2861.171;100.000;128.000;1036.000;956331;0;0;
2860.136;100.000;128.000;1037.000;956331;0;0;
2860.098;100.000;128.000;1038.000;956331;0;0;
2858.240;100.000;128.000;1039.000;956331;0;0;
2856.938;100.000;128.000;1040.000;956331;0;0;
2855.463;100.000;128.000;1041.000;956331;0;0;
2854.658;100.000;128.000;1042.000;956331;0;0;
2854.159;100.000;128.000;1043.000;956331;0;0;
2854.244;100.000;128.000;1044.000;956331;0;0;
2858.262;100.000;128.000;1045.000;956331;0;0;
2855.358;100.000;128.000;1046.000;956331;0;0;
2852.228;100.000;128.000;1047.000;956331;0;0;
2850.739;100.000;128.000;1048.000;956331;0;0;
2850.150;100.000;128.000;1049.000;956331;0;0;
2848.530;100.000;128.000;1050.000;956331;0;0;
2848.897;100.000;128.000;1051.000;956331;0;0;
2851.661;100.000;128.000;1052.000;956331;0;0;
2852.427;100.000;128.000;1053.000;956331;0;0;
2855.103;100.000;128.000;1054.000;956331;0;0;
2855.230;100.000;128.000;1055.000;956331;0;0;
2855.131;100.000;128.000;1056.000;956331;0;0;
2858.223;100.000;128.000;1057.000;956331;0;0;
2861.056;100.000;128.000;1058.000;956331;0;0;
2862.278;100.000;128.000;1059.000;956331;0;0;
2863.460;100.000;128.000;1060.000;956331;0;0;
2863.084;100.000;128.000;1061.000;956331;0;0;
2862.829;100.000;128.000;1062.000;956331;0;0;
2865.350;100.000;128.000;1063.000;956331;0;0;
2865.780;100.000;128.000;1064.000;956331;0;0;
2865.921;100.000;128.000;1065.000;956331;0;0;
2865.185;100.000;128.000;1066.000;956331;0;0;
2864.311;100.000;128.000;1067.000;956331;0;0;
2862.770;100.000;128.000;1068.000;956331;0;0;
2862.022;100.000;128.000;1069.000;956331;0;0;
2862.393;100.000;128.000;1070.000;956331;0;0;
2862.599;100.000;128.000;1071.000;956331;0;0;
2863.815;100.000;128.000;1072.000;956331;0;0;
2864.100;100.000;128.000;1073.000;956331;0;0;
2862.956;100.000;128.000;1074.000;956331;0;0;
2862.310;100.000;128.000;1075.000;956331;0;0;
2862.216;100.000;128.000;1076.000;956331;0;0;
2861.365;100.000;128.000;1077.000;956331;0;0;
2859.486;100.000;128.000;1078.000;956331;0;0;
2857.569;100.000;128.000;1079.000;956331;0;0;
2854.738;100.000;128.000;1080.000;956331;0;0;
2855.254;100.000;128.000;1081.000;956331;0;0;
2857.099;100.000;128.000;1082.000;956331;0;0;
2858.679;100.000;128.000;1083.000;956331;0;0;
2857.612;100.000;128.000;1084.000;956331;0;0;
2857.219;100.000;128.000;1085.000;956331;0;0;
2856.178;100.000;128.000;1086.000;956331;0;0;
2854.786;100.000;128.000;1087.000;956331;0;0;
2853.686;100.000;128.000;1088.000;956331;0;0;
2852.267;100.000;128.000;1089.000;956331;0;0;
2853.724;100.000;128.000;1090.000;956331;0;0;
2856.754;100.000;128.000;1091.000;956331;0;0;
2857.997;100.000;128.000;1092.000;956331;0;0;
2859.876;100.000;128.000;1093.000;956331;0;0;
2859.876;100.000;128.000;1094.000;956331;0;0;
2860.344;100.000;128.000;1095.000;956331;0;0;
2860.583;100.000;128.000;1096.000;956331;0;0;
2859.136;100.000;128.000;1097.000;956331;0;0;
2860.325;100.000;128.000;1098.000;956331;0;0;
2861.382;100.000;128.000;1099.000;956331;0;0;
2862.300;100.000;128.000;1100.000;956331;0;0;
2862.489;100.000;128.000;1101.000;956331;0;0;
2863.552;100.000;128.000;1102.000;956331;0;0;
2864.233;100.000;128.000;1103.000;956331;0;0;
2864.349;100.000;128.000;1104.000;956331;0;0;
2864.579;100.000;128.000;1105.000;956331;0;0;
2866.133;100.000;128.000;1106.000;956331;0;0;
2864.696;100.000;128.000;1107.000;956331;0;0;
2863.140;100.000;128.000;1108.000;956331;0;0;
2862.902;100.000;128.000;1109.000;956331;0;0;
2865.308;100.000;128.000;1110.000;956331;0;0;
2865.652;100.000;128.000;1111.000;956331;0;0;
2862.155;100.000;128.000;1112.000;956331;0;0;
2859.761;100.000;128.000;1113.000;956331;0;0;
2859.056;100.000;128.000;1114.000;956331;0;0;
2858.645;100.000;128.000;1115.000;956331;0;0;
2860.400;100.000;128.000;1116.000;956331;0;0;
2858.888;100.000;128.000;1117.000;956331;0;0;
2856.599;100.000;128.000;1118.000;956331;0;0;
2856.391;100.000;128.000;1119.000;956331;0;0;
2858.876;100.000;128.000;1120.000;956331;0;0;
2860.640;100.000;128.000;1121.000;956331;0;0;
2859.371;100.000;128.000;1122.000;956331;0;0;
2857.196;100.000;128.000;1123.000;956331;0;0;
2855.855;100.000;128.000;1124.000;956331;0;0;
2854.851;100.000;128.000;1125.000;956331;0;0;
2855.580;100.000;128.000;1126.000;956331;0;0;
2856.429;100.000;128.000;1127.000;956331;0;0;
2858.112;100.000;128.000;1128.000;956331;0;0;
2860.524;100.000;128.000;1129.000;956331;0;0;
2859.508;100.000;128.000;1130.000;956331;0;0;
2859.473;100.000;128.000;1131.000;956331;0;0;
2859.763;100.000;128.000;1132.000;956331;0;0;
2861.220;100.000;128.000;1133.000;956331;0;0;
2861.684;100.000;128.000;1134.000;956331;0;0;
2861.373;100.000;128.000;1135.000;956331;0;0;
2859.163;100.000;128.000;1136.000;956331;0;0;
2859.996;100.000;128.000;1137.000;956331;0;0;
2858.452;100.000;128.000;1138.000;956331;0;0;
2855.273;100.000;128.000;1139.000;956331;0;0;
2855.434;100.000;128.000;1140.000;956331;0;0;
2854.892;100.000;128.000;1141.000;956331;0;0;
2856.112;100.000;128.000;1142.000;956331;0;0;
2855.073;100.000;128.000;1143.000;956331;0;0;
2854.292;100.000;128.000;1144.000;956331;0;0;
2854.265;100.000;128.000;1145.000;956331;0;0;
2857.104;100.000;128.000;1146.000;956331;0;0;
2859.441;100.000;128.000;1147.000;956331;0;0;
2861.614;100.000;128.000;1148.000;956331;0;0;
2862.144;100.000;128.000;1149.000;956331;0;0;
2863.844;100.000;128.000;1150.000;956331;0;0;
2864.799;100.000;128.000;1151.000;956331;0;0;
2867.711;100.000;128.000;1152.000;956331;0;0;
2873.883;100.000;128.000;1153.000;956331;0;0;
2873.591;100.000;128.000;1154.000;956331;0;0;
2871.210;100.000;128.000;1155.000;956331;0;0;
2867.875;100.000;128.000;1156.000;956331;0;0;
2865.140;100.000;128.000;1157.000;956331;0;0;
2865.111;100.000;128.000;1158.000;956331;0;0;
2863.144;100.000;128.000;1159.000;956331;0;0;
2862.846;100.000;128.000;1160.000;956331;0;0;
2863.815;100.000;128.000;1161.000;956331;0;0;
2862.047;100.000;128.000;1162.000;956331;0;0;
2859.026;100.000;128.000;1163.000;956331;0;0;
2858.599;100.000;128.000;1164.000;956331;0;0;
2858.719;100.000;128.000;1165.000;956331;0;0;
2855.481;100.000;128.000;1166.000;956331;0;0;
2858.995;100.000;128.000;1167.000;956331;0;0;
2860.313;100.000;128.000;1168.000;956331;0;0;
2860.369;100.000;128.000;1169.000;956331;0;0;
2859.225;100.000;128.000;1170.000;956331;0;0;
2855.741;100.000;128.000;1171.000;956331;0;0;
2853.450;100.000;128.000;1172.000;956331;0;0;
2856.332;100.000;128.000;1173.000;956331;0;0;
2860.788;100.000;128.000;1174.000;956331;0;0;
2861.112;100.000;128.000;1175.000;956331;0;0;
2863.990;100.000;128.000;1176.000;956331;0;0;
2867.565;100.000;128.000;1177.000;956331;0;0;
2867.577;100.000;128.000;1178.000;956331;0;0;
2869.622;100.000;128.000;1179.000;956331;0;0;
2868.082;100.000;128.000;1180.000;956331;0;0;
2863.322;100.000;128.000;1181.000;956331;0;0;
2860.147;100.000;128.000;1182.000;956331;0;0;
2859.436;100.000;128.000;1183.000;956331;0;0;
2860.567;100.000;128.000;1184.000;956331;0;0;
2861.558;100.000;128.000;1185.000;956331;0;0;
2858.997;100.000;128.000;1186.000;956331;0;0;
2859.914;100.000;128.000;1187.000;956331;0;0;
2860.687;100.000;128.000;1188.000;956331;0;0;
2858.280;100.000;128.000;1189.000;956331;0;0;
2854.640;100.000;128.000;1190.000;956331;0;0;
2857.508;100.000;128.000;1191.000;956331;0;0;
2856.695;100.000;128.000;1192.000;956331;0;0;
2854.196;100.000;128.000;1193.000;956331;0;0;
2856.805;100.000;128.000;1194.000;956331;0;0;
2857.594;100.000;128.000;1195.000;956331;0;0;
2857.871;100.000;128.000;1196.000;956331;0;0;
2858.110;100.000;128.000;1197.000;956331;0;0;
2855.666;100.000;128.000;1198.000;956331;0;0;
2855.552;100.000;128.000;1199.000;956331;0;0;
2855.572;100.000;128.000;1200.000;956331;0;0;
2857.081;100.000;128.000;1201.000;956331;0;0;
2860.442;100.000;128.000;1202.000;956331;0;0;
2857.426;100.000;128.000;1203.000;956331;0;0;
2855.409;100.000;128.000;1204.000;956331;0;0;
2854.637;100.000;128.000;1205.000;956331;0;0;
2854.426;100.000;128.000;1206.000;956331;0;0;
2855.340;100.000;128.000;1207.000;956331;0;0;
2852.709;100.000;128.000;1208.000;956331;0;0;
2854.022;100.000;128.000;1209.000;956331;0;0;
2856.268;100.000;128.000;1210.000;956331;0;0;
2860.419;100.000;128.000;1211.000;956331;0;0;
2857.246;100.000;128.000;1212.000;956331;0;0;
2859.960;100.000;128.000;1213.000;956331;0;0;
2864.200;100.000;128.000;1214.000;956331;0;0;
2862.284;100.000;128.000;1215.000;956331;0;0;
2861.719;100.000;128.000;1216.000;956331;0;0;
2862.358;100.000;128.000;1217.000;956331;0;0;
2863.537;100.000;128.000;1218.000;956331;0;0;
2870.881;100.000;128.000;1219.000;956331;0;0;
2871.898;100.000;128.000;1220.000;956331;0;0;
2862.032;100.000;128.000;1221.000;956331;0;0;
2865.499;100.000;128.000;1222.000;956331;0;0;
2864.944;100.000;128.000;1223.000;956331;0;0;
2861.135;100.000;128.000;1224.000;956331;0;0;
2856.885;100.000;128.000;1225.000;956331;0;0;
2855.909;100.000;128.000;1226.000;956331;0;0;
2865.829;100.000;128.000;1227.000;956331;0;0;
2868.188;100.000;128.000;1228.000;956331;0;0;
2870.498;100.000;128.000;1229.000;956331;0;0;
2873.588;100.000;128.000;1230.000;956331;0;0;
2881.944;77.705;0.000;1231.000;956331;0;0;
2947.785;4.933;0.000;1232.000;956331;0;0;
0.000;0.000;0.000;1233.000;956331;0;0;
0.000;0.000;0.000;1234.000;956331;0;0;
0.000;0.000;0.000;1235.000;956331;0;0;
0.000;0.000;0.000;1236.000;956331;0;0;
0.000;0.000;0.000;1237.000;956331;0;0;
0.000;0.000;0.000;1238.000;956331;0;0;
0.000;0.000;0.000;1239.000;956331;0;0;
0.000;0.000;0.000;1240.000;956331;0;0;
0.000;0.000;0.000;1241.000;956331;0;0;
0.000;0.000;0.000;1242.000;956331;0;0;
0.000;0.000;0.000;1243.000;956331;0;0;
0.000;0.000;0.000;1244.000;956331;0;0;
0.000;0.000;0.000;1245.000;956331;0;0;
0.000;0.000;0.000;1246.000;956331;0;0;
0.000;0.000;0.000;1247.000;956331;0;0;
