Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
1842.188;53.480;0.000;19246.000;895260;0;0;
1840.615;49.377;0.000;19247.000;895299;0;0;
1839.381;40.659;0.000;19248.000;895338;0;0;
1839.442;37.949;0.000;19249.000;895377;0;0;
1842.765;43.907;0.000;19250.000;895416;0;0;
1844.249;44.371;0.000;19251.000;895456;0;0;
1841.535;44.249;0.000;19252.000;895495;0;0;
1842.649;49.231;0.000;19253.000;895534;0;0;
1842.634;41.661;0.000;19254.000;895573;0;0;
1840.193;38.388;0.000;19255.000;895612;0;0;
1846.596;49.328;0.000;19256.000;895651;0;0;
1846.470;40.879;0.000;19257.000;895690;0;0;
1845.279;48.303;0.000;19258.000;895730;0;0;
1842.831;40.611;0.000;19259.000;895769;0;0;
1844.644;32.137;0.000;19260.000;895808;0;0;
1837.135;30.208;0.000;19261.000;895848;0;0;
1843.946;40.513;0.000;19262.000;895887;0;0;
1842.347;34.823;0.000;19263.000;895927;0;0;
1841.620;34.188;0.000;19264.000;895966;0;0;
1844.765;32.845;0.000;19265.000;896005;0;0;
1840.641;39.414;0.000;19266.000;896045;0;0;
1846.079;37.973;0.000;19267.000;896084;0;0;
1845.220;35.995;0.000;19268.000;896123;0;0;
1842.611;43.150;0.000;19269.000;896163;0;0;
1841.069;53.211;0.000;19270.000;896202;0;0;
1843.222;54.554;0.000;19271.000;896241;0;0;
1843.373;58.291;0.000;19272.000;896281;0;0;
1847.036;76.166;0.000;19273.000;896320;0;0;
1851.310;67.057;0.000;19274.000;896359;0;0;
1845.313;56.190;0.000;19275.000;896398;0;0;
1850.342;64.982;0.000;19276.000;896438;0;0;
1848.160;57.778;0.000;19277.000;896477;0;0;
1845.175;50.232;0.000;19278.000;896516;0;0;
1838.881;38.413;0.000;19279.000;896556;0;0;
1842.162;60.488;0.000;19280.000;896595;0;0;
1844.997;59.927;0.000;19281.000;896634;0;0;
1846.581;85.861;0.000;19282.000;896674;0;0;
1840.366;65.250;0.000;19283.000;896713;0;0;
1838.784;82.833;0.000;19284.000;896752;0;0;
1840.892;50.476;0.000;19285.000;896792;0;0;
1839.294;52.454;0.000;19286.000;896831;0;0;
1840.428;73.211;0.000;19287.000;896871;0;0;
1845.802;74.188;0.000;19288.000;896910;0;0;
1823.515;98.999;0.000;19289.000;896949;0;0;
1841.246;85.763;0.000;19290.000;896989;0;0;
1845.662;27.766;0.000;19291.000;897028;0;0;
1841.772;28.694;0.000;19292.000;897068;0;0;
1839.060;52.821;0.000;19293.000;897107;0;0;
1840.415;41.514;0.000;19294.000;897147;0;0;
1842.516;61.636;0.000;19295.000;897186;0;0;
1840.897;36.288;0.000;19296.000;897225;0;0;
1847.085;40.049;0.000;19297.000;897264;0;0;
1837.659;38.388;0.000;19298.000;897304;0;0;
1835.651;32.772;0.000;19299.000;897343;0;0;
1838.769;29.304;0.000;19300.000;897382;0;0;
1841.380;26.716;0.000;19301.000;897421;0;0;
1837.494;31.233;0.000;19302.000;897461;0;0;
1840.943;32.747;0.000;19303.000;897500;0;0;
1842.837;27.009;0.000;19304.000;897539;0;0;
1842.001;38.901;0.000;19305.000;897578;0;0;
1843.142;29.719;0.000;19306.000;897617;0;0;
1837.879;27.570;0.000;19307.000;897656;0;0;
1837.253;28.864;0.000;19308.000;897696;0;0;
1847.634;34.823;0.000;19309.000;897735;0;0;
1834.152;23.907;0.000;19310.000;897774;0;0;
1844.278;31.697;0.000;19311.000;897813;0;0;
1842.956;30.354;0.000;19312.000;897852;0;0;
1837.378;28.352;0.000;19313.000;897891;0;0;
1836.998;31.917;0.000;19314.000;897931;0;0;
1840.377;31.624;0.000;19315.000;897970;0;0;
1842.735;40.708;0.000;19316.000;898009;0;0;
1841.373;33.162;0.000;19317.000;898048;0;0;
1842.902;29.206;0.000;19318.000;898087;0;0;
1848.140;35.751;0.000;19319.000;898126;0;0;
1837.490;59.487;0.000;19320.000;898165;0;0;
1846.063;51.966;0.000;19321.000;898204;0;0;
1850.198;41.099;0.000;19322.000;898243;0;0;
1843.602;37.143;0.000;19323.000;898282;0;0;
1846.958;47.179;0.000;19324.000;898321;0;0;
1847.392;53.333;0.000;19325.000;898360;0;0;
1845.977;43.370;0.000;19326.000;898398;0;0;
1845.002;51.331;0.000;19327.000;898437;0;0;
1838.282;43.443;0.000;19328.000;898476;0;0;
1843.491;58.657;0.000;19329.000;898515;0;0;
1849.724;56.264;0.000;19330.000;898554;0;0;
1841.563;43.223;0.000;19331.000;898593;0;0;
1844.809;44.811;0.000;19332.000;898631;0;0;
1844.380;58.364;0.000;19333.000;898670;0;0;
1846.954;46.960;0.000;19334.000;898709;0;0;
1839.749;52.698;0.000;19335.000;898747;0;0;
1839.905;73.260;0.000;19336.000;898786;0;0;
1843.698;43.590;0.000;19337.000;898825;0;0;
1837.065;48.889;0.000;19338.000;898864;0;0;
1838.829;39.487;0.000;19339.000;898902;0;0;
1831.327;73.700;0.000;19340.000;898940;0;0;
1826.978;71.990;0.000;19341.000;898979;0;0;
1833.056;83.565;0.000;19342.000;899017;0;0;
