Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
1831.828;35.702;0.000;5587.000;925836;0;0;
1836.334;38.339;0.000;5588.000;925831;0;0;
1842.263;41.807;0.000;5589.000;925825;0;0;
1843.994;41.880;0.000;5590.000;925820;0;0;
1842.396;42.759;0.000;5591.000;925816;0;0;
1841.485;39.976;0.000;5592.000;925812;0;0;
1837.089;37.289;0.000;5593.000;925808;0;0;
1834.927;35.849;0.000;5594.000;925806;0;0;
1835.159;33.724;0.000;5595.000;925803;0;0;
1834.702;33.358;0.000;5596.000;925801;0;0;
1833.695;32.088;0.000;5597.000;925800;0;0;
1833.479;32.601;0.000;5598.000;925799;0;0;
1833.000;30.598;0.000;5599.000;925798;0;0;
1829.252;31.697;0.000;5600.000;925798;0;0;
1831.115;31.844;0.000;5601.000;925799;0;0;
1834.635;32.991;0.000;5602.000;925800;0;0;
1833.601;33.065;0.000;5603.000;925802;0;0;
1836.688;34.432;0.000;5604.000;925804;0;0;
1836.223;35.702;0.000;5605.000;925806;0;0;
1838.157;37.363;0.000;5606.000;925809;0;0;
1841.237;39.878;0.000;5607.000;925813;0;0;
1841.464;41.416;0.000;5608.000;925816;0;0;
1846.007;43.126;0.000;5609.000;925821;0;0;
1841.415;41.978;0.000;5610.000;925826;0;0;
1835.858;37.582;0.000;5611.000;925831;0;0;
1833.086;35.824;0.000;5612.000;925837;0;0;
1837.733;40.147;0.000;5613.000;925844;0;0;
1842.936;48.498;0.000;5614.000;925851;0;0;
1835.052;45.275;0.000;5615.000;925858;0;0;
1829.257;35.507;0.000;5616.000;925866;0;0;
1832.987;38.950;0.000;5617.000;925875;0;0;
1833.916;48.816;0.000;5618.000;925884;0;0;
1835.550;45.104;0.000;5619.000;925893;0;0;
1845.037;40.977;0.000;5620.000;925903;0;0;
1844.811;39.609;0.000;5621.000;925913;0;0;
1844.455;40.684;0.000;5622.000;925924;0;0;
1843.618;38.315;0.000;5623.000;925935;0;0;
1841.273;31.966;0.000;5624.000;925947;0;0;
1840.726;28.767;0.000;5625.000;925960;0;0;
1845.116;38.022;0.000;5626.000;925973;0;0;
1841.603;37.949;0.000;5627.000;925986;0;0;
1840.080;39.976;0.000;5628.000;926000;0;0;
1843.954;40.684;0.000;5629.000;926014;0;0;
1838.739;35.897;0.000;5630.000;926029;0;0;
1848.358;31.013;0.000;5631.000;926045;0;0;
1841.328;37.534;0.000;5632.000;926060;0;0;
1839.571;36.239;0.000;5633.000;926077;0;0;
1838.784;42.442;0.000;5634.000;926094;0;0;
1838.737;38.193;0.000;5635.000;926111;0;0;
1843.801;42.759;0.000;5636.000;926129;0;0;
1846.004;55.458;0.000;5637.000;926147;0;0;
1840.606;54.628;0.000;5638.000;926166;0;0;
1840.416;36.484;0.000;5639.000;926186;0;0;
1849.960;40.342;0.000;5640.000;926206;0;0;
1844.657;42.613;0.000;5641.000;926226;0;0;
1842.040;51.722;0.000;5642.000;926247;0;0;
1836.975;39.219;0.000;5643.000;926269;0;0;
1835.663;30.696;0.000;5644.000;926291;0;0;
1841.377;43.053;0.000;5645.000;926313;0;0;
1840.641;42.979;0.000;5646.000;926336;0;0;
1843.913;48.107;0.000;5647.000;926360;0;0;
1834.817;35.751;0.000;5648.000;926384;0;0;
1842.245;33.480;0.000;5649.000;926409;0;0;
1841.384;29.499;0.000;5650.000;926434;0;0;
1845.021;39.853;0.000;5651.000;926459;0;0;
1836.409;53.651;0.000;5652.000;926485;0;0;
1837.408;38.632;0.000;5653.000;926512;0;0;
1841.960;38.755;0.000;5654.000;926539;0;0;
1844.101;45.665;0.000;5655.000;926567;0;0;
1844.862;43.248;0.000;5656.000;926595;0;0;
1847.878;34.359;0.000;5657.000;926624;0;0;
1839.618;37.729;0.000;5658.000;926653;0;0;
1839.403;38.242;0.000;5659.000;926682;0;0;
1842.979;46.081;0.000;5660.000;926713;0;0;
1842.050;38.120;0.000;5661.000;926743;0;0;
1845.497;30.159;0.000;5662.000;926774;0;0;
1837.859;34.823;0.000;5663.000;926806;0;0;
1834.123;43.785;0.000;5664.000;926838;0;0;
1834.491;37.118;0.000;5665.000;926871;0;0;
1840.424;41.832;0.000;5666.000;926904;0;0;
1844.063;32.332;0.000;5667.000;926938;0;0;
1839.832;34.090;0.000;5668.000;926972;0;0;
1846.515;38.877;0.000;5669.000;927006;0;0;
1856.495;69.255;0.000;5670.000;927041;0;0;
1840.087;45.055;0.000;5671.000;927077;0;0;
1844.067;42.979;0.000;5672.000;927113;0;0;
1840.534;50.159;0.000;5673.000;927149;0;0;
1840.917;39.731;0.000;5674.000;927186;0;0;
1841.630;32.772;0.000;5675.000;927224;0;0;
1842.078;98.999;0.000;5676.000;927262;0;0;
1840.120;45.372;0.000;5677.000;927300;0;0;
1840.593;31.062;0.000;5678.000;927339;0;0;
1837.143;44.347;0.000;5679.000;927378;0;0;
1835.266;48.547;0.000;5680.000;927418;0;0;
1841.357;44.542;0.000;5681.000;927458;0;0;
1838.746;35.653;0.000;5682.000;927499;0;0;
1842.915;45.861;0.000;5683.000;927540;0;0;
1843.122;42.491;0.000;5684.000;927582;0;0;
1839.575;39.658;0.000;5685.000;927624;0;0;
1841.090;40.806;0.000;5686.000;927667;0;0;
1841.911;43.834;0.000;5687.000;927710;0;0;
1846.892;43.272;0.000;5688.000;927754;0;0;
1840.396;36.313;0.000;5689.000;927798;0;0;
1843.244;47.546;0.000;5690.000;927842;0;0;
1841.610;39.438;0.000;5691.000;927887;0;0;
1838.162;31.893;0.000;5692.000;927932;0;0;
1843.577;36.239;0.000;5693.000;927978;0;0;
1838.622;40.781;0.000;5694.000;928025;0;0;
1843.398;45.397;0.000;5695.000;928072;0;0;
1843.186;44.811;0.000;5696.000;928119;0;0;
1846.284;53.162;0.000;5697.000;928167;0;0;
1840.854;49.206;0.000;5698.000;928215;0;0;
1840.199;29.475;0.000;5699.000;928263;0;0;
1839.878;36.190;0.000;5700.000;928313;0;0;
1841.407;36.801;0.000;5701.000;928362;0;0;
1843.604;38.730;0.000;5702.000;928412;0;0;
1838.827;41.832;0.000;5703.000;928463;0;0;
1839.513;34.188;0.000;5704.000;928513;0;0;
1842.715;27.937;0.000;5705.000;928564;0;0;
1838.579;38.168;0.000;5706.000;928616;0;0;
1843.087;40.830;0.000;5707.000;928668;0;0;
1842.052;39.487;0.000;5708.000;928720;0;0;
1845.237;39.878;0.000;5709.000;928773;0;0;
1842.732;34.457;0.000;5710.000;928826;0;0;
1843.097;43.712;0.000;5711.000;928880;0;0;
1840.001;49.573;0.000;5712.000;928934;0;0;
1842.056;46.203;0.000;5713.000;928988;0;0;
1838.526;32.015;0.000;5714.000;929043;0;0;
1843.757;47.302;0.000;5715.000;929099;0;0;
1841.779;49.841;0.000;5716.000;929154;0;0;
1837.001;48.547;0.000;5717.000;929210;0;0;
1842.472;49.939;0.000;5718.000;929267;0;0;
1837.615;34.530;0.000;5719.000;929324;0;0;
1844.907;42.466;0.000;5720.000;929381;0;0;
1843.424;49.451;0.000;5721.000;929438;0;0;
1844.132;49.402;0.000;5722.000;929496;0;0;
1840.966;37.924;0.000;5723.000;929555;0;0;
1840.551;32.088;0.000;5724.000;929613;0;0;
1837.525;40.342;0.000;5725.000;929672;0;0;
1841.820;44.542;0.000;5726.000;929732;0;0;
1842.097;51.917;0.000;5727.000;929792;0;0;
1841.440;49.084;0.000;5728.000;929852;0;0;
1846.498;39.243;0.000;5729.000;929913;0;0;
1842.837;34.042;0.000;5730.000;929973;0;0;
1844.190;75.751;0.000;5731.000;930035;0;0;
1840.464;48.083;0.000;5732.000;930096;0;0;
1841.612;71.306;0.000;5733.000;930158;0;0;
1847.294;98.999;0.000;5734.000;930221;0;0;
1846.525;98.999;0.000;5735.000;930283;0;0;
1850.218;98.999;0.000;5736.000;930346;0;0;
1848.336;98.999;0.000;5737.000;930409;0;0;
1843.306;98.999;0.000;5738.000;930472;0;0;
1841.274;28.083;0.000;5739.000;930536;0;0;
1836.627;30.427;0.000;5740.000;930600;0;0;
1830.646;23.053;0.000;5741.000;930665;0;0;
1823.984;33.358;0.000;5742.000;930729;0;0;
1833.325;15.653;0.000;5743.000;930794;0;0;
1831.874;35.580;0.000;5744.000;930860;0;0;
1826.806;56.606;0.000;5745.000;930925;0;0;
1829.952;45.104;0.000;5746.000;930991;0;0;
1838.952;38.608;0.000;5747.000;931057;0;0;
1840.200;41.563;0.000;5748.000;931123;0;0;
1838.759;42.076;0.000;5749.000;931190;0;0;
1841.605;35.580;0.000;5750.000;931257;0;0;
1833.700;50.330;0.000;5751.000;931324;0;0;
1837.322;50.794;0.000;5752.000;931392;0;0;
1840.769;52.454;0.000;5753.000;931460;0;0;
1827.028;44.005;0.000;5754.000;931528;0;0;
1835.884;48.034;0.000;5755.000;931596;0;0;
1828.186;68.034;0.000;5756.000;931665;0;0;
1833.857;44.908;0.000;5757.000;931733;0;0;
1834.976;37.436;0.000;5758.000;931803;0;0;
1839.163;41.856;0.000;5759.000;931872;0;0;
1839.456;48.156;0.000;5760.000;931942;0;0;
1839.124;48.938;0.000;5761.000;932011;0;0;
1842.239;36.484;0.000;5762.000;932082;0;0;
1843.124;42.393;0.000;5763.000;932152;0;0;
1840.877;40.244;0.000;5764.000;932223;0;0;
1840.940;45.226;0.000;5765.000;932293;0;0;
1844.708;38.608;0.000;5766.000;932365;0;0;
1842.390;38.046;0.000;5767.000;932436;0;0;
1838.373;46.081;0.000;5768.000;932507;0;0;
1840.146;59.072;0.000;5769.000;932579;0;0;
1837.295;52.454;0.000;5770.000;932650;0;0;
1842.013;46.984;0.000;5771.000;932722;0;0;
1842.106;46.838;0.000;5772.000;932794;0;0;
1840.159;47.766;0.000;5773.000;932867;0;0;
1838.502;59.585;0.000;5774.000;932939;0;0;
1844.146;65.714;0.000;5775.000;933012;0;0;
1845.671;43.980;0.000;5776.000;933085;0;0;
1840.799;43.883;0.000;5777.000;933158;0;0;
1844.455;48.620;0.000;5778.000;933232;0;0;
1840.027;40.586;0.000;5779.000;933306;0;0;
1843.521;46.642;0.000;5780.000;933380;0;0;
1840.792;57.900;0.000;5781.000;933454;0;0;
1842.323;40.244;0.000;5782.000;933528;0;0;
1838.288;40.659;0.000;5783.000;933602;0;0;
1844.054;36.947;0.000;5784.000;933677;0;0;
1845.425;36.557;0.000;5785.000;933751;0;0;
1845.037;37.802;0.000;5786.000;933826;0;0;
1839.527;34.090;0.000;5787.000;933901;0;0;
1839.510;33.089;0.000;5788.000;933976;0;0;
1838.229;38.242;0.000;5789.000;934052;0;0;
1841.550;54.921;0.000;5790.000;934127;0;0;
1841.646;37.656;0.000;5791.000;934203;0;0;
1843.090;44.542;0.000;5792.000;934279;0;0;
1842.583;49.695;0.000;5793.000;934354;0;0;
1844.440;33.260;0.000;5794.000;934431;0;0;
1841.170;58.022;0.000;5795.000;934507;0;0;
1842.468;56.532;0.000;5796.000;934583;0;0;
1845.757;68.474;0.000;5797.000;934659;0;0;
1846.636;51.258;0.000;5798.000;934735;0;0;
1844.558;57.094;0.000;5799.000;934811;0;0;
1841.603;45.495;0.000;5800.000;934888;0;0;
1843.567;53.284;0.000;5801.000;934964;0;0;
1843.556;30.281;0.000;5802.000;935041;0;0;
1842.208;47.009;0.000;5803.000;935118;0;0;
1841.025;56.777;0.000;5804.000;935194;0;0;
1842.833;53.724;0.000;5805.000;935272;0;0;
1836.660;48.913;0.000;5806.000;935349;0;0;
1841.511;47.668;0.000;5807.000;935426;0;0;
1848.041;33.529;0.000;5808.000;935502;0;0;
1843.538;41.587;0.000;5809.000;935580;0;0;
1839.947;40.684;0.000;5810.000;935656;0;0;
1841.464;38.413;0.000;5811.000;935733;0;0;
1844.283;56.337;0.000;5812.000;935810;0;0;
1842.025;62.418;0.000;5813.000;935887;0;0;
1843.154;55.556;0.000;5814.000;935964;0;0;
1841.651;56.630;0.000;5815.000;936041;0;0;
1842.343;53.651;0.000;5816.000;936118;0;0;
1839.952;46.471;0.000;5817.000;936195;0;0;
1843.151;54.335;0.000;5818.000;936272;0;0;
1838.909;56.752;0.000;5819.000;936349;0;0;
1847.001;36.752;0.000;5820.000;936426;0;0;
1841.907;40.757;0.000;5821.000;936502;0;0;
1843.757;43.126;0.000;5822.000;936579;0;0;
1843.066;41.929;0.000;5823.000;936656;0;0;
1844.462;36.777;0.000;5824.000;936732;0;0;
