Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
2771.204;100.000;128.000;15421.000;868971;0;-1;
2770.021;100.000;128.000;15422.000;868971;0;-1;
2771.243;100.000;128.000;15423.000;868971;0;-1;
2769.730;100.000;128.000;15424.000;868971;0;-1;
2771.080;100.000;128.000;15425.000;868971;0;-1;
2770.617;100.000;128.000;15426.000;868971;0;-1;
2770.580;100.000;128.000;15427.000;868971;0;-1;
2770.174;100.000;128.000;15428.000;868971;0;-1;
2770.666;100.000;128.000;15429.000;868971;0;-1;
2770.316;100.000;128.000;15430.000;868971;0;-1;
2769.603;100.000;128.000;15431.000;868971;0;-1;
2770.604;100.000;128.000;15432.000;868971;0;-1;
2770.695;100.000;128.000;15433.000;868971;0;-1;
2769.457;100.000;128.000;15434.000;868971;0;-1;
2771.275;100.000;128.000;15435.000;868971;0;-1;
2769.833;100.000;128.000;15436.000;868971;0;-1;
2771.290;100.000;128.000;15437.000;868971;0;-1;
2770.085;100.000;128.000;15438.000;868971;0;-1;
2769.438;100.000;128.000;15439.000;868971;0;-1;
2770.209;100.000;128.000;15440.000;868971;0;-1;
2769.928;100.000;128.000;15441.000;868971;0;-1;
2770.556;100.000;128.000;15442.000;868971;0;-1;
2771.185;100.000;128.000;15443.000;868971;0;-1;
2770.410;100.000;128.000;15444.000;868971;0;-1;
2770.410;100.000;128.000;15445.000;868971;0;-1;
2772.031;100.000;128.000;15446.000;868971;0;-1;
2770.616;100.000;128.000;15447.000;868971;0;-1;
2770.655;100.000;128.000;15448.000;868971;0;-1;
2772.028;100.000;128.000;15449.000;868971;0;-1;
2771.342;100.000;128.000;15450.000;868971;0;-1;
2770.793;100.000;128.000;15451.000;868971;0;-1;
2771.639;100.000;128.000;15452.000;868971;0;-1;
2769.985;100.000;128.000;15453.000;868971;0;-1;
2770.051;100.000;128.000;15454.000;868971;0;-1;
2769.352;100.000;128.000;15455.000;868971;0;-1;
2770.898;100.000;128.000;15456.000;868971;0;-1;
2768.837;100.000;128.000;15457.000;868971;0;-1;
2769.771;100.000;128.000;15458.000;868971;0;-1;
2769.536;100.000;128.000;15459.000;868971;0;-1;
2770.708;100.000;128.000;15460.000;868971;0;-1;
2769.588;100.000;128.000;15461.000;868971;0;-1;
2768.733;100.000;128.000;15462.000;868971;0;-1;
2769.996;100.000;128.000;15463.000;868971;0;-1;
2770.151;100.000;128.000;15464.000;868971;0;-1;
2770.457;100.000;128.000;15465.000;868971;0;-1;
2770.861;100.000;128.000;15466.000;868971;0;-1;
2769.639;100.000;128.000;15467.000;868971;0;-1;
2770.795;100.000;128.000;15468.000;868971;0;-1;
2771.614;100.000;128.000;15469.000;868971;0;-1;
2770.298;100.000;128.000;15470.000;868971;0;-1;
2770.841;100.000;128.000;15471.000;868971;0;-1;
2770.730;100.000;128.000;15472.000;868971;0;-1;
2771.703;100.000;128.000;15473.000;868971;0;-1;
2770.996;100.000;128.000;15474.000;868971;0;-1;
2771.139;100.000;128.000;15475.000;868971;0;-1;
2771.040;100.000;128.000;15476.000;868971;0;-1;
2769.477;100.000;128.000;15477.000;868971;0;-1;
2770.799;100.000;128.000;15478.000;868971;0;-1;
2771.158;100.000;128.000;15479.000;868971;0;-1;
2770.502;100.000;128.000;15480.000;868971;0;-1;
2771.010;100.000;128.000;15481.000;868971;0;-1;
2770.821;100.000;128.000;15482.000;868971;0;-1;
2769.758;100.000;128.000;15483.000;868971;0;-1;
2770.741;100.000;128.000;15484.000;868971;0;-1;
2768.436;100.000;128.000;15485.000;868971;0;-1;
2771.944;100.000;128.000;15486.000;868971;0;-1;
2769.136;100.000;128.000;15487.000;868971;0;-1;
2770.738;100.000;128.000;15488.000;868971;0;-1;
2769.383;100.000;128.000;15489.000;868971;0;-1;
2770.413;100.000;128.000;15490.000;868971;0;-1;
2770.505;100.000;128.000;15491.000;868971;0;-1;
2771.142;100.000;128.000;15492.000;868971;0;-1;
2769.999;100.000;128.000;15493.000;868971;0;-1;
2770.008;100.000;128.000;15494.000;868971;0;-1;
2770.098;100.000;128.000;15495.000;868971;0;-1;
2770.156;100.000;128.000;15496.000;868971;0;-1;
2770.195;100.000;128.000;15497.000;868971;0;-1;
2771.058;100.000;128.000;15498.000;868971;0;-1;
2770.934;100.000;128.000;15499.000;868971;0;-1;
2770.229;100.000;128.000;15500.000;868971;0;-1;
2771.207;100.000;128.000;15501.000;868971;0;-1;
2771.453;100.000;128.000;15502.000;868971;0;-1;
2769.762;100.000;128.000;15503.000;868971;0;-1;
2770.676;100.000;128.000;15504.000;868971;0;-1;
2770.424;100.000;128.000;15505.000;868971;0;-1;
2771.489;100.000;128.000;15506.000;868971;0;-1;
2769.676;100.000;128.000;15507.000;868971;0;-1;
2770.589;100.000;128.000;15508.000;868971;0;-1;
2769.709;100.000;128.000;15509.000;868971;0;-1;
2769.849;100.000;128.000;15510.000;868971;0;-1;
2770.585;100.000;128.000;15511.000;868971;0;-1;
2769.148;100.000;128.000;15512.000;868971;0;-1;
2768.835;100.000;128.000;15513.000;868971;0;-1;
2770.048;100.000;128.000;15514.000;868971;0;-1;
2769.601;100.000;128.000;15515.000;868971;0;-1;
2769.450;100.000;128.000;15516.000;868971;0;-1;
2769.678;100.000;128.000;15517.000;868971;0;-1;
2769.750;100.000;128.000;15518.000;868971;0;-1;
2769.582;100.000;128.000;15519.000;868971;0;-1;
2770.921;100.000;128.000;15520.000;868971;0;-1;
2771.168;100.000;128.000;15521.000;868971;0;-1;
2771.162;100.000;128.000;15522.000;868971;0;-1;
2770.500;100.000;128.000;15523.000;868971;0;-1;
2771.180;100.000;128.000;15524.000;868971;0;-1;
2771.095;100.000;128.000;15525.000;868971;0;-1;
2770.210;100.000;128.000;15526.000;868971;0;-1;
2771.073;100.000;128.000;15527.000;868971;0;-1;
2771.184;100.000;128.000;15528.000;868971;0;-1;
2770.605;100.000;128.000;15529.000;868971;0;-1;
2771.086;100.000;128.000;15530.000;868971;0;-1;
2771.402;100.000;128.000;15531.000;868971;0;-1;
2770.088;100.000;128.000;15532.000;868971;0;-1;
2770.432;100.000;128.000;15533.000;868971;0;-1;
2770.055;100.000;128.000;15534.000;868971;0;-1;
2770.182;100.000;128.000;15535.000;868971;0;-1;
2770.129;100.000;128.000;15536.000;868971;0;-1;
2769.570;100.000;128.000;15537.000;868971;0;-1;
2769.954;100.000;128.000;15538.000;868971;0;-1;
2770.467;100.000;128.000;15539.000;868971;0;-1;
2769.410;100.000;128.000;15540.000;868971;0;-1;
2770.166;100.000;128.000;15541.000;868971;0;-1;
2770.125;100.000;128.000;15542.000;868971;0;-1;
2770.346;100.000;128.000;15543.000;868971;0;-1;
2769.539;100.000;128.000;15544.000;868971;0;-1;
