Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
1872.108;4.567;0.000;29455.000;-2293;0;-2;
1878.923;4.615;0.000;29456.000;-2226;0;-2;
1873.039;4.786;0.000;29457.000;-2157;0;-2;
1867.919;5.714;0.000;29458.000;-2089;0;-2;
1878.104;5.910;0.000;29459.000;-2021;0;-2;
1875.476;4.249;0.000;29460.000;-1952;0;-2;
1880.495;5.177;0.000;29461.000;-1884;0;-2;
1867.894;4.420;0.000;29462.000;-1816;0;-2;
1873.388;4.811;0.000;29463.000;-1747;0;-2;
1875.297;5.495;0.000;29464.000;-1680;0;-2;
1879.301;6.105;0.000;29465.000;-1611;0;-2;
1868.338;5.397;0.000;29466.000;-1543;0;-2;
1871.070;5.153;0.000;29467.000;-1475;0;-2;
1873.828;5.788;0.000;29468.000;-1406;0;-2;
1877.721;5.543;0.000;29469.000;-1338;0;-2;
1875.628;4.103;0.000;29470.000;-1270;0;-2;
1878.886;4.737;0.000;29471.000;-1201;0;-2;
1872.562;4.469;0.000;29472.000;-1132;0;-2;
1878.060;5.470;0.000;29473.000;-1065;0;-2;
1871.479;4.347;0.000;29474.000;-996;0;-2;
1877.194;4.786;0.000;29475.000;-928;0;-2;
1878.273;4.103;0.000;29476.000;-860;0;-2;
1890.468;4.322;0.000;29477.000;-791;0;-2;
1870.084;11.111;0.000;29478.000;-723;0;-2;
1874.363;5.665;0.000;29479.000;-655;0;-2;
0.000;0.000;0.000;29480.000;-586;0;-2;
1868.386;3.834;0.000;29481.000;-518;0;-2;
1871.650;3.761;0.000;29482.000;-450;0;-2;
1880.271;3.419;0.000;29483.000;-381;0;-2;
1885.081;6.838;0.000;29484.000;-313;0;-2;
1875.359;4.713;0.000;29485.000;-245;0;-2;
1865.439;5.495;0.000;29486.000;-177;0;-2;
1873.432;3.858;0.000;29487.000;-109;0;-2;
1876.993;4.786;0.000;29488.000;-41;0;-2;
1882.824;7.570;0.000;29489.000;27;0;-2;
1873.541;3.761;0.000;29490.000;96;0;-2;
1877.137;3.907;0.000;29491.000;165;0;-2;
1872.984;5.079;0.000;29492.000;233;0;-2;
1879.419;4.664;0.000;29493.000;301;0;-2;
1876.584;5.568;0.000;29494.000;370;0;-2;
1874.340;5.397;0.000;29495.000;438;0;-2;
1873.369;4.835;0.000;29496.000;506;0;-2;
1885.875;3.492;0.000;29497.000;574;0;-2;
1873.371;5.079;0.000;29498.000;642;0;-2;
1875.413;11.844;0.000;29499.000;711;0;-2;
1883.555;7.057;0.000;29500.000;778;0;-2;
1886.346;6.032;0.000;29501.000;847;0;-2;
1873.780;5.299;0.000;29502.000;915;0;-2;
1877.537;5.714;0.000;29503.000;983;0;-2;
1879.245;3.810;0.000;29504.000;1052;0;-2;
1869.589;4.347;0.000;29505.000;1120;0;-2;
1874.172;5.788;0.000;29506.000;1188;0;-2;
1882.056;11.013;0.000;29507.000;1256;0;-2;
1888.851;6.667;0.000;29508.000;1324;0;-2;
1881.419;11.477;0.000;29509.000;1392;0;-2;
