Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
2992.750;3.956;0.000;10115.000;232015;0;-2;
2993.822;4.469;0.000;10116.000;232015;0;-2;
2992.256;4.347;0.000;10117.000;232015;0;-2;
2996.247;4.200;0.000;10118.000;232015;0;-2;
2991.979;4.176;0.000;10119.000;232015;0;-2;
2991.388;4.396;0.000;10120.000;232015;0;-2;
2991.852;4.029;0.000;10121.000;232015;0;-2;
2997.618;4.298;0.000;10122.000;232015;0;-2;
2992.679;4.176;0.000;10123.000;232015;0;-2;
2993.729;4.225;0.000;10124.000;232015;0;-2;
2998.625;4.420;0.000;10125.000;232015;0;-2;
2995.888;4.371;0.000;10126.000;232015;0;-2;
2994.606;4.274;0.000;10127.000;232015;0;-2;
2998.486;4.176;0.000;10128.000;232015;0;-2;
2987.051;4.249;0.000;10129.000;232015;0;-2;
2997.336;4.493;0.000;10130.000;232015;0;-2;
2998.509;4.469;0.000;10131.000;232015;0;-2;
2998.753;4.371;0.000;10132.000;232015;0;-2;
2991.876;4.151;0.000;10133.000;232015;0;-2;
2998.364;4.200;0.000;10134.000;232015;0;-2;
2995.940;4.567;0.000;10135.000;232015;0;-2;
2995.747;4.542;0.000;10136.000;232015;0;-2;
2991.847;4.151;0.000;10137.000;232015;0;-2;
2993.077;4.298;0.000;10138.000;232015;0;-2;
2990.200;4.029;0.000;10139.000;232015;0;-2;
2990.282;4.274;0.000;10140.000;232015;0;-2;
2997.095;4.176;0.000;10141.000;232015;0;-2;
2992.808;4.298;0.000;10142.000;232015;0;-2;
2994.132;4.396;0.000;10143.000;232015;0;-2;
2991.552;4.518;0.000;10144.000;232015;0;-2;
2994.358;4.689;0.000;10145.000;232015;0;-2;
2992.963;4.420;0.000;10146.000;232015;0;-2;
2986.051;4.298;0.000;10147.000;232015;0;-2;
2993.775;4.371;0.000;10148.000;232015;0;-2;
2991.218;4.249;0.000;10149.000;232015;0;-2;
2987.621;4.444;0.000;10150.000;232015;0;-2;
2995.095;4.225;0.000;10151.000;232015;0;-2;
2998.271;4.054;0.000;10152.000;232015;0;-2;
2990.788;4.347;0.000;10153.000;232015;0;-2;
2991.612;4.518;0.000;10154.000;232015;0;-2;
2993.003;4.518;0.000;10155.000;232015;0;-2;
2993.790;4.176;0.000;10156.000;232015;0;-2;
2996.048;4.249;0.000;10157.000;232015;0;-2;
2997.935;4.274;0.000;10158.000;232015;0;-2;
2990.686;4.274;0.000;10159.000;232015;0;-2;
2993.495;4.127;0.000;10160.000;232015;0;-2;
2985.315;4.151;0.000;10161.000;232015;0;-2;
2991.796;4.493;0.000;10162.000;232015;0;-2;
2990.916;4.396;0.000;10163.000;232015;0;-2;
2999.308;4.322;0.000;10164.000;232015;0;-2;
2998.090;4.420;0.000;10165.000;232015;0;-2;
2991.716;4.469;0.000;10166.000;232015;0;-2;
2996.776;4.225;0.000;10167.000;232015;0;-2;
2994.897;4.371;0.000;10168.000;232015;0;-2;
2993.669;4.420;0.000;10169.000;232015;0;-2;
2994.133;4.420;0.000;10170.000;232015;0;-2;
2997.804;4.396;0.000;10171.000;232015;0;-2;
2989.021;4.249;0.000;10172.000;232015;0;-2;
2993.346;4.078;0.000;10173.000;232015;0;-2;
2995.013;4.347;0.000;10174.000;232015;0;-2;
2988.868;4.371;0.000;10175.000;232015;0;-2;
2995.077;4.127;0.000;10176.000;232015;0;-2;
2997.555;4.054;0.000;10177.000;232015;0;-2;
2994.821;4.396;0.000;10178.000;232015;0;-2;
2988.114;4.347;0.000;10179.000;232015;0;-2;
2987.254;4.444;0.000;10180.000;232015;0;-2;
2996.018;4.225;0.000;10181.000;232015;0;-2;
2993.891;3.932;0.000;10182.000;232015;0;-2;
2994.757;4.322;0.000;10183.000;232015;0;-2;
2995.126;4.249;0.000;10184.000;232015;0;-2;
2994.481;4.103;0.000;10185.000;232015;0;-2;
2992.653;4.151;0.000;10186.000;232015;0;-2;
2999.976;4.249;0.000;10187.000;232015;0;-2;
3000.019;4.078;0.000;10188.000;232015;0;-2;
2991.200;4.249;0.000;10189.000;232015;0;-2;
2996.671;4.347;0.000;10190.000;232015;0;-2;
2992.146;4.200;0.000;10191.000;232015;0;-2;
2996.475;4.249;0.000;10192.000;232015;0;-2;
2992.778;4.249;0.000;10193.000;232015;0;-2;
2996.916;4.176;0.000;10194.000;232015;0;-2;
2993.306;4.029;0.000;10195.000;232015;0;-2;
2987.663;4.225;0.000;10196.000;232015;0;-2;
2986.714;4.274;0.000;10197.000;232015;0;-2;
2996.931;4.127;0.000;10198.000;232015;0;-2;
2994.163;4.371;0.000;10199.000;232015;0;-2;
2995.214;4.396;0.000;10200.000;232015;0;-2;
2986.998;4.127;0.000;10201.000;232015;0;-2;
2991.907;4.420;0.000;10202.000;232015;0;-2;
2998.239;4.249;0.000;10203.000;232015;0;-2;
2996.385;4.127;0.000;10204.000;232015;0;-2;
2992.655;4.371;0.000;10205.000;232015;0;-2;
2992.456;4.225;0.000;10206.000;232015;0;-2;
2988.688;4.371;0.000;10207.000;232015;0;-2;
2990.946;4.249;0.000;10208.000;232015;0;-2;
2995.843;4.371;0.000;10209.000;232015;0;-2;
2989.200;4.420;0.000;10210.000;232015;0;-2;
2993.582;4.420;0.000;10211.000;232015;0;-2;
2995.155;4.176;0.000;10212.000;232015;0;-2;
2990.146;4.322;0.000;10213.000;232015;0;-2;
2987.260;4.420;0.000;10214.000;232015;0;-2;
2991.896;4.347;0.000;10215.000;232015;0;-2;
2994.261;4.347;0.000;10216.000;232015;0;-2;
2989.286;4.444;0.000;10217.000;232015;0;-2;
2991.806;4.591;0.000;10218.000;232015;0;-2;
2993.722;4.249;0.000;10219.000;232015;0;-2;
2994.258;4.103;0.000;10220.000;232015;0;-2;
2990.385;4.274;0.000;10221.000;232015;0;-2;
2991.948;4.127;0.000;10222.000;232015;0;-2;
2994.647;4.347;0.000;10223.000;232015;0;-2;
2990.135;4.225;0.000;10224.000;232015;0;-2;
2995.230;4.176;0.000;10225.000;232015;0;-2;
2994.444;4.200;0.000;10226.000;232015;0;-2;
2993.412;4.151;0.000;10227.000;232015;0;-2;
2991.917;4.225;0.000;10228.000;232015;0;-2;
2996.552;4.176;0.000;10229.000;232015;0;-2;
2995.409;4.322;0.000;10230.000;232015;0;-2;
2996.604;4.249;0.000;10231.000;232015;0;-2;
2996.618;4.225;0.000;10232.000;232015;0;-2;
2988.154;4.225;0.000;10233.000;232015;0;-2;
2990.380;3.956;0.000;10234.000;232015;0;-2;
2989.314;4.225;0.000;10235.000;232015;0;-2;
2995.950;4.420;0.000;10236.000;232015;0;-2;
2997.172;4.347;0.000;10237.000;232015;0;-2;
2995.143;4.176;0.000;10238.000;232015;0;-2;
2994.992;4.615;0.000;10239.000;232015;0;-2;
2994.254;4.274;0.000;10240.000;232015;0;-2;
2994.373;4.371;0.000;10241.000;232015;0;-2;
2992.854;4.322;0.000;10242.000;232015;0;-2;
2999.041;4.322;0.000;10243.000;232015;0;-2;
2995.009;4.542;0.000;10244.000;232015;0;-2;
2993.992;4.249;0.000;10245.000;232015;0;-2;
2992.630;4.396;0.000;10246.000;232015;0;-2;
2992.760;4.420;0.000;10247.000;232015;0;-2;
2998.206;4.029;0.000;10248.000;232015;0;-2;
2991.122;4.420;0.000;10249.000;232015;0;-2;
2994.550;4.371;0.000;10250.000;232015;0;-2;
2992.559;4.420;0.000;10251.000;232015;0;-2;
2995.116;4.298;0.000;10252.000;232015;0;-2;
2994.262;4.420;0.000;10253.000;232015;0;-2;
2989.854;4.591;0.000;10254.000;232015;0;-2;
2992.373;4.274;0.000;10255.000;232015;0;-2;
2999.028;4.176;0.000;10256.000;232015;0;-2;
2992.191;4.347;0.000;10257.000;232015;0;-2;
2998.124;4.371;0.000;10258.000;232015;0;-2;
2993.042;4.396;0.000;10259.000;232015;0;-2;
2992.102;4.420;0.000;10260.000;232015;0;-2;
2991.885;4.225;0.000;10261.000;232015;0;-2;
2989.919;4.298;0.000;10262.000;232015;0;-2;
2992.307;4.371;0.000;10263.000;232015;0;-2;
2994.907;4.493;0.000;10264.000;232015;0;-2;
2989.917;4.005;0.000;10265.000;232015;0;-2;
2996.087;4.200;0.000;10266.000;232015;0;-2;
2991.460;4.396;0.000;10267.000;232015;0;-2;
2999.174;4.054;0.000;10268.000;232015;0;-2;
2993.343;4.127;0.000;10269.000;232015;0;-2;
2993.767;4.396;0.000;10270.000;232015;0;-2;
2993.639;4.737;0.000;10271.000;232015;0;-2;
2997.151;4.518;0.000;10272.000;232015;0;-2;
2993.695;4.298;0.000;10273.000;232015;0;-2;
2995.790;4.103;0.000;10274.000;232015;0;-2;
2990.542;4.347;0.000;10275.000;232015;0;-2;
2991.004;4.615;0.000;10276.000;232015;0;-2;
2988.745;4.127;0.000;10277.000;232015;0;-2;
2990.988;4.396;0.000;10278.000;232015;0;-2;
2995.915;4.005;0.000;10279.000;232015;0;-2;
2990.251;4.225;0.000;10280.000;232015;0;-2;
2992.549;4.322;0.000;10281.000;232015;0;-2;
2992.912;4.322;0.000;10282.000;232015;0;-2;
2995.082;3.980;0.000;10283.000;232015;0;-2;
