Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
3049.018;100.000;128.000;13386.000;230580;0;-2;
3049.482;100.000;128.000;13387.000;230580;0;-2;
3049.039;100.000;128.000;13388.000;230580;0;-2;
3048.930;100.000;128.000;13389.000;230580;0;-2;
3048.294;100.000;128.000;13390.000;230580;0;-2;
3048.707;100.000;128.000;13391.000;230580;0;-2;
3047.909;100.000;128.000;13392.000;230580;0;-2;
3048.614;100.000;128.000;13393.000;230580;0;-2;
3048.430;100.000;128.000;13394.000;230580;0;-2;
3049.149;100.000;128.000;13395.000;230580;0;-2;
3048.930;100.000;128.000;13396.000;230580;0;-2;
3048.804;100.000;128.000;13397.000;230580;0;-2;
3048.765;100.000;128.000;13398.000;230580;0;-2;
3048.547;100.000;128.000;13399.000;230580;0;-2;
3049.751;100.000;128.000;13400.000;230580;0;-2;
3048.791;100.000;128.000;13401.000;230580;0;-2;
3048.788;100.000;128.000;13402.000;230580;0;-2;
3048.745;100.000;128.000;13403.000;230580;0;-2;
3048.788;100.000;128.000;13404.000;230580;0;-2;
3048.208;100.000;128.000;13405.000;230580;0;-2;
3049.496;100.000;128.000;13406.000;230580;0;-2;
3048.290;100.000;128.000;13407.000;230580;0;-2;
3048.925;100.000;128.000;13408.000;230580;0;-2;
3048.494;100.000;128.000;13409.000;230580;0;-2;
3048.688;100.000;128.000;13410.000;230580;0;-2;
3048.577;100.000;128.000;13411.000;230580;0;-2;
3048.280;100.000;128.000;13412.000;230580;0;-2;
3049.138;100.000;128.000;13413.000;230580;0;-2;
3048.765;100.000;128.000;13414.000;230580;0;-2;
3049.226;100.000;128.000;13415.000;230580;0;-2;
3048.080;100.000;128.000;13416.000;230580;0;-2;
3049.750;100.000;128.000;13417.000;230580;0;-2;
3048.892;100.000;128.000;13418.000;230580;0;-2;
3048.536;100.000;128.000;13419.000;230580;0;-2;
3048.689;100.000;128.000;13420.000;230580;0;-2;
3049.427;100.000;128.000;13421.000;230580;0;-2;
3049.144;100.000;128.000;13422.000;230580;0;-2;
3048.889;100.000;128.000;13423.000;230580;0;-2;
3048.167;100.000;128.000;13424.000;230580;0;-2;
3049.200;100.000;128.000;13425.000;230580;0;-2;
3048.996;100.000;128.000;13426.000;230580;0;-2;
3048.742;100.000;128.000;13427.000;230580;0;-2;
3049.413;100.000;128.000;13428.000;230580;0;-2;
3049.042;100.000;128.000;13429.000;230580;0;-2;
