Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
1904.403;19.853;0.000;28584.000;868971;0;-1;
1903.405;19.707;0.000;28585.000;868971;0;-1;
1904.435;19.585;0.000;28586.000;868971;0;-1;
1906.321;19.316;0.000;28587.000;868971;0;-1;
1904.384;19.878;0.000;28588.000;868971;0;-1;
1905.554;19.902;0.000;28589.000;868971;0;-1;
1906.760;19.145;0.000;28590.000;868971;0;-1;
1905.536;19.658;0.000;28591.000;868971;0;-1;
1901.931;20.659;0.000;28592.000;868971;0;-1;
1904.630;20.049;0.000;28593.000;868971;0;-1;
1903.569;20.195;0.000;28594.000;868971;0;-1;
1904.318;19.780;0.000;28595.000;868971;0;-1;
1906.179;19.829;0.000;28596.000;868971;0;-1;
1904.274;20.073;0.000;28597.000;868971;0;-1;
1903.228;19.707;0.000;28598.000;868971;0;-1;
1900.597;19.414;0.000;28599.000;868971;0;-1;
1904.696;19.267;0.000;28600.000;868971;0;-1;
1902.251;20.293;0.000;28601.000;868971;0;-1;
1903.749;20.220;0.000;28602.000;868971;0;-1;
1904.036;20.147;0.000;28603.000;868971;0;-1;
1903.358;19.536;0.000;28604.000;868971;0;-1;
1905.279;20.537;0.000;28605.000;868971;0;-1;
1903.109;19.658;0.000;28606.000;868971;0;-1;
1901.359;18.803;0.000;28607.000;868971;0;-1;
1903.351;19.463;0.000;28608.000;868971;0;-1;
1906.748;19.389;0.000;28609.000;868971;0;-1;
1904.712;19.707;0.000;28610.000;868971;0;-1;
1904.751;19.658;0.000;28611.000;868971;0;-1;
1904.892;20.317;0.000;28612.000;868971;0;-1;
1904.738;19.560;0.000;28613.000;868971;0;-1;
1904.200;19.609;0.000;28614.000;868971;0;-1;
1906.329;19.780;0.000;28615.000;868971;0;-1;
1906.142;19.536;0.000;28616.000;868971;0;-1;
1904.256;19.878;0.000;28617.000;868971;0;-1;
1903.698;19.609;0.000;28618.000;868971;0;-1;
1905.413;19.316;0.000;28619.000;868971;0;-1;
1906.019;19.683;0.000;28620.000;868971;0;-1;
1905.968;19.023;0.000;28621.000;868971;0;-1;
1903.647;19.829;0.000;28622.000;868971;0;-1;
1905.328;19.634;0.000;28623.000;868971;0;-1;
1904.670;19.316;0.000;28624.000;868971;0;-1;
1902.302;19.560;0.000;28625.000;868971;0;-1;
1904.122;19.853;0.000;28626.000;868971;0;-1;
1902.854;19.683;0.000;28627.000;868971;0;-1;
1904.345;19.048;0.000;28628.000;868971;0;-1;
1902.921;19.585;0.000;28629.000;868971;0;-1;
1903.323;20.391;0.000;28630.000;868971;0;-1;
1905.716;19.463;0.000;28631.000;868971;0;-1;
1905.433;19.219;0.000;28632.000;868971;0;-1;
1907.443;20.464;0.000;28633.000;868971;0;-1;
1905.909;20.171;0.000;28634.000;868971;0;-1;
1905.489;20.806;0.000;28635.000;868971;0;-1;
1906.111;19.389;0.000;28636.000;868971;0;-1;
1905.291;19.487;0.000;28637.000;868971;0;-1;
1904.005;19.487;0.000;28638.000;868971;0;-1;
1901.193;20.147;0.000;28639.000;868971;0;-1;
1904.530;20.293;0.000;28640.000;868971;0;-1;
1902.712;19.927;0.000;28641.000;868971;0;-1;
1902.313;19.780;0.000;28642.000;868971;0;-1;
1903.329;20.220;0.000;28643.000;868971;0;-1;
1905.858;19.463;0.000;28644.000;868971;0;-1;
1904.075;20.195;0.000;28645.000;868971;0;-1;
1902.937;19.756;0.000;28646.000;868971;0;-1;
1904.124;19.927;0.000;28647.000;868971;0;-1;
1903.676;19.756;0.000;28648.000;868971;0;-1;
1904.935;19.585;0.000;28649.000;868971;0;-1;
1906.234;19.560;0.000;28650.000;868971;0;-1;
1905.154;20.147;0.000;28651.000;868971;0;-1;
1904.927;19.341;0.000;28652.000;868971;0;-1;
1906.622;19.585;0.000;28653.000;868971;0;-1;
1906.106;19.634;0.000;28654.000;868971;0;-1;
1902.969;19.487;0.000;28655.000;868971;0;-1;
1904.274;19.829;0.000;28656.000;868971;0;-1;
1902.408;19.707;0.000;28657.000;868971;0;-1;
1906.068;19.805;0.000;28658.000;868971;0;-1;
1906.427;19.560;0.000;28659.000;868971;0;-1;
1903.303;19.609;0.000;28660.000;868971;0;-1;
1902.128;20.073;0.000;28661.000;868971;0;-1;
1903.197;20.195;0.000;28662.000;868971;0;-1;
1901.414;19.853;0.000;28663.000;868971;0;-1;
1903.503;20.366;0.000;28664.000;868971;0;-1;
1904.201;19.609;0.000;28665.000;868971;0;-1;
1907.295;19.219;0.000;28666.000;868971;0;-1;
1902.784;20.000;0.000;28667.000;868971;0;-1;
1904.542;19.048;0.000;28668.000;868971;0;-1;
1905.789;19.731;0.000;28669.000;868971;0;-1;
1906.728;19.585;0.000;28670.000;868971;0;-1;
1904.124;19.292;0.000;28671.000;868971;0;-1;
1904.843;20.269;0.000;28672.000;868971;0;-1;
1903.270;19.121;0.000;28673.000;868971;0;-1;
1901.906;19.560;0.000;28674.000;868971;0;-1;
1902.873;19.683;0.000;28675.000;868971;0;-1;
1904.956;19.316;0.000;28676.000;868971;0;-1;
1902.871;20.391;0.000;28677.000;868971;0;-1;
1905.654;19.707;0.000;28678.000;868971;0;-1;
1904.474;19.829;0.000;28679.000;868971;0;-1;
1906.899;19.609;0.000;28680.000;868971;0;-1;
1902.295;20.000;0.000;28681.000;868971;0;-1;
1901.896;19.707;0.000;28682.000;868971;0;-1;
1904.138;20.366;0.000;28683.000;868971;0;-1;
1901.779;20.147;0.000;28684.000;868971;0;-1;
1902.336;19.902;0.000;28685.000;868971;0;-1;
1904.825;19.512;0.000;28686.000;868971;0;-1;
1907.376;19.145;0.000;28687.000;868971;0;-1;
1906.440;19.902;0.000;28688.000;868971;0;-1;
1904.723;20.220;0.000;28689.000;868971;0;-1;
1903.495;19.927;0.000;28690.000;868971;0;-1;
1901.778;20.122;0.000;28691.000;868971;0;-1;
1904.542;20.537;0.000;28692.000;868971;0;-1;
1906.539;19.560;0.000;28693.000;868971;0;-1;
1904.040;19.853;0.000;28694.000;868971;0;-1;
1904.212;20.317;0.000;28695.000;868971;0;-1;
1903.771;19.878;0.000;28696.000;868971;0;-1;
1905.637;19.683;0.000;28697.000;868971;0;-1;
1903.632;20.220;0.000;28698.000;868971;0;-1;
1903.119;19.365;0.000;28699.000;868971;0;-1;
1903.812;19.707;0.000;28700.000;868971;0;-1;
1907.823;19.536;0.000;28701.000;868971;0;-1;
1902.770;20.073;0.000;28702.000;868971;0;-1;
1906.587;20.488;0.000;28703.000;868971;0;-1;
1906.905;19.658;0.000;28704.000;868971;0;-1;
1904.171;19.560;0.000;28705.000;868971;0;-1;
1903.320;19.780;0.000;28706.000;868971;0;-1;
1903.934;20.122;0.000;28707.000;868971;0;-1;
1902.756;19.780;0.000;28708.000;868971;0;-1;
1905.880;19.951;0.000;28709.000;868971;0;-1;
1905.550;19.536;0.000;28710.000;868971;0;-1;
1909.077;19.512;0.000;28711.000;868971;0;-1;
