Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
1867.533;15.385;0.000;3710.000;-23627;0;-2;
1867.057;43.663;0.000;3711.000;-23537;0;-2;
1874.513;27.985;0.000;3712.000;-23447;0;-2;
1871.998;14.310;0.000;3713.000;-23358;0;-2;
1861.117;32.552;0.000;3714.000;-23268;0;-2;
1862.906;39.902;0.000;3715.000;-23178;0;-2;
1871.105;27.570;0.000;3716.000;-23090;0;-2;
1867.336;29.231;0.000;3717.000;-23000;0;-2;
1871.813;21.807;0.000;3718.000;-22910;0;-2;
1872.300;29.158;0.000;3719.000;-22821;0;-2;
1858.364;54.481;0.000;3720.000;-22731;0;-2;
1875.522;21.734;0.000;3721.000;-22642;0;-2;
1875.079;17.802;0.000;3722.000;-22552;0;-2;
1869.290;15.971;0.000;3723.000;-22462;0;-2;
1874.430;14.554;0.000;3724.000;-22373;0;-2;
1872.934;14.383;0.000;3725.000;-22284;0;-2;
1869.862;13.919;0.000;3726.000;-22194;0;-2;
1869.984;19.170;0.000;3727.000;-22105;0;-2;
1866.129;23.101;0.000;3728.000;-22015;0;-2;
1872.567;28.107;0.000;3729.000;-21925;0;-2;
1869.827;30.305;0.000;3730.000;-21836;0;-2;
1867.137;15.531;0.000;3731.000;-21746;0;-2;
1869.864;31.624;0.000;3732.000;-21656;0;-2;
1880.438;32.137;0.000;3733.000;-21567;0;-2;
1870.455;15.263;0.000;3734.000;-21477;0;-2;
1872.257;13.187;0.000;3735.000;-21388;0;-2;
1874.529;14.115;0.000;3736.000;-21298;0;-2;
1881.963;23.199;0.000;3737.000;-21208;0;-2;
1878.154;21.783;0.000;3738.000;-21119;0;-2;
1867.467;53.504;0.000;3739.000;-21029;0;-2;
1885.101;16.484;0.000;3740.000;-20939;0;-2;
1871.942;15.116;0.000;3741.000;-20850;0;-2;
1867.847;16.801;0.000;3742.000;-20760;0;-2;
1865.338;15.678;0.000;3743.000;-20670;0;-2;
1867.342;15.971;0.000;3744.000;-20580;0;-2;
1863.340;16.361;0.000;3745.000;-20491;0;-2;
1864.613;20.073;0.000;3746.000;-20401;0;-2;
1863.711;18.193;0.000;3747.000;-20311;0;-2;
1872.915;18.193;0.000;3748.000;-20221;0;-2;
1867.201;18.144;0.000;3749.000;-20132;0;-2;
1866.870;14.335;0.000;3750.000;-20042;0;-2;
1877.059;17.387;0.000;3751.000;-19952;0;-2;
1863.042;15.702;0.000;3752.000;-19863;0;-2;
1880.662;20.488;0.000;3753.000;-19773;0;-2;
1873.241;14.090;0.000;3754.000;-19683;0;-2;
1872.372;14.261;0.000;3755.000;-19594;0;-2;
1869.582;13.089;0.000;3756.000;-19504;0;-2;
1873.513;18.999;0.000;3757.000;-19415;0;-2;
1869.105;14.408;0.000;3758.000;-19326;0;-2;
1873.618;21.343;0.000;3759.000;-19236;0;-2;
1869.789;15.238;0.000;3760.000;-19147;0;-2;
1870.550;11.160;0.000;3761.000;-19057;0;-2;
1868.764;12.234;0.000;3762.000;-18968;0;-2;
1869.288;14.774;0.000;3763.000;-18879;0;-2;
1868.319;13.626;0.000;3764.000;-18790;0;-2;
1868.737;11.819;0.000;3765.000;-18700;0;-2;
1867.395;10.891;0.000;3766.000;-18611;0;-2;
1868.314;14.212;0.000;3767.000;-18521;0;-2;
1869.872;16.630;0.000;3768.000;-18432;0;-2;
1873.523;15.433;0.000;3769.000;-18342;0;-2;
1873.254;18.266;0.000;3770.000;-18252;0;-2;
1868.068;9.426;0.000;3771.000;-18163;0;-2;
1860.470;9.060;0.000;3772.000;-18073;0;-2;
1876.987;20.366;0.000;3773.000;-17984;0;-2;
1869.322;25.983;0.000;3774.000;-17894;0;-2;
1871.711;21.783;0.000;3775.000;-17804;0;-2;
1868.196;19.512;0.000;3776.000;-17714;0;-2;
1872.922;25.519;0.000;3777.000;-17625;0;-2;
1865.639;13.626;0.000;3778.000;-17535;0;-2;
1869.682;13.871;0.000;3779.000;-17445;0;-2;
1872.627;22.051;0.000;3780.000;-17356;0;-2;
1868.484;12.723;0.000;3781.000;-17266;0;-2;
1867.429;11.429;0.000;3782.000;-17177;0;-2;
1863.360;51.355;0.000;3783.000;-17087;0;-2;
1870.183;21.416;0.000;3784.000;-16997;0;-2;
1871.419;24.151;0.000;3785.000;-16908;0;-2;
1868.395;17.143;0.000;3786.000;-16818;0;-2;
1865.326;37.021;0.000;3787.000;-16728;0;-2;
1867.161;18.291;0.000;3788.000;-16639;0;-2;
1871.769;21.245;0.000;3789.000;-16550;0;-2;
1865.042;19.365;0.000;3790.000;-16460;0;-2;
1863.265;18.559;0.000;3791.000;-16371;0;-2;
1869.347;16.093;0.000;3792.000;-16280;0;-2;
1872.665;12.601;0.000;3793.000;-16191;0;-2;
1870.694;18.755;0.000;3794.000;-16101;0;-2;
1872.947;14.090;0.000;3795.000;-16012;0;-2;
1869.938;17.802;0.000;3796.000;-15922;0;-2;
1872.749;13.724;0.000;3797.000;-15832;0;-2;
1869.429;13.553;0.000;3798.000;-15743;0;-2;
1875.964;14.408;0.000;3799.000;-15653;0;-2;
1874.417;15.702;0.000;3800.000;-15563;0;-2;
