Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
2862.225;100.000;128.000;11747.000;930488;0;0;
2862.090;100.000;128.000;11748.000;930488;0;0;
2862.782;100.000;128.000;11749.000;930488;0;0;
2862.596;100.000;128.000;11750.000;930488;0;0;
2862.812;100.000;128.000;11751.000;930488;0;0;
2862.353;100.000;128.000;11752.000;930488;0;0;
2862.571;100.000;128.000;11753.000;930488;0;0;
2862.533;100.000;128.000;11754.000;930488;0;0;
2863.040;100.000;128.000;11755.000;930488;0;0;
2862.712;100.000;128.000;11756.000;930488;0;0;
2862.797;100.000;128.000;11757.000;930488;0;0;
2861.971;100.000;128.000;11758.000;930488;0;0;
2862.652;100.000;128.000;11759.000;930488;0;0;
2861.991;100.000;128.000;11760.000;930488;0;0;
2863.077;100.000;128.000;11761.000;930488;0;0;
2861.706;100.000;128.000;11762.000;930488;0;0;
2862.213;100.000;128.000;11763.000;930488;0;0;
2861.948;100.000;128.000;11764.000;930488;0;0;
2862.621;100.000;128.000;11765.000;930488;0;0;
2862.112;100.000;128.000;11766.000;930488;0;0;
2862.651;100.000;128.000;11767.000;930488;0;0;
2862.076;100.000;128.000;11768.000;930488;0;0;
2862.780;100.000;128.000;11769.000;930488;0;0;
2862.464;100.000;128.000;11770.000;930488;0;0;
2861.930;100.000;128.000;11771.000;930488;0;0;
2862.750;100.000;128.000;11772.000;930488;0;0;
2862.585;100.000;128.000;11773.000;930488;0;0;
2862.667;100.000;128.000;11774.000;930488;0;0;
2862.111;100.000;128.000;11775.000;930488;0;0;
2862.626;100.000;128.000;11776.000;930488;0;0;
2862.437;100.000;128.000;11777.000;930488;0;0;
2861.767;100.000;128.000;11778.000;930488;0;0;
2862.552;100.000;128.000;11779.000;930488;0;0;
2862.266;100.000;128.000;11780.000;930488;0;0;
2863.065;100.000;128.000;11781.000;930488;0;0;
2862.929;100.000;128.000;11782.000;930488;0;0;
2862.090;100.000;128.000;11783.000;930488;0;0;
2863.116;100.000;128.000;11784.000;930488;0;0;
2862.616;100.000;128.000;11785.000;930488;0;0;
2862.751;100.000;128.000;11786.000;930488;0;0;
2862.283;100.000;128.000;11787.000;930488;0;0;
2862.386;100.000;128.000;11788.000;930488;0;0;
2862.828;100.000;128.000;11789.000;930488;0;0;
2862.073;100.000;128.000;11790.000;930488;0;0;
2862.640;100.000;128.000;11791.000;930488;0;0;
2862.438;100.000;128.000;11792.000;930488;0;0;
2862.790;100.000;128.000;11793.000;930488;0;0;
2862.454;100.000;128.000;11794.000;930488;0;0;
2862.300;100.000;128.000;11795.000;930488;0;0;
2862.544;100.000;128.000;11796.000;930488;0;0;
2862.736;100.000;128.000;11797.000;930488;0;0;
2863.065;100.000;128.000;11798.000;930488;0;0;
2862.462;100.000;128.000;11799.000;930488;0;0;
2862.509;100.000;128.000;11800.000;930488;0;0;
2862.802;100.000;128.000;11801.000;930488;0;0;
2862.416;100.000;128.000;11802.000;930488;0;0;
2862.579;100.000;128.000;11803.000;930488;0;0;
2861.531;100.000;128.000;11804.000;930488;0;0;
2862.631;100.000;128.000;11805.000;930488;0;0;
2862.098;100.000;128.000;11806.000;930488;0;0;
2862.475;100.000;128.000;11807.000;930488;0;0;
2862.571;100.000;128.000;11808.000;930488;0;0;
2862.977;100.000;128.000;11809.000;930488;0;0;
2862.111;100.000;128.000;11810.000;930488;0;0;
2861.771;100.000;128.000;11811.000;930488;0;0;
2862.519;100.000;128.000;11812.000;930488;0;0;
2862.635;100.000;128.000;11813.000;930488;0;0;
2862.493;100.000;128.000;11814.000;930488;0;0;
2861.931;100.000;128.000;11815.000;930488;0;0;
2862.565;100.000;128.000;11816.000;930488;0;0;
2862.354;100.000;128.000;11817.000;930488;0;0;
2862.532;100.000;128.000;11818.000;930488;0;0;
2862.648;100.000;128.000;11819.000;930488;0;0;
2862.405;100.000;128.000;11820.000;930488;0;0;
2862.977;100.000;128.000;11821.000;930488;0;0;
2862.823;100.000;128.000;11822.000;930488;0;0;
2862.358;100.000;128.000;11823.000;930488;0;0;
2862.337;100.000;128.000;11824.000;930488;0;0;
2862.917;100.000;128.000;11825.000;930488;0;0;
2862.106;100.000;128.000;11826.000;930488;0;0;
2862.157;100.000;128.000;11827.000;930488;0;0;
2862.061;100.000;128.000;11828.000;930488;0;0;
2862.807;100.000;128.000;11829.000;930488;0;0;
2862.573;100.000;128.000;11830.000;930488;0;0;
2862.565;100.000;128.000;11831.000;930488;0;0;
2862.376;100.000;128.000;11832.000;930488;0;0;
2862.206;100.000;128.000;11833.000;930488;0;0;
2862.595;100.000;128.000;11834.000;930488;0;0;
2862.509;100.000;128.000;11835.000;930488;0;0;
2862.456;100.000;128.000;11836.000;930488;0;0;
