Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
3171.517;100.000;128.000;9732.000;930488;0;0;
3170.538;100.000;128.000;9733.000;930488;0;0;
3171.487;100.000;128.000;9734.000;930488;0;0;
3170.600;100.000;128.000;9735.000;930488;0;0;
3170.532;100.000;128.000;9736.000;930488;0;0;
3170.669;100.000;128.000;9737.000;930488;0;0;
3170.894;100.000;128.000;9738.000;930488;0;0;
3171.337;100.000;128.000;9739.000;930488;0;0;
3170.926;100.000;128.000;9740.000;930488;0;0;
3171.062;100.000;128.000;9741.000;930488;0;0;
3170.251;100.000;128.000;9742.000;930488;0;0;
3171.714;100.000;128.000;9743.000;930488;0;0;
3171.069;100.000;128.000;9744.000;930488;0;0;
3171.107;100.000;128.000;9745.000;930488;0;0;
3170.918;100.000;128.000;9746.000;930488;0;0;
3171.123;100.000;128.000;9747.000;930488;0;0;
3170.951;100.000;128.000;9748.000;930488;0;0;
3170.602;100.000;128.000;9749.000;930488;0;0;
3171.294;100.000;128.000;9750.000;930488;0;0;
3171.254;100.000;128.000;9751.000;930488;0;0;
3170.035;100.000;128.000;9752.000;930488;0;0;
3171.097;100.000;128.000;9753.000;930488;0;0;
3171.356;100.000;128.000;9754.000;930488;0;0;
3170.909;100.000;128.000;9755.000;930488;0;0;
3170.880;100.000;128.000;9756.000;930488;0;0;
3171.121;100.000;128.000;9757.000;930488;0;0;
3170.984;100.000;128.000;9758.000;930488;0;0;
3170.995;100.000;128.000;9759.000;930488;0;0;
3171.046;100.000;128.000;9760.000;930488;0;0;
3170.563;100.000;128.000;9761.000;930488;0;0;
3170.704;100.000;128.000;9762.000;930488;0;0;
3170.423;100.000;128.000;9763.000;930488;0;0;
3171.411;100.000;128.000;9764.000;930488;0;0;
3171.278;100.000;128.000;9765.000;930488;0;0;
3171.157;100.000;128.000;9766.000;930488;0;0;
3171.169;100.000;128.000;9767.000;930488;0;0;
3170.452;100.000;128.000;9768.000;930488;0;0;
3170.995;100.000;128.000;9769.000;930488;0;0;
3170.811;100.000;128.000;9770.000;930488;0;0;
3170.918;100.000;128.000;9771.000;930488;0;0;
3171.003;100.000;128.000;9772.000;930488;0;0;
3170.474;100.000;128.000;9773.000;930488;0;0;
3170.300;100.000;128.000;9774.000;930488;0;0;
3171.096;100.000;128.000;9775.000;930488;0;0;
3171.519;100.000;128.000;9776.000;930488;0;0;
3170.511;100.000;128.000;9777.000;930488;0;0;
3170.107;100.000;128.000;9778.000;930488;0;0;
3171.355;100.000;128.000;9779.000;930488;0;0;
3170.674;100.000;128.000;9780.000;930488;0;0;
3170.792;100.000;128.000;9781.000;930488;0;0;
3170.671;100.000;128.000;9782.000;930488;0;0;
3171.165;100.000;128.000;9783.000;930488;0;0;
3171.329;100.000;128.000;9784.000;930488;0;0;
3170.866;100.000;128.000;9785.000;930488;0;0;
3170.891;100.000;128.000;9786.000;930488;0;0;
3170.951;100.000;128.000;9787.000;930488;0;0;
3171.183;100.000;128.000;9788.000;930488;0;0;
3170.607;100.000;128.000;9789.000;930488;0;0;
3170.763;100.000;128.000;9790.000;930488;0;0;
3170.640;100.000;128.000;9791.000;930488;0;0;
3171.153;100.000;128.000;9792.000;930488;0;0;
3170.998;100.000;128.000;9793.000;930488;0;0;
3171.118;100.000;128.000;9794.000;930488;0;0;
3170.944;100.000;128.000;9795.000;930488;0;0;
3171.263;100.000;128.000;9796.000;930488;0;0;
3171.118;100.000;128.000;9797.000;930488;0;0;
3170.249;100.000;128.000;9798.000;930488;0;0;
3170.260;100.000;128.000;9799.000;930488;0;0;
3170.618;100.000;128.000;9800.000;930488;0;0;
3171.060;100.000;128.000;9801.000;930488;0;0;
3170.458;100.000;128.000;9802.000;930488;0;0;
3170.934;100.000;128.000;9803.000;930488;0;0;
3170.437;100.000;128.000;9804.000;930488;0;0;
3170.541;100.000;128.000;9805.000;930488;0;0;
3170.918;100.000;128.000;9806.000;930488;0;0;
3171.000;100.000;128.000;9807.000;930488;0;0;
3170.276;100.000;128.000;9808.000;930488;0;0;
3170.907;100.000;128.000;9809.000;930488;0;0;
3170.771;100.000;128.000;9810.000;930488;0;0;
3170.606;100.000;128.000;9811.000;930488;0;0;
3170.643;100.000;128.000;9812.000;930488;0;0;
3170.447;100.000;128.000;9813.000;930488;0;0;
3171.110;100.000;128.000;9814.000;930488;0;0;
3170.968;100.000;128.000;9815.000;930488;0;0;
3170.591;100.000;128.000;9816.000;930488;0;0;
3171.051;100.000;128.000;9817.000;930488;0;0;
3171.805;100.000;128.000;9818.000;930488;0;0;
3170.506;100.000;128.000;9819.000;930488;0;0;
3170.520;100.000;128.000;9820.000;930488;0;0;
3171.517;100.000;128.000;9821.000;930488;0;0;
3170.549;100.000;128.000;9822.000;930488;0;0;
3170.929;100.000;128.000;9823.000;930488;0;0;
3170.816;100.000;128.000;9824.000;930488;0;0;
3171.089;100.000;128.000;9825.000;930488;0;0;
3171.131;100.000;128.000;9826.000;930488;0;0;
3170.922;100.000;128.000;9827.000;930488;0;0;
3170.752;100.000;128.000;9828.000;930488;0;0;
3171.217;100.000;128.000;9829.000;930488;0;0;
3171.147;100.000;128.000;9830.000;930488;0;0;
3170.909;100.000;128.000;9831.000;930488;0;0;
3170.666;100.000;128.000;9832.000;930488;0;0;
