Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
1879.451;94.457;0.000;4993.000;-983187;0;0;
1877.904;62.857;0.000;4994.000;-983198;0;0;
1880.932;36.581;0.000;4995.000;-983209;0;0;
1865.445;31.844;0.000;4996.000;-983220;0;0;
1877.283;28.987;0.000;4997.000;-983231;0;0;
1883.840;32.479;0.000;4998.000;-983243;0;0;
1887.092;65.299;0.000;4999.000;-983254;0;0;
1893.173;89.499;0.000;5000.000;-983265;0;0;
1895.387;98.999;0.000;5001.000;-983276;0;0;
1885.712;64.005;0.000;5002.000;-983288;0;0;
1877.488;51.013;0.000;5003.000;-983299;0;0;
1882.133;59.438;0.000;5004.000;-983310;0;0;
1877.607;49.915;0.000;5005.000;-983322;0;0;
1870.289;60.220;0.000;5006.000;-983333;0;0;
1874.511;56.532;0.000;5007.000;-983345;0;0;
1880.896;62.149;0.000;5008.000;-983356;0;0;
1873.234;64.908;0.000;5009.000;-983368;0;0;
1880.131;58.242;0.000;5010.000;-983380;0;0;
1884.334;38.266;0.000;5011.000;-983391;0;0;
1876.598;31.893;0.000;5012.000;-983403;0;0;
1872.355;36.923;0.000;5013.000;-983415;0;0;
1870.765;98.999;0.000;5014.000;-983427;0;0;
1874.292;98.999;0.000;5015.000;-983439;0;0;
1880.354;48.718;0.000;5016.000;-983450;0;0;
1868.471;47.839;0.000;5017.000;-983462;0;0;
1882.269;52.625;0.000;5018.000;-983474;0;0;
1877.042;45.470;0.000;5019.000;-983486;0;0;
1872.084;34.481;0.000;5020.000;-983498;0;0;
1875.560;33.675;0.000;5021.000;-983510;0;0;
1868.176;46.007;0.000;5022.000;-983523;0;0;
1869.230;43.394;0.000;5023.000;-983534;0;0;
1865.167;28.303;0.000;5024.000;-983547;0;0;
1872.650;36.557;0.000;5025.000;-983559;0;0;
1873.754;35.287;0.000;5026.000;-983571;0;0;
1875.835;45.299;0.000;5027.000;-983584;0;0;
1876.018;43.565;0.000;5028.000;-983596;0;0;
1881.277;38.071;0.000;5029.000;-983608;0;0;
1873.418;54.237;0.000;5030.000;-983621;0;0;
1860.606;56.679;0.000;5031.000;-983633;0;0;
1873.455;52.357;0.000;5032.000;-983645;0;0;
1884.965;50.672;0.000;5033.000;-983658;0;0;
1886.402;68.523;0.000;5034.000;-983670;0;0;
1867.753;82.540;0.000;5035.000;-983683;0;0;
1857.254;70.672;0.000;5036.000;-983696;0;0;
1872.590;63.394;0.000;5037.000;-983708;0;0;
