Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
1878.545;71.990;0.000;10855.000;930488;0;0;
1878.331;71.941;0.000;10856.000;930488;0;0;
1878.324;70.647;0.000;10857.000;930488;0;0;
1876.828;71.404;0.000;10858.000;930488;0;0;
1877.849;70.965;0.000;10859.000;930488;0;0;
1877.981;71.355;0.000;10860.000;930488;0;0;
1878.646;72.063;0.000;10861.000;930488;0;0;
1878.485;71.990;0.000;10862.000;930488;0;0;
1877.488;70.916;0.000;10863.000;930488;0;0;
1877.762;72.234;0.000;10864.000;930488;0;0;
1875.900;71.624;0.000;10865.000;930488;0;0;
1879.271;72.332;0.000;10866.000;930488;0;0;
1878.832;71.404;0.000;10867.000;930488;0;0;
1878.436;71.306;0.000;10868.000;930488;0;0;
1878.563;71.819;0.000;10869.000;930488;0;0;
1878.836;71.258;0.000;10870.000;930488;0;0;
1878.553;70.403;0.000;10871.000;930488;0;0;
1877.424;71.087;0.000;10872.000;930488;0;0;
1878.333;71.697;0.000;10873.000;930488;0;0;
1877.893;71.746;0.000;10874.000;930488;0;0;
1877.679;70.574;0.000;10875.000;930488;0;0;
1878.829;71.551;0.000;10876.000;930488;0;0;
1877.584;70.525;0.000;10877.000;930488;0;0;
1877.776;71.331;0.000;10878.000;930488;0;0;
1877.994;71.282;0.000;10879.000;930488;0;0;
1877.629;70.647;0.000;10880.000;930488;0;0;
1878.127;70.549;0.000;10881.000;930488;0;0;
1878.688;71.209;0.000;10882.000;930488;0;0;
1878.830;71.917;0.000;10883.000;930488;0;0;
1878.500;70.159;0.000;10884.000;930488;0;0;
1877.836;71.429;0.000;10885.000;930488;0;0;
1878.628;72.723;0.000;10886.000;930488;0;0;
1877.843;70.549;0.000;10887.000;930488;0;0;
1879.541;71.697;0.000;10888.000;930488;0;0;
1878.277;70.794;0.000;10889.000;930488;0;0;
1877.988;70.183;0.000;10890.000;930488;0;0;
1878.424;71.868;0.000;10891.000;930488;0;0;
1877.541;70.989;0.000;10892.000;930488;0;0;
1877.098;71.160;0.000;10893.000;930488;0;0;
1877.283;71.941;0.000;10894.000;930488;0;0;
1878.130;71.575;0.000;10895.000;930488;0;0;
1878.039;73.455;0.000;10896.000;930488;0;0;
1878.251;71.306;0.000;10897.000;930488;0;0;
1878.617;69.866;0.000;10898.000;930488;0;0;
1877.691;71.331;0.000;10899.000;930488;0;0;
1878.086;70.256;0.000;10900.000;930488;0;0;
1877.894;71.209;0.000;10901.000;930488;0;0;
1878.041;71.648;0.000;10902.000;930488;0;0;
1877.341;71.160;0.000;10903.000;930488;0;0;
1876.615;71.062;0.000;10904.000;930488;0;0;
1877.337;70.525;0.000;10905.000;930488;0;0;
1878.497;72.210;0.000;10906.000;930488;0;0;
1877.780;72.063;0.000;10907.000;930488;0;0;
1877.679;71.477;0.000;10908.000;930488;0;0;
1878.488;71.941;0.000;10909.000;930488;0;0;
1876.834;70.794;0.000;10910.000;930488;0;0;
1878.781;71.013;0.000;10911.000;930488;0;0;
1877.474;71.111;0.000;10912.000;930488;0;0;
1878.318;71.868;0.000;10913.000;930488;0;0;
1878.193;71.429;0.000;10914.000;930488;0;0;
1877.819;71.038;0.000;10915.000;930488;0;0;
1877.507;71.404;0.000;10916.000;930488;0;0;
1877.789;70.427;0.000;10917.000;930488;0;0;
1878.617;71.966;0.000;10918.000;930488;0;0;
1877.343;71.722;0.000;10919.000;930488;0;0;
1877.438;71.062;0.000;10920.000;930488;0;0;
1878.366;70.720;0.000;10921.000;930488;0;0;
1877.649;71.600;0.000;10922.000;930488;0;0;
1879.002;71.990;0.000;10923.000;930488;0;0;
1878.087;71.258;0.000;10924.000;930488;0;0;
1877.688;71.209;0.000;10925.000;930488;0;0;
1876.177;70.916;0.000;10926.000;930488;0;0;
1878.343;72.430;0.000;10927.000;930488;0;0;
1878.471;71.038;0.000;10928.000;930488;0;0;
1878.470;71.429;0.000;10929.000;930488;0;0;
1876.713;71.429;0.000;10930.000;930488;0;0;
1877.984;71.306;0.000;10931.000;930488;0;0;
1878.357;71.038;0.000;10932.000;930488;0;0;
1878.032;71.306;0.000;10933.000;930488;0;0;
1877.967;70.818;0.000;10934.000;930488;0;0;
1878.027;70.769;0.000;10935.000;930488;0;0;
1877.646;70.989;0.000;10936.000;930488;0;0;
1877.298;70.989;0.000;10937.000;930488;0;0;
1878.348;71.087;0.000;10938.000;930488;0;0;
1878.090;72.234;0.000;10939.000;930488;0;0;
1878.093;70.696;0.000;10940.000;930488;0;0;
1877.813;72.894;0.000;10941.000;930488;0;0;
1878.189;70.818;0.000;10942.000;930488;0;0;
1877.896;71.038;0.000;10943.000;930488;0;0;
1879.425;72.112;0.000;10944.000;930488;0;0;
1879.066;72.283;0.000;10945.000;930488;0;0;
1878.710;70.623;0.000;10946.000;930488;0;0;
1877.664;71.184;0.000;10947.000;930488;0;0;
1879.465;71.477;0.000;10948.000;930488;0;0;
1878.013;72.137;0.000;10949.000;930488;0;0;
1877.304;72.137;0.000;10950.000;930488;0;0;
1879.424;71.600;0.000;10951.000;930488;0;0;
1877.346;71.062;0.000;10952.000;930488;0;0;
1877.247;72.503;0.000;10953.000;930488;0;0;
1878.658;70.769;0.000;10954.000;930488;0;0;
1878.191;71.453;0.000;10955.000;930488;0;0;
1879.160;70.940;0.000;10956.000;930488;0;0;
1879.351;72.821;0.000;10957.000;930488;0;0;
1878.033;70.549;0.000;10958.000;930488;0;0;
1877.747;71.966;0.000;10959.000;930488;0;0;
1878.705;71.355;0.000;10960.000;930488;0;0;
1878.410;71.551;0.000;10961.000;930488;0;0;
1878.474;72.454;0.000;10962.000;930488;0;0;
1878.143;70.940;0.000;10963.000;930488;0;0;
1878.400;69.841;0.000;10964.000;930488;0;0;
1877.953;70.891;0.000;10965.000;930488;0;0;
1877.515;71.893;0.000;10966.000;930488;0;0;
1878.554;71.355;0.000;10967.000;930488;0;0;
1877.774;70.696;0.000;10968.000;930488;0;0;
1878.470;72.283;0.000;10969.000;930488;0;0;
1877.911;71.575;0.000;10970.000;930488;0;0;
1878.518;71.990;0.000;10971.000;930488;0;0;
1877.776;70.794;0.000;10972.000;930488;0;0;
1877.403;71.111;0.000;10973.000;930488;0;0;
1878.327;70.769;0.000;10974.000;930488;0;0;
1877.605;71.648;0.000;10975.000;930488;0;0;
1878.250;71.306;0.000;10976.000;930488;0;0;
1877.706;72.063;0.000;10977.000;930488;0;0;
1878.083;72.283;0.000;10978.000;930488;0;0;
1878.526;72.063;0.000;10979.000;930488;0;0;
1877.320;69.866;0.000;10980.000;930488;0;0;
1877.890;71.795;0.000;10981.000;930488;0;0;
1878.828;70.110;0.000;10982.000;930488;0;0;
1877.574;70.647;0.000;10983.000;930488;0;0;
1879.179;72.845;0.000;10984.000;930488;0;0;
1877.789;71.233;0.000;10985.000;930488;0;0;
1878.326;71.282;0.000;10986.000;930488;0;0;
1877.187;71.355;0.000;10987.000;930488;0;0;
1879.621;70.794;0.000;10988.000;930488;0;0;
1878.271;70.745;0.000;10989.000;930488;0;0;
1878.195;72.894;0.000;10990.000;930488;0;0;
1878.532;71.160;0.000;10991.000;930488;0;0;
1878.764;71.184;0.000;10992.000;930488;0;0;
1879.021;71.184;0.000;10993.000;930488;0;0;
1879.229;71.746;0.000;10994.000;930488;0;0;
1876.936;71.795;0.000;10995.000;930488;0;0;
1877.070;71.136;0.000;10996.000;930488;0;0;
1879.295;71.990;0.000;10997.000;930488;0;0;
1879.118;71.844;0.000;10998.000;930488;0;0;
1877.212;71.600;0.000;10999.000;930488;0;0;
1878.026;72.137;0.000;11000.000;930488;0;0;
1878.756;72.747;0.000;11001.000;930488;0;0;
1878.341;71.380;0.000;11002.000;930488;0;0;
1878.617;71.477;0.000;11003.000;930488;0;0;
1878.378;71.600;0.000;11004.000;930488;0;0;
1878.012;70.598;0.000;11005.000;930488;0;0;
1877.462;71.502;0.000;11006.000;930488;0;0;
1878.320;71.966;0.000;11007.000;930488;0;0;
1878.266;69.621;0.000;11008.000;930488;0;0;
1878.345;71.526;0.000;11009.000;930488;0;0;
1878.999;72.063;0.000;11010.000;930488;0;0;
1876.077;71.258;0.000;11011.000;930488;0;0;
1877.022;70.623;0.000;11012.000;930488;0;0;
1877.643;71.624;0.000;11013.000;930488;0;0;
1878.453;71.648;0.000;11014.000;930488;0;0;
1877.287;70.891;0.000;11015.000;930488;0;0;
1879.365;71.990;0.000;11016.000;930488;0;0;
1877.091;70.354;0.000;11017.000;930488;0;0;
1877.851;72.454;0.000;11018.000;930488;0;0;
1878.303;71.917;0.000;11019.000;930488;0;0;
1878.567;71.184;0.000;11020.000;930488;0;0;
1878.488;71.526;0.000;11021.000;930488;0;0;
1879.627;71.600;0.000;11022.000;930488;0;0;
1878.573;71.209;0.000;11023.000;930488;0;0;
1878.092;71.575;0.000;11024.000;930488;0;0;
1878.071;71.673;0.000;11025.000;930488;0;0;
1877.725;71.038;0.000;11026.000;930488;0;0;
1877.307;71.575;0.000;11027.000;930488;0;0;
