Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
1869.063;48.083;0.000;19374.000;87658;0;0;
1878.446;73.602;0.000;19375.000;87576;0;0;
1881.425;55.140;0.000;19376.000;87495;0;0;
1871.795;38.926;0.000;19377.000;87413;0;0;
1873.049;30.720;0.000;19378.000;87331;0;0;
1872.689;34.554;0.000;19379.000;87249;0;0;
1874.977;39.292;0.000;19380.000;87167;0;0;
1871.817;27.961;0.000;19381.000;87086;0;0;
1872.435;37.729;0.000;19382.000;87004;0;0;
1886.037;36.581;0.000;19383.000;86922;0;0;
1869.023;37.680;0.000;19384.000;86840;0;0;
1838.279;35.580;0.000;19385.000;86759;0;0;
1838.938;47.863;0.000;19386.000;86677;0;0;
1870.717;75.409;0.000;19387.000;86596;0;0;
1873.014;77.973;0.000;19388.000;86514;0;0;
1870.005;61.612;0.000;19389.000;86432;0;0;
1872.684;49.646;0.000;19390.000;86350;0;0;
1873.224;49.328;0.000;19391.000;86268;0;0;
1873.369;98.999;0.000;19392.000;86186;0;0;
1882.427;98.339;0.000;19393.000;86105;0;0;
1885.370;98.999;0.000;19394.000;86023;0;0;
1884.755;57.045;0.000;19395.000;85941;0;0;
1876.356;85.372;0.000;19396.000;85860;0;0;
1876.325;70.598;0.000;19397.000;85778;0;0;
1870.999;76.703;0.000;19398.000;85696;0;0;
1872.403;34.457;0.000;19399.000;85615;0;0;
1881.383;31.746;0.000;19400.000;85534;0;0;
1889.655;63.297;0.000;19401.000;85452;0;0;
1865.354;62.515;0.000;19402.000;85370;0;0;
1899.171;98.999;0.000;19403.000;85289;0;0;
1883.104;98.999;0.000;19404.000;85208;0;0;
1876.195;46.422;0.000;19405.000;85126;0;0;
1882.261;37.411;0.000;19406.000;85045;0;0;
1878.439;32.186;0.000;19407.000;84963;0;0;
1883.529;61.514;0.000;19408.000;84882;0;0;
1875.216;88.327;0.000;19409.000;84800;0;0;
1872.352;35.238;0.000;19410.000;84719;0;0;
1889.449;35.385;0.000;19411.000;84638;0;0;
1877.214;37.411;0.000;19412.000;84556;0;0;
1873.096;25.470;0.000;19413.000;84474;0;0;
1873.074;36.996;0.000;19414.000;84393;0;0;
1873.114;32.234;0.000;19415.000;84312;0;0;
1878.900;98.999;0.000;19416.000;84230;0;0;
1873.843;100.000;128.000;19417.000;84149;0;0;
1874.984;100.000;128.000;19418.000;84067;0;0;
1877.289;100.000;128.000;19419.000;83986;0;0;
1874.009;100.000;128.000;19420.000;83905;0;0;
1879.743;98.999;0.000;19421.000;83823;0;0;
1870.414;81.123;0.000;19422.000;83742;0;0;
1876.353;30.574;0.000;19423.000;83661;0;0;
1878.717;51.258;0.000;19424.000;83579;0;0;
1872.822;32.283;0.000;19425.000;83498;0;0;
1882.273;98.999;0.000;19426.000;83417;0;0;
1867.749;51.233;0.000;19427.000;83336;0;0;
1870.902;37.192;0.000;19428.000;83254;0;0;
1889.978;39.805;0.000;19429.000;83173;0;0;
1877.238;31.184;0.000;19430.000;83092;0;0;
1874.476;42.198;0.000;19431.000;83011;0;0;
1881.185;46.349;0.000;19432.000;82930;0;0;
1898.512;98.999;0.000;19433.000;82848;0;0;
1886.081;62.833;0.000;19434.000;82768;0;0;
1877.928;96.630;0.000;19435.000;82686;0;0;
1872.334;35.800;0.000;19436.000;82605;0;0;
1881.431;26.203;0.000;19437.000;82524;0;0;
1867.356;36.557;0.000;19438.000;82443;0;0;
1874.551;37.998;0.000;19439.000;82362;0;0;
1876.678;41.856;0.000;19440.000;82281;0;0;
1867.121;98.999;0.000;19441.000;82200;0;0;
1875.106;78.144;0.000;19442.000;82119;0;0;
1871.684;33.333;0.000;19443.000;82038;0;0;
1881.477;37.656;0.000;19444.000;81957;0;0;
1888.223;64.860;0.000;19445.000;81876;0;0;
1873.930;35.922;0.000;19446.000;81795;0;0;
1869.506;50.720;0.000;19447.000;81714;0;0;
1865.533;36.459;0.000;19448.000;81633;0;0;
1877.907;67.326;0.000;19449.000;81552;0;0;
1873.674;36.337;0.000;19450.000;81471;0;0;
1871.681;88.034;0.000;19451.000;81390;0;0;
1884.525;88.987;0.000;19452.000;81310;0;0;
1871.812;56.215;0.000;19453.000;81229;0;0;
1879.684;53.089;0.000;19454.000;81148;0;0;
1876.322;100.000;128.000;19455.000;81067;0;0;
1885.696;98.999;0.000;19456.000;80987;0;0;
1867.766;80.537;0.000;19457.000;80906;0;0;
1875.539;78.486;0.000;19458.000;80825;0;0;
1882.118;41.465;0.000;19459.000;80744;0;0;
1882.128;64.664;0.000;19460.000;80663;0;0;
1889.062;30.891;0.000;19461.000;80582;0;0;
