Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
1864.355;39.902;0.000;14148.000;156365;0;0;
1860.021;43.492;0.000;14149.000;156408;0;0;
1859.701;42.833;0.000;14150.000;156452;0;0;
1866.362;51.868;0.000;14151.000;156496;0;0;
1865.432;41.783;0.000;14152.000;156539;0;0;
1859.206;45.592;0.000;14153.000;156583;0;0;
1867.349;46.178;0.000;14154.000;156627;0;0;
1862.893;47.985;0.000;14155.000;156670;0;0;
1866.436;54.115;0.000;14156.000;156714;0;0;
1860.363;49.011;0.000;14157.000;156757;0;0;
1859.026;48.278;0.000;14158.000;156801;0;0;
1863.608;95.849;0.000;14159.000;156845;0;0;
1863.959;83.150;0.000;14160.000;156889;0;0;
1866.961;53.529;0.000;14161.000;156932;0;0;
1865.681;78.144;0.000;14162.000;156976;0;0;
1863.930;76.239;0.000;14163.000;157020;0;0;
1863.376;97.998;0.000;14164.000;157063;0;0;
1868.977;52.210;0.000;14165.000;157107;0;0;
1861.328;35.995;0.000;14166.000;157150;0;0;
1865.604;38.779;0.000;14167.000;157194;0;0;
1870.120;44.103;0.000;14168.000;157238;0;0;
1866.221;39.658;0.000;14169.000;157281;0;0;
1865.715;50.598;0.000;14170.000;157325;0;0;
1869.765;57.680;0.000;14171.000;157368;0;0;
1861.894;69.451;0.000;14172.000;157412;0;0;
1857.548;76.484;0.000;14173.000;157455;0;0;
1862.831;73.871;0.000;14174.000;157499;0;0;
1866.510;36.435;0.000;14175.000;157543;0;0;
1857.477;28.816;0.000;14176.000;157586;0;0;
1866.646;65.641;0.000;14177.000;157630;0;0;
1858.934;53.944;0.000;14178.000;157674;0;0;
1870.475;54.872;0.000;14179.000;157717;0;0;
1863.424;53.211;0.000;14180.000;157761;0;0;
1863.700;59.365;0.000;14181.000;157805;0;0;
1863.475;58.779;0.000;14182.000;157848;0;0;
1870.521;44.640;0.000;14183.000;157892;0;0;
1863.777;41.514;0.000;14184.000;157936;0;0;
1870.061;45.592;0.000;14185.000;157979;0;0;
1862.531;42.589;0.000;14186.000;158023;0;0;
1860.931;49.353;0.000;14187.000;158067;0;0;
1863.427;55.433;0.000;14188.000;158110;0;0;
1862.419;46.227;0.000;14189.000;158153;0;0;
1864.608;55.067;0.000;14190.000;158197;0;0;
1859.500;55.604;0.000;14191.000;158241;0;0;
1865.377;45.934;0.000;14192.000;158284;0;0;
1856.937;28.718;0.000;14193.000;158328;0;0;
1860.107;40.269;0.000;14194.000;158371;0;0;
1858.894;47.912;0.000;14195.000;158415;0;0;
1859.805;44.835;0.000;14196.000;158458;0;0;
1865.587;50.476;0.000;14197.000;158502;0;0;
1863.528;38.510;0.000;14198.000;158545;0;0;
1862.291;46.545;0.000;14199.000;158589;0;0;
1865.907;48.278;0.000;14200.000;158632;0;0;
1856.434;45.665;0.000;14201.000;158676;0;0;
1861.979;45.495;0.000;14202.000;158719;0;0;
1864.033;44.029;0.000;14203.000;158763;0;0;
1863.310;52.063;0.000;14204.000;158806;0;0;
1862.205;51.600;0.000;14205.000;158849;0;0;
1863.021;48.938;0.000;14206.000;158893;0;0;
1860.803;55.800;0.000;14207.000;158936;0;0;
1866.413;62.857;0.000;14208.000;158979;0;0;
1857.450;40.024;0.000;14209.000;159023;0;0;
1863.181;46.984;0.000;14210.000;159066;0;0;
1870.179;48.840;0.000;14211.000;159109;0;0;
1868.995;44.225;0.000;14212.000;159152;0;0;
1862.810;37.021;0.000;14213.000;159196;0;0;
1865.879;42.027;0.000;14214.000;159239;0;0;
1855.945;40.781;0.000;14215.000;159282;0;0;
1864.822;43.346;0.000;14216.000;159326;0;0;
1860.615;47.814;0.000;14217.000;159369;0;0;
1856.977;52.991;0.000;14218.000;159412;0;0;
1864.910;46.178;0.000;14219.000;159455;0;0;
1858.526;48.059;0.000;14220.000;159499;0;0;
1866.828;48.694;0.000;14221.000;159542;0;0;
1861.425;49.084;0.000;14222.000;159585;0;0;
1867.728;46.520;0.000;14223.000;159629;0;0;
1869.105;59.853;0.000;14224.000;159672;0;0;
1865.539;42.076;0.000;14225.000;159715;0;0;
1862.831;42.955;0.000;14226.000;159759;0;0;
1861.318;43.785;0.000;14227.000;159802;0;0;
1862.772;33.822;0.000;14228.000;159845;0;0;
1858.813;34.408;0.000;14229.000;159889;0;0;
1856.699;27.473;0.000;14230.000;159932;0;0;
1860.754;46.984;0.000;14231.000;159975;0;0;
1867.924;56.972;0.000;14232.000;160018;0;0;
1867.465;47.814;0.000;14233.000;160062;0;0;
1861.038;53.016;0.000;14234.000;160105;0;0;
1868.118;45.739;0.000;14235.000;160148;0;0;
1869.314;61.197;0.000;14236.000;160191;0;0;
1864.362;45.421;0.000;14237.000;160235;0;0;
1860.805;45.153;0.000;14238.000;160278;0;0;
1865.127;53.919;0.000;14239.000;160321;0;0;
1868.280;55.702;0.000;14240.000;160364;0;0;
1864.023;35.629;0.000;14241.000;160408;0;0;
1860.775;54.090;0.000;14242.000;160451;0;0;
1859.780;47.204;0.000;14243.000;160494;0;0;
1861.658;51.941;0.000;14244.000;160537;0;0;
1866.718;46.642;0.000;14245.000;160580;0;0;
1857.541;42.247;0.000;14246.000;160624;0;0;
1854.046;43.150;0.000;14247.000;160667;0;0;
1862.874;49.841;0.000;14248.000;160711;0;0;
1866.482;48.034;0.000;14249.000;160754;0;0;
1863.056;59.121;0.000;14250.000;160797;0;0;
1861.480;57.436;0.000;14251.000;160841;0;0;
1862.572;69.646;0.000;14252.000;160884;0;0;
1858.637;70.208;0.000;14253.000;160928;0;0;
1863.382;60.806;0.000;14254.000;160971;0;0;
1869.478;70.061;0.000;14255.000;161015;0;0;
1862.986;71.648;0.000;14256.000;161058;0;0;
1862.286;67.473;0.000;14257.000;161102;0;0;
1863.170;63.004;0.000;14258.000;161145;0;0;
1870.182;51.429;0.000;14259.000;161189;0;0;
1864.042;73.602;0.000;14260.000;161232;0;0;
1859.894;95.433;0.000;14261.000;161275;0;0;
1861.510;81.709;0.000;14262.000;161319;0;0;
1862.363;70.720;0.000;14263.000;161362;0;0;
1859.719;77.094;0.000;14264.000;161406;0;0;
1860.249;62.759;0.000;14265.000;161449;0;0;
1863.317;84.200;0.000;14266.000;161493;0;0;
1861.804;73.114;0.000;14267.000;161536;0;0;
1857.330;54.750;0.000;14268.000;161580;0;0;
1862.742;80.928;0.000;14269.000;161623;0;0;
1869.013;80.537;0.000;14270.000;161667;0;0;
1856.503;28.718;0.000;14271.000;161710;0;0;
1859.851;38.803;0.000;14272.000;161753;0;0;
1862.099;48.889;0.000;14273.000;161797;0;0;
1861.586;54.725;0.000;14274.000;161840;0;0;
1853.077;59.096;0.000;14275.000;161884;0;0;
1861.200;98.999;0.000;14276.000;161927;0;0;
1852.921;83.565;0.000;14277.000;161971;0;0;
1867.114;73.822;0.000;14278.000;162014;0;0;
1858.952;84.811;0.000;14279.000;162058;0;0;
1861.596;98.999;0.000;14280.000;162102;0;0;
1859.206;53.065;0.000;14281.000;162145;0;0;
1861.272;48.523;0.000;14282.000;162189;0;0;
1860.802;40.049;0.000;14283.000;162232;0;0;
1865.696;42.711;0.000;14284.000;162276;0;0;
1862.014;52.186;0.000;14285.000;162320;0;0;
1865.373;44.200;0.000;14286.000;162363;0;0;
1862.839;40.024;0.000;14287.000;162407;0;0;
1859.177;45.519;0.000;14288.000;162451;0;0;
1859.687;45.519;0.000;14289.000;162494;0;0;
1860.230;47.473;0.000;14290.000;162537;0;0;
1866.870;56.435;0.000;14291.000;162581;0;0;
1858.066;45.617;0.000;14292.000;162624;0;0;
1862.700;36.947;0.000;14293.000;162668;0;0;
1863.716;35.238;0.000;14294.000;162711;0;0;
1869.912;64.322;0.000;14295.000;162755;0;0;
1858.354;60.537;0.000;14296.000;162798;0;0;
