Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
1882.174;68.278;0.000;14848.000;8909;0;0;
1874.693;83.516;0.000;14849.000;8806;0;0;
1880.611;47.326;0.000;14850.000;8704;0;0;
1879.215;55.458;0.000;14851.000;8603;0;0;
1872.263;57.314;0.000;14852.000;8502;0;0;
1876.195;61.343;0.000;14853.000;8402;0;0;
1876.558;56.459;0.000;14854.000;8302;0;0;
1875.869;71.795;0.000;14855.000;8203;0;0;
1880.765;76.410;0.000;14856.000;8105;0;0;
1877.705;55.971;0.000;14857.000;8007;0;0;
1878.220;56.728;0.000;14858.000;7910;0;0;
1869.112;52.186;0.000;14859.000;7813;0;0;
1873.413;70.232;0.000;14860.000;7717;0;0;
1871.663;58.681;0.000;14861.000;7621;0;0;
1878.148;48.498;0.000;14862.000;7527;0;0;
1879.633;55.971;0.000;14863.000;7432;0;0;
1872.697;53.553;0.000;14864.000;7338;0;0;
1876.194;52.674;0.000;14865.000;7245;0;0;
1873.510;53.333;0.000;14866.000;7153;0;0;
1877.780;61.270;0.000;14867.000;7061;0;0;
1873.532;72.747;0.000;14868.000;6970;0;0;
1878.801;60.904;0.000;14869.000;6879;0;0;
1881.105;75.897;0.000;14870.000;6789;0;0;
1876.612;59.438;0.000;14871.000;6699;0;0;
1876.045;63.370;0.000;14872.000;6610;0;0;
1873.543;66.886;0.000;14873.000;6522;0;0;
1871.603;50.525;0.000;14874.000;6434;0;0;
1866.363;33.822;0.000;14875.000;6347;0;0;
1875.650;59.634;0.000;14876.000;6260;0;0;
1875.776;72.308;0.000;14877.000;6174;0;0;
1861.654;98.999;0.000;14878.000;6089;0;0;
1878.199;96.435;0.000;14879.000;6004;0;0;
1874.811;59.121;0.000;14880.000;5920;0;0;
1878.104;67.961;0.000;14881.000;5836;0;0;
1879.689;57.509;0.000;14882.000;5752;0;0;
1871.965;50.476;0.000;14883.000;5669;0;0;
1873.567;56.264;0.000;14884.000;5587;0;0;
1876.354;64.029;0.000;14885.000;5506;0;0;
1878.980;44.615;0.000;14886.000;5424;0;0;
1880.687;81.538;0.000;14887.000;5344;0;0;
1872.401;89.475;0.000;14888.000;5264;0;0;
1874.311;78.999;0.000;14889.000;5184;0;0;
1868.643;51.990;0.000;14890.000;5105;0;0;
1872.022;60.977;0.000;14891.000;5027;0;0;
1872.347;62.295;0.000;14892.000;4949;0;0;
1875.738;52.747;0.000;14893.000;4871;0;0;
1871.247;56.703;0.000;14894.000;4794;0;0;
1872.021;53.578;0.000;14895.000;4718;0;0;
1875.567;46.545;0.000;14896.000;4643;0;0;
1875.091;52.625;0.000;14897.000;4567;0;0;
1876.527;54.725;0.000;14898.000;4492;0;0;
1875.579;55.531;0.000;14899.000;4418;0;0;
1872.523;54.188;0.000;14900.000;4343;0;0;
1876.315;46.374;0.000;14901.000;4270;0;0;
1878.329;42.198;0.000;14902.000;4197;0;0;
1877.182;44.908;0.000;14903.000;4125;0;0;
1877.277;50.037;0.000;14904.000;4052;0;0;
1872.638;79.658;0.000;14905.000;3981;0;0;
1873.870;64.737;0.000;14906.000;3910;0;0;
1877.225;66.032;0.000;14907.000;3839;0;0;
1874.102;61.490;0.000;14908.000;3769;0;0;
1877.558;63.028;0.000;14909.000;3699;0;0;
1872.723;48.156;0.000;14910.000;3630;0;0;
1876.573;55.507;0.000;14911.000;3561;0;0;
1875.340;51.819;0.000;14912.000;3493;0;0;
1877.492;50.183;0.000;14913.000;3426;0;0;
1870.794;46.447;0.000;14914.000;3358;0;0;
1877.860;52.723;0.000;14915.000;3291;0;0;
1871.981;73.065;0.000;14916.000;3225;0;0;
1870.704;65.690;0.000;14917.000;3159;0;0;
1877.125;46.129;0.000;14918.000;3094;0;0;
1881.563;55.214;0.000;14919.000;3028;0;0;
1877.885;55.824;0.000;14920.000;2964;0;0;
1877.433;55.092;0.000;14921.000;2899;0;0;
1878.021;51.868;0.000;14922.000;2835;0;0;
1877.852;62.979;0.000;14923.000;2771;0;0;
1876.354;60.879;0.000;14924.000;2708;0;0;
1879.499;48.205;0.000;14925.000;2646;0;0;
1875.957;54.383;0.000;14926.000;2583;0;0;
1875.866;61.001;0.000;14927.000;2521;0;0;
1880.388;58.510;0.000;14928.000;2460;0;0;
1877.250;48.059;0.000;14929.000;2398;0;0;
1879.701;46.300;0.000;14930.000;2337;0;0;
1876.802;54.799;0.000;14931.000;2277;0;0;
1882.299;60.171;0.000;14932.000;2217;0;0;
1877.459;44.225;0.000;14933.000;2157;0;0;
1873.589;46.032;0.000;14934.000;2097;0;0;
1877.449;46.252;0.000;14935.000;2038;0;0;
