Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
1884.603;98.999;0.000;13548.000;40406;0;0;
1888.781;98.999;0.000;13549.000;40461;0;0;
1874.666;33.089;0.000;13550.000;40517;0;0;
1880.764;25.421;0.000;13551.000;40572;0;0;
1876.855;39.731;0.000;13552.000;40628;0;0;
1881.407;33.529;0.000;13553.000;40683;0;0;
1874.993;37.949;0.000;13554.000;40739;0;0;
1873.805;38.242;0.000;13555.000;40795;0;0;
1878.001;53.968;0.000;13556.000;40850;0;0;
1875.921;39.805;0.000;13557.000;40905;0;0;
1877.905;50.794;0.000;13558.000;40961;0;0;
1872.793;56.484;0.000;13559.000;41017;0;0;
1875.970;41.099;0.000;13560.000;41072;0;0;
1874.522;40.879;0.000;13561.000;41128;0;0;
1874.915;36.654;0.000;13562.000;41183;0;0;
1880.286;40.195;0.000;13563.000;41239;0;0;
1870.300;37.045;0.000;13564.000;41294;0;0;
1876.725;38.413;0.000;13565.000;41350;0;0;
1881.559;35.678;0.000;13566.000;41405;0;0;
1875.949;45.397;0.000;13567.000;41461;0;0;
1877.984;38.266;0.000;13568.000;41517;0;0;
1871.202;35.238;0.000;13569.000;41572;0;0;
1874.311;44.200;0.000;13570.000;41628;0;0;
1875.366;33.455;0.000;13571.000;41684;0;0;
1875.901;31.673;0.000;13572.000;41739;0;0;
1882.090;60.024;0.000;13573.000;41795;0;0;
1876.098;35.458;0.000;13574.000;41850;0;0;
1879.086;33.919;0.000;13575.000;41906;0;0;
1882.911;35.995;0.000;13576.000;41961;0;0;
1877.779;33.211;0.000;13577.000;42017;0;0;
1875.643;36.288;0.000;13578.000;42072;0;0;
1873.715;28.083;0.000;13579.000;42128;0;0;
1885.146;44.371;0.000;13580.000;42183;0;0;
1878.900;44.884;0.000;13581.000;42239;0;0;
1878.863;42.491;0.000;13582.000;42294;0;0;
1879.521;39.609;0.000;13583.000;42350;0;0;
1881.527;36.728;0.000;13584.000;42405;0;0;
1879.345;38.462;0.000;13585.000;42461;0;0;
1877.746;31.502;0.000;13586.000;42516;0;0;
1875.133;39.145;0.000;13587.000;42572;0;0;
1880.031;36.972;0.000;13588.000;42627;0;0;
1880.755;42.955;0.000;13589.000;42683;0;0;
1877.949;55.018;0.000;13590.000;42739;0;0;
1873.916;37.680;0.000;13591.000;42794;0;0;
1879.528;40.488;0.000;13592.000;42850;0;0;
1870.408;38.974;0.000;13593.000;42905;0;0;
1875.726;40.513;0.000;13594.000;42961;0;0;
1876.453;44.054;0.000;13595.000;43016;0;0;
1877.512;41.001;0.000;13596.000;43072;0;0;
1879.920;41.856;0.000;13597.000;43127;0;0;
1881.605;46.129;0.000;13598.000;43183;0;0;
1878.090;36.337;0.000;13599.000;43239;0;0;
1876.367;30.110;0.000;13600.000;43294;0;0;
1876.611;33.626;0.000;13601.000;43350;0;0;
1874.347;42.515;0.000;13602.000;43406;0;0;
1879.659;37.070;0.000;13603.000;43461;0;0;
1877.412;36.361;0.000;13604.000;43517;0;0;
1871.307;36.166;0.000;13605.000;43573;0;0;
1871.451;41.563;0.000;13606.000;43629;0;0;
1876.412;42.247;0.000;13607.000;43684;0;0;
1880.662;49.939;0.000;13608.000;43740;0;0;
1872.427;40.073;0.000;13609.000;43796;0;0;
1870.803;33.602;0.000;13610.000;43851;0;0;
1877.430;27.717;0.000;13611.000;43906;0;0;
1848.324;52.698;0.000;13612.000;43962;0;0;
1841.612;60.562;0.000;13613.000;44018;0;0;
1869.022;45.861;0.000;13614.000;44073;0;0;
1882.090;98.999;0.000;13615.000;44129;0;0;
1881.958;35.507;0.000;13616.000;44184;0;0;
1867.336;28.547;0.000;13617.000;44240;0;0;
1871.914;28.596;0.000;13618.000;44296;0;0;
1868.721;28.083;0.000;13619.000;44351;0;0;
1870.900;33.504;0.000;13620.000;44407;0;0;
1888.054;40.781;0.000;13621.000;44463;0;0;
1876.564;98.999;0.000;13622.000;44518;0;0;
1879.586;98.999;0.000;13623.000;44574;0;0;
1879.672;66.569;0.000;13624.000;44629;0;0;
1875.067;70.012;0.000;13625.000;44685;0;0;
1880.682;63.907;0.000;13626.000;44740;0;0;
1879.255;61.319;0.000;13627.000;44796;0;0;
1876.751;49.695;0.000;13628.000;44851;0;0;
1876.437;43.541;0.000;13629.000;44907;0;0;
1877.233;43.785;0.000;13630.000;44963;0;0;
1874.922;59.463;0.000;13631.000;45018;0;0;
1876.951;98.999;0.000;13632.000;45074;0;0;
1877.480;98.999;0.000;13633.000;45130;0;0;
1879.027;98.999;0.000;13634.000;45185;0;0;
1885.348;98.999;0.000;13635.000;45241;0;0;
1888.470;80.977;0.000;13636.000;45297;0;0;
1881.847;98.999;0.000;13637.000;45352;0;0;
1886.669;100.000;128.000;13638.000;45408;0;0;
1879.073;80.464;0.000;13639.000;45464;0;0;
1885.348;98.999;0.000;13640.000;45519;0;0;
1882.228;98.999;0.000;13641.000;45575;0;0;
1875.463;64.860;0.000;13642.000;45631;0;0;
1874.633;98.999;0.000;13643.000;45686;0;0;
1879.767;100.000;128.000;13644.000;45742;0;0;
1876.742;66.154;0.000;13645.000;45797;0;0;
1886.610;98.999;0.000;13646.000;45853;0;0;
1878.513;98.999;0.000;13647.000;45908;0;0;
1889.609;98.999;0.000;13648.000;45964;0;0;
