Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
1873.237;36.557;0.000;18012.000;21044;0;0;
1877.709;48.596;0.000;18013.000;21128;0;0;
1875.909;50.256;0.000;18014.000;21213;0;0;
1879.700;45.275;0.000;18015.000;21297;0;0;
1877.700;54.750;0.000;18016.000;21381;0;0;
1874.305;41.636;0.000;18017.000;21465;0;0;
1873.282;44.420;0.000;18018.000;21549;0;0;
1875.630;39.927;0.000;18019.000;21633;0;0;
1856.942;98.193;0.000;18020.000;21717;0;0;
1876.349;69.280;0.000;18021.000;21801;0;0;
1875.457;64.103;0.000;18022.000;21885;0;0;
1877.807;50.061;0.000;18023.000;21969;0;0;
1878.462;67.692;0.000;18024.000;22054;0;0;
1877.893;55.263;0.000;18025.000;22138;0;0;
1879.592;36.972;0.000;18026.000;22222;0;0;
1880.985;45.910;0.000;18027.000;22307;0;0;
1877.141;46.716;0.000;18028.000;22391;0;0;
1879.125;56.044;0.000;18029.000;22475;0;0;
1876.010;53.284;0.000;18030.000;22560;0;0;
1874.866;42.906;0.000;18031.000;22644;0;0;
1877.997;69.377;0.000;18032.000;22728;0;0;
1874.407;72.088;0.000;18033.000;22813;0;0;
1876.853;58.950;0.000;18034.000;22897;0;0;
1883.152;39.927;0.000;18035.000;22981;0;0;
1874.357;36.703;0.000;18036.000;23065;0;0;
1868.961;57.216;0.000;18037.000;23149;0;0;
1884.580;83.687;0.000;18038.000;23234;0;0;
1876.228;74.017;0.000;18039.000;23318;0;0;
1872.340;64.029;0.000;18040.000;23402;0;0;
1871.641;70.037;0.000;18041.000;23487;0;0;
1867.394;79.414;0.000;18042.000;23572;0;0;
1876.425;59.194;0.000;18043.000;23656;0;0;
1875.873;40.708;0.000;18044.000;23740;0;0;
1879.871;45.812;0.000;18045.000;23825;0;0;
1872.014;48.181;0.000;18046.000;23909;0;0;
1873.172;42.491;0.000;18047.000;23994;0;0;
1874.564;41.978;0.000;18048.000;24078;0;0;
1877.107;53.626;0.000;18049.000;24162;0;0;
1879.881;46.911;0.000;18050.000;24247;0;0;
1876.875;46.276;0.000;18051.000;24331;0;0;
1873.411;43.907;0.000;18052.000;24416;0;0;
1876.367;47.717;0.000;18053.000;24500;0;0;
1882.079;36.557;0.000;18054.000;24585;0;0;
1876.392;26.886;0.000;18055.000;24669;0;0;
1878.764;84.347;0.000;18056.000;24754;0;0;
1883.058;98.999;0.000;18057.000;24838;0;0;
1879.806;53.602;0.000;18058.000;24923;0;0;
1874.472;56.337;0.000;18059.000;25007;0;0;
1876.299;56.679;0.000;18060.000;25092;0;0;
1880.818;88.913;0.000;18061.000;25176;0;0;
1879.840;58.779;0.000;18062.000;25260;0;0;
1886.394;51.600;0.000;18063.000;25345;0;0;
1880.653;74.921;0.000;18064.000;25430;0;0;
1879.224;98.999;0.000;18065.000;25514;0;0;
1878.505;74.383;0.000;18066.000;25599;0;0;
1882.299;56.801;0.000;18067.000;25683;0;0;
1880.995;51.453;0.000;18068.000;25768;0;0;
1879.177;62.589;0.000;18069.000;25853;0;0;
1882.598;43.541;0.000;18070.000;25938;0;0;
1877.196;38.828;0.000;18071.000;26023;0;0;
1876.875;38.926;0.000;18072.000;26107;0;0;
1879.441;33.529;0.000;18073.000;26192;0;0;
1881.393;44.054;0.000;18074.000;26277;0;0;
1877.427;57.436;0.000;18075.000;26362;0;0;
1877.045;53.211;0.000;18076.000;26447;0;0;
1879.943;43.980;0.000;18077.000;26532;0;0;
1874.332;38.193;0.000;18078.000;26617;0;0;
1877.634;54.750;0.000;18079.000;26702;0;0;
1878.158;27.473;0.000;18080.000;26786;0;0;
1882.439;50.037;0.000;18081.000;26871;0;0;
1876.140;39.829;0.000;18082.000;26956;0;0;
1879.146;48.938;0.000;18083.000;27041;0;0;
1872.648;31.404;0.000;18084.000;27125;0;0;
1875.440;41.538;0.000;18085.000;27210;0;0;
1876.186;46.667;0.000;18086.000;27295;0;0;
1876.422;42.320;0.000;18087.000;27379;0;0;
1878.179;49.304;0.000;18088.000;27464;0;0;
1875.056;36.801;0.000;18089.000;27549;0;0;
1874.882;46.447;0.000;18090.000;27634;0;0;
1879.527;53.162;0.000;18091.000;27718;0;0;
1881.365;31.160;0.000;18092.000;27803;0;0;
1878.084;37.485;0.000;18093.000;27888;0;0;
1877.322;39.023;0.000;18094.000;27973;0;0;
1880.624;34.115;0.000;18095.000;28057;0;0;
1877.629;28.156;0.000;18096.000;28142;0;0;
1876.648;33.138;0.000;18097.000;28227;0;0;
1877.751;32.015;0.000;18098.000;28312;0;0;
1877.051;29.182;0.000;18099.000;28397;0;0;
1877.238;39.438;0.000;18100.000;28482;0;0;
1874.951;34.579;0.000;18101.000;28566;0;0;
1877.478;40.635;0.000;18102.000;28651;0;0;
1877.063;36.484;0.000;18103.000;28736;0;0;
1879.172;35.507;0.000;18104.000;28821;0;0;
1880.793;32.601;0.000;18105.000;28905;0;0;
1874.324;43.736;0.000;18106.000;28990;0;0;
1880.186;33.407;0.000;18107.000;29075;0;0;
1875.935;30.989;0.000;18108.000;29160;0;0;
1877.260;40.879;0.000;18109.000;29245;0;0;
1873.762;40.391;0.000;18110.000;29330;0;0;
1877.400;33.871;0.000;18111.000;29415;0;0;
1876.841;34.359;0.000;18112.000;29500;0;0;
1875.336;31.184;0.000;18113.000;29585;0;0;
1871.728;29.475;0.000;18114.000;29670;0;0;
1875.485;33.480;0.000;18115.000;29755;0;0;
1876.668;38.022;0.000;18116.000;29839;0;0;
1877.336;37.192;0.000;18117.000;29924;0;0;
1875.294;34.921;0.000;18118.000;30009;0;0;
1878.873;39.121;0.000;18119.000;30094;0;0;
1875.356;38.193;0.000;18120.000;30179;0;0;
1878.098;38.755;0.000;18121.000;30263;0;0;
1878.797;37.021;0.000;18122.000;30348;0;0;
1877.212;38.022;0.000;18123.000;30433;0;0;
1879.344;39.902;0.000;18124.000;30518;0;0;
1876.802;31.136;0.000;18125.000;30603;0;0;
1875.261;40.122;0.000;18126.000;30688;0;0;
1879.127;34.823;0.000;18127.000;30773;0;0;
1880.580;53.040;0.000;18128.000;30857;0;0;
1878.451;44.591;0.000;18129.000;30942;0;0;
1878.015;46.154;0.000;18130.000;31027;0;0;
1877.219;36.581;0.000;18131.000;31112;0;0;
1876.594;47.595;0.000;18132.000;31197;0;0;
1878.346;36.654;0.000;18133.000;31282;0;0;
1874.757;36.728;0.000;18134.000;31367;0;0;
1880.918;75.458;0.000;18135.000;31452;0;0;
1880.979;52.112;0.000;18136.000;31537;0;0;
1876.051;57.460;0.000;18137.000;31622;0;0;
1879.149;51.209;0.000;18138.000;31707;0;0;
1887.026;52.430;0.000;18139.000;31792;0;0;
1876.743;40.586;0.000;18140.000;31877;0;0;
1879.441;34.530;0.000;18141.000;31962;0;0;
1881.072;53.919;0.000;18142.000;32047;0;0;
1880.665;32.308;0.000;18143.000;32132;0;0;
1876.162;35.263;0.000;18144.000;32217;0;0;
1874.391;35.018;0.000;18145.000;32302;0;0;
1876.639;35.995;0.000;18146.000;32387;0;0;
1874.347;33.260;0.000;18147.000;32472;0;0;
1878.095;27.912;0.000;18148.000;32557;0;0;
1874.204;40.122;0.000;18149.000;32642;0;0;
1873.550;32.137;0.000;18150.000;32727;0;0;
1874.596;35.751;0.000;18151.000;32813;0;0;
1875.201;35.726;0.000;18152.000;32898;0;0;
1877.164;40.977;0.000;18153.000;32983;0;0;
1878.400;31.575;0.000;18154.000;33068;0;0;
1874.234;34.579;0.000;18155.000;33153;0;0;
1873.896;32.357;0.000;18156.000;33238;0;0;
1871.564;32.234;0.000;18157.000;33323;0;0;
1872.490;31.282;0.000;18158.000;33409;0;0;
1877.776;34.335;0.000;18159.000;33494;0;0;
1876.520;24.957;0.000;18160.000;33579;0;0;
1874.980;38.315;0.000;18161.000;33664;0;0;
1873.253;38.315;0.000;18162.000;33749;0;0;
1870.776;31.844;0.000;18163.000;33834;0;0;
1870.225;27.375;0.000;18164.000;33919;0;0;
1872.623;24.908;0.000;18165.000;34005;0;0;
1874.701;36.215;0.000;18166.000;34090;0;0;
1876.091;40.049;0.000;18167.000;34175;0;0;
1875.512;30.256;0.000;18168.000;34260;0;0;
1877.022;38.291;0.000;18169.000;34346;0;0;
1879.618;34.212;0.000;18170.000;34431;0;0;
1879.102;68.474;0.000;18171.000;34516;0;0;
1879.748;31.136;0.000;18172.000;34602;0;0;
1873.954;34.115;0.000;18173.000;34687;0;0;
1878.835;91.673;0.000;18174.000;34772;0;0;
1876.976;59.805;0.000;18175.000;34858;0;0;
1882.789;55.800;0.000;18176.000;34943;0;0;
1876.023;43.370;0.000;18177.000;35028;0;0;
1881.211;74.872;0.000;18178.000;35114;0;0;
1880.861;90.940;0.000;18179.000;35199;0;0;
1881.178;88.694;0.000;18180.000;35285;0;0;
1876.116;27.228;0.000;18181.000;35370;0;0;
1876.924;98.999;0.000;18182.000;35455;0;0;
1883.521;68.938;0.000;18183.000;35541;0;0;
1883.152;98.999;0.000;18184.000;35626;0;0;
1878.571;56.484;0.000;18185.000;35712;0;0;
1878.744;58.559;0.000;18186.000;35797;0;0;
1883.127;98.999;0.000;18187.000;35883;0;0;
1881.823;96.947;0.000;18188.000;35968;0;0;
1887.117;47.009;0.000;18189.000;36054;0;0;
1878.231;47.741;0.000;18190.000;36140;0;0;
1880.287;49.255;0.000;18191.000;36226;0;0;
1879.971;89.548;0.000;18192.000;36311;0;0;
1884.707;98.999;0.000;18193.000;36397;0;0;
1881.580;67.009;0.000;18194.000;36483;0;0;
