Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
1863.614;79.170;0.000;1317.000;25423;0;0;
1865.986;58.242;0.000;1318.000;25495;0;0;
1868.712;57.460;0.000;1319.000;25567;0;0;
1870.252;53.822;0.000;1320.000;25638;0;0;
1864.668;62.686;0.000;1321.000;25710;0;0;
1865.482;61.221;0.000;1322.000;25783;0;0;
1862.270;73.016;0.000;1323.000;25856;0;0;
1864.192;65.665;0.000;1324.000;25929;0;0;
1866.859;55.263;0.000;1325.000;26002;0;0;
1872.495;98.999;0.000;1326.000;26076;0;0;
1868.500;98.999;0.000;1327.000;26149;0;0;
1873.394;53.968;0.000;1328.000;26224;0;0;
1859.642;30.623;0.000;1329.000;26298;0;0;
1861.639;32.039;0.000;1330.000;26373;0;0;
1866.889;80.049;0.000;1331.000;26449;0;0;
1869.406;98.999;0.000;1332.000;26524;0;0;
1875.007;98.999;0.000;1333.000;26600;0;0;
1866.081;95.043;0.000;1334.000;26676;0;0;
1864.674;84.347;0.000;1335.000;26752;0;0;
1867.219;98.999;0.000;1336.000;26829;0;0;
1871.406;83.248;0.000;1337.000;26906;0;0;
1861.711;87.082;0.000;1338.000;26984;0;0;
1863.261;85.983;0.000;1339.000;27061;0;0;
1864.739;83.663;0.000;1340.000;27140;0;0;
1870.203;80.073;0.000;1341.000;27218;0;0;
1867.831;93.748;0.000;1342.000;27297;0;0;
1868.798;98.999;0.000;1343.000;27376;0;0;
1870.506;71.502;0.000;1344.000;27455;0;0;
1868.564;85.348;0.000;1345.000;27535;0;0;
1866.301;71.893;0.000;1346.000;27614;0;0;
1866.180;98.999;0.000;1347.000;27694;0;0;
1870.813;98.999;0.000;1348.000;27774;0;0;
1870.997;88.327;0.000;1349.000;27855;0;0;
1871.857;83.004;0.000;1350.000;27936;0;0;
1870.243;69.646;0.000;1351.000;28017;0;0;
1870.115;70.476;0.000;1352.000;28098;0;0;
1870.876;73.382;0.000;1353.000;28180;0;0;
1865.604;96.239;0.000;1354.000;28262;0;0;
1862.882;98.999;0.000;1355.000;28345;0;0;
1872.406;85.885;0.000;1356.000;28428;0;0;
1867.262;98.291;0.000;1357.000;28510;0;0;
1869.094;98.999;0.000;1358.000;28594;0;0;
1867.477;98.999;0.000;1359.000;28677;0;0;
1865.237;63.883;0.000;1360.000;28761;0;0;
1866.076;63.175;0.000;1361.000;28845;0;0;
1866.236;68.254;0.000;1362.000;28929;0;0;
1867.538;70.989;0.000;1363.000;29013;0;0;
1867.027;73.016;0.000;1364.000;29098;0;0;
1864.482;81.148;0.000;1365.000;29182;0;0;
1868.453;98.999;0.000;1366.000;29268;0;0;
1868.614;68.694;0.000;1367.000;29353;0;0;
1871.476;82.051;0.000;1368.000;29439;0;0;
1872.820;98.999;0.000;1369.000;29525;0;0;
1860.185;98.999;0.000;1370.000;29611;0;0;
1875.332;98.999;0.000;1371.000;29698;0;0;
1868.504;76.801;0.000;1372.000;29785;0;0;
1862.729;72.283;0.000;1373.000;29872;0;0;
1860.109;68.596;0.000;1374.000;29959;0;0;
