Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
1857.269;64.054;0.000;11146.000;9322;0;0;
1857.813;66.081;0.000;11147.000;9323;0;0;
1856.022;67.546;0.000;11148.000;9323;0;0;
1856.201;69.426;0.000;11149.000;9324;0;0;
1854.776;71.697;0.000;11150.000;9325;0;0;
1853.886;73.822;0.000;11151.000;9325;0;0;
1853.037;74.505;0.000;11152.000;9326;0;0;
1853.574;77.875;0.000;11153.000;9327;0;0;
1852.390;80.391;0.000;11154.000;9327;0;0;
1851.288;84.664;0.000;11155.000;9328;0;0;
1850.329;87.692;0.000;11156.000;9329;0;0;
1850.138;91.355;0.000;11157.000;9329;0;0;
1851.113;95.629;0.000;11158.000;9330;0;0;
1850.072;98.999;0.000;11159.000;9330;0;0;
1850.548;98.999;0.000;11160.000;9331;0;0;
1851.529;98.999;0.000;11161.000;9332;0;0;
1850.426;98.999;0.000;11162.000;9332;0;0;
1851.821;98.999;0.000;11163.000;9333;0;0;
1852.816;98.999;0.000;11164.000;9334;0;0;
1853.400;98.999;0.000;11165.000;9334;0;0;
1854.359;98.999;0.000;11166.000;9335;0;0;
1854.354;98.999;0.000;11167.000;9336;0;0;
1856.722;98.999;0.000;11168.000;9337;0;0;
1857.164;98.999;0.000;11169.000;9337;0;0;
1858.826;98.999;0.000;11170.000;9338;0;0;
1859.465;98.999;0.000;11171.000;9339;0;0;
1860.665;98.999;0.000;11172.000;9340;0;0;
1863.340;98.999;0.000;11173.000;9340;0;0;
1864.959;98.999;0.000;11174.000;9341;0;0;
1866.247;98.999;0.000;11175.000;9342;0;0;
1866.904;98.999;0.000;11176.000;9343;0;0;
1868.578;98.999;0.000;11177.000;9344;0;0;
1870.596;98.999;0.000;11178.000;9344;0;0;
1873.474;98.999;0.000;11179.000;9345;0;0;
1875.213;94.969;0.000;11180.000;9346;0;0;
1878.024;90.867;0.000;11181.000;9347;0;0;
1879.424;86.471;0.000;11182.000;9348;0;0;
1880.854;80.757;0.000;11183.000;9348;0;0;
1883.025;76.044;0.000;11184.000;9349;0;0;
1884.747;69.695;0.000;11185.000;9350;0;0;
1886.449;64.737;0.000;11186.000;9351;0;0;
1890.093;58.559;0.000;11187.000;9352;0;0;
1891.489;53.187;0.000;11188.000;9353;0;0;
1891.659;46.349;0.000;11189.000;9353;0;0;
1894.306;42.564;0.000;11190.000;9354;0;0;
1896.938;37.363;0.000;11191.000;9355;0;0;
1893.111;34.066;0.000;11192.000;9356;0;0;
1891.953;31.087;0.000;11193.000;9357;0;0;
1892.724;29.646;0.000;11194.000;9358;0;0;
1891.221;27.521;0.000;11195.000;9359;0;0;
1887.003;26.300;0.000;11196.000;9360;0;0;
1889.326;25.055;0.000;11197.000;9361;0;0;
1890.957;23.785;0.000;11198.000;9362;0;0;
1886.330;23.590;0.000;11199.000;9363;0;0;
1886.179;23.663;0.000;11200.000;9364;0;0;
1884.424;23.590;0.000;11201.000;9364;0;0;
1884.467;23.150;0.000;11202.000;9365;0;0;
1881.834;23.248;0.000;11203.000;9366;0;0;
1879.578;22.686;0.000;11204.000;9367;0;0;
1879.180;22.735;0.000;11205.000;9368;0;0;
1876.088;23.150;0.000;11206.000;9369;0;0;
1872.697;23.419;0.000;11207.000;9370;0;0;
1872.441;23.394;0.000;11208.000;9371;0;0;
1867.586;23.785;0.000;11209.000;9372;0;0;
1862.311;25.079;0.000;11210.000;9373;0;0;
1861.831;25.226;0.000;11211.000;9374;0;0;
1858.289;25.983;0.000;11212.000;9375;0;0;
1854.756;27.814;0.000;11213.000;9376;0;0;
1850.644;29.353;0.000;11214.000;9377;0;0;
1850.571;31.868;0.000;11215.000;9378;0;0;
1850.591;33.138;0.000;11216.000;9380;0;0;
1851.146;34.237;0.000;11217.000;9381;0;0;
1851.841;35.629;0.000;11218.000;9382;0;0;
1851.643;39.219;0.000;11219.000;9383;0;0;
1852.582;41.832;0.000;11220.000;9384;0;0;
1850.519;44.420;0.000;11221.000;9385;0;0;
1850.574;48.205;0.000;11222.000;9386;0;0;
1851.165;49.841;0.000;11223.000;9388;0;0;
1850.464;52.772;0.000;11224.000;9389;0;0;
1851.396;55.311;0.000;11225.000;9390;0;0;
1852.162;56.288;0.000;11226.000;9391;0;0;
1854.919;57.631;0.000;11227.000;9392;0;0;
1853.619;58.364;0.000;11228.000;9393;0;0;
1857.167;57.680;0.000;11229.000;9395;0;0;
1857.944;57.265;0.000;11230.000;9396;0;0;
1856.781;55.849;0.000;11231.000;9397;0;0;
1861.871;54.432;0.000;11232.000;9398;0;0;
1863.767;51.111;0.000;11233.000;9400;0;0;
1868.324;48.156;0.000;11234.000;9401;0;0;
1869.343;45.372;0.000;11235.000;9402;0;0;
1873.180;42.540;0.000;11236.000;9404;0;0;
1877.801;38.315;0.000;11237.000;9405;0;0;
1880.156;36.850;0.000;11238.000;9406;0;0;
1883.918;34.237;0.000;11239.000;9408;0;0;
1888.146;34.115;0.000;11240.000;9409;0;0;
1884.095;34.066;0.000;11241.000;9410;0;0;
1881.117;35.678;0.000;11242.000;9412;0;0;
1880.395;36.728;0.000;11243.000;9413;0;0;
1876.419;39.048;0.000;11244.000;9415;0;0;
1873.869;45.177;0.000;11245.000;9417;0;0;
1871.730;47.985;0.000;11246.000;9418;0;0;
1870.728;50.085;0.000;11247.000;9420;0;0;
1866.852;52.796;0.000;11248.000;9422;0;0;
1867.672;50.501;0.000;11249.000;9424;0;0;
1865.813;49.597;0.000;11250.000;9426;0;0;
1865.312;45.714;0.000;11251.000;9428;0;0;
1864.199;41.074;0.000;11252.000;9430;0;0;
1864.889;35.165;0.000;11253.000;9432;0;0;
1864.096;29.817;0.000;11254.000;9434;0;0;
1864.368;24.884;0.000;11255.000;9436;0;0;
1865.782;21.465;0.000;11256.000;9438;0;0;
1867.977;19.731;0.000;11257.000;9441;0;0;
1866.319;20.635;0.000;11258.000;9443;0;0;
1864.719;23.810;0.000;11259.000;9445;0;0;
1862.120;26.789;0.000;11260.000;9448;0;0;
1861.554;30.867;0.000;11261.000;9450;0;0;
1860.257;32.991;0.000;11262.000;9453;0;0;
1861.358;35.336;0.000;11263.000;9455;0;0;
1864.515;36.752;0.000;11264.000;9458;0;0;
1864.058;38.046;0.000;11265.000;9460;0;0;
1862.486;39.878;0.000;11266.000;9463;0;0;
1866.007;40.537;0.000;11267.000;9466;0;0;
1863.801;42.125;0.000;11268.000;9468;0;0;
1865.242;46.276;0.000;11269.000;9471;0;0;
1862.551;53.944;0.000;11270.000;9474;0;0;
1860.197;61.050;0.000;11271.000;9477;0;0;
1856.315;70.110;0.000;11272.000;9480;0;0;
1855.199;79.463;0.000;11273.000;9484;0;0;
1857.364;91.160;0.000;11274.000;9487;0;0;
1864.322;98.999;0.000;11275.000;9490;0;0;
1866.993;98.999;0.000;11276.000;9493;0;0;
1870.535;98.999;0.000;11277.000;9497;0;0;
1874.734;98.999;0.000;11278.000;9500;0;0;
1878.047;98.999;0.000;11279.000;9504;0;0;
1877.946;98.999;0.000;11280.000;9507;0;0;
