Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
1845.751;22.613;0.000;28210.000;639247;0;-1;
1842.335;22.271;0.000;28211.000;639247;0;-1;
1845.226;22.686;0.000;28212.000;639246;0;-1;
1845.321;22.125;0.000;28213.000;639246;0;-1;
1847.241;21.514;0.000;28214.000;639245;0;-1;
1848.360;21.343;0.000;28215.000;639245;0;-1;
1843.944;21.416;0.000;28216.000;639244;0;-1;
1846.949;21.514;0.000;28217.000;639243;0;-1;
1848.731;20.904;0.000;28218.000;639243;0;-1;
1850.278;21.856;0.000;28219.000;639242;0;-1;
1847.125;20.635;0.000;28220.000;639241;0;-1;
1849.140;20.586;0.000;28221.000;639240;0;-1;
1848.247;19.829;0.000;28222.000;639239;0;-1;
1851.339;19.976;0.000;28223.000;639238;0;-1;
1847.915;19.878;0.000;28224.000;639237;0;-1;
1844.632;19.145;0.000;28225.000;639236;0;-1;
1847.993;19.536;0.000;28226.000;639235;0;-1;
1843.690;19.707;0.000;28227.000;639234;0;-1;
1848.109;18.462;0.000;28228.000;639233;0;-1;
1847.295;18.706;0.000;28229.000;639232;0;-1;
1847.167;19.194;0.000;28230.000;639231;0;-1;
1845.142;19.341;0.000;28231.000;639230;0;-1;
1847.815;20.024;0.000;28232.000;639229;0;-1;
1848.370;19.292;0.000;28233.000;639227;0;-1;
1847.030;19.267;0.000;28234.000;639226;0;-1;
1848.792;19.756;0.000;28235.000;639225;0;-1;
1849.649;20.391;0.000;28236.000;639223;0;-1;
1849.099;20.733;0.000;28237.000;639222;0;-1;
1848.617;21.197;0.000;28238.000;639221;0;-1;
1849.767;20.684;0.000;28239.000;639219;0;-1;
1850.048;21.783;0.000;28240.000;639217;0;-1;
1849.618;21.294;0.000;28241.000;639216;0;-1;
1846.913;22.784;0.000;28242.000;639214;0;-1;
1846.780;22.295;0.000;28243.000;639213;0;-1;
1851.161;24.103;0.000;28244.000;639211;0;-1;
1850.124;24.518;0.000;28245.000;639209;0;-1;
1852.842;24.933;0.000;28246.000;639208;0;-1;
1851.157;24.078;0.000;28247.000;639206;0;-1;
1853.673;23.687;0.000;28248.000;639204;0;-1;
1854.381;22.613;0.000;28249.000;639202;0;-1;
1853.737;21.441;0.000;28250.000;639200;0;-1;
1852.108;21.465;0.000;28251.000;639198;0;-1;
1852.958;20.342;0.000;28252.000;639196;0;-1;
1855.816;19.585;0.000;28253.000;639194;0;-1;
1853.281;20.049;0.000;28254.000;639192;0;-1;
1851.890;21.074;0.000;28255.000;639190;0;-1;
1851.751;21.514;0.000;28256.000;639188;0;-1;
1848.678;21.832;0.000;28257.000;639186;0;-1;
1852.590;23.199;0.000;28258.000;639184;0;-1;
1849.967;23.687;0.000;28259.000;639182;0;-1;
1850.794;25.177;0.000;28260.000;639179;0;-1;
1852.028;26.227;0.000;28261.000;639177;0;-1;
1847.317;25.543;0.000;28262.000;639175;0;-1;
1849.884;27.521;0.000;28263.000;639172;0;-1;
1849.186;27.131;0.000;28264.000;639170;0;-1;
1844.445;26.520;0.000;28265.000;639168;0;-1;
1845.323;25.934;0.000;28266.000;639165;0;-1;
1841.417;26.569;0.000;28267.000;639163;0;-1;
1842.302;26.984;0.000;28268.000;639160;0;-1;
1838.348;26.398;0.000;28269.000;639158;0;-1;
1842.454;25.763;0.000;28270.000;639155;0;-1;
1839.626;26.081;0.000;28271.000;639152;0;-1;
1840.170;25.104;0.000;28272.000;639150;0;-1;
1848.188;26.447;0.000;28273.000;639147;0;-1;
1848.534;26.593;0.000;28274.000;639144;0;-1;
1851.713;27.741;0.000;28275.000;639142;0;-1;
1850.794;30.354;0.000;28276.000;639139;0;-1;
1850.025;34.090;0.000;28277.000;639136;0;-1;
1847.942;36.630;0.000;28278.000;639133;0;-1;
1848.249;40.488;0.000;28279.000;639131;0;-1;
1848.940;40.049;0.000;28280.000;639128;0;-1;
1849.329;40.684;0.000;28281.000;639125;0;-1;
1851.333;38.315;0.000;28282.000;639122;0;-1;
1851.571;35.360;0.000;28283.000;639119;0;-1;
1848.140;31.233;0.000;28284.000;639116;0;-1;
1847.966;28.620;0.000;28285.000;639113;0;-1;
1847.513;25.763;0.000;28286.000;639110;0;-1;
1847.212;22.100;0.000;28287.000;639107;0;-1;
1850.215;19.512;0.000;28288.000;639104;0;-1;
1845.878;16.337;0.000;28289.000;639101;0;-1;
1846.511;15.214;0.000;28290.000;639097;0;-1;
1849.170;15.263;0.000;28291.000;639094;0;-1;
1849.056;16.801;0.000;28292.000;639091;0;-1;
1846.515;18.364;0.000;28293.000;639088;0;-1;
1843.616;20.562;0.000;28294.000;639085;0;-1;
1846.388;22.369;0.000;28295.000;639081;0;-1;
1847.527;23.443;0.000;28296.000;639078;0;-1;
1845.670;24.298;0.000;28297.000;639075;0;-1;
1843.278;25.812;0.000;28298.000;639071;0;-1;
1846.340;25.275;0.000;28299.000;639068;0;-1;
1849.272;24.176;0.000;28300.000;639065;0;-1;
1851.336;23.687;0.000;28301.000;639061;0;-1;
