Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
2885.929;100.000;128.000;13613.000;601930;0;0;
2887.311;100.000;128.000;13614.000;601923;0;0;
2887.906;100.000;128.000;13615.000;601916;0;0;
2885.161;100.000;128.000;13616.000;601908;0;0;
2871.624;100.000;128.000;13617.000;601901;0;0;
2868.606;100.000;128.000;13618.000;601894;0;0;
2870.876;100.000;128.000;13619.000;601887;0;0;
2871.798;100.000;128.000;13620.000;601879;0;0;
2875.315;100.000;128.000;13621.000;601872;0;0;
2877.448;100.000;128.000;13622.000;601865;0;0;
2877.270;100.000;128.000;13623.000;601857;0;0;
2876.949;100.000;128.000;13624.000;601850;0;0;
2882.595;100.000;128.000;13625.000;601843;0;0;
2881.691;100.000;128.000;13626.000;601835;0;0;
2868.880;100.000;128.000;13627.000;601828;0;0;
2868.192;100.000;128.000;13628.000;601821;0;0;
2879.414;100.000;128.000;13629.000;601814;0;0;
2881.018;100.000;128.000;13630.000;601806;0;0;
2881.944;100.000;128.000;13631.000;601799;0;0;
2881.076;100.000;128.000;13632.000;601792;0;0;
2881.391;100.000;128.000;13633.000;601785;0;0;
2879.271;100.000;128.000;13634.000;601777;0;0;
2876.474;100.000;128.000;13635.000;601770;0;0;
2887.556;100.000;128.000;13636.000;601763;0;0;
2913.129;100.000;128.000;13637.000;601756;0;0;
2915.714;100.000;128.000;13638.000;601748;0;0;
2919.483;100.000;128.000;13639.000;601741;0;0;
2922.400;100.000;128.000;13640.000;601734;0;0;
2927.272;100.000;128.000;13641.000;601727;0;0;
2952.445;100.000;128.000;13642.000;601719;0;0;
2975.550;57.900;0.000;13643.000;601712;0;0;
2967.892;33.431;0.000;13644.000;601705;0;0;
2907.764;33.236;0.000;13645.000;601697;0;0;
2905.975;23.516;0.000;13646.000;601690;0;0;
2903.744;15.604;0.000;13647.000;601683;0;0;
2872.709;12.698;0.000;13648.000;601676;0;0;
2867.188;15.385;0.000;13649.000;601668;0;0;
2868.319;19.341;0.000;13650.000;601661;0;0;
2870.253;18.120;0.000;13651.000;601654;0;0;
2866.902;13.382;0.000;13652.000;601647;0;0;
2861.122;9.011;0.000;13653.000;601639;0;0;
1856.569;8.498;0.000;13654.000;601632;0;0;
1853.584;8.547;0.000;13655.000;601625;0;0;
1854.405;7.937;0.000;13656.000;601617;0;0;
1817.903;9.695;0.000;13657.000;601610;0;0;
1809.675;14.774;0.000;13658.000;601603;0;0;
1799.768;20.904;0.000;13659.000;601595;0;0;
1811.893;27.399;0.000;13660.000;601588;0;0;
1827.818;24.347;0.000;13661.000;601581;0;0;
1846.735;14.090;0.000;13662.000;601573;0;0;
1865.377;9.841;0.000;13663.000;601566;0;0;
1873.420;11.233;0.000;13664.000;601558;0;0;
1867.988;14.066;0.000;13665.000;601551;0;0;
1851.062;15.531;0.000;13666.000;601544;0;0;
1842.517;14.164;0.000;13667.000;601536;0;0;
1854.256;12.479;0.000;13668.000;601529;0;0;
1874.890;12.674;0.000;13669.000;601522;0;0;
1867.015;12.698;0.000;13670.000;601514;0;0;
1868.971;12.527;0.000;13671.000;601507;0;0;
1872.152;14.042;0.000;13672.000;601500;0;0;
1871.996;16.117;0.000;13673.000;601492;0;0;
1857.188;15.922;0.000;13674.000;601485;0;0;
1842.580;14.676;0.000;13675.000;601477;0;0;
1842.817;11.917;0.000;13676.000;601470;0;0;
1858.439;9.377;0.000;13677.000;601463;0;0;
1863.617;9.133;0.000;13678.000;601455;0;0;
1858.382;10.842;0.000;13679.000;601448;0;0;
1858.147;12.015;0.000;13680.000;601441;0;0;
1868.552;11.209;0.000;13681.000;601433;0;0;
1874.257;11.111;0.000;13682.000;601426;0;0;
1870.057;10.159;0.000;13683.000;601419;0;0;
1873.364;10.842;0.000;13684.000;601411;0;0;
2869.524;12.552;0.000;13685.000;601404;0;0;
2871.349;19.023;0.000;13686.000;601397;0;0;
2874.380;20.830;0.000;13687.000;601389;0;0;
2866.440;17.949;0.000;13688.000;601382;0;0;
2866.238;13.895;0.000;13689.000;601375;0;0;
2863.155;12.161;0.000;13690.000;601368;0;0;
2878.558;10.208;0.000;13691.000;601360;0;0;
2876.874;9.182;0.000;13692.000;601353;0;0;
3164.477;14.115;0.000;13693.000;601346;0;0;
3114.063;23.394;0.000;13694.000;601338;0;0;
3083.557;41.734;0.000;13695.000;601331;0;0;
3033.979;64.518;0.000;13696.000;601324;0;0;
2983.564;97.753;0.000;13697.000;601317;0;0;
2948.056;100.000;128.000;13698.000;601310;0;0;
2932.860;100.000;128.000;13699.000;601302;0;0;
2919.582;100.000;128.000;13700.000;601295;0;0;
2913.129;100.000;128.000;13701.000;601288;0;0;
2914.810;100.000;128.000;13702.000;601281;0;0;
2914.869;100.000;128.000;13703.000;601274;0;0;
2910.624;100.000;128.000;13704.000;601267;0;0;
2915.185;100.000;128.000;13705.000;601260;0;0;
2922.478;100.000;128.000;13706.000;601252;0;0;
2910.765;100.000;128.000;13707.000;601245;0;0;
2887.062;100.000;128.000;13708.000;601238;0;0;
2887.183;100.000;128.000;13709.000;601231;0;0;
2889.871;100.000;128.000;13710.000;601224;0;0;
2877.516;100.000;128.000;13711.000;601217;0;0;
2873.831;100.000;128.000;13712.000;601210;0;0;
2874.418;100.000;128.000;13713.000;601203;0;0;
2875.862;100.000;128.000;13714.000;601196;0;0;
2874.963;100.000;128.000;13715.000;601189;0;0;
2874.952;100.000;128.000;13716.000;601183;0;0;
2878.479;100.000;128.000;13717.000;601175;0;0;
2879.908;100.000;128.000;13718.000;601169;0;0;
2868.834;100.000;128.000;13719.000;601162;0;0;
2867.706;100.000;128.000;13720.000;601155;0;0;
2865.616;100.000;128.000;13721.000;601148;0;0;
2863.683;100.000;128.000;13722.000;601141;0;0;
2877.350;100.000;128.000;13723.000;601135;0;0;
2880.749;100.000;128.000;13724.000;601128;0;0;
2880.880;100.000;128.000;13725.000;601121;0;0;
2877.288;100.000;128.000;13726.000;601114;0;0;
2887.117;100.000;128.000;13727.000;601108;0;0;
2922.565;100.000;128.000;13728.000;601101;0;0;
2954.902;100.000;128.000;13729.000;601095;0;0;
2971.460;100.000;128.000;13730.000;601088;0;0;
2993.591;97.534;0.000;13731.000;601082;0;0;
3074.101;41.636;0.000;13732.000;601075;0;0;
3106.945;24.200;0.000;13733.000;601068;0;0;
3043.412;15.971;0.000;13734.000;601062;0;0;
3009.492;11.502;0.000;13735.000;601055;0;0;
2920.354;9.573;0.000;13736.000;601049;0;0;
2868.732;11.551;0.000;13737.000;601043;0;0;
2872.024;15.922;0.000;13738.000;601036;0;0;
2870.785;19.096;0.000;13739.000;601030;0;0;
2869.204;18.144;0.000;13740.000;601024;0;0;
2862.916;14.212;0.000;13741.000;601017;0;0;
2847.888;8.230;0.000;13742.000;601011;0;0;
1801.625;9.670;0.000;13743.000;601005;0;0;
1816.609;10.842;0.000;13744.000;600998;0;0;
1826.084;11.087;0.000;13745.000;600992;0;0;
1826.095;11.013;0.000;13746.000;600986;0;0;
1825.129;11.429;0.000;13747.000;600980;0;0;
1824.231;13.822;0.000;13748.000;600974;0;0;
1829.572;14.164;0.000;13749.000;600968;0;0;
1830.313;12.503;0.000;13750.000;600961;0;0;
1829.712;11.038;0.000;13751.000;600955;0;0;
1829.040;10.379;0.000;13752.000;600949;0;0;
1825.493;11.160;0.000;13753.000;600943;0;0;
1828.137;12.967;0.000;13754.000;600937;0;0;
1831.380;14.164;0.000;13755.000;600931;0;0;
1831.551;16.068;0.000;13756.000;600925;0;0;
1817.067;15.897;0.000;13757.000;600919;0;0;
1803.074;19.512;0.000;13758.000;600913;0;0;
1802.928;24.737;0.000;13759.000;600907;0;0;
1809.546;26.203;0.000;13760.000;600901;0;0;
1817.347;20.317;0.000;13761.000;600895;0;0;
1823.763;17.070;0.000;13762.000;600890;0;0;
1831.112;15.311;0.000;13763.000;600884;0;0;
1836.824;14.554;0.000;13764.000;600878;0;0;
1837.548;12.845;0.000;13765.000;600872;0;0;
1830.454;12.405;0.000;13766.000;600867;0;0;
1821.776;14.774;0.000;13767.000;600861;0;0;
1824.438;17.167;0.000;13768.000;600855;0;0;
1821.130;17.167;0.000;13769.000;600849;0;0;
1831.048;15.458;0.000;13770.000;600844;0;0;
1837.981;14.725;0.000;13771.000;600838;0;0;
1844.150;15.726;0.000;13772.000;600832;0;0;
1845.175;15.165;0.000;13773.000;600827;0;0;
1845.675;15.531;0.000;13774.000;600821;0;0;
1854.651;17.875;0.000;13775.000;600815;0;0;
