Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
0.000;0.000;0.000;5767.000;614381;0;0;
0.000;0.000;0.000;5768.000;614358;0;0;
0.000;0.000;0.000;5769.000;614335;0;0;
0.000;0.000;0.000;5770.000;614312;0;0;
0.000;0.000;0.000;5771.000;614288;0;0;
0.000;0.000;0.000;5772.000;614265;0;0;
0.000;0.000;0.000;5773.000;614242;0;0;
0.000;0.000;0.000;5774.000;614219;0;0;
0.000;0.000;0.000;5775.000;614195;0;0;
0.000;0.000;0.000;5776.000;614172;0;0;
0.000;0.000;0.000;5777.000;614148;0;0;
0.000;0.000;0.000;5778.000;614125;0;0;
0.000;0.000;0.000;5779.000;614101;0;0;
0.000;0.000;0.000;5780.000;614078;0;0;
0.000;0.000;0.000;5781.000;614054;0;0;
0.000;0.000;0.000;5782.000;614030;0;0;
0.000;0.000;0.000;5783.000;614006;0;0;
0.000;0.000;0.000;5784.000;613983;0;0;
0.000;0.000;0.000;5785.000;613959;0;0;
0.000;0.000;0.000;5786.000;613935;0;0;
0.000;0.000;0.000;5787.000;613911;0;0;
0.000;0.000;0.000;5788.000;613887;0;0;
0.000;0.000;0.000;5789.000;613863;0;0;
0.000;0.000;0.000;5790.000;613838;0;0;
0.000;0.000;0.000;5791.000;613814;0;0;
0.000;0.000;0.000;5792.000;613790;0;0;
0.000;0.000;0.000;5793.000;613766;0;0;
0.000;0.000;0.000;5794.000;613741;0;0;
0.000;0.000;0.000;5795.000;613717;0;0;
0.000;0.000;0.000;5796.000;613692;0;0;
0.000;0.000;0.000;5797.000;613668;0;0;
0.000;0.000;0.000;5798.000;613643;0;0;
0.000;0.000;0.000;5799.000;613619;0;0;
0.000;0.000;0.000;5800.000;613594;0;0;
0.000;0.000;0.000;5801.000;613569;0;0;
0.000;0.000;0.000;5802.000;613545;0;0;
0.000;0.000;0.000;5803.000;613520;0;0;
0.000;0.000;0.000;5804.000;613495;0;0;
0.000;0.000;0.000;5805.000;613470;0;0;
0.000;0.000;0.000;5806.000;613445;0;0;
0.000;0.000;0.000;5807.000;613420;0;0;
0.000;0.000;0.000;5808.000;613395;0;0;
0.000;0.000;0.000;5809.000;613370;0;0;
0.000;0.000;0.000;5810.000;613345;0;0;
0.000;0.000;0.000;5811.000;613320;0;0;
0.000;0.000;0.000;5812.000;613295;0;0;
0.000;0.000;0.000;5813.000;613270;0;0;
0.000;0.000;0.000;5814.000;613245;0;0;
0.000;0.000;0.000;5815.000;613219;0;0;
0.000;0.000;0.000;5816.000;613194;0;0;
0.000;0.000;0.000;5817.000;613169;0;0;
0.000;0.000;0.000;5818.000;613143;0;0;
0.000;0.000;0.000;5819.000;613118;0;0;
0.000;0.000;0.000;5820.000;613093;0;0;
0.000;0.000;0.000;5821.000;613067;0;0;
0.000;0.000;0.000;5822.000;613042;0;0;
0.000;0.000;0.000;5823.000;613016;0;0;
0.000;0.000;0.000;5824.000;612991;0;0;
0.000;0.000;0.000;5825.000;612965;0;0;
0.000;0.000;0.000;5826.000;612939;0;0;
0.000;0.000;0.000;5827.000;612914;0;0;
