Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
1891.881;6.422;0.000;152.000;600260;0;0;
1841.370;12.234;0.000;153.000;600237;0;0;
1851.473;12.650;0.000;154.000;600214;0;0;
1854.766;11.331;0.000;155.000;600192;0;0;
1872.461;15.165;0.000;156.000;600169;0;0;
1863.662;17.143;0.000;157.000;600147;0;0;
1878.646;13.407;0.000;158.000;600124;0;0;
1889.756;9.792;0.000;159.000;600102;0;0;
1884.678;12.601;0.000;160.000;600080;0;0;
1877.117;8.059;0.000;161.000;600058;0;0;
1857.533;11.160;0.000;162.000;600037;0;0;
1864.467;10.476;0.000;163.000;600015;0;0;
2813.055;10.476;0.000;164.000;599994;0;0;
2866.081;13.065;0.000;165.000;599973;0;0;
3263.839;15.214;0.000;166.000;599952;0;0;
3037.574;87.277;0.000;167.000;599931;0;0;
2924.761;100.000;128.000;168.000;599911;0;0;
2879.688;100.000;128.000;169.000;599890;0;0;
2864.544;100.000;128.000;170.000;599870;0;0;
2853.252;100.000;128.000;171.000;599850;0;0;
2862.103;100.000;128.000;172.000;599830;0;0;
2851.159;100.000;128.000;173.000;599810;0;0;
2848.635;100.000;128.000;174.000;599791;0;0;
2869.912;100.000;128.000;175.000;599772;0;0;
2862.621;100.000;128.000;176.000;599752;0;0;
2860.519;100.000;128.000;177.000;599733;0;0;
2897.764;100.000;128.000;178.000;599715;0;0;
3016.879;97.314;0.000;179.000;599696;0;0;
3149.317;21.392;0.000;180.000;599678;0;0;
2912.166;10.720;0.000;181.000;599659;0;0;
2859.217;11.917;0.000;182.000;599641;0;0;
2245.695;6.593;0.000;183.000;599623;0;0;
1835.084;10.720;0.000;184.000;599606;0;0;
1852.053;11.575;0.000;185.000;599588;0;0;
1803.879;14.628;0.000;186.000;599571;0;0;
1828.514;16.972;0.000;187.000;599554;0;0;
1831.089;15.873;0.000;188.000;599537;0;0;
1827.218;16.337;0.000;189.000;599520;0;0;
1829.521;17.558;0.000;190.000;599503;0;0;
1833.904;18.217;0.000;191.000;599487;0;0;
1846.815;16.850;0.000;192.000;599470;0;0;
1831.034;15.116;0.000;193.000;599454;0;0;
1831.265;12.259;0.000;194.000;599438;0;0;
1829.487;15.995;0.000;195.000;599423;0;0;
1827.275;17.118;0.000;196.000;599407;0;0;
1836.761;16.532;0.000;197.000;599391;0;0;
1837.864;13.040;0.000;198.000;599376;0;0;
1836.822;14.579;0.000;199.000;599361;0;0;
1833.285;12.723;0.000;200.000;599346;0;0;
1825.840;9.719;0.000;201.000;599331;0;0;
2036.440;6.349;0.000;202.000;599317;0;0;
2841.415;13.358;0.000;203.000;599302;0;0;
2866.421;22.686;0.000;204.000;599288;0;0;
2909.068;14.628;0.000;205.000;599274;0;0;
2973.629;27.277;0.000;206.000;599260;0;0;
2945.396;71.184;0.000;207.000;599246;0;0;
2948.713;100.000;128.000;208.000;599233;0;0;
2903.296;100.000;128.000;209.000;599219;0;0;
2876.333;100.000;128.000;210.000;599206;0;0;
2870.079;100.000;128.000;211.000;599193;0;0;
2879.979;100.000;128.000;212.000;599180;0;0;
2871.792;100.000;128.000;213.000;599167;0;0;
2870.226;100.000;128.000;214.000;599155;0;0;
2870.317;100.000;128.000;215.000;599142;0;0;
2870.946;100.000;128.000;216.000;599130;0;0;
2872.625;100.000;128.000;217.000;599118;0;0;
2874.619;100.000;128.000;218.000;599106;0;0;
2881.961;100.000;128.000;219.000;599094;0;0;
2868.481;100.000;128.000;220.000;599082;0;0;
2869.140;100.000;128.000;221.000;599070;0;0;
2873.151;100.000;128.000;222.000;599059;0;0;
2867.082;100.000;128.000;223.000;599048;0;0;
2866.734;100.000;128.000;224.000;599037;0;0;
2865.275;100.000;128.000;225.000;599026;0;0;
2880.126;100.000;128.000;226.000;599015;0;0;
2880.963;100.000;128.000;227.000;599004;0;0;
2880.638;100.000;128.000;228.000;598993;0;0;
2891.310;100.000;128.000;229.000;598983;0;0;
2884.292;100.000;128.000;230.000;598973;0;0;
2925.107;100.000;128.000;231.000;598963;0;0;
2958.543;100.000;128.000;232.000;598952;0;0;
3078.518;47.448;0.000;233.000;598942;0;0;
2962.487;19.267;0.000;234.000;598933;0;0;
2757.615;13.675;0.000;235.000;598923;0;0;
2722.977;10.427;0.000;236.000;598913;0;0;
2874.794;19.072;0.000;237.000;598904;0;0;
2878.154;27.619;0.000;238.000;598894;0;0;
2875.562;23.468;0.000;239.000;598885;0;0;
2852.359;11.868;0.000;240.000;598876;0;0;
1922.748;8.352;0.000;241.000;598867;0;0;
1877.973;7.985;0.000;242.000;598858;0;0;
1886.666;8.449;0.000;243.000;598850;0;0;
1890.256;8.327;0.000;244.000;598841;0;0;
1878.493;7.961;0.000;245.000;598832;0;0;
1881.440;9.548;0.000;246.000;598824;0;0;
1873.145;9.548;0.000;247.000;598816;0;0;
1853.116;9.768;0.000;248.000;598807;0;0;
1837.565;10.940;0.000;249.000;598799;0;0;
1856.835;11.404;0.000;250.000;598791;0;0;
1873.133;10.965;0.000;251.000;598784;0;0;
1872.263;11.453;0.000;252.000;598776;0;0;
1857.703;12.918;0.000;253.000;598768;0;0;
1869.746;15.116;0.000;254.000;598761;0;0;
1867.096;14.335;0.000;255.000;598753;0;0;
1854.561;11.966;0.000;256.000;598746;0;0;
1854.796;10.769;0.000;257.000;598739;0;0;
1855.423;11.624;0.000;258.000;598732;0;0;
1853.362;12.527;0.000;259.000;598725;0;0;
1861.315;11.258;0.000;260.000;598718;0;0;
