Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
0.000;0.000;0.000;12793.000;583801;0;0;
0.000;0.000;0.000;12794.000;583799;0;0;
0.000;0.000;0.000;12795.000;583797;0;0;
0.000;0.000;0.000;12796.000;583795;0;0;
0.000;0.000;0.000;12797.000;583793;0;0;
0.000;0.000;0.000;12798.000;583790;0;0;
0.000;0.000;0.000;12799.000;583788;0;0;
0.000;0.000;0.000;12800.000;583786;0;0;
0.000;0.000;0.000;12801.000;583783;0;0;
0.000;0.000;0.000;12802.000;583781;0;0;
0.000;0.000;0.000;12803.000;583778;0;0;
0.000;0.000;0.000;12804.000;583776;0;0;
0.000;0.000;0.000;12805.000;583773;0;0;
0.000;0.000;0.000;12806.000;583771;0;0;
0.000;0.000;0.000;12807.000;583768;0;0;
0.000;0.000;0.000;12808.000;583766;0;0;
0.000;0.000;0.000;12809.000;583763;0;0;
0.000;0.000;0.000;12810.000;583760;0;0;
0.000;0.000;0.000;12811.000;583757;0;0;
0.000;0.000;0.000;12812.000;583754;0;0;
0.000;0.000;0.000;12813.000;583752;0;0;
0.000;0.000;0.000;12814.000;583749;0;0;
0.000;0.000;0.000;12815.000;583746;0;0;
0.000;0.000;0.000;12816.000;583743;0;0;
0.000;0.000;0.000;12817.000;583740;0;0;
0.000;0.000;0.000;12818.000;583737;0;0;
0.000;0.000;0.000;12819.000;583734;0;0;
0.000;0.000;0.000;12820.000;583731;0;0;
0.000;0.000;0.000;12821.000;583727;0;0;
0.000;0.000;0.000;12822.000;583724;0;0;
0.000;0.000;0.000;12823.000;583721;0;0;
0.000;0.000;0.000;12824.000;583718;0;0;
0.000;0.000;0.000;12825.000;583714;0;0;
0.000;0.000;0.000;12826.000;583711;0;0;
0.000;0.000;0.000;12827.000;583708;0;0;
0.000;0.000;0.000;12828.000;583704;0;0;
0.000;0.000;0.000;12829.000;583701;0;0;
0.000;0.000;0.000;12830.000;583697;0;0;
0.000;0.000;0.000;12831.000;583694;0;0;
0.000;0.000;0.000;12832.000;583690;0;0;
0.000;0.000;0.000;12833.000;583687;0;0;
0.000;0.000;0.000;12834.000;583683;0;0;
0.000;0.000;0.000;12835.000;583680;0;0;
0.000;0.000;0.000;12836.000;583676;0;0;
0.000;0.000;0.000;12837.000;583672;0;0;
0.000;0.000;0.000;12838.000;583669;0;0;
0.000;0.000;0.000;12839.000;583665;0;0;
0.000;0.000;0.000;12840.000;583661;0;0;
0.000;0.000;0.000;12841.000;583658;0;0;
0.000;0.000;0.000;12842.000;583654;0;0;
0.000;0.000;0.000;12843.000;583650;0;0;
0.000;0.000;0.000;12844.000;583646;0;0;
0.000;0.000;0.000;12845.000;583643;0;0;
0.000;0.000;0.000;12846.000;583639;0;0;
0.000;0.000;0.000;12847.000;583635;0;0;
0.000;0.000;0.000;12848.000;583631;0;0;
0.000;0.000;0.000;12849.000;583627;0;0;
0.000;0.000;0.000;12850.000;583623;0;0;
0.000;0.000;0.000;12851.000;583619;0;0;
0.000;0.000;0.000;12852.000;583616;0;0;
0.000;0.000;0.000;12853.000;583612;0;0;
0.000;0.000;0.000;12854.000;583608;0;0;
0.000;0.000;0.000;12855.000;583604;0;0;
0.000;0.000;0.000;12856.000;583600;0;0;
0.000;0.000;0.000;12857.000;583596;0;0;
0.000;0.000;0.000;12858.000;583592;0;0;
0.000;0.000;0.000;12859.000;583588;0;0;
0.000;0.000;0.000;12860.000;583585;0;0;
0.000;0.000;0.000;12861.000;583581;0;0;
0.000;0.000;0.000;12862.000;583577;0;0;
0.000;0.000;0.000;12863.000;583573;0;0;
0.000;0.000;0.000;12864.000;583569;0;0;
0.000;0.000;0.000;12865.000;583565;0;0;
0.000;0.000;0.000;12866.000;583561;0;0;
0.000;0.000;0.000;12867.000;583558;0;0;
0.000;0.000;0.000;12868.000;583554;0;0;
0.000;0.000;0.000;12869.000;583550;0;0;
0.000;0.000;0.000;12870.000;583546;0;0;
0.000;0.000;0.000;12871.000;583543;0;0;
0.000;0.000;0.000;12872.000;583539;0;0;
0.000;0.000;0.000;12873.000;583535;0;0;
0.000;0.000;0.000;12874.000;583531;0;0;
0.000;0.000;0.000;12875.000;583528;0;0;
0.000;0.000;0.000;12876.000;583524;0;0;
0.000;0.000;0.000;12877.000;583521;0;0;
0.000;0.000;0.000;12878.000;583517;0;0;
0.000;0.000;0.000;12879.000;583513;0;0;
0.000;0.000;0.000;12880.000;583510;0;0;
0.000;0.000;0.000;12881.000;583507;0;0;
0.000;0.000;0.000;12882.000;583503;0;0;
0.000;0.000;0.000;12883.000;583500;0;0;
0.000;0.000;0.000;12884.000;583496;0;0;
0.000;0.000;0.000;12885.000;583493;0;0;
0.000;0.000;0.000;12886.000;583490;0;0;
0.000;0.000;0.000;12887.000;583487;0;0;
0.000;0.000;0.000;12888.000;583484;0;0;
0.000;0.000;0.000;12889.000;583480;0;0;
0.000;0.000;0.000;12890.000;583477;0;0;
0.000;0.000;0.000;12891.000;583474;0;0;
0.000;0.000;0.000;12892.000;583471;0;0;
0.000;0.000;0.000;12893.000;583468;0;0;
0.000;0.000;0.000;12894.000;583465;0;0;
0.000;0.000;0.000;12895.000;583463;0;0;
0.000;0.000;0.000;12896.000;583460;0;0;
0.000;0.000;0.000;12897.000;583457;0;0;
0.000;0.000;0.000;12898.000;583454;0;0;
0.000;0.000;0.000;12899.000;583452;0;0;
0.000;0.000;0.000;12900.000;583449;0;0;
0.000;0.000;0.000;12901.000;583447;0;0;
0.000;0.000;0.000;12902.000;583444;0;0;
0.000;0.000;0.000;12903.000;583442;0;0;
0.000;0.000;0.000;12904.000;583440;0;0;
0.000;0.000;0.000;12905.000;583437;0;0;
0.000;0.000;0.000;12906.000;583435;0;0;
0.000;0.000;0.000;12907.000;583433;0;0;
0.000;0.000;0.000;12908.000;583431;0;0;
0.000;0.000;0.000;12909.000;583429;0;0;
0.000;0.000;0.000;12910.000;583427;0;0;
0.000;0.000;0.000;12911.000;583425;0;0;
0.000;0.000;0.000;12912.000;583424;0;0;
0.000;0.000;0.000;12913.000;583422;0;0;
0.000;0.000;0.000;12914.000;583420;0;0;
0.000;0.000;0.000;12915.000;583419;0;0;
0.000;0.000;0.000;12916.000;583417;0;0;
0.000;0.000;0.000;12917.000;583416;0;0;
0.000;0.000;0.000;12918.000;583415;0;0;
0.000;0.000;0.000;12919.000;583413;0;0;
0.000;0.000;0.000;12920.000;583412;0;0;
0.000;0.000;0.000;12921.000;583411;0;0;
0.000;0.000;0.000;12922.000;583410;0;0;
