Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
2867.496;100.000;128.000;28140.000;598439;0;0;
2866.831;100.000;128.000;28141.000;598441;0;0;
2866.003;100.000;128.000;28142.000;598443;0;0;
2866.092;100.000;128.000;28143.000;598445;0;0;
2867.491;100.000;128.000;28144.000;598448;0;0;
2868.563;100.000;128.000;28145.000;598450;0;0;
2870.468;100.000;128.000;28146.000;598452;0;0;
2870.866;100.000;128.000;28147.000;598454;0;0;
2871.174;100.000;128.000;28148.000;598456;0;0;
2871.671;100.000;128.000;28149.000;598458;0;0;
2872.449;100.000;128.000;28150.000;598460;0;0;
2872.873;100.000;128.000;28151.000;598462;0;0;
2874.674;100.000;128.000;28152.000;598464;0;0;
2875.227;100.000;128.000;28153.000;598466;0;0;
2875.537;100.000;128.000;28154.000;598468;0;0;
2875.023;100.000;128.000;28155.000;598470;0;0;
2874.537;100.000;128.000;28156.000;598472;0;0;
2873.046;100.000;128.000;28157.000;598474;0;0;
2871.236;100.000;128.000;28158.000;598476;0;0;
2871.789;100.000;128.000;28159.000;598478;0;0;
2875.142;100.000;128.000;28160.000;598480;0;0;
2877.211;100.000;128.000;28161.000;598482;0;0;
2876.175;100.000;128.000;28162.000;598484;0;0;
2875.386;100.000;128.000;28163.000;598486;0;0;
2875.944;100.000;128.000;28164.000;598488;0;0;
2876.665;100.000;128.000;28165.000;598489;0;0;
2876.611;100.000;128.000;28166.000;598491;0;0;
2877.128;100.000;128.000;28167.000;598493;0;0;
2876.768;100.000;128.000;28168.000;598495;0;0;
2877.022;100.000;128.000;28169.000;598497;0;0;
2875.673;100.000;128.000;28170.000;598498;0;0;
2874.914;100.000;128.000;28171.000;598500;0;0;
2877.532;100.000;128.000;28172.000;598502;0;0;
2886.240;100.000;128.000;28173.000;598504;0;0;
2886.685;100.000;128.000;28174.000;598505;0;0;
2887.217;100.000;128.000;28175.000;598507;0;0;
2888.232;100.000;128.000;28176.000;598509;0;0;
2898.932;100.000;128.000;28177.000;598510;0;0;
2898.696;100.000;128.000;28178.000;598512;0;0;
2897.900;100.000;128.000;28179.000;598513;0;0;
2897.658;100.000;128.000;28180.000;598515;0;0;
2896.153;100.000;128.000;28181.000;598517;0;0;
2904.422;100.000;128.000;28182.000;598518;0;0;
2903.480;100.000;128.000;28183.000;598520;0;0;
2911.417;100.000;128.000;28184.000;598521;0;0;
2916.909;100.000;128.000;28185.000;598523;0;0;
2919.927;100.000;128.000;28186.000;598524;0;0;
2920.731;100.000;128.000;28187.000;598526;0;0;
2922.892;100.000;128.000;28188.000;598527;0;0;
2922.810;100.000;128.000;28189.000;598528;0;0;
2924.981;100.000;128.000;28190.000;598530;0;0;
2926.573;100.000;128.000;28191.000;598531;0;0;
2927.556;100.000;128.000;28192.000;598532;0;0;
2930.071;100.000;128.000;28193.000;598534;0;0;
2931.756;100.000;128.000;28194.000;598535;0;0;
2933.558;100.000;128.000;28195.000;598536;0;0;
2938.231;100.000;128.000;28196.000;598537;0;0;
2944.722;100.000;128.000;28197.000;598538;0;0;
2946.828;98.999;0.000;28198.000;598540;0;0;
2946.019;93.455;0.000;28199.000;598541;0;0;
2944.783;77.485;0.000;28200.000;598542;0;0;
2945.476;64.054;0.000;28201.000;598543;0;0;
2940.877;54.676;0.000;28202.000;598544;0;0;
2934.935;47.399;0.000;28203.000;598545;0;0;
2920.819;40.928;0.000;28204.000;598546;0;0;
2919.102;37.143;0.000;28205.000;598547;0;0;
2834.081;35.971;0.000;28206.000;598548;0;0;
2815.274;33.358;0.000;28207.000;598549;0;0;
2769.344;31.990;0.000;28208.000;598550;0;0;
2754.490;31.502;0.000;28209.000;598551;0;0;
2721.761;30.379;0.000;28210.000;598552;0;0;
2713.181;28.791;0.000;28211.000;598553;0;0;
2702.070;28.278;0.000;28212.000;598553;0;0;
2696.824;27.009;0.000;28213.000;598554;0;0;
2699.072;26.496;0.000;28214.000;598555;0;0;
2682.025;25.641;0.000;28215.000;598556;0;0;
2678.084;23.883;0.000;28216.000;598556;0;0;
2671.925;23.077;0.000;28217.000;598557;0;0;
2671.972;22.784;0.000;28218.000;598558;0;0;
2666.394;21.465;0.000;28219.000;598559;0;0;
2661.099;21.221;0.000;28220.000;598559;0;0;
2655.762;20.147;0.000;28221.000;598560;0;0;
2657.806;19.805;0.000;28222.000;598561;0;0;
2656.241;18.706;0.000;28223.000;598561;0;0;
2652.504;18.486;0.000;28224.000;598562;0;0;
2648.152;17.998;0.000;28225.000;598562;0;0;
2657.828;17.216;0.000;28226.000;598563;0;0;
2790.765;16.288;0.000;28227.000;598563;0;0;
2777.332;16.093;0.000;28228.000;598564;0;0;
2834.383;15.385;0.000;28229.000;598564;0;0;
2855.428;14.774;0.000;28230.000;598565;0;0;
2862.086;14.652;0.000;28231.000;598565;0;0;
2851.338;14.188;0.000;28232.000;598566;0;0;
2864.313;13.602;0.000;28233.000;598566;0;0;
3215.455;12.967;0.000;28234.000;598567;0;0;
3217.792;13.162;0.000;28235.000;598567;0;0;
3209.030;12.454;0.000;28236.000;598568;0;0;
2853.327;12.186;0.000;28237.000;598568;0;0;
3193.389;11.966;0.000;28238.000;598568;0;0;
3189.556;11.917;0.000;28239.000;598569;0;0;
3198.872;11.941;0.000;28240.000;598569;0;0;
