Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
0.000;0.000;0.000;3035.000;182376;0;-1;
0.000;0.000;0.000;3036.000;182371;0;-1;
0.000;0.000;0.000;3037.000;182367;0;-1;
0.000;0.000;0.000;3038.000;182362;0;-1;
0.000;0.000;0.000;3039.000;182357;0;-1;
0.000;0.000;0.000;3040.000;182352;0;-1;
0.000;0.000;0.000;3041.000;182346;0;-1;
0.000;0.000;0.000;3042.000;182341;0;-1;
0.000;0.000;0.000;3043.000;182336;0;-1;
0.000;0.000;0.000;3044.000;182330;0;-1;
0.000;0.000;0.000;3045.000;182325;0;-1;
0.000;0.000;0.000;3046.000;182319;0;-1;
0.000;0.000;0.000;3047.000;182313;0;-1;
0.000;0.000;0.000;3048.000;182307;0;-1;
0.000;0.000;0.000;3049.000;182301;0;-1;
0.000;0.000;0.000;3050.000;182295;0;-1;
0.000;0.000;0.000;3051.000;182289;0;-1;
0.000;0.000;0.000;3052.000;182283;0;-1;
0.000;0.000;0.000;3053.000;182277;0;-1;
0.000;0.000;0.000;3054.000;182270;0;-1;
0.000;0.000;0.000;3055.000;182264;0;-1;
0.000;0.000;0.000;3056.000;182257;0;-1;
0.000;0.000;0.000;3057.000;182251;0;-1;
0.000;0.000;0.000;3058.000;182244;0;-1;
0.000;0.000;0.000;3059.000;182237;0;-1;
0.000;0.000;0.000;3060.000;182230;0;-1;
0.000;0.000;0.000;3061.000;182223;0;-1;
0.000;0.000;0.000;3062.000;182216;0;-1;
0.000;0.000;0.000;3063.000;182209;0;-1;
0.000;0.000;0.000;3064.000;182202;0;-1;
0.000;0.000;0.000;3065.000;182195;0;-1;
0.000;0.000;0.000;3066.000;182188;0;-1;
0.000;0.000;0.000;3067.000;182180;0;-1;
0.000;0.000;0.000;3068.000;182173;0;-1;
0.000;0.000;0.000;3069.000;182165;0;-1;
0.000;0.000;0.000;3070.000;182158;0;-1;
0.000;0.000;0.000;3071.000;182150;0;-1;
0.000;0.000;0.000;3072.000;182142;0;-1;
0.000;0.000;0.000;3073.000;182134;0;-1;
0.000;0.000;0.000;3074.000;182127;0;-1;
0.000;0.000;0.000;3075.000;182119;0;-1;
0.000;0.000;0.000;3076.000;182111;0;-1;
0.000;0.000;0.000;3077.000;182103;0;-1;
0.000;0.000;0.000;3078.000;182094;0;-1;
0.000;0.000;0.000;3079.000;182086;0;-1;
0.000;0.000;0.000;3080.000;182078;0;-1;
0.000;0.000;0.000;3081.000;182070;0;-1;
0.000;0.000;0.000;3082.000;182061;0;-1;
0.000;0.000;0.000;3083.000;182053;0;-1;
0.000;0.000;0.000;3084.000;182045;0;-1;
0.000;0.000;0.000;3085.000;182036;0;-1;
0.000;0.000;0.000;3086.000;182027;0;-1;
0.000;0.000;0.000;3087.000;182019;0;-1;
0.000;0.000;0.000;3088.000;182010;0;-1;
0.000;0.000;0.000;3089.000;182001;0;-1;
0.000;0.000;0.000;3090.000;181992;0;-1;
0.000;0.000;0.000;3091.000;181984;0;-1;
0.000;0.000;0.000;3092.000;181974;0;-1;
0.000;0.000;0.000;3093.000;181966;0;-1;
0.000;0.000;0.000;3094.000;181956;0;-1;
0.000;0.000;0.000;3095.000;181947;0;-1;
0.000;0.000;0.000;3096.000;181938;0;-1;
0.000;0.000;0.000;3097.000;181929;0;-1;
0.000;0.000;0.000;3098.000;181919;0;-1;
0.000;0.000;0.000;3099.000;181910;0;-1;
0.000;0.000;0.000;3100.000;181901;0;-1;
0.000;0.000;0.000;3101.000;181891;0;-1;
0.000;0.000;0.000;3102.000;181882;0;-1;
0.000;0.000;0.000;3103.000;181872;0;-1;
0.000;0.000;0.000;3104.000;181862;0;-1;
0.000;0.000;0.000;3105.000;181852;0;-1;
0.000;0.000;0.000;3106.000;181843;0;-1;
0.000;0.000;0.000;3107.000;181833;0;-1;
0.000;0.000;0.000;3108.000;181823;0;-1;
0.000;0.000;0.000;3109.000;181813;0;-1;
0.000;0.000;0.000;3110.000;181803;0;-1;
0.000;0.000;0.000;3111.000;181792;0;-1;
0.000;0.000;0.000;3112.000;181782;0;-1;
0.000;0.000;0.000;3113.000;181772;0;-1;
0.000;0.000;0.000;3114.000;181761;0;-1;
0.000;0.000;0.000;3115.000;181751;0;-1;
0.000;0.000;0.000;3116.000;181740;0;-1;
0.000;0.000;0.000;3117.000;181730;0;-1;
0.000;0.000;0.000;3118.000;181719;0;-1;
0.000;0.000;0.000;3119.000;181708;0;-1;
0.000;0.000;0.000;3120.000;181698;0;-1;
0.000;0.000;0.000;3121.000;181687;0;-1;
0.000;0.000;0.000;3122.000;181676;0;-1;
0.000;0.000;0.000;3123.000;181665;0;-1;
0.000;0.000;0.000;3124.000;181654;0;-1;
0.000;0.000;0.000;3125.000;181643;0;-1;
0.000;0.000;0.000;3126.000;181632;0;-1;
0.000;0.000;0.000;3127.000;181620;0;-1;
0.000;0.000;0.000;3128.000;181609;0;-1;
0.000;0.000;0.000;3129.000;181598;0;-1;
0.000;0.000;0.000;3130.000;181586;0;-1;
0.000;0.000;0.000;3131.000;181575;0;-1;
0.000;0.000;0.000;3132.000;181563;0;-1;
0.000;0.000;0.000;3133.000;181551;0;-1;
0.000;0.000;0.000;3134.000;181540;0;-1;
0.000;0.000;0.000;3135.000;181528;0;-1;
0.000;0.000;0.000;3136.000;181516;0;-1;
0.000;0.000;0.000;3137.000;181504;0;-1;
0.000;0.000;0.000;3138.000;181492;0;-1;
0.000;0.000;0.000;3139.000;181480;0;-1;
0.000;0.000;0.000;3140.000;181468;0;-1;
0.000;0.000;0.000;3141.000;181456;0;-1;
0.000;0.000;0.000;3142.000;181444;0;-1;
0.000;0.000;0.000;3143.000;181431;0;-1;
0.000;0.000;0.000;3144.000;181419;0;-1;
0.000;0.000;0.000;3145.000;181407;0;-1;
0.000;0.000;0.000;3146.000;181394;0;-1;
0.000;0.000;0.000;3147.000;181382;0;-1;
0.000;0.000;0.000;3148.000;181369;0;-1;
0.000;0.000;0.000;3149.000;181356;0;-1;
0.000;0.000;0.000;3150.000;181344;0;-1;
0.000;0.000;0.000;3151.000;181331;0;-1;
0.000;0.000;0.000;3152.000;181318;0;-1;
0.000;0.000;0.000;3153.000;181305;0;-1;
