Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
3024.815;100.000;128.000;12784.000;268970;0;-1;
3024.439;100.000;128.000;12785.000;268970;0;-1;
3024.843;100.000;128.000;12786.000;268971;0;-1;
3025.189;100.000;128.000;12787.000;268971;0;-1;
3025.501;100.000;128.000;12788.000;268971;0;-1;
3025.784;100.000;128.000;12789.000;268971;0;-1;
3025.727;100.000;128.000;12790.000;268971;0;-1;
3025.805;100.000;128.000;12791.000;268971;0;-1;
3025.868;100.000;128.000;12792.000;268971;0;-1;
3025.564;100.000;128.000;12793.000;268971;0;-1;
3025.900;100.000;128.000;12794.000;268970;0;-1;
3025.855;100.000;128.000;12795.000;268970;0;-1;
3024.823;100.000;128.000;12796.000;268970;0;-1;
3025.355;100.000;128.000;12797.000;268970;0;-1;
3025.576;100.000;128.000;12798.000;268970;0;-1;
3024.728;100.000;128.000;12799.000;268970;0;-1;
3024.698;100.000;128.000;12800.000;268970;0;-1;
3024.420;100.000;128.000;12801.000;268970;0;-1;
3023.546;100.000;128.000;12802.000;268970;0;-1;
3024.705;100.000;128.000;12803.000;268969;0;-1;
3023.843;100.000;128.000;12804.000;268969;0;-1;
3024.241;100.000;128.000;12805.000;268969;0;-1;
3022.988;100.000;128.000;12806.000;268969;0;-1;
3024.278;100.000;128.000;12807.000;268969;0;-1;
3022.191;100.000;128.000;12808.000;268968;0;-1;
3022.498;100.000;128.000;12809.000;268968;0;-1;
3021.550;100.000;128.000;12810.000;268968;0;-1;
3022.791;100.000;128.000;12811.000;268968;0;-1;
3021.539;100.000;128.000;12812.000;268968;0;-1;
3021.395;100.000;128.000;12813.000;268967;0;-1;
3021.510;100.000;128.000;12814.000;268967;0;-1;
3020.416;100.000;128.000;12815.000;268967;0;-1;
3020.328;100.000;128.000;12816.000;268967;0;-1;
3019.456;100.000;128.000;12817.000;268966;0;-1;
3019.651;100.000;128.000;12818.000;268966;0;-1;
3018.735;100.000;128.000;12819.000;268966;0;-1;
3019.548;100.000;128.000;12820.000;268966;0;-1;
3019.138;100.000;128.000;12821.000;268965;0;-1;
3019.114;100.000;128.000;12822.000;268965;0;-1;
3018.219;100.000;128.000;12823.000;268965;0;-1;
3017.703;100.000;128.000;12824.000;268964;0;-1;
3018.558;100.000;128.000;12825.000;268964;0;-1;
3018.028;100.000;128.000;12826.000;268964;0;-1;
3018.397;100.000;128.000;12827.000;268964;0;-1;
3018.342;100.000;128.000;12828.000;268963;0;-1;
3018.371;100.000;128.000;12829.000;268963;0;-1;
3018.064;100.000;128.000;12830.000;268963;0;-1;
3017.883;100.000;128.000;12831.000;268962;0;-1;
3017.992;100.000;128.000;12832.000;268962;0;-1;
3017.604;100.000;128.000;12833.000;268962;0;-1;
3017.604;100.000;128.000;12834.000;268961;0;-1;
3017.725;100.000;128.000;12835.000;268961;0;-1;
3017.623;100.000;128.000;12836.000;268961;0;-1;
3018.195;100.000;128.000;12837.000;268960;0;-1;
3017.281;100.000;128.000;12838.000;268960;0;-1;
3017.563;100.000;128.000;12839.000;268960;0;-1;
3017.115;100.000;128.000;12840.000;268960;0;-1;
3016.883;100.000;128.000;12841.000;268959;0;-1;
3017.198;100.000;128.000;12842.000;268959;0;-1;
3017.133;100.000;128.000;12843.000;268959;0;-1;
3016.931;100.000;128.000;12844.000;268958;0;-1;
3016.690;100.000;128.000;12845.000;268958;0;-1;
3017.117;100.000;128.000;12846.000;268958;0;-1;
