Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
0.000;0.000;0.000;7094.000;148698;0;-1;
0.000;0.000;0.000;7095.000;148727;0;-1;
0.000;0.000;0.000;7096.000;148756;0;-1;
0.000;0.000;0.000;7097.000;148786;0;-1;
0.000;0.000;0.000;7098.000;148815;0;-1;
0.000;0.000;0.000;7099.000;148845;0;-1;
0.000;0.000;0.000;7100.000;148874;0;-1;
0.000;0.000;0.000;7101.000;148904;0;-1;
0.000;0.000;0.000;7102.000;148934;0;-1;
0.000;0.000;0.000;7103.000;148964;0;-1;
0.000;0.000;0.000;7104.000;148993;0;-1;
0.000;0.000;0.000;7105.000;149024;0;-1;
0.000;0.000;0.000;7106.000;149053;0;-1;
0.000;0.000;0.000;7107.000;149083;0;-1;
0.000;0.000;0.000;7108.000;149113;0;-1;
0.000;0.000;0.000;7109.000;149143;0;-1;
0.000;0.000;0.000;7110.000;149173;0;-1;
0.000;0.000;0.000;7111.000;149204;0;-1;
0.000;0.000;0.000;7112.000;149234;0;-1;
0.000;0.000;0.000;7113.000;149264;0;-1;
0.000;0.000;0.000;7114.000;149294;0;-1;
0.000;0.000;0.000;7115.000;149324;0;-1;
0.000;0.000;0.000;7116.000;149355;0;-1;
0.000;0.000;0.000;7117.000;149385;0;-1;
0.000;0.000;0.000;7118.000;149415;0;-1;
0.000;0.000;0.000;7119.000;149446;0;-1;
0.000;0.000;0.000;7120.000;149476;0;-1;
0.000;0.000;0.000;7121.000;149507;0;-1;
0.000;0.000;0.000;7122.000;149537;0;-1;
0.000;0.000;0.000;7123.000;149568;0;-1;
0.000;0.000;0.000;7124.000;149599;0;-1;
0.000;0.000;0.000;7125.000;149629;0;-1;
0.000;0.000;0.000;7126.000;149660;0;-1;
0.000;0.000;0.000;7127.000;149691;0;-1;
0.000;0.000;0.000;7128.000;149721;0;-1;
0.000;0.000;0.000;7129.000;149752;0;-1;
0.000;0.000;0.000;7130.000;149783;0;-1;
0.000;0.000;0.000;7131.000;149814;0;-1;
0.000;0.000;0.000;7132.000;149845;0;-1;
0.000;0.000;0.000;7133.000;149875;0;-1;
0.000;0.000;0.000;7134.000;149907;0;-1;
0.000;0.000;0.000;7135.000;149937;0;-1;
0.000;0.000;0.000;7136.000;149968;0;-1;
0.000;0.000;0.000;7137.000;150000;0;-1;
0.000;0.000;0.000;7138.000;150031;0;-1;
0.000;0.000;0.000;7139.000;150062;0;-1;
0.000;0.000;0.000;7140.000;150093;0;-1;
0.000;0.000;0.000;7141.000;150124;0;-1;
0.000;0.000;0.000;7142.000;150155;0;-1;
0.000;0.000;0.000;7143.000;150187;0;-1;
0.000;0.000;0.000;7144.000;150218;0;-1;
0.000;0.000;0.000;7145.000;150249;0;-1;
0.000;0.000;0.000;7146.000;150281;0;-1;
0.000;0.000;0.000;7147.000;150312;0;-1;
0.000;0.000;0.000;7148.000;150344;0;-1;
0.000;0.000;0.000;7149.000;150375;0;-1;
0.000;0.000;0.000;7150.000;150407;0;-1;
0.000;0.000;0.000;7151.000;150438;0;-1;
0.000;0.000;0.000;7152.000;150470;0;-1;
0.000;0.000;0.000;7153.000;150502;0;-1;
0.000;0.000;0.000;7154.000;150533;0;-1;
0.000;0.000;0.000;7155.000;150565;0;-1;
0.000;0.000;0.000;7156.000;150597;0;-1;
0.000;0.000;0.000;7157.000;150629;0;-1;
0.000;0.000;0.000;7158.000;150660;0;-1;
0.000;0.000;0.000;7159.000;150692;0;-1;
0.000;0.000;0.000;7160.000;150724;0;-1;
0.000;0.000;0.000;7161.000;150756;0;-1;
0.000;0.000;0.000;7162.000;150788;0;-1;
0.000;0.000;0.000;7163.000;150820;0;-1;
