Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
0.000;0.000;0.000;12472.000;181468;0;-1;
0.000;0.000;0.000;12473.000;181410;0;-1;
0.000;0.000;0.000;12474.000;181352;0;-1;
0.000;0.000;0.000;12475.000;181295;0;-1;
0.000;0.000;0.000;12476.000;181237;0;-1;
0.000;0.000;0.000;12477.000;181179;0;-1;
0.000;0.000;0.000;12478.000;181121;0;-1;
0.000;0.000;0.000;12479.000;181063;0;-1;
0.000;0.000;0.000;12480.000;181005;0;-1;
0.000;0.000;0.000;12481.000;180947;0;-1;
0.000;0.000;0.000;12482.000;180889;0;-1;
0.000;0.000;0.000;12483.000;180831;0;-1;
0.000;0.000;0.000;12484.000;180773;0;-1;
0.000;0.000;0.000;12485.000;180715;0;-1;
0.000;0.000;0.000;12486.000;180657;0;-1;
0.000;0.000;0.000;12487.000;180599;0;-1;
0.000;0.000;0.000;12488.000;180541;0;-1;
0.000;0.000;0.000;12489.000;180483;0;-1;
0.000;0.000;0.000;12490.000;180425;0;-1;
0.000;0.000;0.000;12491.000;180367;0;-1;
0.000;0.000;0.000;12492.000;180308;0;-1;
0.000;0.000;0.000;12493.000;180250;0;-1;
0.000;0.000;0.000;12494.000;180192;0;-1;
0.000;0.000;0.000;12495.000;180133;0;-1;
0.000;0.000;0.000;12496.000;180075;0;-1;
0.000;0.000;0.000;12497.000;180017;0;-1;
0.000;0.000;0.000;12498.000;179958;0;-1;
0.000;0.000;0.000;12499.000;179900;0;-1;
0.000;0.000;0.000;12500.000;179842;0;-1;
0.000;0.000;0.000;12501.000;179783;0;-1;
0.000;0.000;0.000;12502.000;179725;0;-1;
0.000;0.000;0.000;12503.000;179666;0;-1;
0.000;0.000;0.000;12504.000;179608;0;-1;
0.000;0.000;0.000;12505.000;179549;0;-1;
0.000;0.000;0.000;12506.000;179491;0;-1;
0.000;0.000;0.000;12507.000;179432;0;-1;
0.000;0.000;0.000;12508.000;179373;0;-1;
0.000;0.000;0.000;12509.000;179314;0;-1;
0.000;0.000;0.000;12510.000;179256;0;-1;
0.000;0.000;0.000;12511.000;179197;0;-1;
0.000;0.000;0.000;12512.000;179138;0;-1;
0.000;0.000;0.000;12513.000;179080;0;-1;
0.000;0.000;0.000;12514.000;179021;0;-1;
0.000;0.000;0.000;12515.000;178963;0;-1;
0.000;0.000;0.000;12516.000;178904;0;-1;
0.000;0.000;0.000;12517.000;178845;0;-1;
0.000;0.000;0.000;12518.000;178787;0;-1;
0.000;0.000;0.000;12519.000;178728;0;-1;
0.000;0.000;0.000;12520.000;178670;0;-1;
0.000;0.000;0.000;12521.000;178611;0;-1;
0.000;0.000;0.000;12522.000;178553;0;-1;
0.000;0.000;0.000;12523.000;178494;0;-1;
0.000;0.000;0.000;12524.000;178435;0;-1;
0.000;0.000;0.000;12525.000;178377;0;-1;
0.000;0.000;0.000;12526.000;178318;0;-1;
0.000;0.000;0.000;12527.000;178259;0;-1;
0.000;0.000;0.000;12528.000;178200;0;-1;
0.000;0.000;0.000;12529.000;178142;0;-1;
0.000;0.000;0.000;12530.000;178083;0;-1;
0.000;0.000;0.000;12531.000;178024;0;-1;
0.000;0.000;0.000;12532.000;177965;0;-1;
0.000;0.000;0.000;12533.000;177907;0;-1;
0.000;0.000;0.000;12534.000;177848;0;-1;
0.000;0.000;0.000;12535.000;177789;0;-1;
0.000;0.000;0.000;12536.000;177730;0;-1;
0.000;0.000;0.000;12537.000;177671;0;-1;
0.000;0.000;0.000;12538.000;177612;0;-1;
0.000;0.000;0.000;12539.000;177553;0;-1;
0.000;0.000;0.000;12540.000;177494;0;-1;
0.000;0.000;0.000;12541.000;177435;0;-1;
0.000;0.000;0.000;12542.000;177376;0;-1;
0.000;0.000;0.000;12543.000;177317;0;-1;
0.000;0.000;0.000;12544.000;177259;0;-1;
0.000;0.000;0.000;12545.000;177200;0;-1;
0.000;0.000;0.000;12546.000;177141;0;-1;
0.000;0.000;0.000;12547.000;177082;0;-1;
0.000;0.000;0.000;12548.000;177023;0;-1;
0.000;0.000;0.000;12549.000;176964;0;-1;
0.000;0.000;0.000;12550.000;176905;0;-1;
0.000;0.000;0.000;12551.000;176847;0;-1;
0.000;0.000;0.000;12552.000;176787;0;-1;
0.000;0.000;0.000;12553.000;176729;0;-1;
0.000;0.000;0.000;12554.000;176670;0;-1;
0.000;0.000;0.000;12555.000;176611;0;-1;
0.000;0.000;0.000;12556.000;176551;0;-1;
0.000;0.000;0.000;12557.000;176492;0;-1;
0.000;0.000;0.000;12558.000;176433;0;-1;
0.000;0.000;0.000;12559.000;176374;0;-1;
0.000;0.000;0.000;12560.000;176315;0;-1;
0.000;0.000;0.000;12561.000;176256;0;-1;
0.000;0.000;0.000;12562.000;176197;0;-1;
0.000;0.000;0.000;12563.000;176138;0;-1;
0.000;0.000;0.000;12564.000;176079;0;-1;
0.000;0.000;0.000;12565.000;176020;0;-1;
0.000;0.000;0.000;12566.000;175961;0;-1;
0.000;0.000;0.000;12567.000;175902;0;-1;
0.000;0.000;0.000;12568.000;175843;0;-1;
0.000;0.000;0.000;12569.000;175784;0;-1;
0.000;0.000;0.000;12570.000;175725;0;-1;
0.000;0.000;0.000;12571.000;175666;0;-1;
0.000;0.000;0.000;12572.000;175606;0;-1;
0.000;0.000;0.000;12573.000;175547;0;-1;
0.000;0.000;0.000;12574.000;175488;0;-1;
0.000;0.000;0.000;12575.000;175429;0;-1;
2995.425;2.369;0.000;12576.000;175370;0;-1;
0.000;0.000;0.000;12577.000;175311;0;-1;
0.000;0.000;0.000;12578.000;175251;0;-1;
0.000;0.000;0.000;12579.000;175192;0;-1;
0.000;0.000;0.000;12580.000;175133;0;-1;
0.000;0.000;0.000;12581.000;175074;0;-1;
0.000;0.000;0.000;12582.000;175015;0;-1;
0.000;0.000;0.000;12583.000;174956;0;-1;
0.000;0.000;0.000;12584.000;174897;0;-1;
0.000;0.000;0.000;12585.000;174838;0;-1;
2629.110;7.155;0.000;12586.000;174779;0;-1;
2995.640;95.995;0.000;12587.000;174720;0;-1;
3022.550;100.000;128.000;12588.000;174661;0;-1;
3011.229;100.000;128.000;12589.000;174602;0;-1;
3018.374;100.000;128.000;12590.000;174543;0;-1;
3020.500;100.000;128.000;12591.000;174484;0;-1;
3004.399;100.000;128.000;12592.000;174425;0;-1;
3016.898;100.000;128.000;12593.000;174366;0;-1;
3011.279;100.000;128.000;12594.000;174307;0;-1;
3019.036;100.000;128.000;12595.000;174248;0;-1;
3007.226;100.000;128.000;12596.000;174188;0;-1;
3020.184;100.000;128.000;12597.000;174130;0;-1;
3026.938;100.000;128.000;12598.000;174071;0;-1;
3020.171;100.000;128.000;12599.000;174012;0;-1;
3065.536;100.000;128.000;12600.000;173953;0;-1;
1871.744;4.371;0.000;12601.000;173894;0;-1;
1898.275;8.913;0.000;12602.000;173835;0;-1;
1878.484;14.505;0.000;12603.000;173775;0;-1;
1891.199;17.680;0.000;12604.000;173717;0;-1;
1890.054;17.973;0.000;12605.000;173658;0;-1;
1898.615;13.089;0.000;12606.000;173599;0;-1;
1912.361;18.144;0.000;12607.000;173540;0;-1;
1902.744;6.422;0.000;12608.000;173481;0;-1;
2074.106;2.784;0.000;12609.000;173422;0;-1;
3015.102;100.000;128.000;12610.000;173363;0;-1;
2964.063;100.000;128.000;12611.000;173304;0;-1;
2961.323;100.000;128.000;12612.000;173245;0;-1;
2958.653;100.000;128.000;12613.000;173186;0;-1;
2965.496;100.000;128.000;12614.000;173127;0;-1;
2962.498;100.000;128.000;12615.000;173069;0;-1;
2953.684;100.000;128.000;12616.000;173010;0;-1;
2963.499;100.000;128.000;12617.000;172951;0;-1;
2964.032;100.000;128.000;12618.000;172892;0;-1;
2967.738;100.000;128.000;12619.000;172834;0;-1;
2969.365;100.000;128.000;12620.000;172775;0;-1;
2969.521;100.000;128.000;12621.000;172716;0;-1;
2965.729;100.000;128.000;12622.000;172658;0;-1;
2970.694;100.000;128.000;12623.000;172599;0;-1;
3052.017;100.000;128.000;12624.000;172541;0;-1;
