Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
0.000;0.000;0.000;27286.000;155553;0;-1;
0.000;0.000;0.000;27287.000;155557;0;-1;
0.000;0.000;0.000;27288.000;155561;0;-1;
0.000;0.000;0.000;27289.000;155565;0;-1;
0.000;0.000;0.000;27290.000;155569;0;-1;
0.000;0.000;0.000;27291.000;155573;0;-1;
0.000;0.000;0.000;27292.000;155577;0;-1;
0.000;0.000;0.000;27293.000;155581;0;-1;
1878.884;3.639;0.000;27294.000;155585;0;-1;
1878.015;3.907;0.000;27295.000;155589;0;-1;
1882.691;4.689;0.000;27296.000;155593;0;-1;
1887.024;6.081;0.000;27297.000;155597;0;-1;
1899.431;6.105;0.000;27298.000;155601;0;-1;
1903.218;5.885;0.000;27299.000;155605;0;-1;
1899.292;4.982;0.000;27300.000;155609;0;-1;
1895.037;4.908;0.000;27301.000;155613;0;-1;
1893.467;5.153;0.000;27302.000;155617;0;-1;
1887.943;5.958;0.000;27303.000;155621;0;-1;
1892.200;6.471;0.000;27304.000;155625;0;-1;
1901.995;6.496;0.000;27305.000;155629;0;-1;
1911.372;6.545;0.000;27306.000;155633;0;-1;
1902.840;6.984;0.000;27307.000;155638;0;-1;
1907.218;6.838;0.000;27308.000;155642;0;-1;
1900.439;6.520;0.000;27309.000;155646;0;-1;
1909.746;6.667;0.000;27310.000;155650;0;-1;
1911.104;6.471;0.000;27311.000;155654;0;-1;
1919.352;6.081;0.000;27312.000;155658;0;-1;
1924.672;5.885;0.000;27313.000;155663;0;-1;
1930.883;5.031;0.000;27314.000;155667;0;-1;
1925.937;4.933;0.000;27315.000;155671;0;-1;
1919.046;4.274;0.000;27316.000;155675;0;-1;
1911.311;4.567;0.000;27317.000;155679;0;-1;
1910.968;4.860;0.000;27318.000;155684;0;-1;
1911.466;4.420;0.000;27319.000;155688;0;-1;
1915.437;4.200;0.000;27320.000;155692;0;-1;
1912.049;3.736;0.000;27321.000;155696;0;-1;
1912.329;3.614;0.000;27322.000;155701;0;-1;
1917.407;3.883;0.000;27323.000;155705;0;-1;
1914.070;3.590;0.000;27324.000;155709;0;-1;
1909.261;4.054;0.000;27325.000;155714;0;-1;
1925.384;4.274;0.000;27326.000;155718;0;-1;
1916.987;3.443;0.000;27327.000;155722;0;-1;
1928.126;3.687;0.000;27328.000;155727;0;-1;
1923.907;3.858;0.000;27329.000;155731;0;-1;
1928.233;3.712;0.000;27330.000;155735;0;-1;
1912.069;4.054;0.000;27331.000;155740;0;-1;
1896.938;4.249;0.000;27332.000;155744;0;-1;
1898.873;5.104;0.000;27333.000;155748;0;-1;
1914.714;5.201;0.000;27334.000;155753;0;-1;
1906.885;4.835;0.000;27335.000;155757;0;-1;
1913.801;4.249;0.000;27336.000;155762;0;-1;
1892.777;4.298;0.000;27337.000;155766;0;-1;
1881.613;4.078;0.000;27338.000;155770;0;-1;
1897.758;3.468;0.000;27339.000;155775;0;-1;
1895.414;3.516;0.000;27340.000;155779;0;-1;
1901.353;3.492;0.000;27341.000;155784;0;-1;
1893.684;3.761;0.000;27342.000;155788;0;-1;
1905.510;3.394;0.000;27343.000;155793;0;-1;
0.000;0.000;0.000;27344.000;155797;0;-1;
0.000;0.000;0.000;27345.000;155802;0;-1;
0.000;0.000;0.000;27346.000;155806;0;-1;
0.000;0.000;0.000;27347.000;155810;0;-1;
0.000;0.000;0.000;27348.000;155815;0;-1;
0.000;0.000;0.000;27349.000;155819;0;-1;
0.000;0.000;0.000;27350.000;155824;0;-1;
0.000;0.000;0.000;27351.000;155828;0;-1;
0.000;0.000;0.000;27352.000;155833;0;-1;
0.000;0.000;0.000;27353.000;155837;0;-1;
0.000;0.000;0.000;27354.000;155842;0;-1;
0.000;0.000;0.000;27355.000;155846;0;-1;
0.000;0.000;0.000;27356.000;155851;0;-1;
0.000;0.000;0.000;27357.000;155855;0;-1;
0.000;0.000;0.000;27358.000;155860;0;-1;
0.000;0.000;0.000;27359.000;155865;0;-1;
0.000;0.000;0.000;27360.000;155869;0;-1;
0.000;0.000;0.000;27361.000;155874;0;-1;
2891.985;1.783;0.000;27362.000;155878;0;-1;
2944.140;3.687;0.000;27363.000;155883;0;-1;
2958.777;5.397;0.000;27364.000;155887;0;-1;
2970.143;6.667;0.000;27365.000;155892;0;-1;
2984.783;6.276;0.000;27366.000;155896;0;-1;
2975.146;4.713;0.000;27367.000;155901;0;-1;
2762.228;3.468;0.000;27368.000;155906;0;-1;
2720.736;4.127;0.000;27369.000;155910;0;-1;
2738.865;5.397;0.000;27370.000;155915;0;-1;
2831.857;6.911;0.000;27371.000;155919;0;-1;
2944.017;11.575;0.000;27372.000;155924;0;-1;
3005.410;32.552;0.000;27373.000;155929;0;-1;
3021.585;79.121;0.000;27374.000;155933;0;-1;
3027.880;100.000;128.000;27375.000;155938;0;-1;
3024.942;100.000;128.000;27376.000;155942;0;-1;
3022.901;100.000;128.000;27377.000;155947;0;-1;
3024.520;100.000;128.000;27378.000;155951;0;-1;
3024.387;100.000;128.000;27379.000;155956;0;-1;
3023.532;100.000;128.000;27380.000;155961;0;-1;
3020.400;100.000;128.000;27381.000;155965;0;-1;
3015.674;100.000;128.000;27382.000;155970;0;-1;
3013.920;100.000;128.000;27383.000;155974;0;-1;
3014.143;100.000;128.000;27384.000;155979;0;-1;
3019.571;100.000;128.000;27385.000;155984;0;-1;
3023.938;100.000;128.000;27386.000;155988;0;-1;
3027.357;100.000;128.000;27387.000;155993;0;-1;
3026.483;100.000;128.000;27388.000;155997;0;-1;
3028.566;100.000;128.000;27389.000;156002;0;-1;
3032.311;100.000;128.000;27390.000;156007;0;-1;
3033.985;100.000;128.000;27391.000;156011;0;-1;
3032.464;100.000;128.000;27392.000;156016;0;-1;
3028.474;100.000;128.000;27393.000;156020;0;-1;
3030.481;100.000;128.000;27394.000;156025;0;-1;
3033.410;100.000;128.000;27395.000;156029;0;-1;
3035.329;100.000;128.000;27396.000;156034;0;-1;
3033.755;100.000;128.000;27397.000;156038;0;-1;
3030.417;100.000;128.000;27398.000;156043;0;-1;
3029.563;100.000;128.000;27399.000;156048;0;-1;
3027.979;100.000;128.000;27400.000;156052;0;-1;
3026.649;100.000;128.000;27401.000;156057;0;-1;
3025.300;100.000;128.000;27402.000;156061;0;-1;
3024.040;100.000;128.000;27403.000;156066;0;-1;
3023.592;100.000;128.000;27404.000;156070;0;-1;
3022.932;100.000;128.000;27405.000;156075;0;-1;
3022.537;100.000;128.000;27406.000;156079;0;-1;
3021.211;100.000;128.000;27407.000;156084;0;-1;
3018.932;100.000;128.000;27408.000;156088;0;-1;
3019.152;100.000;128.000;27409.000;156093;0;-1;
3021.517;100.000;128.000;27410.000;156097;0;-1;
3023.493;100.000;128.000;27411.000;156102;0;-1;
3027.188;100.000;128.000;27412.000;156106;0;-1;
3031.597;100.000;128.000;27413.000;156111;0;-1;
3033.727;100.000;128.000;27414.000;156115;0;-1;
3035.784;100.000;128.000;27415.000;156119;0;-1;
3035.660;100.000;128.000;27416.000;156124;0;-1;
3034.878;100.000;128.000;27417.000;156128;0;-1;
3032.334;100.000;128.000;27418.000;156133;0;-1;
3029.743;100.000;128.000;27419.000;156137;0;-1;
3028.972;100.000;128.000;27420.000;156142;0;-1;
3027.008;100.000;128.000;27421.000;156146;0;-1;
3022.607;100.000;128.000;27422.000;156150;0;-1;
3020.522;100.000;128.000;27423.000;156155;0;-1;
3023.074;100.000;128.000;27424.000;156159;0;-1;
3027.536;100.000;128.000;27425.000;156164;0;-1;
3033.638;100.000;128.000;27426.000;156168;0;-1;
3039.782;100.000;128.000;27427.000;156172;0;-1;
3041.260;100.000;128.000;27428.000;156176;0;-1;
3035.716;100.000;128.000;27429.000;156181;0;-1;
3031.360;100.000;128.000;27430.000;156185;0;-1;
3027.250;100.000;128.000;27431.000;156189;0;-1;
3023.449;100.000;128.000;27432.000;156194;0;-1;
3020.036;100.000;128.000;27433.000;156198;0;-1;
3020.186;100.000;128.000;27434.000;156202;0;-1;
3022.115;100.000;128.000;27435.000;156207;0;-1;
3025.216;100.000;128.000;27436.000;156211;0;-1;
3027.651;100.000;128.000;27437.000;156215;0;-1;
3028.690;100.000;128.000;27438.000;156219;0;-1;
3029.828;100.000;128.000;27439.000;156224;0;-1;
3029.631;100.000;128.000;27440.000;156228;0;-1;
3029.964;100.000;128.000;27441.000;156232;0;-1;
3030.848;100.000;128.000;27442.000;156236;0;-1;
3031.606;100.000;128.000;27443.000;156241;0;-1;
3030.924;100.000;128.000;27444.000;156245;0;-1;
3030.997;100.000;128.000;27445.000;156249;0;-1;
3034.248;100.000;128.000;27446.000;156253;0;-1;
3036.392;100.000;128.000;27447.000;156258;0;-1;
3037.300;100.000;128.000;27448.000;156262;0;-1;
3036.705;100.000;128.000;27449.000;156266;0;-1;
3033.551;100.000;128.000;27450.000;156270;0;-1;
3030.844;100.000;128.000;27451.000;156274;0;-1;
3029.699;100.000;128.000;27452.000;156279;0;-1;
3028.258;100.000;128.000;27453.000;156283;0;-1;
3028.996;100.000;128.000;27454.000;156287;0;-1;
3030.182;100.000;128.000;27455.000;156291;0;-1;
3031.086;100.000;128.000;27456.000;156296;0;-1;
3034.166;100.000;128.000;27457.000;156300;0;-1;
3037.273;100.000;128.000;27458.000;156304;0;-1;
3040.466;100.000;128.000;27459.000;156308;0;-1;
3039.818;100.000;128.000;27460.000;156312;0;-1;
3036.600;100.000;128.000;27461.000;156317;0;-1;
3031.127;100.000;128.000;27462.000;156321;0;-1;
3027.091;100.000;128.000;27463.000;156325;0;-1;
3024.271;100.000;128.000;27464.000;156329;0;-1;
3021.025;100.000;128.000;27465.000;156333;0;-1;
3018.531;100.000;128.000;27466.000;156338;0;-1;
3015.752;100.000;128.000;27467.000;156342;0;-1;
3017.943;100.000;128.000;27468.000;156346;0;-1;
3022.158;100.000;128.000;27469.000;156350;0;-1;
3024.563;100.000;128.000;27470.000;156354;0;-1;
3025.983;100.000;128.000;27471.000;156359;0;-1;
3027.682;100.000;128.000;27472.000;156363;0;-1;
3029.389;100.000;128.000;27473.000;156367;0;-1;
3030.481;100.000;128.000;27474.000;156371;0;-1;
3033.500;100.000;128.000;27475.000;156375;0;-1;
3035.216;100.000;128.000;27476.000;156380;0;-1;
3037.197;100.000;128.000;27477.000;156384;0;-1;
3037.319;100.000;128.000;27478.000;156388;0;-1;
3037.154;100.000;128.000;27479.000;156392;0;-1;
3035.229;100.000;128.000;27480.000;156396;0;-1;
3030.779;100.000;128.000;27481.000;156401;0;-1;
3028.656;100.000;128.000;27482.000;156405;0;-1;
