Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
3036.347;100.000;128.000;13398.000;167891;0;-1;
2956.087;100.000;128.000;13399.000;167718;0;-1;
2954.304;100.000;128.000;13400.000;167545;0;-1;
2952.506;100.000;128.000;13401.000;167373;0;-1;
2954.558;100.000;128.000;13402.000;167199;0;-1;
3030.718;100.000;128.000;13403.000;167027;0;-1;
1895.592;29.524;0.000;13404.000;166855;0;-1;
1910.590;39.536;0.000;13405.000;166682;0;-1;
3041.498;100.000;128.000;13406.000;166510;0;-1;
2965.945;100.000;128.000;13407.000;166338;0;-1;
2954.394;100.000;128.000;13408.000;166166;0;-1;
2964.496;100.000;128.000;13409.000;165993;0;-1;
2967.213;100.000;128.000;13410.000;165821;0;-1;
3015.537;100.000;128.000;13411.000;165649;0;-1;
1902.123;13.358;0.000;13412.000;165477;0;-1;
1899.672;23.932;0.000;13413.000;165306;0;-1;
1916.080;9.451;0.000;13414.000;165135;0;-1;
2972.118;100.000;128.000;13415.000;164965;0;-1;
2956.725;100.000;128.000;13416.000;164793;0;-1;
2956.345;100.000;128.000;13417.000;164623;0;-1;
2965.649;100.000;128.000;13418.000;164452;0;-1;
2985.160;100.000;128.000;13419.000;164281;0;-1;
1912.591;14.457;0.000;13420.000;164110;0;-1;
1908.275;61.661;0.000;13421.000;163940;0;-1;
1902.946;17.460;0.000;13422.000;163770;0;-1;
2974.131;100.000;128.000;13423.000;163599;0;-1;
2954.655;100.000;128.000;13424.000;163430;0;-1;
2954.855;100.000;128.000;13425.000;163260;0;-1;
2966.340;100.000;128.000;13426.000;163090;0;-1;
2974.853;100.000;128.000;13427.000;162921;0;-1;
1896.911;12.747;0.000;13428.000;162752;0;-1;
1896.510;32.381;0.000;13429.000;162583;0;-1;
1909.529;20.635;0.000;13430.000;162415;0;-1;
2983.536;100.000;128.000;13431.000;162245;0;-1;
2956.214;100.000;128.000;13432.000;162077;0;-1;
2957.684;100.000;128.000;13433.000;161908;0;-1;
2965.707;100.000;128.000;13434.000;161739;0;-1;
2975.932;100.000;128.000;13435.000;161571;0;-1;
