Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
0.000;0.000;0.000;2258.000;376770;0;-1;
0.000;0.000;0.000;2259.000;376784;0;-1;
0.000;0.000;0.000;2260.000;376798;0;-1;
0.000;0.000;0.000;2261.000;376812;0;-1;
0.000;0.000;0.000;2262.000;376827;0;-1;
0.000;0.000;0.000;2263.000;376841;0;-1;
0.000;0.000;0.000;2264.000;376855;0;-1;
0.000;0.000;0.000;2265.000;376869;0;-1;
0.000;0.000;0.000;2266.000;376883;0;-1;
0.000;0.000;0.000;2267.000;376897;0;-1;
0.000;0.000;0.000;2268.000;376911;0;-1;
0.000;0.000;0.000;2269.000;376925;0;-1;
0.000;0.000;0.000;2270.000;376939;0;-1;
0.000;0.000;0.000;2271.000;376953;0;-1;
0.000;0.000;0.000;2272.000;376967;0;-1;
0.000;0.000;0.000;2273.000;376981;0;-1;
0.000;0.000;0.000;2274.000;376995;0;-1;
0.000;0.000;0.000;2275.000;377008;0;-1;
0.000;0.000;0.000;2276.000;377022;0;-1;
0.000;0.000;0.000;2277.000;377036;0;-1;
0.000;0.000;0.000;2278.000;377050;0;-1;
0.000;0.000;0.000;2279.000;377064;0;-1;
0.000;0.000;0.000;2280.000;377077;0;-1;
0.000;0.000;0.000;2281.000;377091;0;-1;
0.000;0.000;0.000;2282.000;377105;0;-1;
0.000;0.000;0.000;2283.000;377118;0;-1;
0.000;0.000;0.000;2284.000;377132;0;-1;
0.000;0.000;0.000;2285.000;377145;0;-1;
0.000;0.000;0.000;2286.000;377159;0;-1;
0.000;0.000;0.000;2287.000;377172;0;-1;
0.000;0.000;0.000;2288.000;377186;0;-1;
0.000;0.000;0.000;2289.000;377199;0;-1;
0.000;0.000;0.000;2290.000;377213;0;-1;
0.000;0.000;0.000;2291.000;377226;0;-1;
0.000;0.000;0.000;2292.000;377239;0;-1;
0.000;0.000;0.000;2293.000;377253;0;-1;
0.000;0.000;0.000;2294.000;377266;0;-1;
0.000;0.000;0.000;2295.000;377279;0;-1;
0.000;0.000;0.000;2296.000;377293;0;-1;
0.000;0.000;0.000;2297.000;377306;0;-1;
0.000;0.000;0.000;2298.000;377319;0;-1;
0.000;0.000;0.000;2299.000;377332;0;-1;
0.000;0.000;0.000;2300.000;377345;0;-1;
0.000;0.000;0.000;2301.000;377358;0;-1;
0.000;0.000;0.000;2302.000;377371;0;-1;
0.000;0.000;0.000;2303.000;377385;0;-1;
0.000;0.000;0.000;2304.000;377397;0;-1;
0.000;0.000;0.000;2305.000;377411;0;-1;
5718.205;1.905;0.000;2306.000;377424;0;-1;
5779.898;1.978;0.000;2307.000;377436;0;-1;
0.000;0.000;0.000;2308.000;377449;0;-1;
0.000;0.000;0.000;2309.000;377462;0;-1;
0.000;0.000;0.000;2310.000;377475;0;-1;
0.000;0.000;0.000;2311.000;377488;0;-1;
0.000;0.000;0.000;2312.000;377501;0;-1;
0.000;0.000;0.000;2313.000;377513;0;-1;
0.000;0.000;0.000;2314.000;377526;0;-1;
0.000;0.000;0.000;2315.000;377539;0;-1;
0.000;0.000;0.000;2316.000;377551;0;-1;
3974.312;1.368;0.000;2317.000;377564;0;-1;
3997.183;1.294;0.000;2318.000;377577;0;-1;
2792.141;2.051;0.000;2319.000;377589;0;-1;
2917.620;4.176;0.000;2320.000;377602;0;-1;
2987.317;7.741;0.000;2321.000;377614;0;-1;
3017.102;12.088;0.000;2322.000;377627;0;-1;
3045.002;15.946;0.000;2323.000;377639;0;-1;
3068.877;19.243;0.000;2324.000;377652;0;-1;
3054.774;27.473;0.000;2325.000;377664;0;-1;
3071.990;42.808;0.000;2326.000;377676;0;-1;
3081.073;51.355;0.000;2327.000;377689;0;-1;
3072.903;72.698;0.000;2328.000;377701;0;-1;
3088.604;87.595;0.000;2329.000;377713;0;-1;
3100.162;81.709;0.000;2330.000;377725;0;-1;
3094.174;88.034;0.000;2331.000;377738;0;-1;
3098.789;98.999;0.000;2332.000;377750;0;-1;
3108.729;100.000;128.000;2333.000;377762;0;-1;
3104.990;98.999;0.000;2334.000;377774;0;-1;
3086.777;100.000;128.000;2335.000;377786;0;-1;
3087.611;100.000;128.000;2336.000;377798;0;-1;
3103.366;100.000;128.000;2337.000;377810;0;-1;
3113.263;94.921;0.000;2338.000;377822;0;-1;
3102.427;81.636;0.000;2339.000;377834;0;-1;
3143.729;56.142;0.000;2340.000;377846;0;-1;
3230.254;19.683;0.000;2341.000;377858;0;-1;
3355.162;5.177;0.000;2342.000;377870;0;-1;
3475.643;2.613;0.000;2343.000;377881;0;-1;
3561.786;1.612;0.000;2344.000;377893;0;-1;
0.000;0.000;0.000;2345.000;377905;0;-1;
