Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
3032.959;98.999;0.000;28943.000;175503;0;-2;
0.000;0.000;0.000;28944.000;175673;0;-2;
0.000;0.000;0.000;28945.000;175844;0;-2;
3041.541;89.621;0.000;28946.000;176013;0;-2;
3018.645;42.027;0.000;28947.000;176184;0;-2;
0.000;0.000;0.000;28948.000;176354;0;-2;
0.000;0.000;0.000;28949.000;176524;0;-2;
3034.824;51.453;0.000;28950.000;176693;0;-2;
3003.922;17.680;0.000;28951.000;176863;0;-2;
0.000;0.000;0.000;28952.000;177032;0;-2;
0.000;0.000;0.000;28953.000;177201;0;-2;
2996.005;1.807;0.000;28954.000;177371;0;-2;
0.000;0.000;0.000;28955.000;177540;0;-2;
0.000;0.000;0.000;28956.000;177709;0;-2;
0.000;0.000;0.000;28957.000;177877;0;-2;
0.000;0.000;0.000;28958.000;178047;0;-2;
0.000;0.000;0.000;28959.000;178215;0;-2;
0.000;0.000;0.000;28960.000;178383;0;-2;
0.000;0.000;0.000;28961.000;178550;0;-2;
0.000;0.000;0.000;28962.000;178718;0;-2;
0.000;0.000;0.000;28963.000;178886;0;-2;
0.000;0.000;0.000;28964.000;179053;0;-2;
0.000;0.000;0.000;28965.000;179221;0;-2;
0.000;0.000;0.000;28966.000;179389;0;-2;
0.000;0.000;0.000;28967.000;179556;0;-2;
0.000;0.000;0.000;28968.000;179723;0;-2;
0.000;0.000;0.000;28969.000;179889;0;-2;
0.000;0.000;0.000;28970.000;180056;0;-2;
0.000;0.000;0.000;28971.000;180222;0;-2;
0.000;0.000;0.000;28972.000;180388;0;-2;
0.000;0.000;0.000;28973.000;180554;0;-2;
0.000;0.000;0.000;28974.000;180719;0;-2;
0.000;0.000;0.000;28975.000;180884;0;-2;
0.000;0.000;0.000;28976.000;181050;0;-2;
0.000;0.000;0.000;28977.000;181214;0;-2;
0.000;0.000;0.000;28978.000;181379;0;-2;
0.000;0.000;0.000;28979.000;181543;0;-2;
0.000;0.000;0.000;28980.000;181708;0;-2;
0.000;0.000;0.000;28981.000;181872;0;-2;
0.000;0.000;0.000;28982.000;182036;0;-2;
0.000;0.000;0.000;28983.000;182200;0;-2;
0.000;0.000;0.000;28984.000;182363;0;-2;
0.000;0.000;0.000;28985.000;182526;0;-2;
0.000;0.000;0.000;28986.000;182688;0;-2;
0.000;0.000;0.000;28987.000;182851;0;-2;
0.000;0.000;0.000;28988.000;183013;0;-2;
0.000;0.000;0.000;28989.000;183175;0;-2;
0.000;0.000;0.000;28990.000;183336;0;-2;
0.000;0.000;0.000;28991.000;183498;0;-2;
0.000;0.000;0.000;28992.000;183659;0;-2;
0.000;0.000;0.000;28993.000;183819;0;-2;
0.000;0.000;0.000;28994.000;183980;0;-2;
0.000;0.000;0.000;28995.000;184140;0;-2;
0.000;0.000;0.000;28996.000;184300;0;-2;
0.000;0.000;0.000;28997.000;184459;0;-2;
0.000;0.000;0.000;28998.000;184619;0;-2;
0.000;0.000;0.000;28999.000;184778;0;-2;
0.000;0.000;0.000;29000.000;184936;0;-2;
0.000;0.000;0.000;29001.000;185095;0;-2;
0.000;0.000;0.000;29002.000;185253;0;-2;
0.000;0.000;0.000;29003.000;185410;0;-2;
0.000;0.000;0.000;29004.000;185568;0;-2;
0.000;0.000;0.000;29005.000;185725;0;-2;
0.000;0.000;0.000;29006.000;185882;0;-2;
0.000;0.000;0.000;29007.000;186038;0;-2;
0.000;0.000;0.000;29008.000;186193;0;-2;
0.000;0.000;0.000;29009.000;186350;0;-2;
0.000;0.000;0.000;29010.000;186505;0;-2;
0.000;0.000;0.000;29011.000;186659;0;-2;
