Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
0.000;0.000;0.000;14218.000;185028;0;-2;
0.000;0.000;0.000;14219.000;185061;0;-2;
0.000;0.000;0.000;14220.000;185094;0;-2;
0.000;0.000;0.000;14221.000;185127;0;-2;
0.000;0.000;0.000;14222.000;185159;0;-2;
0.000;0.000;0.000;14223.000;185192;0;-2;
0.000;0.000;0.000;14224.000;185225;0;-2;
0.000;0.000;0.000;14225.000;185258;0;-2;
0.000;0.000;0.000;14226.000;185291;0;-2;
0.000;0.000;0.000;14227.000;185324;0;-2;
0.000;0.000;0.000;14228.000;185356;0;-2;
0.000;0.000;0.000;14229.000;185389;0;-2;
0.000;0.000;0.000;14230.000;185422;0;-2;
0.000;0.000;0.000;14231.000;185455;0;-2;
0.000;0.000;0.000;14232.000;185487;0;-2;
0.000;0.000;0.000;14233.000;185520;0;-2;
0.000;0.000;0.000;14234.000;185553;0;-2;
0.000;0.000;0.000;14235.000;185585;0;-2;
0.000;0.000;0.000;14236.000;185618;0;-2;
0.000;0.000;0.000;14237.000;185650;0;-2;
0.000;0.000;0.000;14238.000;185683;0;-2;
0.000;0.000;0.000;14239.000;185715;0;-2;
0.000;0.000;0.000;14240.000;185748;0;-2;
0.000;0.000;0.000;14241.000;185780;0;-2;
0.000;0.000;0.000;14242.000;185812;0;-2;
0.000;0.000;0.000;14243.000;185845;0;-2;
0.000;0.000;0.000;14244.000;185877;0;-2;
0.000;0.000;0.000;14245.000;185909;0;-2;
0.000;0.000;0.000;14246.000;185941;0;-2;
0.000;0.000;0.000;14247.000;185974;0;-2;
0.000;0.000;0.000;14248.000;186006;0;-2;
0.000;0.000;0.000;14249.000;186038;0;-2;
0.000;0.000;0.000;14250.000;186070;0;-2;
0.000;0.000;0.000;14251.000;186102;0;-2;
0.000;0.000;0.000;14252.000;186134;0;-2;
0.000;0.000;0.000;14253.000;186166;0;-2;
0.000;0.000;0.000;14254.000;186198;0;-2;
0.000;0.000;0.000;14255.000;186230;0;-2;
0.000;0.000;0.000;14256.000;186262;0;-2;
0.000;0.000;0.000;14257.000;186294;0;-2;
0.000;0.000;0.000;14258.000;186326;0;-2;
0.000;0.000;0.000;14259.000;186358;0;-2;
0.000;0.000;0.000;14260.000;186390;0;-2;
0.000;0.000;0.000;14261.000;186422;0;-2;
0.000;0.000;0.000;14262.000;186453;0;-2;
0.000;0.000;0.000;14263.000;186485;0;-2;
0.000;0.000;0.000;14264.000;186517;0;-2;
0.000;0.000;0.000;14265.000;186549;0;-2;
0.000;0.000;0.000;14266.000;186580;0;-2;
0.000;0.000;0.000;14267.000;186612;0;-2;
0.000;0.000;0.000;14268.000;186643;0;-2;
0.000;0.000;0.000;14269.000;186675;0;-2;
0.000;0.000;0.000;14270.000;186706;0;-2;
0.000;0.000;0.000;14271.000;186738;0;-2;
0.000;0.000;0.000;14272.000;186769;0;-2;
0.000;0.000;0.000;14273.000;186800;0;-2;
0.000;0.000;0.000;14274.000;186832;0;-2;
0.000;0.000;0.000;14275.000;186863;0;-2;
0.000;0.000;0.000;14276.000;186895;0;-2;
0.000;0.000;0.000;14277.000;186926;0;-2;
0.000;0.000;0.000;14278.000;186957;0;-2;
0.000;0.000;0.000;14279.000;186989;0;-2;
0.000;0.000;0.000;14280.000;187020;0;-2;
0.000;0.000;0.000;14281.000;187051;0;-2;
0.000;0.000;0.000;14282.000;187082;0;-2;
0.000;0.000;0.000;14283.000;187113;0;-2;
0.000;0.000;0.000;14284.000;187145;0;-2;
0.000;0.000;0.000;14285.000;187176;0;-2;
0.000;0.000;0.000;14286.000;187207;0;-2;
0.000;0.000;0.000;14287.000;187238;0;-2;
0.000;0.000;0.000;14288.000;187269;0;-2;
0.000;0.000;0.000;14289.000;187300;0;-2;
0.000;0.000;0.000;14290.000;187331;0;-2;
0.000;0.000;0.000;14291.000;187362;0;-2;
0.000;0.000;0.000;14292.000;187393;0;-2;
0.000;0.000;0.000;14293.000;187423;0;-2;
0.000;0.000;0.000;14294.000;187454;0;-2;
0.000;0.000;0.000;14295.000;187485;0;-2;
0.000;0.000;0.000;14296.000;187516;0;-2;
0.000;0.000;0.000;14297.000;187547;0;-2;
0.000;0.000;0.000;14298.000;187577;0;-2;
0.000;0.000;0.000;14299.000;187608;0;-2;
0.000;0.000;0.000;14300.000;187639;0;-2;
0.000;0.000;0.000;14301.000;187669;0;-2;
0.000;0.000;0.000;14302.000;187700;0;-2;
0.000;0.000;0.000;14303.000;187730;0;-2;
0.000;0.000;0.000;14304.000;187761;0;-2;
0.000;0.000;0.000;14305.000;187791;0;-2;
0.000;0.000;0.000;14306.000;187822;0;-2;
0.000;0.000;0.000;14307.000;187852;0;-2;
0.000;0.000;0.000;14308.000;187883;0;-2;
0.000;0.000;0.000;14309.000;187913;0;-2;
0.000;0.000;0.000;14310.000;187943;0;-2;
0.000;0.000;0.000;14311.000;187973;0;-2;
0.000;0.000;0.000;14312.000;188004;0;-2;
0.000;0.000;0.000;14313.000;188034;0;-2;
0.000;0.000;0.000;14314.000;188064;0;-2;
0.000;0.000;0.000;14315.000;188094;0;-2;
0.000;0.000;0.000;14316.000;188124;0;-2;
0.000;0.000;0.000;14317.000;188154;0;-2;
0.000;0.000;0.000;14318.000;188184;0;-2;
0.000;0.000;0.000;14319.000;188214;0;-2;
0.000;0.000;0.000;14320.000;188244;0;-2;
0.000;0.000;0.000;14321.000;188273;0;-2;
0.000;0.000;0.000;14322.000;188303;0;-2;
0.000;0.000;0.000;14323.000;188333;0;-2;
0.000;0.000;0.000;14324.000;188363;0;-2;
0.000;0.000;0.000;14325.000;188392;0;-2;
0.000;0.000;0.000;14326.000;188422;0;-2;
0.000;0.000;0.000;14327.000;188451;0;-2;
0.000;0.000;0.000;14328.000;188480;0;-2;
0.000;0.000;0.000;14329.000;188510;0;-2;
0.000;0.000;0.000;14330.000;188539;0;-2;
0.000;0.000;0.000;14331.000;188568;0;-2;
0.000;0.000;0.000;14332.000;188597;0;-2;
0.000;0.000;0.000;14333.000;188627;0;-2;
0.000;0.000;0.000;14334.000;188656;0;-2;
0.000;0.000;0.000;14335.000;188685;0;-2;
0.000;0.000;0.000;14336.000;188713;0;-2;
0.000;0.000;0.000;14337.000;188742;0;-2;
0.000;0.000;0.000;14338.000;188771;0;-2;
0.000;0.000;0.000;14339.000;188800;0;-2;
