Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
0.000;0.000;0.000;15285.000;174392;0;-2;
0.000;0.000;0.000;15286.000;174386;0;-2;
0.000;0.000;0.000;15287.000;174380;0;-2;
0.000;0.000;0.000;15288.000;174374;0;-2;
0.000;0.000;0.000;15289.000;174369;0;-2;
0.000;0.000;0.000;15290.000;174363;0;-2;
0.000;0.000;0.000;15291.000;174357;0;-2;
0.000;0.000;0.000;15292.000;174352;0;-2;
0.000;0.000;0.000;15293.000;174346;0;-2;
0.000;0.000;0.000;15294.000;174340;0;-2;
0.000;0.000;0.000;15295.000;174334;0;-2;
0.000;0.000;0.000;15296.000;174329;0;-2;
1915.891;3.687;0.000;15297.000;174323;0;-2;
1906.263;3.663;0.000;15298.000;174317;0;-2;
1900.800;4.225;0.000;15299.000;174312;0;-2;
1912.502;4.640;0.000;15300.000;174306;0;-2;
1902.019;5.397;0.000;15301.000;174301;0;-2;
1914.077;4.664;0.000;15302.000;174295;0;-2;
1900.704;4.371;0.000;15303.000;174289;0;-2;
1919.470;3.907;0.000;15304.000;174284;0;-2;
1929.121;3.687;0.000;15305.000;174278;0;-2;
1925.972;3.712;0.000;15306.000;174273;0;-2;
1909.876;3.663;0.000;15307.000;174267;0;-2;
1913.138;3.492;0.000;15308.000;174262;0;-2;
0.000;0.000;0.000;15309.000;174256;0;-2;
0.000;0.000;0.000;15310.000;174251;0;-2;
0.000;0.000;0.000;15311.000;174245;0;-2;
0.000;0.000;0.000;15312.000;174240;0;-2;
0.000;0.000;0.000;15313.000;174235;0;-2;
0.000;0.000;0.000;15314.000;174229;0;-2;
0.000;0.000;0.000;15315.000;174224;0;-2;
0.000;0.000;0.000;15316.000;174218;0;-2;
0.000;0.000;0.000;15317.000;174213;0;-2;
0.000;0.000;0.000;15318.000;174208;0;-2;
0.000;0.000;0.000;15319.000;174203;0;-2;
0.000;0.000;0.000;15320.000;174197;0;-2;
0.000;0.000;0.000;15321.000;174192;0;-2;
0.000;0.000;0.000;15322.000;174187;0;-2;
2891.021;2.076;0.000;15323.000;174181;0;-2;
2909.564;2.930;0.000;15324.000;174176;0;-2;
2935.163;4.396;0.000;15325.000;174171;0;-2;
2947.360;5.299;0.000;15326.000;174166;0;-2;
2953.736;6.203;0.000;15327.000;174161;0;-2;
2956.717;6.422;0.000;15328.000;174155;0;-2;
2954.698;5.983;0.000;15329.000;174150;0;-2;
2921.976;4.957;0.000;15330.000;174145;0;-2;
2877.228;4.493;0.000;15331.000;174140;0;-2;
2702.737;5.250;0.000;15332.000;174135;0;-2;
2705.657;6.813;0.000;15333.000;174130;0;-2;
2734.324;8.840;0.000;15334.000;174125;0;-2;
2778.672;11.429;0.000;15335.000;174120;0;-2;
3116.585;16.557;0.000;15336.000;174115;0;-2;
3103.826;32.918;0.000;15337.000;174110;0;-2;
3074.398;62.320;0.000;15338.000;174105;0;-2;
3055.840;98.999;0.000;15339.000;174100;0;-2;
3042.535;100.000;128.000;15340.000;174095;0;-2;
3034.118;100.000;128.000;15341.000;174090;0;-2;
3032.242;100.000;128.000;15342.000;174085;0;-2;
3031.104;100.000;128.000;15343.000;174080;0;-2;
3031.108;100.000;128.000;15344.000;174075;0;-2;
3029.172;100.000;128.000;15345.000;174070;0;-2;
3024.584;100.000;128.000;15346.000;174065;0;-2;
3023.717;100.000;128.000;15347.000;174060;0;-2;
3024.948;100.000;128.000;15348.000;174055;0;-2;
3025.739;100.000;128.000;15349.000;174051;0;-2;
3024.654;100.000;128.000;15350.000;174046;0;-2;
3025.053;100.000;128.000;15351.000;174041;0;-2;
3028.174;100.000;128.000;15352.000;174036;0;-2;
3033.418;100.000;128.000;15353.000;174031;0;-2;
3038.654;100.000;128.000;15354.000;174026;0;-2;
3043.723;100.000;128.000;15355.000;174022;0;-2;
3044.577;100.000;128.000;15356.000;174017;0;-2;
3039.984;100.000;128.000;15357.000;174012;0;-2;
3032.951;100.000;128.000;15358.000;174007;0;-2;
3026.544;100.000;128.000;15359.000;174003;0;-2;
3025.989;100.000;128.000;15360.000;173998;0;-2;
3027.932;100.000;128.000;15361.000;173993;0;-2;
3032.727;100.000;128.000;15362.000;173988;0;-2;
3035.113;100.000;128.000;15363.000;173984;0;-2;
3033.765;100.000;128.000;15364.000;173979;0;-2;
3029.166;100.000;128.000;15365.000;173974;0;-2;
3024.589;100.000;128.000;15366.000;173969;0;-2;
3021.375;100.000;128.000;15367.000;173965;0;-2;
3022.183;100.000;128.000;15368.000;173960;0;-2;
3025.704;100.000;128.000;15369.000;173955;0;-2;
3029.819;100.000;128.000;15370.000;173950;0;-2;
3033.717;100.000;128.000;15371.000;173946;0;-2;
3034.604;100.000;128.000;15372.000;173941;0;-2;
3032.913;100.000;128.000;15373.000;173936;0;-2;
3030.848;100.000;128.000;15374.000;173932;0;-2;
3029.601;100.000;128.000;15375.000;173927;0;-2;
3028.453;100.000;128.000;15376.000;173923;0;-2;
3028.112;100.000;128.000;15377.000;173918;0;-2;
3029.637;100.000;128.000;15378.000;173913;0;-2;
3030.727;100.000;128.000;15379.000;173909;0;-2;
3029.747;100.000;128.000;15380.000;173904;0;-2;
3028.169;100.000;128.000;15381.000;173900;0;-2;
3024.560;100.000;128.000;15382.000;173895;0;-2;
3024.192;100.000;128.000;15383.000;173890;0;-2;
3025.602;100.000;128.000;15384.000;173886;0;-2;
3028.147;100.000;128.000;15385.000;173881;0;-2;
3032.498;100.000;128.000;15386.000;173877;0;-2;
3032.626;100.000;128.000;15387.000;173872;0;-2;
