Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
0.000;0.000;0.000;7587.000;180876;0;-2;
0.000;0.000;0.000;7588.000;180836;0;-2;
0.000;0.000;0.000;7589.000;180795;0;-2;
0.000;0.000;0.000;7590.000;180755;0;-2;
0.000;0.000;0.000;7591.000;180715;0;-2;
0.000;0.000;0.000;7592.000;180674;0;-2;
0.000;0.000;0.000;7593.000;180634;0;-2;
0.000;0.000;0.000;7594.000;180593;0;-2;
0.000;0.000;0.000;7595.000;180552;0;-2;
0.000;0.000;0.000;7596.000;180511;0;-2;
0.000;0.000;0.000;7597.000;180471;0;-2;
0.000;0.000;0.000;7598.000;180429;0;-2;
0.000;0.000;0.000;7599.000;180388;0;-2;
0.000;0.000;0.000;7600.000;180347;0;-2;
0.000;0.000;0.000;7601.000;180306;0;-2;
0.000;0.000;0.000;7602.000;180265;0;-2;
0.000;0.000;0.000;7603.000;180223;0;-2;
0.000;0.000;0.000;7604.000;180182;0;-2;
0.000;0.000;0.000;7605.000;180140;0;-2;
0.000;0.000;0.000;7606.000;180098;0;-2;
0.000;0.000;0.000;7607.000;180057;0;-2;
0.000;0.000;0.000;7608.000;180015;0;-2;
0.000;0.000;0.000;7609.000;179973;0;-2;
0.000;0.000;0.000;7610.000;179931;0;-2;
0.000;0.000;0.000;7611.000;179889;0;-2;
0.000;0.000;0.000;7612.000;179847;0;-2;
0.000;0.000;0.000;7613.000;179805;0;-2;
0.000;0.000;0.000;7614.000;179763;0;-2;
0.000;0.000;0.000;7615.000;179721;0;-2;
0.000;0.000;0.000;7616.000;179679;0;-2;
0.000;0.000;0.000;7617.000;179636;0;-2;
0.000;0.000;0.000;7618.000;179594;0;-2;
0.000;0.000;0.000;7619.000;179551;0;-2;
0.000;0.000;0.000;7620.000;179509;0;-2;
0.000;0.000;0.000;7621.000;179466;0;-2;
0.000;0.000;0.000;7622.000;179423;0;-2;
0.000;0.000;0.000;7623.000;179380;0;-2;
0.000;0.000;0.000;7624.000;179338;0;-2;
0.000;0.000;0.000;7625.000;179295;0;-2;
0.000;0.000;0.000;7626.000;179252;0;-2;
0.000;0.000;0.000;7627.000;179209;0;-2;
0.000;0.000;0.000;7628.000;179166;0;-2;
0.000;0.000;0.000;7629.000;179123;0;-2;
0.000;0.000;0.000;7630.000;179079;0;-2;
0.000;0.000;0.000;7631.000;179036;0;-2;
0.000;0.000;0.000;7632.000;178993;0;-2;
0.000;0.000;0.000;7633.000;178950;0;-2;
0.000;0.000;0.000;7634.000;178906;0;-2;
0.000;0.000;0.000;7635.000;178863;0;-2;
0.000;0.000;0.000;7636.000;178820;0;-2;
0.000;0.000;0.000;7637.000;178776;0;-2;
0.000;0.000;0.000;7638.000;178733;0;-2;
0.000;0.000;0.000;7639.000;178689;0;-2;
0.000;0.000;0.000;7640.000;178646;0;-2;
0.000;0.000;0.000;7641.000;178602;0;-2;
0.000;0.000;0.000;7642.000;178558;0;-2;
0.000;0.000;0.000;7643.000;178515;0;-2;
0.000;0.000;0.000;7644.000;178471;0;-2;
0.000;0.000;0.000;7645.000;178427;0;-2;
0.000;0.000;0.000;7646.000;178384;0;-2;
0.000;0.000;0.000;7647.000;178340;0;-2;
0.000;0.000;0.000;7648.000;178296;0;-2;
0.000;0.000;0.000;7649.000;178252;0;-2;
0.000;0.000;0.000;7650.000;178208;0;-2;
0.000;0.000;0.000;7651.000;178164;0;-2;
0.000;0.000;0.000;7652.000;178119;0;-2;
0.000;0.000;0.000;7653.000;178075;0;-2;
0.000;0.000;0.000;7654.000;178031;0;-2;
0.000;0.000;0.000;7655.000;177987;0;-2;
0.000;0.000;0.000;7656.000;177942;0;-2;
0.000;0.000;0.000;7657.000;177898;0;-2;
0.000;0.000;0.000;7658.000;177853;0;-2;
0.000;0.000;0.000;7659.000;177809;0;-2;
