Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
0.000;0.000;0.000;13420.000;152637;0;-2;
0.000;0.000;0.000;13421.000;152653;0;-2;
0.000;0.000;0.000;13422.000;152670;0;-2;
0.000;0.000;0.000;13423.000;152687;0;-2;
0.000;0.000;0.000;13424.000;152703;0;-2;
0.000;0.000;0.000;13425.000;152720;0;-2;
0.000;0.000;0.000;13426.000;152736;0;-2;
0.000;0.000;0.000;13427.000;152753;0;-2;
0.000;0.000;0.000;13428.000;152770;0;-2;
0.000;0.000;0.000;13429.000;152786;0;-2;
0.000;0.000;0.000;13430.000;152803;0;-2;
0.000;0.000;0.000;13431.000;152820;0;-2;
0.000;0.000;0.000;13432.000;152836;0;-2;
0.000;0.000;0.000;13433.000;152853;0;-2;
0.000;0.000;0.000;13434.000;152869;0;-2;
0.000;0.000;0.000;13435.000;152886;0;-2;
0.000;0.000;0.000;13436.000;152903;0;-2;
0.000;0.000;0.000;13437.000;152919;0;-2;
0.000;0.000;0.000;13438.000;152936;0;-2;
0.000;0.000;0.000;13439.000;152952;0;-2;
0.000;0.000;0.000;13440.000;152969;0;-2;
0.000;0.000;0.000;13441.000;152986;0;-2;
0.000;0.000;0.000;13442.000;153002;0;-2;
0.000;0.000;0.000;13443.000;153019;0;-2;
0.000;0.000;0.000;13444.000;153035;0;-2;
0.000;0.000;0.000;13445.000;153052;0;-2;
0.000;0.000;0.000;13446.000;153069;0;-2;
0.000;0.000;0.000;13447.000;153085;0;-2;
0.000;0.000;0.000;13448.000;153102;0;-2;
0.000;0.000;0.000;13449.000;153118;0;-2;
0.000;0.000;0.000;13450.000;153135;0;-2;
0.000;0.000;0.000;13451.000;153152;0;-2;
0.000;0.000;0.000;13452.000;153168;0;-2;
0.000;0.000;0.000;13453.000;153185;0;-2;
0.000;0.000;0.000;13454.000;153201;0;-2;
0.000;0.000;0.000;13455.000;153218;0;-2;
0.000;0.000;0.000;13456.000;153234;0;-2;
0.000;0.000;0.000;13457.000;153251;0;-2;
0.000;0.000;0.000;13458.000;153268;0;-2;
0.000;0.000;0.000;13459.000;153284;0;-2;
0.000;0.000;0.000;13460.000;153301;0;-2;
