Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
0.000;0.000;0.000;7142.000;436516;0;-2;
0.000;0.000;0.000;7143.000;436521;0;-2;
0.000;0.000;0.000;7144.000;436526;0;-2;
0.000;0.000;0.000;7145.000;436530;0;-2;
0.000;0.000;0.000;7146.000;436535;0;-2;
0.000;0.000;0.000;7147.000;436539;0;-2;
0.000;0.000;0.000;7148.000;436544;0;-2;
0.000;0.000;0.000;7149.000;436548;0;-2;
0.000;0.000;0.000;7150.000;436553;0;-2;
0.000;0.000;0.000;7151.000;436557;0;-2;
0.000;0.000;0.000;7152.000;436562;0;-2;
0.000;0.000;0.000;7153.000;436566;0;-2;
0.000;0.000;0.000;7154.000;436571;0;-2;
0.000;0.000;0.000;7155.000;436576;0;-2;
0.000;0.000;0.000;7156.000;436580;0;-2;
0.000;0.000;0.000;7157.000;436585;0;-2;
0.000;0.000;0.000;7158.000;436589;0;-2;
0.000;0.000;0.000;7159.000;436594;0;-2;
0.000;0.000;0.000;7160.000;436598;0;-2;
0.000;0.000;0.000;7161.000;436603;0;-2;
0.000;0.000;0.000;7162.000;436607;0;-2;
0.000;0.000;0.000;7163.000;436612;0;-2;
0.000;0.000;0.000;7164.000;436616;0;-2;
0.000;0.000;0.000;7165.000;436621;0;-2;
0.000;0.000;0.000;7166.000;436625;0;-2;
0.000;0.000;0.000;7167.000;436630;0;-2;
0.000;0.000;0.000;7168.000;436634;0;-2;
0.000;0.000;0.000;7169.000;436639;0;-2;
0.000;0.000;0.000;7170.000;436644;0;-2;
0.000;0.000;0.000;7171.000;436648;0;-2;
0.000;0.000;0.000;7172.000;436652;0;-2;
0.000;0.000;0.000;7173.000;436657;0;-2;
0.000;0.000;0.000;7174.000;436662;0;-2;
0.000;0.000;0.000;7175.000;436666;0;-2;
0.000;0.000;0.000;7176.000;436670;0;-2;
0.000;0.000;0.000;7177.000;436675;0;-2;
0.000;0.000;0.000;7178.000;436680;0;-2;
0.000;0.000;0.000;7179.000;436684;0;-2;
0.000;0.000;0.000;7180.000;436689;0;-2;
0.000;0.000;0.000;7181.000;436693;0;-2;
0.000;0.000;0.000;7182.000;436698;0;-2;
0.000;0.000;0.000;7183.000;436702;0;-2;
0.000;0.000;0.000;7184.000;436707;0;-2;
0.000;0.000;0.000;7185.000;436711;0;-2;
0.000;0.000;0.000;7186.000;436716;0;-2;
0.000;0.000;0.000;7187.000;436720;0;-2;
0.000;0.000;0.000;7188.000;436725;0;-2;
0.000;0.000;0.000;7189.000;436729;0;-2;
0.000;0.000;0.000;7190.000;436734;0;-2;
0.000;0.000;0.000;7191.000;436738;0;-2;
0.000;0.000;0.000;7192.000;436743;0;-2;
0.000;0.000;0.000;7193.000;436747;0;-2;
0.000;0.000;0.000;7194.000;436752;0;-2;
0.000;0.000;0.000;7195.000;436756;0;-2;
0.000;0.000;0.000;7196.000;436761;0;-2;
0.000;0.000;0.000;7197.000;436765;0;-2;
0.000;0.000;0.000;7198.000;436769;0;-2;
0.000;0.000;0.000;7199.000;436774;0;-2;
0.000;0.000;0.000;7200.000;436779;0;-2;
0.000;0.000;0.000;7201.000;436783;0;-2;
0.000;0.000;0.000;7202.000;436788;0;-2;
0.000;0.000;0.000;7203.000;436792;0;-2;
0.000;0.000;0.000;7204.000;436797;0;-2;
0.000;0.000;0.000;7205.000;436801;0;-2;
0.000;0.000;0.000;7206.000;436805;0;-2;
0.000;0.000;0.000;7207.000;436810;0;-2;
0.000;0.000;0.000;7208.000;436814;0;-2;
0.000;0.000;0.000;7209.000;436819;0;-2;
0.000;0.000;0.000;7210.000;436824;0;-2;
0.000;0.000;0.000;7211.000;436828;0;-2;
0.000;0.000;0.000;7212.000;436832;0;-2;
0.000;0.000;0.000;7213.000;436837;0;-2;
0.000;0.000;0.000;7214.000;436841;0;-2;
0.000;0.000;0.000;7215.000;436846;0;-2;
0.000;0.000;0.000;7216.000;436850;0;-2;
0.000;0.000;0.000;7217.000;436855;0;-2;
0.000;0.000;0.000;7218.000;436859;0;-2;
0.000;0.000;0.000;7219.000;436864;0;-2;
0.000;0.000;0.000;7220.000;436868;0;-2;
0.000;0.000;0.000;7221.000;436873;0;-2;
0.000;0.000;0.000;7222.000;436877;0;-2;
0.000;0.000;0.000;7223.000;436882;0;-2;
