Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
1891.408;5.299;0.000;3396.000;223347;0;-2;
1873.778;4.176;0.000;3397.000;223353;0;-2;
1873.243;4.249;0.000;3398.000;223359;0;-2;
1878.343;4.542;0.000;3399.000;223365;0;-2;
1867.386;4.518;0.000;3400.000;223372;0;-2;
1878.384;4.615;0.000;3401.000;223378;0;-2;
1886.150;5.079;0.000;3402.000;223384;0;-2;
1880.244;5.006;0.000;3403.000;223390;0;-2;
1876.362;4.908;0.000;3404.000;223396;0;-2;
1884.711;4.469;0.000;3405.000;223402;0;-2;
1888.535;4.396;0.000;3406.000;223408;0;-2;
0.000;0.000;0.000;3407.000;223414;0;-2;
0.000;0.000;0.000;3408.000;223420;0;-2;
0.000;0.000;0.000;3409.000;223426;0;-2;
0.000;0.000;0.000;3410.000;223432;0;-2;
1876.014;3.834;0.000;3411.000;223438;0;-2;
1867.335;4.029;0.000;3412.000;223444;0;-2;
1872.729;3.883;0.000;3413.000;223451;0;-2;
1866.852;3.614;0.000;3414.000;223457;0;-2;
1879.902;3.687;0.000;3415.000;223463;0;-2;
1880.653;3.907;0.000;3416.000;223469;0;-2;
1884.648;4.713;0.000;3417.000;223475;0;-2;
1877.279;5.348;0.000;3418.000;223481;0;-2;
1886.351;6.056;0.000;3419.000;223487;0;-2;
1880.942;6.764;0.000;3420.000;223493;0;-2;
1883.102;7.375;0.000;3421.000;223499;0;-2;
1859.649;6.081;0.000;3422.000;223505;0;-2;
1832.128;4.860;0.000;3423.000;223512;0;-2;
1809.568;3.834;0.000;3424.000;223518;0;-2;
0.000;0.000;0.000;3425.000;223524;0;-2;
0.000;0.000;0.000;3426.000;223530;0;-2;
0.000;0.000;0.000;3427.000;223536;0;-2;
0.000;0.000;0.000;3428.000;223542;0;-2;
0.000;0.000;0.000;3429.000;223548;0;-2;
0.000;0.000;0.000;3430.000;223554;0;-2;
0.000;0.000;0.000;3431.000;223560;0;-2;
0.000;0.000;0.000;3432.000;223566;0;-2;
0.000;0.000;0.000;3433.000;223573;0;-2;
0.000;0.000;0.000;3434.000;223579;0;-2;
2931.295;1.954;0.000;3435.000;223585;0;-2;
2935.989;1.905;0.000;3436.000;223591;0;-2;
0.000;0.000;0.000;3437.000;223597;0;-2;
0.000;0.000;0.000;3438.000;223603;0;-2;
2974.029;1.661;0.000;3439.000;223609;0;-2;
3012.512;2.320;0.000;3440.000;223615;0;-2;
3049.510;3.077;0.000;3441.000;223621;0;-2;
3029.186;6.520;0.000;3442.000;223627;0;-2;
3007.470;23.712;0.000;3443.000;223634;0;-2;
3001.708;57.656;0.000;3444.000;223640;0;-2;
2998.005;93.578;0.000;3445.000;223646;0;-2;
2992.474;98.999;0.000;3446.000;223652;0;-2;
2990.028;98.999;0.000;3447.000;223658;0;-2;
2992.886;97.509;0.000;3448.000;223664;0;-2;
2996.385;88.059;0.000;3449.000;223670;0;-2;
2993.981;87.961;0.000;3450.000;223676;0;-2;
2988.021;83.980;0.000;3451.000;223682;0;-2;
2982.715;83.175;0.000;3452.000;223688;0;-2;
2985.928;96.337;0.000;3453.000;223694;0;-2;
2991.923;100.000;128.000;3454.000;223700;0;-2;
2998.610;100.000;128.000;3455.000;223706;0;-2;
3005.657;100.000;128.000;3456.000;223713;0;-2;
3012.316;100.000;128.000;3457.000;223719;0;-2;
3012.963;100.000;128.000;3458.000;223725;0;-2;
3009.710;100.000;128.000;3459.000;223731;0;-2;
3004.552;100.000;128.000;3460.000;223737;0;-2;
3000.300;100.000;128.000;3461.000;223743;0;-2;
2996.765;100.000;128.000;3462.000;223749;0;-2;
2995.849;100.000;128.000;3463.000;223755;0;-2;
2995.146;100.000;128.000;3464.000;223761;0;-2;
2993.332;100.000;128.000;3465.000;223767;0;-2;
2994.821;100.000;128.000;3466.000;223773;0;-2;
2994.571;100.000;128.000;3467.000;223779;0;-2;
2994.999;100.000;128.000;3468.000;223785;0;-2;
2995.843;100.000;128.000;3469.000;223792;0;-2;
2993.975;100.000;128.000;3470.000;223798;0;-2;
2991.685;100.000;128.000;3471.000;223804;0;-2;
2991.808;100.000;128.000;3472.000;223810;0;-2;
2994.956;100.000;128.000;3473.000;223816;0;-2;
