Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
0.000;0.000;0.000;17425.000;219598;0;-2;
0.000;0.000;0.000;17426.000;219605;0;-2;
0.000;0.000;0.000;17427.000;219612;0;-2;
0.000;0.000;0.000;17428.000;219619;0;-2;
0.000;0.000;0.000;17429.000;219625;0;-2;
0.000;0.000;0.000;17430.000;219632;0;-2;
0.000;0.000;0.000;17431.000;219639;0;-2;
0.000;0.000;0.000;17432.000;219646;0;-2;
0.000;0.000;0.000;17433.000;219653;0;-2;
0.000;0.000;0.000;17434.000;219660;0;-2;
0.000;0.000;0.000;17435.000;219666;0;-2;
0.000;0.000;0.000;17436.000;219673;0;-2;
0.000;0.000;0.000;17437.000;219680;0;-2;
0.000;0.000;0.000;17438.000;219687;0;-2;
0.000;0.000;0.000;17439.000;219694;0;-2;
0.000;0.000;0.000;17440.000;219701;0;-2;
0.000;0.000;0.000;17441.000;219707;0;-2;
0.000;0.000;0.000;17442.000;219714;0;-2;
0.000;0.000;0.000;17443.000;219721;0;-2;
0.000;0.000;0.000;17444.000;219728;0;-2;
0.000;0.000;0.000;17445.000;219735;0;-2;
0.000;0.000;0.000;17446.000;219742;0;-2;
0.000;0.000;0.000;17447.000;219748;0;-2;
0.000;0.000;0.000;17448.000;219755;0;-2;
0.000;0.000;0.000;17449.000;219762;0;-2;
2998.872;1.685;0.000;17450.000;219769;0;-2;
3020.021;1.709;0.000;17451.000;219775;0;-2;
3021.251;1.612;0.000;17452.000;219782;0;-2;
3059.311;1.758;0.000;17453.000;219789;0;-2;
3050.018;1.514;0.000;17454.000;219796;0;-2;
3030.156;1.514;0.000;17455.000;219803;0;-2;
3010.191;1.612;0.000;17456.000;219809;0;-2;
2982.612;1.978;0.000;17457.000;219816;0;-2;
3002.319;2.222;0.000;17458.000;219823;0;-2;
3034.291;3.028;0.000;17459.000;219830;0;-2;
3051.697;3.248;0.000;17460.000;219836;0;-2;
3079.156;3.223;0.000;17461.000;219843;0;-2;
3107.504;2.344;0.000;17462.000;219850;0;-2;
3140.196;1.905;0.000;17463.000;219857;0;-2;
3180.665;1.490;0.000;17464.000;219863;0;-2;
0.000;0.000;0.000;17465.000;219870;0;-2;
0.000;0.000;0.000;17466.000;219877;0;-2;
0.000;0.000;0.000;17467.000;219884;0;-2;
0.000;0.000;0.000;17468.000;219890;0;-2;
0.000;0.000;0.000;17469.000;219897;0;-2;
0.000;0.000;0.000;17470.000;219904;0;-2;
0.000;0.000;0.000;17471.000;219911;0;-2;
0.000;0.000;0.000;17472.000;219917;0;-2;
0.000;0.000;0.000;17473.000;219924;0;-2;
0.000;0.000;0.000;17474.000;219931;0;-2;
0.000;0.000;0.000;17475.000;219938;0;-2;
0.000;0.000;0.000;17476.000;219944;0;-2;
0.000;0.000;0.000;17477.000;219951;0;-2;
0.000;0.000;0.000;17478.000;219958;0;-2;
0.000;0.000;0.000;17479.000;219965;0;-2;
0.000;0.000;0.000;17480.000;219971;0;-2;
0.000;0.000;0.000;17481.000;219978;0;-2;
0.000;0.000;0.000;17482.000;219985;0;-2;
0.000;0.000;0.000;17483.000;219991;0;-2;
0.000;0.000;0.000;17484.000;219998;0;-2;
0.000;0.000;0.000;17485.000;220005;0;-2;
0.000;0.000;0.000;17486.000;220011;0;-2;
0.000;0.000;0.000;17487.000;220018;0;-2;
0.000;0.000;0.000;17488.000;220025;0;-2;
0.000;0.000;0.000;17489.000;220031;0;-2;
0.000;0.000;0.000;17490.000;220038;0;-2;
0.000;0.000;0.000;17491.000;220045;0;-2;
0.000;0.000;0.000;17492.000;220051;0;-2;
0.000;0.000;0.000;17493.000;220058;0;-2;
0.000;0.000;0.000;17494.000;220065;0;-2;
0.000;0.000;0.000;17495.000;220071;0;-2;
0.000;0.000;0.000;17496.000;220078;0;-2;
0.000;0.000;0.000;17497.000;220085;0;-2;
0.000;0.000;0.000;17498.000;220091;0;-2;
0.000;0.000;0.000;17499.000;220098;0;-2;
0.000;0.000;0.000;17500.000;220105;0;-2;
0.000;0.000;0.000;17501.000;220111;0;-2;
0.000;0.000;0.000;17502.000;220118;0;-2;
0.000;0.000;0.000;17503.000;220125;0;-2;
0.000;0.000;0.000;17504.000;220131;0;-2;
0.000;0.000;0.000;17505.000;220138;0;-2;
0.000;0.000;0.000;17506.000;220144;0;-2;
0.000;0.000;0.000;17507.000;220151;0;-2;
0.000;0.000;0.000;17508.000;220158;0;-2;
0.000;0.000;0.000;17509.000;220164;0;-2;
0.000;0.000;0.000;17510.000;220171;0;-2;
0.000;0.000;0.000;17511.000;220178;0;-2;
0.000;0.000;0.000;17512.000;220184;0;-2;
0.000;0.000;0.000;17513.000;220191;0;-2;
0.000;0.000;0.000;17514.000;220197;0;-2;
0.000;0.000;0.000;17515.000;220204;0;-2;
0.000;0.000;0.000;17516.000;220210;0;-2;
0.000;0.000;0.000;17517.000;220217;0;-2;
0.000;0.000;0.000;17518.000;220224;0;-2;
0.000;0.000;0.000;17519.000;220230;0;-2;
0.000;0.000;0.000;17520.000;220237;0;-2;
0.000;0.000;0.000;17521.000;220244;0;-2;
0.000;0.000;0.000;17522.000;220250;0;-2;
0.000;0.000;0.000;17523.000;220257;0;-2;
0.000;0.000;0.000;17524.000;220263;0;-2;
0.000;0.000;0.000;17525.000;220270;0;-2;
0.000;0.000;0.000;17526.000;220276;0;-2;
0.000;0.000;0.000;17527.000;220283;0;-2;
0.000;0.000;0.000;17528.000;220289;0;-2;
0.000;0.000;0.000;17529.000;220296;0;-2;
0.000;0.000;0.000;17530.000;220303;0;-2;
0.000;0.000;0.000;17531.000;220309;0;-2;
0.000;0.000;0.000;17532.000;220316;0;-2;
0.000;0.000;0.000;17533.000;220322;0;-2;
0.000;0.000;0.000;17534.000;220329;0;-2;
0.000;0.000;0.000;17535.000;220335;0;-2;
2735.780;1.880;0.000;17536.000;220342;0;-2;
2803.101;2.857;0.000;17537.000;220348;0;-2;
2887.096;4.567;0.000;17538.000;220355;0;-2;
2951.707;7.155;0.000;17539.000;220361;0;-2;
2983.063;9.646;0.000;17540.000;220368;0;-2;
2992.403;10.965;0.000;17541.000;220374;0;-2;
2990.715;15.360;0.000;17542.000;220381;0;-2;
3015.323;21.832;0.000;17543.000;220387;0;-2;
3034.857;27.009;0.000;17544.000;220394;0;-2;
3041.374;27.692;0.000;17545.000;220400;0;-2;
3043.818;31.429;0.000;17546.000;220407;0;-2;
3056.755;33.919;0.000;17547.000;220413;0;-2;
3069.805;34.676;0.000;17548.000;220420;0;-2;
3067.460;32.503;0.000;17549.000;220426;0;-2;
3044.308;33.333;0.000;17550.000;220433;0;-2;
3042.426;41.172;0.000;17551.000;220439;0;-2;
3052.354;44.762;0.000;17552.000;220446;0;-2;
3065.373;47.033;0.000;17553.000;220452;0;-2;
3071.174;43.053;0.000;17554.000;220459;0;-2;
3055.908;38.730;0.000;17555.000;220465;0;-2;
3047.440;42.711;0.000;17556.000;220472;0;-2;
3056.949;42.711;0.000;17557.000;220478;0;-2;
3064.576;39.658;0.000;17558.000;220485;0;-2;
3058.549;36.508;0.000;17559.000;220491;0;-2;
3050.693;36.459;0.000;17560.000;220497;0;-2;
3046.580;37.241;0.000;17561.000;220504;0;-2;
3045.296;40.611;0.000;17562.000;220510;0;-2;
3047.822;42.686;0.000;17563.000;220517;0;-2;
3044.037;45.836;0.000;17564.000;220523;0;-2;
3042.117;52.723;0.000;17565.000;220530;0;-2;
3048.788;58.803;0.000;17566.000;220536;0;-2;
3061.521;62.882;0.000;17567.000;220542;0;-2;
3068.856;61.563;0.000;17568.000;220549;0;-2;
3068.604;59.121;0.000;17569.000;220555;0;-2;
3068.736;58.413;0.000;17570.000;220562;0;-2;
3070.565;55.116;0.000;17571.000;220568;0;-2;
3064.591;52.650;0.000;17572.000;220575;0;-2;
3056.562;51.844;0.000;17573.000;220581;0;-2;
3053.992;56.874;0.000;17574.000;220587;0;-2;
3050.680;63.272;0.000;17575.000;220594;0;-2;
3049.627;71.111;0.000;17576.000;220600;0;-2;
3055.688;78.217;0.000;17577.000;220607;0;-2;
3065.300;80.611;0.000;17578.000;220613;0;-2;
3072.106;78.315;0.000;17579.000;220620;0;-2;
3079.063;73.651;0.000;17580.000;220626;0;-2;
3093.792;62.149;0.000;17581.000;220632;0;-2;
3118.153;43.932;0.000;17582.000;220639;0;-2;
3162.828;25.006;0.000;17583.000;220645;0;-2;
3226.415;13.480;0.000;17584.000;220651;0;-2;
3291.339;7.424;0.000;17585.000;220658;0;-2;
3337.495;4.884;0.000;17586.000;220664;0;-2;
3417.420;3.394;0.000;17587.000;220671;0;-2;
3486.351;2.589;0.000;17588.000;220677;0;-2;
3538.340;1.758;0.000;17589.000;220683;0;-2;
2884.437;1.709;0.000;17590.000;220690;0;-2;
0.000;0.000;0.000;17591.000;220696;0;-2;
0.000;0.000;0.000;17592.000;220703;0;-2;
0.000;0.000;0.000;17593.000;220709;0;-2;
0.000;0.000;0.000;17594.000;220715;0;-2;
0.000;0.000;0.000;17595.000;220722;0;-2;
0.000;0.000;0.000;17596.000;220728;0;-2;
0.000;0.000;0.000;17597.000;220734;0;-2;
0.000;0.000;0.000;17598.000;220741;0;-2;
0.000;0.000;0.000;17599.000;220747;0;-2;
0.000;0.000;0.000;17600.000;220753;0;-2;
0.000;0.000;0.000;17601.000;220760;0;-2;
0.000;0.000;0.000;17602.000;220766;0;-2;
0.000;0.000;0.000;17603.000;220772;0;-2;
0.000;0.000;0.000;17604.000;220779;0;-2;
0.000;0.000;0.000;17605.000;220785;0;-2;
0.000;0.000;0.000;17606.000;220791;0;-2;
0.000;0.000;0.000;17607.000;220798;0;-2;
0.000;0.000;0.000;17608.000;220804;0;-2;
0.000;0.000;0.000;17609.000;220810;0;-2;
0.000;0.000;0.000;17610.000;220817;0;-2;
0.000;0.000;0.000;17611.000;220823;0;-2;
0.000;0.000;0.000;17612.000;220829;0;-2;
0.000;0.000;0.000;17613.000;220836;0;-2;
0.000;0.000;0.000;17614.000;220842;0;-2;
0.000;0.000;0.000;17615.000;220848;0;-2;
0.000;0.000;0.000;17616.000;220855;0;-2;
0.000;0.000;0.000;17617.000;220861;0;-2;
0.000;0.000;0.000;17618.000;220867;0;-2;
0.000;0.000;0.000;17619.000;220874;0;-2;
0.000;0.000;0.000;17620.000;220880;0;-2;
0.000;0.000;0.000;17621.000;220886;0;-2;
0.000;0.000;0.000;17622.000;220893;0;-2;
0.000;0.000;0.000;17623.000;220899;0;-2;
0.000;0.000;0.000;17624.000;220905;0;-2;
0.000;0.000;0.000;17625.000;220911;0;-2;
0.000;0.000;0.000;17626.000;220918;0;-2;
0.000;0.000;0.000;17627.000;220924;0;-2;
0.000;0.000;0.000;17628.000;220930;0;-2;
0.000;0.000;0.000;17629.000;220937;0;-2;
0.000;0.000;0.000;17630.000;220943;0;-2;
