Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
0.000;0.000;0.000;28767.000;109049;0;-2;
0.000;0.000;0.000;28768.000;109053;0;-2;
0.000;0.000;0.000;28769.000;109057;0;-2;
0.000;0.000;0.000;28770.000;109062;0;-2;
0.000;0.000;0.000;28771.000;109066;0;-2;
0.000;0.000;0.000;28772.000;109070;0;-2;
0.000;0.000;0.000;28773.000;109074;0;-2;
0.000;0.000;0.000;28774.000;109079;0;-2;
0.000;0.000;0.000;28775.000;109083;0;-2;
0.000;0.000;0.000;28776.000;109087;0;-2;
0.000;0.000;0.000;28777.000;109092;0;-2;
0.000;0.000;0.000;28778.000;109096;0;-2;
0.000;0.000;0.000;28779.000;109100;0;-2;
0.000;0.000;0.000;28780.000;109105;0;-2;
0.000;0.000;0.000;28781.000;109109;0;-2;
0.000;0.000;0.000;28782.000;109113;0;-2;
0.000;0.000;0.000;28783.000;109118;0;-2;
0.000;0.000;0.000;28784.000;109122;0;-2;
0.000;0.000;0.000;28785.000;109127;0;-2;
0.000;0.000;0.000;28786.000;109131;0;-2;
0.000;0.000;0.000;28787.000;109135;0;-2;
0.000;0.000;0.000;28788.000;109140;0;-2;
0.000;0.000;0.000;28789.000;109144;0;-2;
0.000;0.000;0.000;28790.000;109148;0;-2;
0.000;0.000;0.000;28791.000;109153;0;-2;
0.000;0.000;0.000;28792.000;109157;0;-2;
0.000;0.000;0.000;28793.000;109162;0;-2;
0.000;0.000;0.000;28794.000;109166;0;-2;
0.000;0.000;0.000;28795.000;109171;0;-2;
0.000;0.000;0.000;28796.000;109175;0;-2;
0.000;0.000;0.000;28797.000;109180;0;-2;
0.000;0.000;0.000;28798.000;109184;0;-2;
0.000;0.000;0.000;28799.000;109188;0;-2;
0.000;0.000;0.000;28800.000;109193;0;-2;
0.000;0.000;0.000;28801.000;109197;0;-2;
0.000;0.000;0.000;28802.000;109202;0;-2;
0.000;0.000;0.000;28803.000;109206;0;-2;
0.000;0.000;0.000;28804.000;109211;0;-2;
0.000;0.000;0.000;28805.000;109215;0;-2;
0.000;0.000;0.000;28806.000;109220;0;-2;
0.000;0.000;0.000;28807.000;109224;0;-2;
0.000;0.000;0.000;28808.000;109229;0;-2;
2949.227;1.978;0.000;28809.000;109233;0;-2;
2962.035;2.002;0.000;28810.000;109238;0;-2;
2962.652;1.905;0.000;28811.000;109242;0;-2;
2976.956;2.125;0.000;28812.000;109247;0;-2;
2985.581;2.418;0.000;28813.000;109251;0;-2;
2975.970;2.222;0.000;28814.000;109256;0;-2;
2987.142;2.295;0.000;28815.000;109260;0;-2;
2952.838;2.100;0.000;28816.000;109265;0;-2;
2947.876;2.149;0.000;28817.000;109269;0;-2;
2950.088;2.271;0.000;28818.000;109274;0;-2;
2923.604;2.247;0.000;28819.000;109279;0;-2;
2921.559;2.344;0.000;28820.000;109283;0;-2;
2897.818;2.686;0.000;28821.000;109288;0;-2;
2905.096;3.590;0.000;28822.000;109292;0;-2;
2915.781;3.956;0.000;28823.000;109297;0;-2;
2937.954;5.128;0.000;28824.000;109301;0;-2;
2954.290;5.641;0.000;28825.000;109306;0;-2;
2971.614;6.252;0.000;28826.000;109310;0;-2;
2990.699;6.374;0.000;28827.000;109315;0;-2;
2994.142;6.545;0.000;28828.000;109320;0;-2;
3000.479;6.545;0.000;28829.000;109324;0;-2;
3007.328;6.300;0.000;28830.000;109329;0;-2;
2993.290;6.422;0.000;28831.000;109334;0;-2;
2993.642;6.862;0.000;28832.000;109338;0;-2;
2985.657;6.667;0.000;28833.000;109343;0;-2;
2985.758;7.057;0.000;28834.000;109347;0;-2;
2985.834;7.619;0.000;28835.000;109352;0;-2;
2984.567;8.278;0.000;28836.000;109357;0;-2;
2992.808;8.645;0.000;28837.000;109361;0;-2;
2994.816;9.524;0.000;28838.000;109366;0;-2;
3010.621;9.499;0.000;28839.000;109371;0;-2;
3002.981;8.816;0.000;28840.000;109375;0;-2;
3002.176;8.596;0.000;28841.000;109380;0;-2;
2980.132;8.059;0.000;28842.000;109385;0;-2;
2966.647;8.694;0.000;28843.000;109389;0;-2;
2957.249;9.719;0.000;28844.000;109394;0;-2;
2958.096;11.404;0.000;28845.000;109399;0;-2;
2964.281;13.309;0.000;28846.000;109403;0;-2;
2974.480;15.702;0.000;28847.000;109408;0;-2;
2983.840;18.779;0.000;28848.000;109413;0;-2;
2996.284;20.952;0.000;28849.000;109417;0;-2;
3007.867;23.541;0.000;28850.000;109422;0;-2;
3018.897;24.444;0.000;28851.000;109427;0;-2;
3029.465;24.884;0.000;28852.000;109432;0;-2;
3036.881;22.979;0.000;28853.000;109436;0;-2;
3048.482;20.269;0.000;28854.000;109441;0;-2;
3056.424;17.094;0.000;28855.000;109446;0;-2;
3054.010;14.286;0.000;28856.000;109450;0;-2;
3040.961;11.673;0.000;28857.000;109455;0;-2;
3018.259;10.916;0.000;28858.000;109460;0;-2;
2999.866;10.867;0.000;28859.000;109465;0;-2;
2992.829;11.917;0.000;28860.000;109469;0;-2;
2988.811;13.700;0.000;28861.000;109474;0;-2;
2991.966;14.188;0.000;28862.000;109479;0;-2;
2999.201;14.652;0.000;28863.000;109484;0;-2;
3005.416;13.675;0.000;28864.000;109488;0;-2;
2992.990;12.747;0.000;28865.000;109493;0;-2;
2984.920;14.628;0.000;28866.000;109498;0;-2;
2987.420;17.582;0.000;28867.000;109503;0;-2;
3002.788;20.317;0.000;28868.000;109507;0;-2;
3017.903;22.442;0.000;28869.000;109512;0;-2;
3024.508;21.783;0.000;28870.000;109517;0;-2;
3024.325;20.220;0.000;28871.000;109522;0;-2;
3010.837;19.243;0.000;28872.000;109526;0;-2;
3004.639;20.269;0.000;28873.000;109531;0;-2;
3006.505;21.661;0.000;28874.000;109536;0;-2;
3009.524;22.540;0.000;28875.000;109541;0;-2;
3010.405;22.247;0.000;28876.000;109546;0;-2;
3005.627;23.346;0.000;28877.000;109550;0;-2;
3004.930;25.226;0.000;28878.000;109555;0;-2;
3011.140;26.276;0.000;28879.000;109560;0;-2;
3020.396;26.496;0.000;28880.000;109565;0;-2;
3027.315;24.298;0.000;28881.000;109570;0;-2;
3030.295;20.513;0.000;28882.000;109574;0;-2;
3016.951;17.631;0.000;28883.000;109579;0;-2;
3000.024;18.486;0.000;28884.000;109584;0;-2;
2997.572;19.951;0.000;28885.000;109589;0;-2;
2993.778;21.612;0.000;28886.000;109594;0;-2;
2998.534;21.563;0.000;28887.000;109599;0;-2;
2996.694;22.295;0.000;28888.000;109603;0;-2;
2993.884;23.614;0.000;28889.000;109608;0;-2;
2995.376;25.568;0.000;28890.000;109613;0;-2;
3000.677;25.934;0.000;28891.000;109618;0;-2;
3005.909;27.473;0.000;28892.000;109623;0;-2;
3009.915;27.766;0.000;28893.000;109627;0;-2;
3003.688;26.886;0.000;28894.000;109632;0;-2;
2998.584;27.863;0.000;28895.000;109637;0;-2;
2992.974;29.231;0.000;28896.000;109642;0;-2;
2992.083;33.040;0.000;28897.000;109647;0;-2;
2998.941;36.508;0.000;28898.000;109652;0;-2;
3008.156;38.779;0.000;28899.000;109657;0;-2;
3017.360;39.634;0.000;28900.000;109661;0;-2;
3025.603;36.825;0.000;28901.000;109666;0;-2;
3020.576;34.432;0.000;28902.000;109671;0;-2;
3012.746;33.529;0.000;28903.000;109676;0;-2;
3007.646;35.263;0.000;28904.000;109681;0;-2;
3009.464;37.973;0.000;28905.000;109686;0;-2;
3012.174;39.634;0.000;28906.000;109690;0;-2;
3018.590;41.807;0.000;28907.000;109695;0;-2;
3023.406;40.879;0.000;28908.000;109700;0;-2;
3025.051;39.096;0.000;28909.000;109705;0;-2;
3019.082;37.753;0.000;28910.000;109710;0;-2;
3016.182;39.683;0.000;28911.000;109715;0;-2;
3019.848;40.659;0.000;28912.000;109720;0;-2;
3024.781;41.319;0.000;28913.000;109724;0;-2;
3026.911;39.463;0.000;28914.000;109729;0;-2;
3017.454;38.193;0.000;28915.000;109734;0;-2;
3007.181;38.266;0.000;28916.000;109739;0;-2;
3002.275;39.194;0.000;28917.000;109744;0;-2;
2999.323;42.589;0.000;28918.000;109749;0;-2;
3004.318;46.007;0.000;28919.000;109754;0;-2;
3014.900;48.840;0.000;28920.000;109758;0;-2;
3026.780;48.620;0.000;28921.000;109763;0;-2;
3030.039;47.448;0.000;28922.000;109768;0;-2;
3025.524;47.179;0.000;28923.000;109773;0;-2;
3022.670;49.133;0.000;28924.000;109778;0;-2;
3020.986;52.161;0.000;28925.000;109783;0;-2;
3027.128;54.310;0.000;28926.000;109788;0;-2;
3035.692;54.066;0.000;28927.000;109792;0;-2;
3039.261;51.355;0.000;28928.000;109797;0;-2;
3033.863;47.277;0.000;28929.000;109802;0;-2;
3023.572;48.571;0.000;28930.000;109807;0;-2;
3016.046;51.819;0.000;28931.000;109812;0;-2;
3019.754;55.604;0.000;28932.000;109817;0;-2;
3027.742;56.239;0.000;28933.000;109822;0;-2;
3036.804;54.408;0.000;28934.000;109826;0;-2;
3041.643;49.231;0.000;28935.000;109831;0;-2;
3039.192;46.496;0.000;28936.000;109836;0;-2;
3032.123;44.933;0.000;28937.000;109841;0;-2;
3025.962;45.153;0.000;28938.000;109846;0;-2;
3021.984;46.007;0.000;28939.000;109851;0;-2;
3019.563;46.545;0.000;28940.000;109856;0;-2;
3014.353;48.327;0.000;28941.000;109861;0;-2;
3009.584;52.137;0.000;28942.000;109865;0;-2;
3012.741;56.020;0.000;28943.000;109870;0;-2;
3019.583;60.464;0.000;28944.000;109875;0;-2;
3031.512;59.194;0.000;28945.000;109880;0;-2;
3040.623;52.698;0.000;28946.000;109885;0;-2;
3044.072;45.177;0.000;28947.000;109890;0;-2;
3034.188;41.074;0.000;28948.000;109895;0;-2;
3022.316;38.632;0.000;28949.000;109900;0;-2;
3012.592;39.292;0.000;28950.000;109905;0;-2;
3003.025;42.247;0.000;28951.000;109909;0;-2;
3002.240;46.667;0.000;28952.000;109914;0;-2;
3007.160;50.794;0.000;28953.000;109919;0;-2;
3012.827;54.383;0.000;28954.000;109924;0;-2;
3019.483;56.581;0.000;28955.000;109929;0;-2;
3022.769;56.215;0.000;28956.000;109934;0;-2;
3020.900;55.482;0.000;28957.000;109939;0;-2;
3016.149;54.823;0.000;28958.000;109943;0;-2;
3010.535;55.922;0.000;28959.000;109948;0;-2;
3008.368;60.855;0.000;28960.000;109953;0;-2;
3012.955;64.469;0.000;28961.000;109958;0;-2;
3017.963;67.302;0.000;28962.000;109963;0;-2;
3017.253;67.961;0.000;28963.000;109968;0;-2;
3016.655;69.231;0.000;28964.000;109973;0;-2;
3020.536;70.965;0.000;28965.000;109978;0;-2;
3029.064;70.330;0.000;28966.000;109982;0;-2;
3034.469;63.712;0.000;28967.000;109987;0;-2;
3034.954;56.435;0.000;28968.000;109992;0;-2;
3025.018;52.527;0.000;28969.000;109997;0;-2;
3019.568;52.869;0.000;28970.000;110002;0;-2;
3024.811;55.531;0.000;28971.000;110007;0;-2;
3027.567;55.556;0.000;28972.000;110012;0;-2;
3031.731;54.628;0.000;28973.000;110016;0;-2;
3027.924;51.502;0.000;28974.000;110021;0;-2;
3017.158;48.327;0.000;28975.000;110026;0;-2;
3002.115;49.426;0.000;28976.000;110031;0;-2;
2998.881;52.918;0.000;28977.000;110036;0;-2;
3003.318;53.895;0.000;28978.000;110041;0;-2;
3009.313;53.138;0.000;28979.000;110046;0;-2;
3010.666;51.013;0.000;28980.000;110050;0;-2;
3005.042;52.234;0.000;28981.000;110055;0;-2;
2999.419;57.509;0.000;28982.000;110060;0;-2;
3000.682;66.642;0.000;28983.000;110065;0;-2;
3008.307;73.553;0.000;28984.000;110070;0;-2;
3018.086;77.656;0.000;28985.000;110075;0;-2;
3023.860;76.435;0.000;28986.000;110080;0;-2;
3021.349;72.332;0.000;28987.000;110084;0;-2;
3015.385;73.919;0.000;28988.000;110089;0;-2;
3013.033;77.070;0.000;28989.000;110094;0;-2;
3013.674;81.172;0.000;28990.000;110099;0;-2;
3018.007;83.516;0.000;28991.000;110104;0;-2;
3022.661;82.393;0.000;28992.000;110109;0;-2;
3025.775;79.292;0.000;28993.000;110113;0;-2;
3028.042;76.215;0.000;28994.000;110118;0;-2;
3023.604;73.162;0.000;28995.000;110123;0;-2;
3020.836;74.676;0.000;28996.000;110128;0;-2;
3020.185;78.437;0.000;28997.000;110133;0;-2;
3021.036;77.973;0.000;28998.000;110138;0;-2;
3013.104;77.778;0.000;28999.000;110143;0;-2;
3006.310;80.440;0.000;29000.000;110147;0;-2;
3007.466;82.418;0.000;29001.000;110152;0;-2;
3012.062;82.711;0.000;29002.000;110157;0;-2;
3017.738;81.807;0.000;29003.000;110162;0;-2;
3019.797;76.630;0.000;29004.000;110167;0;-2;
3020.319;72.552;0.000;29005.000;110172;0;-2;
3022.079;66.105;0.000;29006.000;110176;0;-2;
3015.864;61.734;0.000;29007.000;110181;0;-2;
3009.589;59.316;0.000;29008.000;110186;0;-2;
3006.641;60.220;0.000;29009.000;110191;0;-2;
3005.149;60.024;0.000;29010.000;110196;0;-2;
3004.103;57.509;0.000;29011.000;110201;0;-2;
2995.897;54.408;0.000;29012.000;110205;0;-2;
2987.823;57.411;0.000;29013.000;110210;0;-2;
2985.115;63.956;0.000;29014.000;110215;0;-2;
2992.652;70.012;0.000;29015.000;110220;0;-2;
3002.268;71.893;0.000;29016.000;110225;0;-2;
3011.001;70.354;0.000;29017.000;110229;0;-2;
3020.718;71.111;0.000;29018.000;110234;0;-2;
3025.849;68.107;0.000;29019.000;110239;0;-2;
3029.727;65.763;0.000;29020.000;110244;0;-2;
3029.282;63.590;0.000;29021.000;110249;0;-2;
3025.199;61.954;0.000;29022.000;110254;0;-2;
3016.107;62.466;0.000;29023.000;110258;0;-2;
3011.733;64.957;0.000;29024.000;110263;0;-2;
3015.097;67.204;0.000;29025.000;110268;0;-2;
3021.203;69.817;0.000;29026.000;110273;0;-2;
3028.453;67.668;0.000;29027.000;110278;0;-2;
3033.058;62.589;0.000;29028.000;110282;0;-2;
3033.602;58.510;0.000;29029.000;110287;0;-2;
3030.178;54.139;0.000;29030.000;110292;0;-2;
3021.841;53.260;0.000;29031.000;110297;0;-2;
3014.674;54.530;0.000;29032.000;110302;0;-2;
3013.941;54.750;0.000;29033.000;110306;0;-2;
3014.129;54.921;0.000;29034.000;110311;0;-2;
3014.800;54.164;0.000;29035.000;110316;0;-2;
3012.791;53.578;0.000;29036.000;110321;0;-2;
3009.653;56.313;0.000;29037.000;110326;0;-2;
3009.615;57.949;0.000;29038.000;110330;0;-2;
