Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
3055.598;100.000;128.000;25683.000;220718;0;-2;
3058.185;100.000;128.000;25684.000;220720;0;-2;
3060.257;100.000;128.000;25685.000;220723;0;-2;
3062.937;100.000;128.000;25686.000;220725;0;-2;
3065.102;100.000;128.000;25687.000;220727;0;-2;
3066.493;100.000;128.000;25688.000;220729;0;-2;
3069.278;100.000;128.000;25689.000;220731;0;-2;
3070.834;100.000;128.000;25690.000;220733;0;-2;
3073.300;100.000;128.000;25691.000;220735;0;-2;
3073.104;100.000;128.000;25692.000;220737;0;-2;
3072.270;100.000;128.000;25693.000;220739;0;-2;
3069.164;100.000;128.000;25694.000;220741;0;-2;
3067.128;100.000;128.000;25695.000;220743;0;-2;
3064.079;100.000;128.000;25696.000;220745;0;-2;
3061.579;100.000;128.000;25697.000;220747;0;-2;
3059.632;100.000;128.000;25698.000;220749;0;-2;
3058.755;100.000;128.000;25699.000;220751;0;-2;
3058.345;100.000;128.000;25700.000;220753;0;-2;
3057.833;100.000;128.000;25701.000;220755;0;-2;
3058.126;100.000;128.000;25702.000;220757;0;-2;
3057.778;100.000;128.000;25703.000;220759;0;-2;
3058.340;100.000;128.000;25704.000;220761;0;-2;
3058.313;100.000;128.000;25705.000;220763;0;-2;
3058.661;100.000;128.000;25706.000;220765;0;-2;
3058.210;100.000;128.000;25707.000;220767;0;-2;
3057.878;100.000;128.000;25708.000;220769;0;-2;
3057.041;100.000;128.000;25709.000;220771;0;-2;
3056.855;100.000;128.000;25710.000;220773;0;-2;
3055.800;100.000;128.000;25711.000;220775;0;-2;
3055.991;100.000;128.000;25712.000;220777;0;-2;
3054.717;100.000;128.000;25713.000;220779;0;-2;
3053.914;100.000;128.000;25714.000;220781;0;-2;
3053.479;100.000;128.000;25715.000;220783;0;-2;
3053.024;100.000;128.000;25716.000;220785;0;-2;
3055.442;100.000;128.000;25717.000;220787;0;-2;
3056.748;100.000;128.000;25718.000;220789;0;-2;
3058.119;100.000;128.000;25719.000;220791;0;-2;
3058.624;100.000;128.000;25720.000;220793;0;-2;
3057.911;100.000;128.000;25721.000;220795;0;-2;
3056.660;100.000;128.000;25722.000;220797;0;-2;
3054.712;100.000;128.000;25723.000;220799;0;-2;
3053.941;100.000;128.000;25724.000;220801;0;-2;
3052.279;100.000;128.000;25725.000;220803;0;-2;
3051.044;100.000;128.000;25726.000;220805;0;-2;
3049.936;100.000;128.000;25727.000;220807;0;-2;
3051.127;100.000;128.000;25728.000;220809;0;-2;
3051.854;100.000;128.000;25729.000;220811;0;-2;
3054.814;100.000;128.000;25730.000;220813;0;-2;
3057.052;100.000;128.000;25731.000;220814;0;-2;
3059.026;100.000;128.000;25732.000;220816;0;-2;
3059.511;100.000;128.000;25733.000;220818;0;-2;
3057.856;100.000;128.000;25734.000;220820;0;-2;
3055.863;100.000;128.000;25735.000;220822;0;-2;
3052.798;100.000;128.000;25736.000;220824;0;-2;
3049.146;100.000;128.000;25737.000;220826;0;-2;
3048.547;100.000;128.000;25738.000;220828;0;-2;
3049.742;100.000;128.000;25739.000;220830;0;-2;
3052.068;100.000;128.000;25740.000;220832;0;-2;
3054.685;100.000;128.000;25741.000;220834;0;-2;
3058.020;100.000;128.000;25742.000;220835;0;-2;
3061.517;100.000;128.000;25743.000;220837;0;-2;
3066.358;100.000;128.000;25744.000;220839;0;-2;
3070.626;100.000;128.000;25745.000;220841;0;-2;
3072.417;100.000;128.000;25746.000;220843;0;-2;
