Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
0.000;0.000;0.000;5525.000;329336;0;-2;
0.000;0.000;0.000;5526.000;329340;0;-2;
0.000;0.000;0.000;5527.000;329344;0;-2;
0.000;0.000;0.000;5528.000;329348;0;-2;
0.000;0.000;0.000;5529.000;329351;0;-2;
0.000;0.000;0.000;5530.000;329355;0;-2;
0.000;0.000;0.000;5531.000;329359;0;-2;
0.000;0.000;0.000;5532.000;329363;0;-2;
0.000;0.000;0.000;5533.000;329367;0;-2;
0.000;0.000;0.000;5534.000;329371;0;-2;
0.000;0.000;0.000;5535.000;329375;0;-2;
0.000;0.000;0.000;5536.000;329379;0;-2;
0.000;0.000;0.000;5537.000;329383;0;-2;
0.000;0.000;0.000;5538.000;329386;0;-2;
0.000;0.000;0.000;5539.000;329390;0;-2;
0.000;0.000;0.000;5540.000;329394;0;-2;
0.000;0.000;0.000;5541.000;329398;0;-2;
0.000;0.000;0.000;5542.000;329402;0;-2;
0.000;0.000;0.000;5543.000;329406;0;-2;
0.000;0.000;0.000;5544.000;329410;0;-2;
0.000;0.000;0.000;5545.000;329413;0;-2;
0.000;0.000;0.000;5546.000;329417;0;-2;
0.000;0.000;0.000;5547.000;329421;0;-2;
0.000;0.000;0.000;5548.000;329425;0;-2;
0.000;0.000;0.000;5549.000;329429;0;-2;
0.000;0.000;0.000;5550.000;329432;0;-2;
0.000;0.000;0.000;5551.000;329436;0;-2;
0.000;0.000;0.000;5552.000;329440;0;-2;
0.000;0.000;0.000;5553.000;329444;0;-2;
0.000;0.000;0.000;5554.000;329448;0;-2;
0.000;0.000;0.000;5555.000;329451;0;-2;
0.000;0.000;0.000;5556.000;329455;0;-2;
0.000;0.000;0.000;5557.000;329459;0;-2;
0.000;0.000;0.000;5558.000;329463;0;-2;
0.000;0.000;0.000;5559.000;329466;0;-2;
0.000;0.000;0.000;5560.000;329470;0;-2;
0.000;0.000;0.000;5561.000;329474;0;-2;
0.000;0.000;0.000;5562.000;329477;0;-2;
0.000;0.000;0.000;5563.000;329481;0;-2;
0.000;0.000;0.000;5564.000;329485;0;-2;
0.000;0.000;0.000;5565.000;329489;0;-2;
0.000;0.000;0.000;5566.000;329492;0;-2;
0.000;0.000;0.000;5567.000;329496;0;-2;
0.000;0.000;0.000;5568.000;329500;0;-2;
0.000;0.000;0.000;5569.000;329503;0;-2;
0.000;0.000;0.000;5570.000;329507;0;-2;
0.000;0.000;0.000;5571.000;329511;0;-2;
0.000;0.000;0.000;5572.000;329514;0;-2;
0.000;0.000;0.000;5573.000;329518;0;-2;
0.000;0.000;0.000;5574.000;329522;0;-2;
0.000;0.000;0.000;5575.000;329525;0;-2;
0.000;0.000;0.000;5576.000;329529;0;-2;
0.000;0.000;0.000;5577.000;329533;0;-2;
0.000;0.000;0.000;5578.000;329536;0;-2;
0.000;0.000;0.000;5579.000;329540;0;-2;
0.000;0.000;0.000;5580.000;329544;0;-2;
0.000;0.000;0.000;5581.000;329547;0;-2;
0.000;0.000;0.000;5582.000;329551;0;-2;
0.000;0.000;0.000;5583.000;329554;0;-2;
0.000;0.000;0.000;5584.000;329558;0;-2;
0.000;0.000;0.000;5585.000;329562;0;-2;
0.000;0.000;0.000;5586.000;329565;0;-2;
0.000;0.000;0.000;5587.000;329569;0;-2;
0.000;0.000;0.000;5588.000;329572;0;-2;
0.000;0.000;0.000;5589.000;329576;0;-2;
0.000;0.000;0.000;5590.000;329580;0;-2;
0.000;0.000;0.000;5591.000;329583;0;-2;
0.000;0.000;0.000;5592.000;329587;0;-2;
0.000;0.000;0.000;5593.000;329590;0;-2;
0.000;0.000;0.000;5594.000;329594;0;-2;
0.000;0.000;0.000;5595.000;329597;0;-2;
0.000;0.000;0.000;5596.000;329601;0;-2;
0.000;0.000;0.000;5597.000;329605;0;-2;
0.000;0.000;0.000;5598.000;329608;0;-2;
0.000;0.000;0.000;5599.000;329611;0;-2;
0.000;0.000;0.000;5600.000;329615;0;-2;
0.000;0.000;0.000;5601.000;329619;0;-2;
0.000;0.000;0.000;5602.000;329622;0;-2;
0.000;0.000;0.000;5603.000;329626;0;-2;
0.000;0.000;0.000;5604.000;329629;0;-2;
0.000;0.000;0.000;5605.000;329633;0;-2;
