Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
2915.655;17.509;0.000;18833.000;604413;0;0;
2917.310;17.192;0.000;18834.000;604414;0;0;
2917.636;16.825;0.000;18835.000;604415;0;0;
2917.719;16.190;0.000;18836.000;604416;0;0;
2919.045;15.971;0.000;18837.000;604416;0;0;
2922.172;15.824;0.000;18838.000;604417;0;0;
2922.193;15.556;0.000;18839.000;604418;0;0;
2921.287;15.238;0.000;18840.000;604418;0;0;
2921.390;15.043;0.000;18841.000;604419;0;0;
2925.041;15.238;0.000;18842.000;604419;0;0;
2922.196;14.969;0.000;18843.000;604420;0;0;
2921.298;15.409;0.000;18844.000;604420;0;0;
2926.007;15.507;0.000;18845.000;604421;0;0;
2922.945;15.409;0.000;18846.000;604421;0;0;
2925.097;15.238;0.000;18847.000;604422;0;0;
2920.565;15.409;0.000;18848.000;604422;0;0;
2921.902;15.751;0.000;18849.000;604423;0;0;
2921.010;15.751;0.000;18850.000;604423;0;0;
2922.579;16.068;0.000;18851.000;604423;0;0;
2922.686;15.897;0.000;18852.000;604424;0;0;
2921.609;16.239;0.000;18853.000;604424;0;0;
2922.044;16.215;0.000;18854.000;604424;0;0;
2921.787;16.117;0.000;18855.000;604424;0;0;
2919.938;16.166;0.000;18856.000;604425;0;0;
2919.301;15.922;0.000;18857.000;604425;0;0;
2919.748;16.337;0.000;18858.000;604425;0;0;
2921.734;16.508;0.000;18859.000;604425;0;0;
2918.382;16.484;0.000;18860.000;604425;0;0;
2917.847;16.532;0.000;18861.000;604425;0;0;
2920.895;16.679;0.000;18862.000;604425;0;0;
2920.485;16.484;0.000;18863.000;604425;0;0;
2919.536;16.386;0.000;18864.000;604425;0;0;
2920.317;16.752;0.000;18865.000;604425;0;0;
2919.788;16.581;0.000;18866.000;604425;0;0;
2919.165;16.410;0.000;18867.000;604425;0;0;
2922.712;16.508;0.000;18868.000;604425;0;0;
2921.613;16.654;0.000;18869.000;604425;0;0;
2921.290;16.654;0.000;18870.000;604425;0;0;
2920.178;16.581;0.000;18871.000;604425;0;0;
2917.606;16.361;0.000;18872.000;604425;0;0;
2921.520;16.459;0.000;18873.000;604425;0;0;
2922.301;16.703;0.000;18874.000;604425;0;0;
2920.381;16.728;0.000;18875.000;604425;0;0;
2920.313;16.264;0.000;18876.000;604424;0;0;
2922.733;16.313;0.000;18877.000;604424;0;0;
2919.460;15.897;0.000;18878.000;604424;0;0;
2922.726;16.215;0.000;18879.000;604424;0;0;
2921.729;16.361;0.000;18880.000;604424;0;0;
2920.591;16.117;0.000;18881.000;604423;0;0;
2922.935;15.409;0.000;18882.000;604423;0;0;
2922.096;15.360;0.000;18883.000;604423;0;0;
2923.404;15.678;0.000;18884.000;604422;0;0;
2923.292;15.849;0.000;18885.000;604422;0;0;
2923.585;15.336;0.000;18886.000;604422;0;0;
2922.421;15.385;0.000;18887.000;604421;0;0;
2926.149;15.556;0.000;18888.000;604421;0;0;
2923.202;15.018;0.000;18889.000;604420;0;0;
2924.230;15.507;0.000;18890.000;604420;0;0;
2921.153;14.872;0.000;18891.000;604419;0;0;
2919.646;15.287;0.000;18892.000;604419;0;0;
2921.090;15.214;0.000;18893.000;604418;0;0;
2921.742;15.604;0.000;18894.000;604418;0;0;
2920.587;15.531;0.000;18895.000;604417;0;0;
2921.480;16.093;0.000;18896.000;604416;0;0;
2917.368;16.361;0.000;18897.000;604416;0;0;
2918.054;16.459;0.000;18898.000;604415;0;0;
2917.074;17.534;0.000;18899.000;604414;0;0;
2915.176;17.973;0.000;18900.000;604414;0;0;
2916.768;18.657;0.000;18901.000;604413;0;0;
2915.380;19.487;0.000;18902.000;604412;0;0;
2913.816;20.488;0.000;18903.000;604412;0;0;
2914.800;21.368;0.000;18904.000;604411;0;0;
2914.174;21.880;0.000;18905.000;604410;0;0;
2915.299;23.101;0.000;18906.000;604409;0;0;
2915.622;23.810;0.000;18907.000;604408;0;0;
2916.452;24.225;0.000;18908.000;604407;0;0;
2917.217;24.762;0.000;18909.000;604406;0;0;
2916.796;25.714;0.000;18910.000;604405;0;0;
2918.722;26.178;0.000;18911.000;604404;0;0;
2919.029;26.007;0.000;18912.000;604403;0;0;
2920.421;26.496;0.000;18913.000;604402;0;0;
2921.807;26.227;0.000;18914.000;604401;0;0;
2922.204;25.836;0.000;18915.000;604400;0;0;
2922.376;24.884;0.000;18916.000;604399;0;0;
2921.873;24.151;0.000;18917.000;604397;0;0;
2924.527;23.272;0.000;18918.000;604396;0;0;
2924.845;21.612;0.000;18919.000;604395;0;0;
2924.942;21.172;0.000;18920.000;604394;0;0;
2927.686;19.463;0.000;18921.000;604392;0;0;
2924.477;17.924;0.000;18922.000;604391;0;0;
2924.263;17.460;0.000;18923.000;604389;0;0;
2923.295;16.459;0.000;18924.000;604388;0;0;
2924.909;16.239;0.000;18925.000;604387;0;0;
2922.621;16.264;0.000;18926.000;604385;0;0;
2922.055;15.922;0.000;18927.000;604384;0;0;
2921.208;17.192;0.000;18928.000;604382;0;0;
2923.015;17.949;0.000;18929.000;604380;0;0;
2923.024;18.535;0.000;18930.000;604379;0;0;
2923.372;19.365;0.000;18931.000;604377;0;0;
2925.514;20.440;0.000;18932.000;604375;0;0;
2921.884;20.635;0.000;18933.000;604374;0;0;
2927.388;20.928;0.000;18934.000;604372;0;0;
2926.026;21.490;0.000;18935.000;604370;0;0;
2926.829;21.636;0.000;18936.000;604369;0;0;
2925.080;21.319;0.000;18937.000;604367;0;0;
2926.677;20.391;0.000;18938.000;604365;0;0;
2926.394;19.634;0.000;18939.000;604363;0;0;
2925.247;18.706;0.000;18940.000;604361;0;0;
2923.988;17.998;0.000;18941.000;604359;0;0;
2921.229;17.118;0.000;18942.000;604357;0;0;
2918.293;15.849;0.000;18943.000;604355;0;0;
2919.986;14.725;0.000;18944.000;604353;0;0;
2915.473;14.017;0.000;18945.000;604351;0;0;
2912.292;12.991;0.000;18946.000;604349;0;0;
2909.659;13.284;0.000;18947.000;604346;0;0;
2912.217;12.503;0.000;18948.000;604344;0;0;
2907.045;13.211;0.000;18949.000;604342;0;0;
2906.077;12.894;0.000;18950.000;604340;0;0;
2906.736;13.162;0.000;18951.000;604337;0;0;
2908.010;13.968;0.000;18952.000;604335;0;0;
2911.130;14.676;0.000;18953.000;604333;0;0;
2918.120;15.556;0.000;18954.000;604330;0;0;
2919.985;17.118;0.000;18955.000;604328;0;0;
2924.474;18.608;0.000;18956.000;604325;0;0;
2926.601;19.585;0.000;18957.000;604323;0;0;
2925.667;20.952;0.000;18958.000;604320;0;0;
2924.688;22.418;0.000;18959.000;604318;0;0;
2923.333;23.321;0.000;18960.000;604315;0;0;
