Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3
2915.655;17.509;0;18833;604413;0;0
2917.31;17.192;0;18834;604414;0;0
2917.636;16.825;0;18835;604415;0;0
2917.719;16.19;0;18836;604416;0;0
2919.045;15.971;0;18837;604416;0;0
2922.172;15.824;0;18838;604417;0;0
2922.193;15.556;0;18839;604418;0;0
2921.287;15.238;0;18840;604418;0;0
2921.39;15.043;0;18841;604419;0;0
2925.041;15.238;0;18842;604419;0;0
2922.196;14.969;0;18843;604420;0;0
2921.298;15.409;0;18844;604420;0;0
2926.007;15.507;0;18845;604421;0;0
2922.945;15.409;0;18846;604421;0;0
2925.097;15.238;0;18847;604422;0;0
2920.565;15.409;0;18848;604422;0;0
2921.902;15.751;0;18849;604423;0;0
2921.01;15.751;0;18850;604423;0;0
2922.579;16.068;0;18851;604423;0;0
2922.686;15.897;0;18852;604424;0;0
2921.609;16.239;0;18853;604424;0;0
2922.044;16.215;0;18854;604424;0;0
2921.787;16.117;0;18855;604424;0;0
2919.938;16.166;0;18856;604425;0;0
2919.301;15.922;0;18857;604425;0;0
2919.748;16.337;0;18858;604425;0;0
2921.734;16.508;0;18859;604425;0;0
2918.382;16.484;0;18860;604425;0;0
2917.847;16.532;0;18861;604425;0;0
2920.895;16.679;0;18862;604425;0;0
2920.485;16.484;0;18863;604425;0;0
2919.536;16.386;0;18864;604425;0;0
2920.317;16.752;0;18865;604425;0;0
2919.788;16.581;0;18866;604425;0;0
2919.165;16.41;0;18867;604425;0;0
2922.712;16.508;0;18868;604425;0;0
2921.613;16.654;0;18869;604425;0;0
2921.29;16.654;0;18870;604425;0;0
2920.178;16.581;0;18871;604425;0;0
2917.606;16.361;0;18872;604425;0;0
2921.52;16.459;0;18873;604425;0;0
2922.301;16.703;0;18874;604425;0;0
2920.381;16.728;0;18875;604425;0;0
2920.313;16.264;0;18876;604424;0;0
2922.733;16.313;0;18877;604424;0;0
2919.46;15.897;0;18878;604424;0;0
2922.726;16.215;0;18879;604424;0;0
2921.729;16.361;0;18880;604424;0;0
2920.591;16.117;0;18881;604423;0;0
2922.935;15.409;0;18882;604423;0;0
2922.096;15.36;0;18883;604423;0;0
2923.404;15.678;0;18884;604422;0;0
2923.292;15.849;0;18885;604422;0;0
2923.585;15.336;0;18886;604422;0;0
2922.421;15.385;0;18887;604421;0;0
2926.149;15.556;0;18888;604421;0;0
2923.202;15.018;0;18889;604420;0;0
2924.23;15.507;0;18890;604420;0;0
2921.153;14.872;0;18891;604419;0;0
2919.646;15.287;0;18892;604419;0;0
2921.09;15.214;0;18893;604418;0;0
2921.742;15.604;0;18894;604418;0;0
2920.587;15.531;0;18895;604417;0;0
2921.48;16.093;0;18896;604416;0;0
2917.368;16.361;0;18897;604416;0;0
2918.054;16.459;0;18898;604415;0;0
2917.074;17.534;0;18899;604414;0;0
2915.176;17.973;0;18900;604414;0;0
2916.768;18.657;0;18901;604413;0;0
2915.38;19.487;0;18902;604412;0;0
2913.816;20.488;0;18903;604412;0;0
2914.8;21.368;0;18904;604411;0;0
2914.174;21.88;0;18905;604410;0;0
2915.299;23.101;0;18906;604409;0;0
2915.622;23.81;0;18907;604408;0;0
2916.452;24.225;0;18908;604407;0;0
2917.217;24.762;0;18909;604406;0;0
2916.796;25.714;0;18910;604405;0;0
2918.722;26.178;0;18911;604404;0;0
2919.029;26.007;0;18912;604403;0;0
2920.421;26.496;0;18913;604402;0;0
2921.807;26.227;0;18914;604401;0;0
2922.204;25.836;0;18915;604400;0;0
2922.376;24.884;0;18916;604399;0;0
2921.873;24.151;0;18917;604397;0;0
2924.527;23.272;0;18918;604396;0;0
2924.845;21.612;0;18919;604395;0;0
2924.942;21.172;0;18920;604394;0;0
2927.686;19.463;0;18921;604392;0;0
2924.477;17.924;0;18922;604391;0;0
2924.263;17.46;0;18923;604389;0;0
2923.295;16.459;0;18924;604388;0;0
2924.909;16.239;0;18925;604387;0;0
2922.621;16.264;0;18926;604385;0;0
2922.055;15.922;0;18927;604384;0;0
2921.208;17.192;0;18928;604382;0;0
2923.015;17.949;0;18929;604380;0;0
2923.024;18.535;0;18930;604379;0;0
2923.372;19.365;0;18931;604377;0;0
2925.514;20.44;0;18932;604375;0;0
2921.884;20.635;0;18933;604374;0;0
2927.388;20.928;0;18934;604372;0;0
2926.026;21.49;0;18935;604370;0;0
2926.829;21.636;0;18936;604369;0;0
2925.08;21.319;0;18937;604367;0;0
2926.677;20.391;0;18938;604365;0;0
2926.394;19.634;0;18939;604363;0;0
2925.247;18.706;0;18940;604361;0;0
2923.988;17.998;0;18941;604359;0;0
2921.229;17.118;0;18942;604357;0;0
2918.293;15.849;0;18943;604355;0;0
2919.986;14.725;0;18944;604353;0;0
2915.473;14.017;0;18945;604351;0;0
2912.292;12.991;0;18946;604349;0;0
