Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
1865.601;76.581;0.000;29571.000;12052;0;0;
1866.846;66.593;0.000;29572.000;12036;0;0;
1856.769;77.070;0.000;29573.000;12020;0;0;
1868.471;82.711;0.000;29574.000;12004;0;0;
1865.630;62.320;0.000;29575.000;11988;0;0;
1875.185;56.654;0.000;29576.000;11972;0;0;
1865.516;63.443;0.000;29577.000;11956;0;0;
1869.385;71.526;0.000;29578.000;11940;0;0;
1867.596;66.569;0.000;29579.000;11923;0;0;
1861.074;83.346;0.000;29580.000;11907;0;0;
1859.586;91.209;0.000;29581.000;11891;0;0;
1863.860;85.739;0.000;29582.000;11874;0;0;
1856.621;74.383;0.000;29583.000;11857;0;0;
1871.260;46.471;0.000;29584.000;11841;0;0;
1862.619;44.493;0.000;29585.000;11824;0;0;
1861.861;60.220;0.000;29586.000;11807;0;0;
1871.537;53.309;0.000;29587.000;11790;0;0;
1869.234;81.563;0.000;29588.000;11773;0;0;
1870.261;46.862;0.000;29589.000;11756;0;0;
1883.268;39.219;0.000;29590.000;11739;0;0;
1870.775;61.465;0.000;29591.000;11722;0;0;
1868.365;70.330;0.000;29592.000;11705;0;0;
1865.545;64.274;0.000;29593.000;11687;0;0;
1866.559;71.331;0.000;29594.000;11670;0;0;
1870.819;76.801;0.000;29595.000;11652;0;0;
1870.524;95.116;0.000;29596.000;11635;0;0;
1874.382;95.165;0.000;29597.000;11617;0;0;
1874.473;98.999;0.000;29598.000;11600;0;0;
1859.738;98.999;0.000;29599.000;11582;0;0;
1862.000;98.999;0.000;29600.000;11564;0;0;
1869.934;48.254;0.000;29601.000;11546;0;0;
1867.441;65.690;0.000;29602.000;11528;0;0;
1863.523;98.999;0.000;29603.000;11510;0;0;
1862.099;94.530;0.000;29604.000;11492;0;0;
1869.401;70.965;0.000;29605.000;11473;0;0;
1867.375;76.239;0.000;29606.000;11455;0;0;
1870.622;91.941;0.000;29607.000;11437;0;0;
1871.859;78.828;0.000;29608.000;11418;0;0;
1873.759;77.460;0.000;29609.000;11399;0;0;
1864.542;98.999;0.000;29610.000;11381;0;0;
1858.695;65.812;0.000;29611.000;11362;0;0;
1866.356;53.797;0.000;29612.000;11343;0;0;
1869.344;37.973;0.000;29613.000;11325;0;0;
1873.488;42.051;0.000;29614.000;11306;0;0;
1869.418;62.955;0.000;29615.000;11287;0;0;
1871.807;76.166;0.000;29616.000;11268;0;0;
1857.201;60.317;0.000;29617.000;11249;0;0;
1859.705;75.556;0.000;29618.000;11230;0;0;
1862.369;59.023;0.000;29619.000;11210;0;0;
1871.398;68.864;0.000;29620.000;11191;0;0;
1865.333;58.681;0.000;29621.000;11172;0;0;
1863.502;58.535;0.000;29622.000;11152;0;0;
1860.933;73.016;0.000;29623.000;11133;0;0;
1875.063;73.382;0.000;29624.000;11113;0;0;
1857.944;70.379;0.000;29625.000;11094;0;0;
1859.444;52.674;0.000;29626.000;11074;0;0;
1865.962;47.619;0.000;29627.000;11055;0;0;
1874.571;40.708;0.000;29628.000;11035;0;0;
1863.754;69.182;0.000;29629.000;11015;0;0;
1867.022;47.668;0.000;29630.000;10995;0;0;
1867.092;36.777;0.000;29631.000;10976;0;0;
1858.149;42.955;0.000;29632.000;10956;0;0;
1869.085;44.933;0.000;29633.000;10936;0;0;
1863.288;49.988;0.000;29634.000;10916;0;0;
1865.374;49.646;0.000;29635.000;10896;0;0;
1862.486;60.293;0.000;29636.000;10876;0;0;
1863.994;64.493;0.000;29637.000;10856;0;0;
1865.081;70.867;0.000;29638.000;10837;0;0;
1865.170;89.035;0.000;29639.000;10817;0;0;
1863.699;80.293;0.000;29640.000;10797;0;0;
1863.256;61.392;0.000;29641.000;10777;0;0;
1863.166;52.967;0.000;29642.000;10757;0;0;
1873.100;56.972;0.000;29643.000;10737;0;0;
1863.770;55.140;0.000;29644.000;10717;0;0;
1870.289;53.626;0.000;29645.000;10697;0;0;
1857.889;59.536;0.000;29646.000;10677;0;0;
1862.488;51.233;0.000;29647.000;10657;0;0;
1860.564;57.534;0.000;29648.000;10637;0;0;
