Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
0.000;0.000;0.000;3891.000;521883;0;0;
0.000;0.000;0.000;3892.000;521854;0;0;
0.000;0.000;0.000;3893.000;521824;0;0;
0.000;0.000;0.000;3894.000;521794;0;0;
0.000;0.000;0.000;3895.000;521765;0;0;
0.000;0.000;0.000;3896.000;521735;0;0;
0.000;0.000;0.000;3897.000;521705;0;0;
0.000;0.000;0.000;3898.000;521676;0;0;
0.000;0.000;0.000;3899.000;521646;0;0;
0.000;0.000;0.000;3900.000;521616;0;0;
0.000;0.000;0.000;3901.000;521587;0;0;
0.000;0.000;0.000;3902.000;521557;0;0;
0.000;0.000;0.000;3903.000;521528;0;0;
0.000;0.000;0.000;3904.000;521498;0;0;
0.000;0.000;0.000;3905.000;521469;0;0;
0.000;0.000;0.000;3906.000;521439;0;0;
0.000;0.000;0.000;3907.000;521409;0;0;
0.000;0.000;0.000;3908.000;521380;0;0;
0.000;0.000;0.000;3909.000;521350;0;0;
0.000;0.000;0.000;3910.000;521321;0;0;
0.000;0.000;0.000;3911.000;521291;0;0;
0.000;0.000;0.000;3912.000;521262;0;0;
0.000;0.000;0.000;3913.000;521232;0;0;
0.000;0.000;0.000;3914.000;521203;0;0;
0.000;0.000;0.000;3915.000;521173;0;0;
0.000;0.000;0.000;3916.000;521144;0;0;
0.000;0.000;0.000;3917.000;521114;0;0;
0.000;0.000;0.000;3918.000;521085;0;0;
0.000;0.000;0.000;3919.000;521055;0;0;
0.000;0.000;0.000;3920.000;521026;0;0;
0.000;0.000;0.000;3921.000;520997;0;0;
0.000;0.000;0.000;3922.000;520967;0;0;
0.000;0.000;0.000;3923.000;520938;0;0;
0.000;0.000;0.000;3924.000;520908;0;0;
0.000;0.000;0.000;3925.000;520879;0;0;
0.000;0.000;0.000;3926.000;520849;0;0;
0.000;0.000;0.000;3927.000;520820;0;0;
0.000;0.000;0.000;3928.000;520791;0;0;
0.000;0.000;0.000;3929.000;520762;0;0;
0.000;0.000;0.000;3930.000;520732;0;0;
0.000;0.000;0.000;3931.000;520703;0;0;
0.000;0.000;0.000;3932.000;520674;0;0;
0.000;0.000;0.000;3933.000;520645;0;0;
0.000;0.000;0.000;3934.000;520615;0;0;
0.000;0.000;0.000;3935.000;520586;0;0;
0.000;0.000;0.000;3936.000;520557;0;0;
0.000;0.000;0.000;3937.000;520528;0;0;
0.000;0.000;0.000;3938.000;520499;0;0;
0.000;0.000;0.000;3939.000;520470;0;0;
0.000;0.000;0.000;3940.000;520440;0;0;
0.000;0.000;0.000;3941.000;520411;0;0;
0.000;0.000;0.000;3942.000;520382;0;0;
0.000;0.000;0.000;3943.000;520353;0;0;
0.000;0.000;0.000;3944.000;520324;0;0;
0.000;0.000;0.000;3945.000;520295;0;0;
0.000;0.000;0.000;3946.000;520266;0;0;
0.000;0.000;0.000;3947.000;520236;0;0;
0.000;0.000;0.000;3948.000;520208;0;0;
0.000;0.000;0.000;3949.000;520178;0;0;
0.000;0.000;0.000;3950.000;520149;0;0;
0.000;0.000;0.000;3951.000;520120;0;0;
0.000;0.000;0.000;3952.000;520091;0;0;
0.000;0.000;0.000;3953.000;520062;0;0;
0.000;0.000;0.000;3954.000;520033;0;0;
0.000;0.000;0.000;3955.000;520004;0;0;
0.000;0.000;0.000;3956.000;519975;0;0;
0.000;0.000;0.000;3957.000;519946;0;0;
0.000;0.000;0.000;3958.000;519916;0;0;
0.000;0.000;0.000;3959.000;519888;0;0;
0.000;0.000;0.000;3960.000;519859;0;0;
0.000;0.000;0.000;3961.000;519830;0;0;
0.000;0.000;0.000;3962.000;519801;0;0;
0.000;0.000;0.000;3963.000;519772;0;0;
0.000;0.000;0.000;3964.000;519743;0;0;
0.000;0.000;0.000;3965.000;519714;0;0;
2799.100;2.418;0.000;3966.000;519685;0;0;
2776.089;3.346;0.000;3967.000;519656;0;0;
2819.900;6.056;0.000;3968.000;519627;0;0;
2863.629;8.938;0.000;3969.000;519598;0;0;
2863.646;13.748;0.000;3970.000;519569;0;0;
2909.830;28.791;0.000;3971.000;519540;0;0;
2949.691;32.527;0.000;3972.000;519512;0;0;
2968.818;32.063;0.000;3973.000;519483;0;0;
3089.322;19.585;0.000;3974.000;519454;0;0;
3296.069;5.739;0.000;3975.000;519425;0;0;
2431.823;3.663;0.000;3976.000;519396;0;0;
3761.020;1.441;0.000;3977.000;519367;0;0;
0.000;0.000;0.000;3978.000;519338;0;0;
0.000;0.000;0.000;3979.000;519309;0;0;
0.000;0.000;0.000;3980.000;519280;0;0;
0.000;0.000;0.000;3981.000;519251;0;0;
1841.478;3.516;0.000;3982.000;519223;0;0;
0.000;0.000;0.000;3983.000;519194;0;0;
0.000;0.000;0.000;3984.000;519165;0;0;
0.000;0.000;0.000;3985.000;519136;0;0;
0.000;0.000;0.000;3986.000;519107;0;0;
0.000;0.000;0.000;3987.000;519078;0;0;
0.000;0.000;0.000;3988.000;519049;0;0;
0.000;0.000;0.000;3989.000;519020;0;0;
