Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
0.000;0.000;0.000;17677.000;414710;0;0;
0.000;0.000;0.000;17678.000;414706;0;0;
0.000;0.000;0.000;17679.000;414701;0;0;
0.000;0.000;0.000;17680.000;414697;0;0;
0.000;0.000;0.000;17681.000;414692;0;0;
0.000;0.000;0.000;17682.000;414688;0;0;
0.000;0.000;0.000;17683.000;414684;0;0;
0.000;0.000;0.000;17684.000;414679;0;0;
0.000;0.000;0.000;17685.000;414675;0;0;
0.000;0.000;0.000;17686.000;414671;0;0;
0.000;0.000;0.000;17687.000;414667;0;0;
0.000;0.000;0.000;17688.000;414663;0;0;
0.000;0.000;0.000;17689.000;414659;0;0;
0.000;0.000;0.000;17690.000;414655;0;0;
0.000;0.000;0.000;17691.000;414651;0;0;
0.000;0.000;0.000;17692.000;414647;0;0;
0.000;0.000;0.000;17693.000;414643;0;0;
0.000;0.000;0.000;17694.000;414639;0;0;
0.000;0.000;0.000;17695.000;414635;0;0;
0.000;0.000;0.000;17696.000;414632;0;0;
0.000;0.000;0.000;17697.000;414628;0;0;
0.000;0.000;0.000;17698.000;414624;0;0;
0.000;0.000;0.000;17699.000;414621;0;0;
0.000;0.000;0.000;17700.000;414617;0;0;
0.000;0.000;0.000;17701.000;414613;0;0;
0.000;0.000;0.000;17702.000;414609;0;0;
0.000;0.000;0.000;17703.000;414606;0;0;
0.000;0.000;0.000;17704.000;414602;0;0;
0.000;0.000;0.000;17705.000;414598;0;0;
0.000;0.000;0.000;17706.000;414594;0;0;
0.000;0.000;0.000;17707.000;414590;0;0;
0.000;0.000;0.000;17708.000;414586;0;0;
0.000;0.000;0.000;17709.000;414582;0;0;
0.000;0.000;0.000;17710.000;414578;0;0;
0.000;0.000;0.000;17711.000;414574;0;0;
0.000;0.000;0.000;17712.000;414570;0;0;
0.000;0.000;0.000;17713.000;414566;0;0;
0.000;0.000;0.000;17714.000;414561;0;0;
0.000;0.000;0.000;17715.000;414557;0;0;
0.000;0.000;0.000;17716.000;414553;0;0;
0.000;0.000;0.000;17717.000;414548;0;0;
0.000;0.000;0.000;17718.000;414544;0;0;
0.000;0.000;0.000;17719.000;414539;0;0;
0.000;0.000;0.000;17720.000;414534;0;0;
0.000;0.000;0.000;17721.000;414530;0;0;
0.000;0.000;0.000;17722.000;414525;0;0;
0.000;0.000;0.000;17723.000;414520;0;0;
0.000;0.000;0.000;17724.000;414515;0;0;
0.000;0.000;0.000;17725.000;414510;0;0;
0.000;0.000;0.000;17726.000;414505;0;0;
0.000;0.000;0.000;17727.000;414500;0;0;
0.000;0.000;0.000;17728.000;414495;0;0;
0.000;0.000;0.000;17729.000;414490;0;0;
0.000;0.000;0.000;17730.000;414484;0;0;
0.000;0.000;0.000;17731.000;414479;0;0;
0.000;0.000;0.000;17732.000;414473;0;0;
0.000;0.000;0.000;17733.000;414468;0;0;
0.000;0.000;0.000;17734.000;414462;0;0;
0.000;0.000;0.000;17735.000;414456;0;0;
0.000;0.000;0.000;17736.000;414450;0;0;
0.000;0.000;0.000;17737.000;414444;0;0;
0.000;0.000;0.000;17738.000;414438;0;0;
0.000;0.000;0.000;17739.000;414432;0;0;
0.000;0.000;0.000;17740.000;414426;0;0;
0.000;0.000;0.000;17741.000;414420;0;0;
0.000;0.000;0.000;17742.000;414413;0;0;
0.000;0.000;0.000;17743.000;414407;0;0;
0.000;0.000;0.000;17744.000;414400;0;0;
0.000;0.000;0.000;17745.000;414394;0;0;
0.000;0.000;0.000;17746.000;414387;0;0;
0.000;0.000;0.000;17747.000;414380;0;0;
0.000;0.000;0.000;17748.000;414373;0;0;
0.000;0.000;0.000;17749.000;414366;0;0;
0.000;0.000;0.000;17750.000;414359;0;0;
0.000;0.000;0.000;17751.000;414352;0;0;
0.000;0.000;0.000;17752.000;414345;0;0;
0.000;0.000;0.000;17753.000;414337;0;0;
0.000;0.000;0.000;17754.000;414330;0;0;
0.000;0.000;0.000;17755.000;414322;0;0;
0.000;0.000;0.000;17756.000;414315;0;0;
0.000;0.000;0.000;17757.000;414307;0;0;
0.000;0.000;0.000;17758.000;414299;0;0;
0.000;0.000;0.000;17759.000;414291;0;0;
0.000;0.000;0.000;17760.000;414284;0;0;
0.000;0.000;0.000;17761.000;414275;0;0;
0.000;0.000;0.000;17762.000;414267;0;0;
0.000;0.000;0.000;17763.000;414259;0;0;
0.000;0.000;0.000;17764.000;414251;0;0;
0.000;0.000;0.000;17765.000;414243;0;0;
0.000;0.000;0.000;17766.000;414234;0;0;
0.000;0.000;0.000;17767.000;414226;0;0;
0.000;0.000;0.000;17768.000;414217;0;0;
0.000;0.000;0.000;17769.000;414208;0;0;
0.000;0.000;0.000;17770.000;414200;0;0;
0.000;0.000;0.000;17771.000;414191;0;0;
0.000;0.000;0.000;17772.000;414182;0;0;
0.000;0.000;0.000;17773.000;414173;0;0;
0.000;0.000;0.000;17774.000;414164;0;0;
0.000;0.000;0.000;17775.000;414155;0;0;
0.000;0.000;0.000;17776.000;414146;0;0;
0.000;0.000;0.000;17777.000;414137;0;0;
0.000;0.000;0.000;17778.000;414128;0;0;
0.000;0.000;0.000;17779.000;414118;0;0;
0.000;0.000;0.000;17780.000;414109;0;0;
0.000;0.000;0.000;17781.000;414100;0;0;
0.000;0.000;0.000;17782.000;414090;0;0;
0.000;0.000;0.000;17783.000;414081;0;0;
0.000;0.000;0.000;17784.000;414071;0;0;
0.000;0.000;0.000;17785.000;414062;0;0;
0.000;0.000;0.000;17786.000;414052;0;0;
0.000;0.000;0.000;17787.000;414042;0;0;
0.000;0.000;0.000;17788.000;414032;0;0;
0.000;0.000;0.000;17789.000;414023;0;0;
0.000;0.000;0.000;17790.000;414013;0;0;
