Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
1866.074;47.912;0.000;26171.000;50152;0;0;
1867.893;31.770;0.000;26172.000;50251;0;0;
1875.063;28.913;0.000;26173.000;50351;0;0;
1872.498;25.812;0.000;26174.000;50451;0;0;
1871.779;32.796;0.000;26175.000;50551;0;0;
1870.043;35.116;0.000;26176.000;50651;0;0;
1873.488;52.063;0.000;26177.000;50751;0;0;
1873.850;51.990;0.000;26178.000;50851;0;0;
1870.822;38.388;0.000;26179.000;50951;0;0;
1867.124;53.602;0.000;26180.000;51051;0;0;
1865.037;40.611;0.000;26181.000;51152;0;0;
1866.387;35.849;0.000;26182.000;51253;0;0;
1862.514;47.204;0.000;26183.000;51353;0;0;
1869.887;42.247;0.000;26184.000;51454;0;0;
1864.408;41.490;0.000;26185.000;51555;0;0;
1867.330;41.392;0.000;26186.000;51656;0;0;
1868.002;39.536;0.000;26187.000;51757;0;0;
1871.828;40.171;0.000;26188.000;51858;0;0;
1872.455;33.944;0.000;26189.000;51959;0;0;
1872.984;29.573;0.000;26190.000;52060;0;0;
1874.073;26.667;0.000;26191.000;52162;0;0;
1874.266;30.061;0.000;26192.000;52263;0;0;
1874.921;49.475;0.000;26193.000;52365;0;0;
1869.879;27.961;0.000;26194.000;52466;0;0;
1871.907;35.897;0.000;26195.000;52568;0;0;
1873.150;31.306;0.000;26196.000;52670;0;0;
1876.148;44.322;0.000;26197.000;52771;0;0;
1876.079;34.652;0.000;26198.000;52873;0;0;
1872.663;32.161;0.000;26199.000;52976;0;0;
1870.971;38.559;0.000;26200.000;53078;0;0;
1871.043;29.035;0.000;26201.000;53181;0;0;
1869.635;38.730;0.000;26202.000;53283;0;0;
1874.717;30.379;0.000;26203.000;53386;0;0;
1870.470;27.228;0.000;26204.000;53488;0;0;
1875.589;91.673;0.000;26205.000;53591;0;0;
1871.523;28.425;0.000;26206.000;53694;0;0;
1873.109;26.960;0.000;26207.000;53797;0;0;
1873.378;28.571;0.000;26208.000;53900;0;0;
1870.648;29.182;0.000;26209.000;54003;0;0;
1870.073;26.569;0.000;26210.000;54106;0;0;
1872.016;31.917;0.000;26211.000;54209;0;0;
1871.634;32.015;0.000;26212.000;54312;0;0;
1871.744;26.960;0.000;26213.000;54415;0;0;
1872.074;38.022;0.000;26214.000;54519;0;0;
1873.701;29.182;0.000;26215.000;54623;0;0;
1867.226;38.584;0.000;26216.000;54726;0;0;
1870.737;44.982;0.000;26217.000;54830;0;0;
1871.175;42.344;0.000;26218.000;54934;0;0;
1869.367;37.460;0.000;26219.000;55037;0;0;
1870.969;45.568;0.000;26220.000;55141;0;0;
1868.464;38.046;0.000;26221.000;55245;0;0;
1866.733;32.137;0.000;26222.000;55350;0;0;
1869.050;39.707;0.000;26223.000;55453;0;0;
1868.218;44.957;0.000;26224.000;55557;0;0;
1871.782;43.053;0.000;26225.000;55662;0;0;
1873.473;53.724;0.000;26226.000;55766;0;0;
1869.959;41.905;0.000;26227.000;55870;0;0;
