Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3;
3051.087;92.918;0.000;30284.000;406571;0;0;
3050.919;91.209;0.000;30285.000;406571;0;0;
3051.579;92.772;0.000;30286.000;406571;0;0;
3050.425;92.332;0.000;30287.000;406571;0;0;
3050.872;92.674;0.000;30288.000;406571;0;0;
3050.501;93.138;0.000;30289.000;406571;0;0;
3051.226;92.967;0.000;30290.000;406571;0;0;
3051.487;91.502;0.000;30291.000;406571;0;0;
3050.454;93.919;0.000;30292.000;406571;0;0;
3050.942;94.164;0.000;30293.000;406571;0;0;
3051.491;94.066;0.000;30294.000;406571;0;0;
3051.807;92.845;0.000;30295.000;406571;0;0;
3051.932;93.846;0.000;30296.000;406571;0;0;
3051.259;95.018;0.000;30297.000;406571;0;0;
3052.574;94.310;0.000;30298.000;406571;0;0;
3051.941;93.846;0.000;30299.000;406571;0;0;
3051.730;94.359;0.000;30300.000;406571;0;0;
3051.621;94.335;0.000;30301.000;406571;0;0;
3051.618;94.042;0.000;30302.000;406571;0;0;
3052.594;94.066;0.000;30303.000;406571;0;0;
3051.339;93.651;0.000;30304.000;406571;0;0;
3052.226;93.944;0.000;30305.000;406571;0;0;
3051.613;93.553;0.000;30306.000;406571;0;0;
3050.669;93.626;0.000;30307.000;406571;0;0;
3050.719;93.797;0.000;30308.000;406571;0;0;
3050.638;93.284;0.000;30309.000;406571;0;0;
3051.044;92.869;0.000;30310.000;406571;0;0;
3050.567;93.407;0.000;30311.000;406571;0;0;
3051.027;92.088;0.000;30312.000;406571;0;0;
3051.439;91.917;0.000;30313.000;406571;0;0;
3051.041;92.381;0.000;30314.000;406571;0;0;
3051.030;92.650;0.000;30315.000;406571;0;0;
3050.325;92.796;0.000;30316.000;406571;0;0;
3051.335;92.601;0.000;30317.000;406571;0;0;
3051.445;92.796;0.000;30318.000;406571;0;0;
3052.328;92.088;0.000;30319.000;406571;0;0;
3051.215;93.797;0.000;30320.000;406571;0;0;
3051.190;93.724;0.000;30321.000;406571;0;0;
3051.549;91.917;0.000;30322.000;406571;0;0;
3052.104;94.603;0.000;30323.000;406571;0;0;
3051.396;93.675;0.000;30324.000;406571;0;0;
3051.458;94.579;0.000;30325.000;406571;0;0;
3051.980;93.675;0.000;30326.000;406571;0;0;
3052.635;93.602;0.000;30327.000;406571;0;0;
3051.985;94.481;0.000;30328.000;406571;0;0;
3051.653;92.772;0.000;30329.000;406571;0;0;
3051.429;94.237;0.000;30330.000;406571;0;0;
3051.378;93.016;0.000;30331.000;406571;0;0;
3051.854;93.504;0.000;30332.000;406571;0;0;
3051.563;93.578;0.000;30333.000;406571;0;0;
3050.455;94.408;0.000;30334.000;406571;0;0;
3051.060;93.578;0.000;30335.000;406571;0;0;
3051.696;92.625;0.000;30336.000;406571;0;0;
3049.933;93.162;0.000;30337.000;406571;0;0;
3051.068;92.918;0.000;30338.000;406571;0;0;
3051.161;92.405;0.000;30339.000;406571;0;0;
3051.250;92.186;0.000;30340.000;406571;0;0;
3050.813;93.553;0.000;30341.000;406571;0;0;
3050.942;93.700;0.000;30342.000;406571;0;0;
3051.229;92.430;0.000;30343.000;406571;0;0;
3051.827;93.480;0.000;30344.000;406571;0;0;
3051.331;93.846;0.000;30345.000;406571;0;0;
3052.264;93.578;0.000;30346.000;406571;0;0;
3051.902;93.578;0.000;30347.000;406571;0;0;
3051.518;93.919;0.000;30348.000;406571;0;0;
3051.956;93.626;0.000;30349.000;406571;0;0;
3051.397;93.993;0.000;30350.000;406571;0;0;
3052.314;94.481;0.000;30351.000;406571;0;0;
3051.250;93.602;0.000;30352.000;406571;0;0;
3050.913;95.018;0.000;30353.000;406571;0;0;
3052.745;94.310;0.000;30354.000;406571;0;0;
3052.107;94.188;0.000;30355.000;406571;0;0;
3051.316;93.822;0.000;30356.000;406571;0;0;
3050.959;92.943;0.000;30357.000;406571;0;0;
3052.065;93.236;0.000;30358.000;406571;0;0;
3051.121;94.164;0.000;30359.000;406571;0;0;
3051.498;93.480;0.000;30360.000;406571;0;0;
3050.863;93.114;0.000;30361.000;406571;0;0;
3051.705;92.601;0.000;30362.000;406571;0;0;
3051.164;92.308;0.000;30363.000;406571;0;0;
3050.933;92.112;0.000;30364.000;406571;0;0;
3051.945;93.333;0.000;30365.000;406571;0;0;
3050.707;92.845;0.000;30366.000;406571;0;0;
3050.828;92.869;0.000;30367.000;406571;0;0;
3051.856;93.162;0.000;30368.000;406571;0;0;
3051.530;92.869;0.000;30369.000;406571;0;0;
3051.338;92.650;0.000;30370.000;406571;0;0;
3051.020;93.089;0.000;30371.000;406571;0;0;
3051.745;93.284;0.000;30372.000;406571;0;0;
3051.027;94.090;0.000;30373.000;406571;0;0;
